Interaction	rec-Y2H | Table S2	Both eCLIP - HepG2	Both eCLIP - K562
A1CF-FEZ1	False	False	False
A1CF-FEZ2	False	False	False
A1CF-FHIT	False	False	False
A1CF-FIP1L1	False	False	False
A1CF-FKBP3	False	False	False
A1CF-FKBP4	False	False	False
A1CF-FMR1	False	False	False
A1CF-FNDC3B	False	False	False
A1CF-FRG1	False	False	False
A1CF-FTSJ3	False	False	False
A1CF-FUBP3	False	False	False
A1CF-FUS	False	False	False
A1CF-FXR1	False	False	False
A1CF-FXR2	False	False	False
A1CF-FYTTD1	False	False	False
A1CF-G3BP1	False	False	False
A1CF-G3BP2	False	False	False
A1CF-GAA	False	False	False
A1CF-GANAB	False	False	False
A1CF-GAR1	False	False	False
A1CF-GDI2	False	False	False
A1CF-GFP	False	False	False
A1CF-GIMAP4	False	False	False
A1CF-GNL2	False	False	False
A1CF-GNL3	False	False	False
A1CF-GNL3L	False	False	False
A1CF-GOLGA4	False	False	False
A1CF-GOT2	False	False	False
A1CF-GPATCH4	False	False	False
A1CF-GPX4	False	False	False
A1CF-GRB2	False	False	False
A1CF-GRIP1	False	False	False
A1CF-GRN	False	False	False
A1CF-GSPT2	False	False	False
A1CF-GTF2F1	False	False	False
A1CF-GTPBP4	False	False	False
A1CF-GTSE1	False	False	False
A1CF-H1-2	False	False	False
A1CF-H1-4	False	False	False
A1CF-H2AFY2	False	False	False
A1CF-H2AX	False	False	False
A1CF-HADHA	False	False	False
A1CF-HADHB	False	False	False
A1CF-HDAC1	False	False	False
A1CF-HDAC6	False	False	False
A1CF-HDGF	False	False	False
A1CF-HEATR1	False	False	False
A1CF-HEXIM1	False	False	False
A1CF-HFM1	False	False	False
A1CF-HJURP	False	False	False
A1CF-HMGA1	False	False	False
A1CF-HMGB1	False	False	False
A1CF-HMGB2	False	False	False
A1CF-HMGB3	False	False	False
A1CF-HNRNPA0	False	False	False
A1CF-HNRNPA1	False	False	False
A1CF-HNRNPA2B1	False	False	False
A1CF-HNRNPA3	False	False	False
A1CF-HNRNPC	False	False	False
A1CF-HNRNPCL1	False	False	False
A1CF-HNRNPDL	False	False	False
A1CF-HNRNPDL_CTER	False	False	False
A1CF-HNRNPF	False	False	False
A1CF-HNRNPH1	False	False	False
A1CF-HNRNPH2	False	False	False
A1CF-HNRNPH3	False	False	False
A1CF-HNRNPK	False	False	False
A1CF-HNRNPLL	False	False	False
A1CF-HNRNPR	False	False	False
A1CF-HNRNPU	False	False	False
A1CF-HOOK1	False	False	False
A1CF-HOOK3	False	False	False
A1CF-HP1BP3	False	False	False
A1CF-HSD17B10	False	False	False
A1CF-HSP90AA1	False	False	False
A1CF-HSP90AB1	False	False	False
A1CF-HSP90B1	False	False	False
A1CF-HSPA1A	False	False	False
A1CF-HSPA5	False	False	False
A1CF-HSPA8	False	False	False
A1CF-HSPA9	False	False	False
A1CF-HSPD1	False	False	False
A1CF-HTATSF1	False	False	False
A1CF-IDH3A	False	False	False
A1CF-IFIT2	False	False	False
A1CF-IGF2BP1	False	False	False
A1CF-IGF2BP2	False	False	False
A1CF-IGF2BP3	False	False	False
A1CF-ILF2	False	False	False
A1CF-ILF3	False	False	False
A1CF-IMP3	False	False	False
A1CF-INTS4	False	False	False
A1CF-INTS6	False	False	False
A1CF-INTS7	False	False	False
A1CF-IPO5	False	False	False
A1CF-ISY1	False	False	False
A1CF-KARS1	False	False	False
A1CF-KAT5	False	False	False
A1CF-KATNB1	False	False	False
A1CF-KCNAB1	False	False	False
A1CF-KDM4B	False	False	False
A1CF-KHDRBS1	False	False	False
A1CF-KHDRBS2	False	False	False
A1CF-KHDRBS3	False	False	False
A1CF-KIF11_CTER	False	False	False
A1CF-KIF12	False	False	False
A1CF-KIF13A	False	False	False
A1CF-KIF13B	False	False	False
A1CF-KIF14	False	False	False
A1CF-KIF16B_CTER	False	False	False
A1CF-KIF17	False	False	False
A1CF-KIF17V2	False	False	False
A1CF-KIF18A	False	False	False
A1CF-KIF18B	False	False	False
A1CF-KIF19A_CTER	False	False	False
A1CF-KIF1B_CTER	False	False	False
A1CF-KIF1B_NTER	False	False	False
A1CF-KIF1C	False	False	False
A1CF-KIF1C_CTER	False	False	False
A1CF-KIF20A	False	False	False
A1CF-KIF20A_CTER	False	False	False
A1CF-KIF21B	False	False	False
A1CF-KIF22	False	False	False
A1CF-KIF23_CTER	False	False	False
A1CF-KIF24	False	False	False
A1CF-KIF2A	False	False	False
A1CF-KIF2C	False	False	False
A1CF-KIF3A	False	False	False
A1CF-KIF3B	False	False	False
A1CF-KIF3C	False	False	False
A1CF-KIF5A	False	False	False
A1CF-KIF6	False	False	False
A1CF-KIF7_DEL	False	False	False
A1CF-KIF9	False	False	False
A1CF-KIFAP3	False	False	False
A1CF-KIFC1	False	False	False
A1CF-KIFC2_NTER	False	False	False
A1CF-KIFC3_NTER	False	False	False
A1CF-KLC1	False	False	False
A1CF-KLC2	False	False	False
A1CF-KLC4	False	False	False
A1CF-KPNA1	False	False	False
A1CF-KPNA2	False	False	False
A1CF-KRR1	False	False	False
A1CF-KRT31	False	False	False
A1CF-KRT81	False	False	False
A1CF-LACTB	False	False	False
A1CF-LAM	False	False	False
A1CF-LARGET	False	False	False
A1CF-LARP1	False	False	False
A1CF-LARP1B	False	False	False
A1CF-LARP4	False	False	False
