Data Mode	Binding Type	Cell Line	Feature	Zero Cutoff	# Non-Zeros	% Non-Zeros	Num Positive	Sum Positive	Num Negative	Sum Negative	ARBS	NARBS
Unique Binding	NOT Bound Only	HepG2	BUD13_4	0.0001	114074	99.845077942425	9553	73.56756591796875	104521	-106.93119049072266	-10473764.004066467	-0.8816785095684154
Unique Binding	NOT Bound Only	HepG2	BUD13_4	0.001	89960	78.73891694602236	7850	73.02716064453125	82110	-91.66009521484376	-6952947.20703125	-0.8584443292718754
Unique Binding	NOT Bound Only	HepG2	BUD13_4	0.005	6981	6.110230982660983	6893	68.55467224121094	88	-1.2912557125091553	472433.7252559662	0.9995191881453996
Unique Binding	NOT Bound Only	HepG2	BUD13_5	0.0	111399	100.0	111399	886.5748291015625	0	0.0	98763549.38708496	1.0
Unique Binding	NOT Bound Only	HepG2	BUD13_5	1e-05	111399	100.0	111399	886.5748291015625	0	0.0	98763549.38708496	1.0
Unique Binding	NOT Bound Only	HepG2	BUD13_5	0.0001	111399	100.0	111399	886.5748291015625	0	0.0	98763549.38708496	1.0
Unique Binding	NOT Bound Only	HepG2	BUD13_5	0.001	111399	100.0	111399	886.5748291015625	0	0.0	98763549.38708496	1.0
Unique Binding	NOT Bound Only	HepG2	BUD13_5	0.005	94030	84.40829809962388	94030	815.6116943359375	0	0.0	76691967.6184082	1.0
Unique Binding	NOT Bound Only	HepG2	BUD13_6	0.0	114785	100.0	114651	119.63343048095705	134	-0.8075465559959412	13715984.2268337	0.999984221397562
Unique Binding	NOT Bound Only	HepG2	BUD13_6	1e-05	114785	100.0	114651	119.63343048095705	134	-0.8075465559959412	13715984.2268337	0.999984221397562
Unique Binding	NOT Bound Only	HepG2	BUD13_6	0.0001	114785	100.0	114651	119.63343048095705	134	-0.8075465559959412	13715984.2268337	0.999984221397562
Unique Binding	NOT Bound Only	HepG2	BUD13_6	0.001	49033	42.717253996602345	48899	93.01456451416016	134	-0.8075465559959412	4548210.978939414	0.9999524181749192
Unique Binding	NOT Bound Only	HepG2	BUD13_6	0.005	1208	1.0524023173759638	1083	6.463180541992188	125	-0.7714279294013977	6903.196035802364	0.9728219361020848
Unique Binding	NOT Bound Only	HepG2	CDC40_1	0.0	117894	100.0	116646	31.237462997436523	1248	-0.1262973994016647	3643567.489644528	0.9999134883495322
Unique Binding	NOT Bound Only	HepG2	CDC40_1	1e-05	117894	100.0	116646	31.237462997436523	1248	-0.1262973994016647	3643567.489644528	0.9999134883495322
Unique Binding	NOT Bound Only	HepG2	CDC40_1	0.0001	117161	99.37825504266544	116614	31.23566055297852	547	-0.0694827288389206	3642477.3126723617	0.9999791316424138
Unique Binding	NOT Bound Only	HepG2	CDC40_1	0.001	393	0.3333502977250751	393	1.6422444581985474	0	0.0	645.4020720720291	1.0
