Feature	RBP	Position	Statistic	P-Val	Global SHAP	FDR P-Val
GRWD1_3_left	GRWD1	5	139.7766528543202	4.4451404050520645e-31	0.002002737215469843	8.946406320268929e-31
U2AF1_3_left	U2AF1	5	138.6740005202304	7.714777324282033e-31	0.0018268746455348231	1.5487852713986851e-30
ADAT1_5_right	ADAT1	2	138.66011137771747	7.768539607073909e-31	0.0	1.5556598157884184e-30
PCBP1_center_right	PCBP1	4	138.19693053240582	9.793046731072098e-31	0.001207142729665781	1.9561549485374593e-30
HLTF_3_right	HLTF	6	138.02571162385792	1.0668357005970908e-30	0.00012116266031131866	2.125670133439703e-30
NIPBL_center_right	NIPBL	4	136.47689698047384	2.314293134826623e-30	0.0	4.599729746775109e-30
HNRNPK_3_right	HNRNPK	6	135.91231666622167	3.0691309910082378e-30	0.0005071969715438408	6.084819402571059e-30
UTP18_center_left	UTP18	3	135.74707276065416	3.333478687063572e-30	0.00013350319864122046	6.59251244066915e-30
DDX47_3_right	DDX47	6	135.33692801090191	4.0922248054369286e-30	0.0	8.073027648349585e-30
PPIL4_5_left	PPIL4	1	135.22501521289658	4.32773877771902e-30	0.0	8.516562483560638e-30
HNRNPK_3_left	HNRNPK	5	134.6828504916169	5.675323374375889e-30	7.32026076057891e-05	1.114096731373789e-29
GARS_5_left	GARS	1	134.59965193334503	5.916392115418797e-30	0.0007981790463327987	1.1585662201446638e-29
RYBP_3_right	RYBP	6	134.44289653188443	6.398761934252586e-30	0.0	1.2499542307841448e-29
EIF4E_center_left	EIF4E	3	134.38363951712435	6.591184215676469e-30	0.0	1.2843945769912337e-29
HNRNPU_center_right	HNRNPU	4	133.55900039448414	9.954777558638775e-30	0.0	1.9351116376183178e-29
IGF2BP1_3_left	IGF2BP1	5	133.3770110456889	1.090310124848305e-29	0.0014879898383349055	2.1142996824917252e-29
SAFB2_center_left	SAFB2	3	132.72629372807796	1.509563947734794e-29	0.0	2.920200161030657e-29
PCBP1_5_left	PCBP1	1	131.87538616163863	2.310062582153361e-29	0.0006939229621408845	4.4579173800877206e-29
HNRNPUL1_3_left	HNRNPUL1	5	131.71677330815473	2.5007258825502097e-29	0.0	4.814199343943278e-29
XRCC6_5_left	XRCC6	1	131.45201686249027	2.8546786092549185e-29	0.0	5.482358678496795e-29
SUPV3L1_center_right	SUPV3L1	4	131.28289238579282	3.106577083812358e-29	0.0	5.951783499515503e-29
AKAP1_center_left	AKAP1	3	130.9488953243444	3.6712053252874044e-29	0.0	7.016668211640435e-29
XRN2_center_left	XRN2	3	130.3493105994809	4.9545799790088683e-29	0.0	9.446890534138918e-29
NCBP2_3_left	NCBP2	5	130.26217102093736	5.175221739047745e-29	4.2821581514597106e-07	9.844037532269816e-29
AKAP1_3_right	AKAP1	6	129.37172261999484	8.077693604756039e-29	7.834518854106226e-05	1.5328385245215625e-28
GPKOW_5_left	GPKOW	1	129.24125013848732	8.622220305767216e-29	0.001186146908424218	1.632282561448093e-28
