Feature	RBP	Position	Statistic	P-Val	Global SHAP	FDR P-Val
SF3A3_5_right	SF3A3	2	176.28102077539117	5.260932219414734e-39	0.011486158182058398	1.2019358254093586e-38
HNRNPK_3_right	HNRNPK	6	176.18321091775087	5.52461282426583e-39	0.0021935894470568804	1.2574678443291627e-38
AQR_5_right	AQR	2	175.7713918167572	6.78777173030307e-39	0.008688510425303846	1.5392344815928895e-38
CSTF2T_5_left	CSTF2T	1	174.4742634194036	1.2983598629912185e-38	0.0002469370142072074	2.933331542313494e-38
EIF3D_5_left	EIF3D	1	171.97792216807966	4.523438567895639e-38	0.001617690252510024	1.0181909691573209e-37
EIF3H_3_left	EIF3H	5	170.1197858972883	1.1454017996056943e-37	1.4331688089284915e-05	2.5687319770568877e-37
PCBP1_center_left	PCBP1	3	168.00880738568526	3.2911753424894747e-37	0.0002364679654081254	7.353908274427032e-37
SUB1_center_left	SUB1	3	166.82573700277632	5.946363994434493e-37	0.0029323064859207624	1.3238255608047593e-36
RBM22_5_left	RBM22	1	166.3837160340344	7.417116900318128e-37	0.00027446780256558303	1.6452513851614756e-36
FUS_5_left	FUS	1	166.2006241924741	8.128174377597062e-37	0.0	1.7964443370776116e-36
DROSHA_5_right	DROSHA	2	163.88767813883643	2.5837046461641285e-36	0.0	5.6897466937188385e-36
LSM11_5_right	LSM11	2	162.12239404439293	6.24553198432009e-36	0.0012584008633669131	1.3704224857680772e-35
FAM120A_center_right	FAM120A	4	157.22470320816998	7.229187498752311e-35	0.0013898711818042817	1.5805750445300752e-34
FUBP3_center_right	FUBP3	4	155.7084446942603	1.5429108808786146e-34	0.00041253634068149405	3.3613415619141245e-34
EXOSC5_3_left	EXOSC5	5	150.17149341339945	2.4585244726059158e-33	0.0	5.337010420959461e-33
SUB1_5_right	SUB1	2	148.22034204937054	6.521712821473471e-33	0.0006429533881262106	1.4107251138648287e-32
SRSF9_5_right	SRSF9	2	145.1928900779881	2.963224213430484e-32	0.0018887948452521077	6.376653744689809e-32
