Feature	RBP	Position	Global SHAP	Chi-Square Statistic	Chi-Square P-Val	Chi-Square FDR P-Val	Kruskal-Wallis Statistic	Kruskal-Wallis P-Val	Kruskal-Wallis FDR P-Val	ANOVA Statistic	ANOVA P-Val	ANOVA FDR P-Val	Linear Regression beta	Linear Regression pvalue	Linear Regression adj_pvalue	Chi-Square Rank	ANOVA Rank	Kruskal-Wallis Rank	Global SHAP Rank	Beta Coefficient Rank
FTO_5_left	FTO	1	0.0	124.79944462425313	7.9459335265395755e-28	1.5788336974557466e-27							0.0948970883503807	1.719859284533734e-07	2.872837575841265e-07	307.0			542.5	93.0
FTO_5_right	FTO	2	1.2590134325433412e-05	128.458527334198	1.2752202856354726e-28	2.589905864055292e-28	231.8327237897153	4.551595577385294e-51	4.67516830799304e-51	74.35561012585003	5.1158934078845236e-33	6.001590716226289e-33	0.0504807364292752	7.889628313692175e-08	1.3365432667387877e-07	300.0	387.0	442.0	432.0	151.0
FTO_center_left	FTO	3	0.0	211.00810438543627	1.5141619006648275e-46	3.8009825489940124e-46							0.1660652239691945	5.994079185605234e-44	2.5603281092799495e-43	243.0			542.5	48.0
FTO_center_right	FTO	4	0.0	465.6164656447797	7.810325677161282e-102	2.996414253502127e-101							-0.1068069114801644	1.4173953516963665e-21	3.783939376403693e-21	159.0			542.5	530.0
FTO_3_left	FTO	5	0.0	34.617938755634555	3.039555738644581e-08	3.953366738962035e-08							0.0806148564164006	6.411409285118641e-13	1.335896429442839e-12	469.0			542.5	115.0
FTO_3_right	FTO	6	2.1390414759139993e-05	104.19669472526664	2.3657847290474072e-23	4.307846820056472e-23	15335.048656522344	0.0	0.0	154.07976335415114	1.2273213957990954e-67	1.5740223550643766e-67	-0.0907038980476336	1.433660335859738e-19	3.5871501290549094e-19	335.0	354.0	208.0	421.0	508.0
FUBP3_5_left	FUBP3	1	0.0006027534623570012	61.17987764001569	5.1875030935768194e-14	7.813276264399654e-14	29990.977680986693	0.0	0.0	703.9812776653769	2.333980244759558e-306	5.378817416857052e-306	0.0937924610296239	5.781706435497641e-36	2.033800263780935e-35	405.0	197.0	152.0	237.0	97.0
FUBP3_5_right	FUBP3	2	0.0	209.15754040070348	3.819593782767495e-46	9.510009010155805e-46							-0.1380377758939178	8.015197366143572e-10	1.488536653712378e-09	245.0			542.5	551.0
FUBP3_center_left	FUBP3	3	0.0	118.94709068417984	1.482406937301738e-26	2.852581172725742e-26							-0.0840555883833387	1.1337788167356284e-05	1.665847008373233e-05	317.0			542.5	502.0
FUBP3_center_right	FUBP3	4	0.0004125363406820413	155.7084446942603	1.5429108808786144e-34	3.361341561914124e-34	12333.373839290263	0.0	0.0	313.7398435423983	5.821512045014702e-137	9.145212693552508e-137	-0.4240062393947491	5.517294654307957e-124	6.733351435257466e-123	280.0	289.0	236.0	274.0	595.0
FUBP3_3_left	FUBP3	5	0.00012616460147381228	65.83676383240552	5.055084046319073e-15	7.806585489252238e-15	9398.8968150246	0.0	0.0	458.51902519802536	8.157152387058208e-200	1.4466199936423538e-199	-0.051013002622823	0.0134556370202562	0.0161900823704491	395.0	256.0	263.0	354.0	453.0
FUBP3_3_right	FUBP3	6	0.0013889265138851783	388.229988161824	4.97655967296186e-85	1.785706706180432e-84	96154.788632405	0.0	0.0	2785.164776001803	0.0	0.0	-0.0546753098131239	1.1105110632415334e-15	2.4965624654828456e-15	170.0	63.0	59.0	162.0	460.0
FUS_5_left	FUS	1	0.0	166.2006241924741	8.128174377597062e-37	1.7964443370776116e-36							-0.0462432609955087	0.0005672044515375	0.0007588104295737	276.0			542.5	440.0
FUS_5_right	FUS	2	2.036592095322122e-05	11.070371698590405	0.0039454753040406	0.004448687496238	7309.7132413044255	0.0	0.0	23.87804309998393	4.265957425917433e-11	4.462545325729296e-11	0.0870903430499038	0.0001653835581975	0.0002294648904922	541.0	434.0	282.0	422.0	107.0
FUS_center_left	FUS	3	0.00014697872367956186	46.85515868170635	6.691624582349325e-11	9.426999988990964e-11	47796.62117534357	0.0	0.0	1757.631511852897	0.0	0.0	0.1262296441626765	7.90520117998956e-40	3.089745297799841e-39	433.0	107.0	113.0	344.0	73.0
