Feature	RBP	Position	Global SHAP	Chi-Square Statistic	Chi-Square P-Val	Chi-Square FDR P-Val	Kruskal-Wallis Statistic	Kruskal-Wallis P-Val	Kruskal-Wallis FDR P-Val	ANOVA Statistic	ANOVA P-Val	ANOVA FDR P-Val	Linear Regression beta	Linear Regression pvalue	Linear Regression adj_pvalue	Chi-Square Rank	ANOVA Rank	Kruskal-Wallis Rank	Global SHAP Rank	Beta Coefficient Rank
APOBEC3C_5_right	APOBEC3C	2	0.002750856465073087	115.4085756715049	8.696534231462572e-26	1.582451548510427e-25	16108.542841052264	0.0	0.0	410.846999102424	4.0175267389081166e-179	6.444537026928856e-179	-0.0258093394595562	0.0001423145405172	0.000184717491092	438.0	341.0	226.0	118.0	567.0
APOBEC3C_center_left	APOBEC3C	3	0.0	289.855293295412	1.1447819828887396e-63	3.2585401441511623e-63							0.0600867055528283	3.4162139356684355e-06	4.638274205338444e-06	280.0			691.0	219.0
APOBEC3C_center_right	APOBEC3C	4	0.00011827358927156093	230.93797859107295	7.119592190439421e-51	1.7732234299313186e-50	12397.27967121916	0.0	0.0	321.39974532552577	2.7401906863525706e-140	4.0292588855775703e-140	0.0475810074006981	9.672204353141487e-11	5.313349101890225e-10	320.0	372.0	257.0	423.0	244.0
APOBEC3C_3_left	APOBEC3C	5	0.0	74.24882091375943	7.534828896715156e-17	1.233112655170838e-16							-0.0575971373507713	1.6990412075932983e-10	9.272545152551659e-10	487.0			691.0	646.0
APOBEC3C_3_right	APOBEC3C	6	6.55116134802486e-05	287.92082032684925	3.01153734794695e-63	8.481255357999008e-63	11046.891925569453	0.0	0.0	281.1106827384954	8.519583677781361e-123	1.210444745908157e-122	0.0694076804535921	1.2278633076100115e-29	2.5006484435472187e-29	283.0	385.0	275.0	468.0	200.0
AQR_5_left	AQR	1	0.011169263966656774	768.7993709658908	1.1411369010339579e-167	6.404831761437075e-167	22311.60059207987	0.0	0.0	4873.299161677069	0.0	0.0	0.0037989365256436	0.0003858389189318	0.0004926230845689	142.0	45.0	184.0	41.0	376.0
AQR_5_right	AQR	2	0.05319136735308026	284.71629959587426	1.4949996424723603e-62	4.180753386142004e-62	47510.01994986445	0.0	0.0	6699.266408532517	0.0	0.0	-0.0328272544000339	0.0	0.0	285.0	34.0	86.0	12.0	589.0
AQR_center_left	AQR	3	0.07317291037588496	9070.30025008982	0.0	0.0	172255.86983706013	0.0	0.0	22791.247143510645	0.0	0.0	0.0631297307882531	0.0	0.0	12.0	8.0	30.0	7.0	212.0
AQR_center_right	AQR	4	0.14058837359901075	16180.85810438898	0.0	0.0	378956.7428425936	0.0	0.0	37939.43659303185	0.0	0.0	0.1056135743610876	0.0	0.0	5.0	2.0	6.0	2.0	143.0
AQR_3_left	AQR	5	0.06547006503586886	317.5737589050492	1.0958079708150468e-69	3.2588020624611657e-69	6904.7395752730245	0.0	0.0	5955.684667711733	0.0	0.0	-0.0500764105725479	0.0	0.0	268.0	38.0	332.0	9.0	628.0
