Protein1,Protein2,Position,Pearson_Corr,Pearson_P,Spearman_Corr,Spearman_P,n
HNRNPL,ILF3,2,NaN,NaN,NaN,NaN,15
HNRNPL,ILF3,4,NaN,NaN,NaN,NaN,23
HNRNPL,ILF3,5,NaN,NaN,NaN,NaN,4
HNRNPL,ILF3,6,NaN,NaN,NaN,NaN,8
HNRNPL,PPIG,1,-0.9583245924509874,0.0025690676425929784,-1.0,0.0,6
HNRNPL,PPIG,2,NaN,NaN,NaN,NaN,17
HNRNPL,PPIG,3,NaN,NaN,NaN,NaN,9
HNRNPL,PPIG,4,NaN,NaN,NaN,NaN,17
HNRNPL,PPIG,5,NaN,NaN,NaN,NaN,2
HNRNPL,PPIG,6,0.5177476116856876,2.3116229026465494e-6,0.7456602879317495,2.5125562041179082e-14,74
HNRNPL,PTBP1,6,-0.9997137107638426,1.22930557757815e-7,-1.0,0.0,6
HNRNPL,RPS3,2,NaN,NaN,NaN,NaN,2
HNRNPL,RPS3,4,NaN,NaN,NaN,NaN,12
HNRNPL,RPS3,6,0.7374665452431627,0.4720439007442944,0.5,0.6666666666666667,3
HNRNPL,SRSF1,2,NaN,NaN,NaN,NaN,14
HNRNPL,SRSF1,4,NaN,NaN,NaN,NaN,2
HNRNPL,SRSF1,6,0.10829059465575039,0.7008633812354801,0.370304114490161,0.1742560220241077,15
HNRNPL,UPF1,6,-0.9959799252347489,1.1371505271071164e-9,-0.9878787878787878,9.307459988955517e-8,10
HNRNPU,HNRNPUL1,1,NaN,NaN,NaN,NaN,18
HNRNPU,NKRF,1,NaN,NaN,NaN,NaN,37
HNRNPU,NKRF,3,NaN,NaN,NaN,NaN,10
HNRNPU,NKRF,5,NaN,NaN,NaN,NaN,10
HNRNPU,TAF15,1,NaN,NaN,NaN,NaN,18
HNRNPUL1,NKRF,1,NaN,NaN,NaN,NaN,11
HNRNPUL1,RPS3,1,NaN,NaN,NaN,NaN,19
HNRNPUL1,TAF15,1,NaN,NaN,NaN,NaN,18
HNRNPUL1,TAF15,2,NaN,NaN,NaN,NaN,12
IGF2BP1,IGF2BP3,1,0.9244626163554496,8.60527819308713e-148,0.9123147129540312,5.383002385978066e-137,350
IGF2BP1,IGF2BP3,2,-0.2990271387744863,2.153783296178431e-9,-0.409110140443933,5.744243781786849e-17,385
IGF2BP1,IGF2BP3,3,0.5295490493180189,3.3275077906730584e-28,0.5771970357725696,2.4373594359703675e-34,371
IGF2BP1,IGF2BP3,4,0.8710453992601072,4.0631328392661976e-114,0.8501073640213849,3.9095386345578583e-103,365
IGF2BP1,IGF2BP3,5,0.2452574898584614,3.82761617563606e-9,-0.2310939366247257,3.0002579300200814e-8,562
IGF2BP1,IGF2BP3,6,-0.213867427778637,1.2113241682205762e-8,-0.5302065302210786,1.0352989161441078e-51,696
IGF2BP1,NCBP2,1,0.1267882452699645,0.7648074460473456,0.8427953808926897,0.008603463549936616,8
IGF2BP1,NKRF,2,0.9859219754103219,1.6896203489463174e-7,0.9146341463414634,0.000209371137768355,10
IGF2BP1,NKRF,4,NaN,NaN,NaN,NaN,2
IGF2BP1,NKRF,6,NaN,NaN,NaN,NaN,2
IGF2BP1,PABPN1,1,0.8778816443893815,0.004146039825818209,0.7619047619047621,0.028004939153071794,8
IGF2BP1,PABPN1,3,0.7625646055731172,0.016873225499828358,0.75,0.019942126131992522,9
IGF2BP1,PABPN1,4,0.9988138887300314,1.890058038644107e-10,0.9790880682441959,4.2663223508164145e-6,9
IGF2BP1,PABPN1,5,-0.07836175449822409,0.6307809811605879,0.07929060711269588,0.6267240606662596,40
IGF2BP1,PABPN1,6,-0.9783192876895167,4.83731585314287e-6,-0.8487394957983194,0.0038099535994344067,9
IGF2BP1,PRPF8,1,0.720342744935493,7.294407015502115e-7,0.8915786762812258,3.0391436195178646e-13,36
IGF2BP1,PRPF8,2,0.45765337569527975,4.330009373464783e-25,0.5478138243109095,3.1594454644843828e-37,458
IGF2BP1,PRPF8,3,0.9694512948631303,4.2466004104164485e-21,0.8853911980440098,3.542355287728576e-12,34
IGF2BP1,PRPF8,4,0.754487901597821,9.14522266320133e-62,0.7506967178001663,7.904339761923687e-61,329
IGF2BP1,PRPF8,5,-0.04281000089757002,0.7061357957470282,0.1218557329394941,0.2815803830449554,80
IGF2BP1,PRPF8,6,-0.4981392411105035,1.1595487729025268e-24,-0.6000130307889636,1.1916882491233219e-37,371
IGF2BP1,PTBP1,2,0.993579238311614,6.585760494057814e-7,0.9761904761904763,0.000033143960262001043,8
IGF2BP1,PTBP1,4,-0.9874484157660472,0.00023532469765705577,-1.0,0.0,6
IGF2BP1,RPS3,1,-0.0004423963213974819,0.9943029220290294,0.17079852280613517,0.005484155938056544,263
IGF2BP1,RPS3,2,0.5639191847306829,2.8273359462086274e-12,0.3601793467204843,0.000025630289941555638,130
IGF2BP1,RPS3,3,0.9109689987982712,1.5331320725475031e-108,0.867337807420841,6.4041619493753126e-86,279
IGF2BP1,RPS3,4,0.8223652655887213,1.5069726559129736e-55,0.7197906518783935,1.432617176042266e-36,221
IGF2BP1,RPS3,5,-0.16469380780948578,0.009226371582119768,-0.38803206074175933,2.2608560421914218e-10,249
IGF2BP1,RPS3,6,-0.8944254874791506,6.05230006375888e-41,-0.8692431379378779,4.69129179972166e-36,114
IGF2BP1,TRA2A,4,-1.0,1.0,-0.9999999999999999,NaN,2
IGF2BP1,UPF1,4,0.9884082324413522,7.53615508461545e-18,0.8993212669683257,1.2673201558568106e-8,22
IGF2BP1,UPF1,5,-0.6527225860788026,0.004505288646649073,-0.22280796633985211,0.3900274735793635,17
IGF2BP1,UPF1,6,-0.832816496450616,1.7118972793598027e-44,-0.8611061546541132,1.22736250521487e-50,168
