Feature,AUROC,AUPRC,PRC Baseline,AUPRC - Baseline,Total Events,Num Significant
HNRNPC_3_binding,0.2551020408163265,0.2586048454469507,0.3333333333333333,-0.07472848788638259,21,7
HNRNPC_4_binding,0.1484375,0.1468045112781955,0.2,-0.05319548872180452,20,4
HNRNPC_5_binding,,,0.0,,4,0
HNRNPC_6_binding,,,0.0,,18,0
HNRNPK_1_binding,0.7316017316017316,0.08587653288740245,0.0375,0.04837653288740245,80,3
HNRNPK_2_binding,0.44133268952197,0.12958530578065974,0.1484375,-0.018852194219340257,128,19
HNRNPK_3_binding,0.416354556803995,0.14389625360519023,0.16822429906542055,-0.02432804546023032,107,18
HNRNPK_4_binding,0.31452145214521454,0.0960492648865697,0.12931034482758622,-0.033261079941016514,116,15
HNRNPK_5_binding,0.5,0.09836065573770492,0.09836065573770492,0.0,61,6
HNRNPK_6_binding,0.5,0.11320754716981132,0.11320754716981132,0.0,53,6
HNRNPL_1_binding,,,0.0,,10,0
HNRNPL_2_binding,,,0.0,,16,0
HNRNPL_3_binding,0.5,0.08333333333333333,0.08333333333333333,0.0,12,1
HNRNPL_4_binding,0.5263157894736843,0.1,0.09523809523809523,0.004761904761904773,21,2
HNRNPL_5_binding,,,0.0,,6,0
HNRNPL_6_binding,,,0.0,,34,0
HNRNPM_1_binding,0.5,0.25,0.25,0.0,4,1
HNRNPM_2_binding,0.25490196078431376,0.03707482993197279,0.03773584905660377,-0.0006610191246309849,53,2
HNRNPM_3_binding,0.7738095238095238,0.5763888888888888,0.3,0.27638888888888885,20,6
HNRNPM_4_binding,0.6714285714285715,0.3780894544052439,0.25925925925925924,0.11883019514598464,27,7
HNRNPM_5_binding,0.5,0.3,0.3,0.0,10,3
HNRNPM_6_binding,0.5,0.17647058823529413,0.17647058823529413,0.0,17,3
HNRNPUL1_1_binding,,,0.0,,1,0
HNRNPUL1_2_binding,,,0.0,,3,0
HNRNPUL1_4_binding,,,0.0,,2,0
HNRNPU_1_binding,0.5,0.5,0.5,0.0,2,1
HNRNPU_4_binding,,,0.0,,1,0
IGF2BP3_1_binding,0.4473684210526315,0.023255813953488372,0.012987012987012988,0.010268800966475384,77,1
IGF2BP3_2_binding,,,0.0,,95,0
IGF2BP3_3_binding,,,0.0,,75,0
IGF2BP3_4_binding,,,0.0,,91,0
IGF2BP3_5_binding,0.13636363636363635,0.014066951566951567,0.016260162601626018,-0.0021932110346744513,123,2
IGF2BP3_6_binding,0.27531645569620256,0.020580849889624726,0.024691358024691357,-0.00411050813506663,162,4
ILF3_1_binding,,,0.0,,3,0
ILF3_2_binding,,,0.0,,4,0
ILF3_3_binding,0.6875,0.41666666666666663,0.2,0.21666666666666662,10,2
ILF3_4_binding,0.4,0.25,0.16666666666666666,0.08333333333333334,12,2
ILF3_5_binding,,,0.0,,4,0
ILF3_6_binding,,,0.0,,7,0
KHSRP_1_binding,0.2736318407960199,0.038024046828033536,0.04285714285714286,-0.004833096029109321,70,3
KHSRP_2_binding,0.19744642042863658,0.038441685820481096,0.06181818181818182,-0.023376495997700725,275,17
KHSRP_3_binding,0.2682748538011696,0.045483421660152006,0.06557377049180328,-0.020090348831651277,183,12
KHSRP_4_binding,0.26,0.041028365242384596,0.058823529411764705,-0.01779516416938011,170,10
KHSRP_5_binding,0.18086883876357562,0.0407532182648346,0.06338028169014084,-0.022627063425306244,142,9
KHSRP_6_binding,0.3551020408163265,0.0399320240803169,0.047619047619047616,-0.007687023538730714,147,7
LARP4_1_binding,,,0.0,,165,0
LARP4_2_binding,0.22899159663865543,0.007878025401389887,0.008333333333333333,-0.0004553079319434463,240,2
LARP4_3_binding,0.8767281105990784,0.05077658303464755,0.0091324200913242,0.04164416294332335,219,2
LARP4_4_binding,,,0.0,,253,0
LARP4_5_binding,0.11793721973094169,0.007372495196894608,0.011086474501108648,-0.0037139793042140403,451,5
LARP4_6_binding,0.22849364791288568,0.0066620709269205065,0.008992805755395683,-0.0023307348284751766,556,5
LARP7_1_binding,,,0.0,,21,0
LARP7_2_binding,,,0.0,,9,0
LARP7_3_binding,,,0.0,,17,0
LARP7_4_binding,,,0.0,,12,0
LARP7_5_binding,,,0.0,,21,0
LARP7_6_binding,,,0.0,,18,0
LIN28B_1_binding,,,0.0,,219,0
LIN28B_2_binding,0.1155378486055777,0.004484304932735426,0.003968253968253968,0.0005160509644814579,252,1
LIN28B_3_binding,,,0.0,,209,0
LIN28B_4_binding,,,0.0,,219,0
LIN28B_5_binding,,,0.0,,315,0
LIN28B_6_binding,0.439873417721519,0.0056179775280898875,0.0031545741324921135,0.002463403395597774,317,1
LSM11_1_binding,,,0.0,,46,0
