Feature,AUROC,AUPRC,PRC Baseline,AUPRC - Baseline,Total Events,Num Significant
TARDBP_5_binding,0.3961538461538462,0.0878600604769595,0.087719298245614,0.0001407622313455,57,5
PABPC4_1_binding,0.0179211469534049,0.0036363636363636,0.0035714285714285,6.493506493506504e-05,280,1
DDX3X_1_binding,0.3040492957746479,0.0014710277580602,0.0014064697609001,6.455799716015742e-05,1422,2
HNRNPC_5_binding,0.0,0.1666666666666666,0.1666666666666666,0.0,6,1
SND1_6_binding,0.0023041474654377,0.0022988505747126,0.0022988505747126,0.0,435,1
LARP7_3_binding,0.5,0.3333333333333333,0.3333333333333333,0.0,3,1
ILF3_5_binding,0.0,0.1428571428571428,0.1428571428571428,0.0,7,1
UTP18_3_binding,0.5,0.1,0.1,0.0,20,2
DDX47_1_binding,0.25,0.3333333333333333,0.3333333333333333,0.0,3,1
HNRNPC_1_binding,0.5,0.1666666666666666,0.1666666666666666,0.0,6,1
HNRNPC_6_binding,0.4583333333333333,0.0769230769230769,0.0769230769230769,0.0,13,1
UTP18_1_binding,0.5,0.1,0.1,0.0,10,1
MBNL1_5_binding,0.5,0.1666666666666666,0.1666666666666666,0.0,12,2
LIN28B_6_binding,0.2703784570596798,0.0028872859926211,0.0029027576197387,-1.5471627117601746e-05,689,2
TARDBP_4_binding,0.2129629629629629,0.1427843716543406,0.1428571428571428,-7.27712028021632e-05,42,6
PABPC4_5_binding,0.1737193763919821,0.0039492753623188,0.0044345898004434,-0.0004853144381246,451,2
SF3B4_4_binding,0.4765366212734633,0.0811801808312941,0.0817843866171003,-0.0006042057858062,269,22
TIA1_6_binding,0.1812227074235807,0.0051925922360332,0.0065075921908893,-0.0013149999548561,461,3
IGF2BP2_6_binding,0.2049910873440285,0.0063938196616511,0.0079575596816976,-0.0015637400200464,377,3
SRSF1_6_binding,0.3893425460636516,0.0547996390723905,0.0568720379146919,-0.0020723988423013,422,24
KHSRP_6_binding,0.1226321036889331,0.003761259640223,0.0059464816650148,-0.0021852220247918,1009,6
UCHL5_5_binding,0.2909645711816807,0.0054361692786669,0.007717041800643,-0.0022808725219761,1555,12
UCHL5_2_binding,0.2960030165912519,0.0062758562555082,0.0086426029486527,-0.0023667466931444,1967,17
UCHL5_1_binding,0.2687616635563849,0.0056006156808091,0.008,-0.0023993843191908,1375,11
CPSF6_6_binding,0.1178861788617886,0.0135961649723117,0.016,-0.0024038350276882,125,2
RBM22_6_binding,0.2077205882352941,0.0073008664809408,0.0097087378640776,-0.0024078713831367,412,4
TIA1_4_binding,0.1758893280632411,0.0073251900472012,0.009784735812133,-0.0024595457649317,511,5
DROSHA_3_binding,0.0641891891891892,0.0106893208837185,0.0133333333333333,-0.0026440124496147,150,2
GPKOW_2_binding,0.2361904761904761,0.0141933005773966,0.0168539325842696,-0.002660632006873,178,3
FXR1_2_binding,0.2247942386831275,0.0124689190480562,0.0161943319838056,-0.0037254129357494,247,4
KHSRP_2_binding,0.2368142578668894,0.0079093776033863,0.0123762376237623,-0.004466860020376,1212,15
FXR1_6_binding,0.1803097345132743,0.0127261476742688,0.017391304347826,-0.0046651566735572,230,4
AKAP8L_2_binding,0.3756302521008403,0.0723485930264645,0.0775193798449612,-0.0051707868184967,129,10
PCBP1_2_binding,0.0723684210526315,0.0203962703962703,0.0256410256410256,-0.0052447552447552,78,2
TIA1_2_binding,0.2096978126185358,0.009701922271584,0.0150684931506849,-0.0053665708791009,730,11
ZC3H8_5_binding,0.0820895522388059,0.0235813366960907,0.0289855072463768,-0.005404170550286,69,2
SF3B4_6_binding,0.4339460784313725,0.0835438285604016,0.0892857142857142,-0.0057418857253126,224,20
RBM22_2_binding,0.2573215375228798,0.0123788484593945,0.0181219110378912,-0.0057430625784967,607,11
RBFOX2_5_binding,0.2032520325203251,0.0291982323232323,0.0352941176470588,-0.0060958853238264,85,3
EFTUD2_6_binding,0.3704441913439636,0.024688695076949,0.0309050772626931,-0.0062163821857441,906,28
HNRNPL_6_binding,0.1666666666666666,0.0562678062678062,0.0625,-0.0062321937321937,32,2
SRSF1_2_binding,0.4015909090909091,0.0574888336476364,0.0638297872340425,-0.0063409535864061,470,30
GPKOW_1_binding,0.1371621621621621,0.0146922593315977,0.0211640211640211,-0.0064717618324234,189,4
GPKOW_5_binding,0.0728624535315985,0.0115747634932231,0.0182481751824817,-0.0066734116892585,274,5
U2AF2_6_binding,0.393543956043956,0.056367698257079,0.063063063063063,-0.006695364805984,111,7
AQR_6_binding,0.4201340507309955,0.0462148422374105,0.0530092253624249,-0.0067943831250144,6829,362
RBM15_2_binding,0.4568355585986534,0.0760948775776842,0.0830324909747292,-0.006937613397045,831,69
KHSRP_5_binding,0.2062557497700092,0.0111102948522547,0.01806684733514,-0.0069565524828852,1107,20
HNRNPUL1_3_binding,0.3333333333333333,0.112261329652634,0.12,-0.007738670347366,25,3
HNRNPK_3_binding,0.3996101364522417,0.1273594988494386,0.1363636363636363,-0.0090041375141977,66,9
