Feature-Feature Interaction	Cell Line	interaction_shap	f1_main_effect	f2_main_effect	abs_difference_interaction_vs_main1	abs_difference_interaction_vs_main2	avg_of_abs_differences	avg_multiplicative_difference	MWU p-value (Both Bound vs F1 Bound Only)	MWU p-value (Both Bound vs F2 Bound Only)	Both MWU Significant	Rec-Y2H	Street et al | IP-MS	Street et al | IP/SEC-MS (Both)	Rec-Y2H/Street et al. IP-MS (Union)
PRPF4_1-BCLAF1_5-interaction-shap	HepG2	0.19369682669639587	0.03515109419822693	-0.09470641613006592	0.15854573249816895	0.09899041056632996	0.12876807153224945	3.7778206088389954	2.250210350519383e-15	0.999999993965464	false	None	None	None	None
U2AF2_3-FXR2_6-interaction-shap	HepG2	-0.17990727722644806	0.09508994966745377	-0.013822701759636402	0.0848173275589943	0.16608457546681166	0.12545095151290298	7.453658839102514	1.6699586877407658e-43	2.1553024631440595e-205	true	False	False	False	False
BUD13_1-RBFOX2_3-interaction-shap	K562	-0.3193386197090149	0.15409229695796967	-0.23430433869361877	0.16524632275104523	0.08503428101539612	0.12514030188322067	1.7176538526442973	2.6194867284790357e-65	7.902322423261982e-14	true	False	False	False	False
NCBP2_1-RBFOX2_1-interaction-shap	HepG2	-0.16923993825912476	-0.08615437895059586	-0.004281145986169577	0.0830855593085289	0.16495879227295518	0.12402217579074204	20.74791847233824	1.0560454469775945e-66	7.46306191368526e-128	true	None	False	False	False
AQR_2-RBM15_2-interaction-shap	HepG2	0.38004812598228455	-0.24430587887763977	-0.2698010206222534	0.13574224710464478	0.11024710536003113	0.12299467623233795	1.4821239527013628	1.5801722126734965e-40	6.676392445638868e-162	true	None	None	None	None
DDX55_6-RBM15_6-interaction-shap	K562	-0.24783064424991608	-0.02009056881070137	-0.2376411110162735	0.2277400754392147	0.010189533233642578	0.11896480433642864	6.689274341220499	6.564574507068215e-278	8.931709753598772e-301	true	None	None	None	None
DROSHA_1-PRPF8_2-interaction-shap	HepG2	0.258149117231369	0.10646820068359375	-0.17347882688045502	0.15168091654777527	0.084670290350914	0.11817560344934464	1.9563660516260049	4.858916875164037e-16	4.961011737808501e-46	true	None	False	False	False
QKI_5-BCLAF1_6-interaction-shap	HepG2	-0.27349376678466797	-0.22395512461662292	-0.09208220988512039	0.049538642168045044	0.18141155689954758	0.11547509953379631	2.095651629319991	5.610105959865459e-46	2.901271355032455e-234	true	None	None	None	None
EFTUD2_2-KHSRP_5-interaction-shap	HepG2	0.36487752199172974	-0.1441425085067749	-0.3579765260219574	0.22073501348495483	0.006900995969772339	0.11381800472736359	1.7753221609610454	2.046099815008213e-34	1.090361051673826e-37	true	None	None	None	None
KHSRP_2-RPS3_5-interaction-shap	K562	-0.20945030450820923	-0.14459437131881714	-0.04682749882340431	0.06485593318939209	0.16262280568480492	0.1137393694370985	2.960671385612018	0.9969818735137076	9.576539352336074e-6	false	None	False	False	False
