Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Bound-Only	Value - Bound-Only	PPI	Abs. SHAP Value
K562	RBM22_4-DDX3X_5-interaction-shap	interaction	DDX3X-RBM22	RBM22	4	DDX3X	5	25	0.19453299045562744	false	0.19453299045562744
K562	EXOSC5_4-UCHL5_6-interaction-shap	interaction	EXOSC5-UCHL5	EXOSC5	4	UCHL5	6	24	0.1888229250907898	false	0.1888229250907898
K562	IGF2BP2_3-IGF2BP1_4-interaction-shap	interaction	IGF2BP1-IGF2BP2	IGF2BP2	3	IGF2BP1	4	409	0.18877217173576355	false	0.18877217173576355
K562	XRN2_2-BUD13_3-interaction-shap	interaction	BUD13-XRN2	XRN2	2	BUD13	3	278	0.18361033499240875	false	0.18361033499240875
K562	PUM2_1-RBFOX2_5-interaction-shap	interaction	PUM2-RBFOX2	PUM2	1	RBFOX2	5	6	0.18339040875434875	true	0.18339040875434875
K562	SF3B4_3-XRN2_4-interaction-shap	interaction	SF3B4-XRN2	SF3B4	3	XRN2	4	257	0.1824631243944168	false	0.1824631243944168
K562	EIF4E_5-UCHL5_6-interaction-shap	interaction	EIF4E-UCHL5	EIF4E	5	UCHL5	6	4	0.18153104186058044	false	0.18153104186058044
K562	FMR1_3-UCHL5_4-interaction-shap	interaction	FMR1-UCHL5	FMR1	3	UCHL5	4	204	0.1786491572856903	false	0.1786491572856903
K562	RBM22_4-DDX3X_6-interaction-shap	interaction	DDX3X-RBM22	RBM22	4	DDX3X	6	6	0.17581923305988312	false	0.17581923305988312
K562	SMNDC1_3-SRSF1_6-interaction-shap	interaction	SMNDC1-SRSF1	SMNDC1	3	SRSF1	6	67	0.17476579546928406	false	0.17476579546928406
K562	DDX3X_1-ILF3_3-interaction-shap	interaction	DDX3X-ILF3	DDX3X	1	ILF3	3	16	0.172865629196167	false	0.172865629196167
K562	RPS3_2-BUD13_4-interaction-shap	interaction	BUD13-RPS3	RPS3	2	BUD13	4	144	0.17223219573497772	false	0.17223219573497772
K562	EIF4E_3-DDX3X_5-interaction-shap	interaction	DDX3X-EIF4E	EIF4E	3	DDX3X	5	74	0.17097793519496918	false	0.17097793519496918
K562	XRN2_2-PCBP1_6-interaction-shap	interaction	PCBP1-XRN2	XRN2	2	PCBP1	6	55	0.170648992061615	false	0.170648992061615
K562	FXR2_2-IGF2BP2_3-interaction-shap	interaction	FXR2-IGF2BP2	FXR2	2	IGF2BP2	3	26	0.16898557543754578	false	0.16898557543754578
K562	XRN2_2-SF3B4_3-interaction-shap	interaction	SF3B4-XRN2	XRN2	2	SF3B4	3	1046	0.16798987984657288	false	0.16798987984657288
K562	IGF2BP2_3-PCBP1_6-interaction-shap	interaction	IGF2BP2-PCBP1	IGF2BP2	3	PCBP1	6	82	0.1642042100429535	true	0.1642042100429535
K562	FMR1_3-UCHL5_6-interaction-shap	interaction	FMR1-UCHL5	FMR1	3	UCHL5	6	294	0.1628856211900711	false	0.1628856211900711
K562	RBM22_2-IGF2BP1_5-interaction-shap	interaction	IGF2BP1-RBM22	RBM22	2	IGF2BP1	5	160	0.16161982715129852	false	0.16161982715129852
K562	UCHL5_3-DDX3X_5-interaction-shap	interaction	DDX3X-UCHL5	UCHL5	3	DDX3X	5	47	0.16109567880630493	false	0.16109567880630493
K562	LIN28B_1-U2AF1_5-interaction-shap	interaction	LIN28B-U2AF1	LIN28B	1	U2AF1	5	141	0.16059549152851105	false	0.16059549152851105
K562	DDX3X_1-UCHL5_6-interaction-shap	interaction	DDX3X-UCHL5	DDX3X	1	UCHL5	6	808	0.15991511940956116	false	0.15991511940956116
K562	UCHL5_4-DDX3X_5-interaction-shap	interaction	DDX3X-UCHL5	UCHL5	4	DDX3X	5	10	0.15927857160568237	false	0.15927857160568237
K562	EFTUD2_5-FUS_6-interaction-shap	interaction	EFTUD2-FUS	EFTUD2	5	FUS	6	77	0.15749570727348328	false	0.15749570727348328
K562	ELAVL1_3-SRSF7_6-interaction-shap	interaction	ELAVL1-SRSF7	ELAVL1	3	SRSF7	6	6	0.15647432208061218	false	0.15647432208061218
K562	DDX3X_2-HNRNPK_4-interaction-shap	interaction	DDX3X-HNRNPK	DDX3X	2	HNRNPK	4	57	0.15644672513008118	false	0.15644672513008118
K562	LIN28B_4-QKI_5-interaction-shap	interaction	LIN28B-QKI	LIN28B	4	QKI	5	32	0.156197652220726	false	0.156197652220726
K562	DDX3X_3-RPS3_6-interaction-shap	interaction	DDX3X-RPS3	DDX3X	3	RPS3	6	426	0.15350979566574097	false	0.15350979566574097
K562	DDX3X_5-EFTUD2_6-interaction-shap	interaction	DDX3X-EFTUD2	DDX3X	5	EFTUD2	6	70	0.15346340835094452	false	0.15346340835094452
K562	SMNDC1_1-BUD13_3-interaction-shap	interaction	BUD13-SMNDC1	SMNDC1	1	BUD13	3	303	0.15303386747837067	false	0.15303386747837067
K562	FUS_3-FAM120A_5-interaction-shap	interaction	FAM120A-FUS	FUS	3	FAM120A	5	39	0.15178999304771423	false	0.15178999304771423
K562	QKI_3-EFTUD2_6-interaction-shap	interaction	EFTUD2-QKI	QKI	3	EFTUD2	6	35	0.1513672024011612	false	0.1513672024011612
K562	EWSR1_5-AKAP1_6-interaction-shap	interaction	AKAP1-EWSR1	EWSR1	5	AKAP1	6	4	0.14962220191955566	false	0.14962220191955566
K562	DDX3X_3-XRN2_4-interaction-shap	interaction	DDX3X-XRN2	DDX3X	3	XRN2	4	109	0.1479119509458542	false	0.1479119509458542
K562	LIN28B_3-IGF2BP1_4-interaction-shap	interaction	IGF2BP1-LIN28B	LIN28B	3	IGF2BP1	4	157	0.14787940680980682	false	0.14787940680980682
K562	FMR1_4-EFTUD2_6-interaction-shap	interaction	EFTUD2-FMR1	FMR1	4	EFTUD2	6	190	0.1466052383184433	false	0.1466052383184433
K562	LIN28B_3-FXR1_4-interaction-shap	interaction	FXR1-LIN28B	LIN28B	3	FXR1	4	153	0.14641042053699493	false	0.14641042053699493
K562	RBM15_1-ZC3H11A_6-interaction-shap	interaction	RBM15-ZC3H11A	RBM15	1	ZC3H11A	6	70	0.14561325311660767	false	0.14561325311660767
K562	PUM2_1-EFTUD2_5-interaction-shap	interaction	EFTUD2-PUM2	PUM2	1	EFTUD2	5	42	0.14338111877441406	false	0.14338111877441406
K562	BUD13_3-FMR1_4-interaction-shap	interaction	BUD13-FMR1	BUD13	3	FMR1	4	362	0.14247635006904602	false	0.14247635006904602
K562	UCHL5_4-XRN2_5-interaction-shap	interaction	UCHL5-XRN2	UCHL5	4	XRN2	5	108	0.14231044054031372	false	0.14231044054031372
K562	EIF4E_1-IGF2BP2_3-interaction-shap	interaction	EIF4E-IGF2BP2	EIF4E	1	IGF2BP2	3	128	0.1418418437242508	false	0.1418418437242508
