Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Bound-Only	Value - Bound-Only	PPI	Abs. SHAP Value
K562	EIF4E_1-CSTF2T_3-interaction-shap	interaction	CSTF2T-EIF4E	EIF4E	1	CSTF2T	3	175	0.01123508159071207	false	0.01123508159071207
K562	FXR2_2-EXOSC5_3-interaction-shap	interaction	EXOSC5-FXR2	FXR2	2	EXOSC5	3	16	0.011231409385800362	false	0.011231409385800362
K562	FUS_2-FMR1_3-interaction-shap	interaction	FMR1-FUS	FUS	2	FMR1	3	15	0.01117093674838543	false	0.01117093674838543
K562	RPS3_3-LARP4_6-interaction-shap	interaction	LARP4-RPS3	RPS3	3	LARP4	6	149	0.011139867827296257	false	0.011139867827296257
K562	EXOSC5_5-FUS_6-interaction-shap	interaction	EXOSC5-FUS	EXOSC5	5	FUS	6	4	0.011122973635792732	false	0.011122973635792732
K562	FMR1_1-DHX30_5-interaction-shap	interaction	DHX30-FMR1	FMR1	1	DHX30	5	1	0.011108975857496262	false	0.011108975857496262
K562	IGF2BP1_4-AKAP1_6-interaction-shap	interaction	AKAP1-IGF2BP1	IGF2BP1	4	AKAP1	6	10	0.011026257649064064	false	0.011026257649064064
K562	SRSF9_1-QKI_3-interaction-shap	interaction	QKI-SRSF9	SRSF9	1	QKI	3	2	0.010974705219268799	false	0.010974705219268799
K562	TIA1_2-DHX30_3-interaction-shap	interaction	DHX30-TIA1	TIA1	2	DHX30	3	61	0.010881754569709301	false	0.010881754569709301
K562	EFTUD2_2-LARP4_5-interaction-shap	interaction	EFTUD2-LARP4	EFTUD2	2	LARP4	5	73	0.010851489380002022	false	0.010851489380002022
K562	EXOSC5_2-PUM2_4-interaction-shap	interaction	EXOSC5-PUM2	EXOSC5	2	PUM2	4	37	0.010812277905642986	false	0.010812277905642986
K562	RPS3_4-FAM120A_5-interaction-shap	interaction	FAM120A-RPS3	RPS3	4	FAM120A	5	1	0.01080930233001709	false	0.01080930233001709
K562	ILF3_1-NONO_4-interaction-shap	interaction	ILF3-NONO	ILF3	1	NONO	4	2	0.010708063840866089	false	0.010708063840866089
K562	DDX6_2-IGF2BP1_4-interaction-shap	interaction	DDX6-IGF2BP1	DDX6	2	IGF2BP1	4	95	0.010698990896344185	false	0.010698990896344185
K562	FXR1_3-PCBP1_6-interaction-shap	interaction	FXR1-PCBP1	FXR1	3	PCBP1	6	27	0.010647378861904144	false	0.010647378861904144
K562	SAFB2_3-FMR1_4-interaction-shap	interaction	FMR1-SAFB2	SAFB2	3	FMR1	4	10	0.010606279596686363	false	0.010606279596686363
K562	RBFOX2_3-ILF3_4-interaction-shap	interaction	ILF3-RBFOX2	RBFOX2	3	ILF3	4	3	0.010548745281994343	false	0.010548745281994343
K562	LARP4_1-RBM15_3-interaction-shap	interaction	LARP4-RBM15	LARP4	1	RBM15	3	12	0.010504796169698238	false	0.010504796169698238
K562	TRA2A_2-FMR1_4-interaction-shap	interaction	FMR1-TRA2A	TRA2A	2	FMR1	4	18	0.010488074272871017	false	0.010488074272871017
K562	FASTKD2_1-NONO_3-interaction-shap	interaction	FASTKD2-NONO	FASTKD2	1	NONO	3	20	0.010391575284302235	false	0.010391575284302235
K562	DHX30_2-EWSR1_4-interaction-shap	interaction	DHX30-EWSR1	DHX30	2	EWSR1	4	100	0.010367526672780514	false	0.010367526672780514
K562	EFTUD2_4-SMNDC1_5-interaction-shap	interaction	EFTUD2-SMNDC1	EFTUD2	4	SMNDC1	5	763	0.010234368033707142	false	0.010234368033707142
K562	RBFOX2_2-MBNL1_6-interaction-shap	interaction	MBNL1-RBFOX2	RBFOX2	2	MBNL1	6	2	0.01023179478943348	true	0.01023179478943348
K562	DHX30_5-GTF2F1_6-interaction-shap	interaction	DHX30-GTF2F1	DHX30	5	GTF2F1	6	30	0.010226130485534668	false	0.010226130485534668
K562	DHX30_3-FXR1_4-interaction-shap	interaction	DHX30-FXR1	DHX30	3	FXR1	4	12	0.010194380767643452	false	0.010194380767643452
K562	SRSF9_1-CPSF6_4-interaction-shap	interaction	CPSF6-SRSF9	SRSF9	1	CPSF6	4	1	0.010188199579715729	false	0.010188199579715729
K562	QKI_1-RBM15_4-interaction-shap	interaction	QKI-RBM15	QKI	1	RBM15	4	4	0.010142922401428223	false	0.010142922401428223
K562	RBM22_2-RBFOX2_3-interaction-shap	interaction	RBFOX2-RBM22	RBM22	2	RBFOX2	3	44	0.010099741630256176	false	0.010099741630256176
K562	SMNDC1_4-TARDBP_5-interaction-shap	interaction	SMNDC1-TARDBP	SMNDC1	4	TARDBP	5	47	0.010068085044622421	false	0.010068085044622421
K562	EIF4E_1-RPS3_3-interaction-shap	interaction	EIF4E-RPS3	EIF4E	1	RPS3	3	224	0.010054460726678371	false	0.010054460726678371
K562	BUD13_1-SERBP1_2-interaction-shap	interaction	BUD13-SERBP1	BUD13	1	SERBP1	2	24	0.01001586951315403	false	0.01001586951315403
K562	FXR2_2-EIF4E_5-interaction-shap	interaction	EIF4E-FXR2	FXR2	2	EIF4E	5	3	0.010004222393035889	false	0.010004222393035889
K562	TRA2A_2-QKI_3-interaction-shap	interaction	QKI-TRA2A	TRA2A	2	QKI	3	13	0.009997667744755745	false	0.009997667744755745
K562	FXR1_3-XRN2_4-interaction-shap	interaction	FXR1-XRN2	FXR1	3	XRN2	4	2	0.009990349411964417	false	0.009990349411964417
K562	PTBP1_3-TRA2A_6-interaction-shap	interaction	PTBP1-TRA2A	PTBP1	3	TRA2A	6	32	0.009964259341359138	false	0.009964259341359138
K562	SMNDC1_4-APOBEC3C_5-interaction-shap	interaction	APOBEC3C-SMNDC1	SMNDC1	4	APOBEC3C	5	51	0.009952867403626442	false	0.009952867403626442
K562	CPSF6_3-DDX6_4-interaction-shap	interaction	CPSF6-DDX6	CPSF6	3	DDX6	4	18	0.009931107982993126	false	0.009931107982993126
K562	CPSF6_3-PCBP1_6-interaction-shap	interaction	CPSF6-PCBP1	CPSF6	3	PCBP1	6	16	0.00991546455770731	false	0.00991546455770731
K562	ILF3_1-FMR1_5-interaction-shap	interaction	FMR1-ILF3	ILF3	1	FMR1	5	1	0.009875889867544174	false	0.009875889867544174
K562	SRSF9_1-FAM120A_3-interaction-shap	interaction	FAM120A-SRSF9	SRSF9	1	FAM120A	3	7	0.009810457937419415	false	0.009810457937419415
K562	SERBP1_2-ILF3_3-interaction-shap	interaction	ILF3-SERBP1	SERBP1	2	ILF3	3	1	0.009786579757928848	false	0.009786579757928848
K562	FAM120A_2-CPSF6_5-interaction-shap	interaction	CPSF6-FAM120A	FAM120A	2	CPSF6	5	27	0.00973550509661436	false	0.00973550509661436
K562	XRCC6_1-FXR1_5-interaction-shap	interaction	FXR1-XRCC6	XRCC6	1	FXR1	5	7	0.009620431810617447	false	0.009620431810617447
K562	SMNDC1_4-FUS_5-interaction-shap	interaction	FUS-SMNDC1	SMNDC1	4	FUS	5	35	0.009619168937206268	false	0.009619168937206268
K562	SMNDC1_4-ELAVL1_5-interaction-shap	interaction	ELAVL1-SMNDC1	SMNDC1	4	ELAVL1	5	16	0.009527359157800674	false	0.009527359157800674
K562	U2AF1_5-MBNL1_6-interaction-shap	interaction	MBNL1-U2AF1	U2AF1	5	MBNL1	6	1	0.009470432996749878	false	0.009470432996749878
K562	FUS_2-TIA1_3-interaction-shap	interaction	FUS-TIA1	FUS	2	TIA1	3	27	0.00938979908823967	false	0.00938979908823967
K562	RBM15_1-SMNDC1_4-interaction-shap	interaction	RBM15-SMNDC1	RBM15	1	SMNDC1	4	22	0.009272751398384571	false	0.009272751398384571
K562	LIN28B_2-SRSF7_3-interaction-shap	interaction	LIN28B-SRSF7	LIN28B	2	SRSF7	3	19	0.009271204471588135	false	0.009271204471588135
K562	UCHL5_3-APOBEC3C_5-interaction-shap	interaction	APOBEC3C-UCHL5	UCHL5	3	APOBEC3C	5	208	0.009252667427062988	false	0.009252667427062988
K562	XRN2_4-FXR2_6-interaction-shap	interaction	FXR2-XRN2	XRN2	4	FXR2	6	2	0.009249113500118256	false	0.009249113500118256
K562	FASTKD2_1-FXR1_4-interaction-shap	interaction	FASTKD2-FXR1	FASTKD2	1	FXR1	4	4	0.009202033281326294	false	0.009202033281326294
K562	IGF2BP2_4-APOBEC3C_6-interaction-shap	interaction	APOBEC3C-IGF2BP2	IGF2BP2	4	APOBEC3C	6	24	0.009173387661576271	false	0.009173387661576271
K562	FXR2_3-RPS3_4-interaction-shap	interaction	FXR2-RPS3	FXR2	3	RPS3	4	209	0.00916292518377304	false	0.00916292518377304
K562	LIN28B_4-DDX42_5-interaction-shap	interaction	DDX42-LIN28B	LIN28B	4	DDX42	5	3	0.009134931489825249	false	0.009134931489825249
K562	ILF3_3-FXR2_4-interaction-shap	interaction	FXR2-ILF3	ILF3	3	FXR2	4	5	0.009099778719246387	false	0.009099778719246387
K562	SRSF1_4-PCBP1_6-interaction-shap	interaction	PCBP1-SRSF1	SRSF1	4	PCBP1	6	30	0.009093699976801872	false	0.009093699976801872
K562	SRSF9_1-EIF3G_2-interaction-shap	interaction	EIF3G-SRSF9	SRSF9	1	EIF3G	2	33	0.00906362198293209	false	0.00906362198293209
K562	SRSF7_2-QKI_3-interaction-shap	interaction	QKI-SRSF7	SRSF7	2	QKI	3	31	0.00901324674487114	false	0.00901324674487114
K562	QKI_1-U2AF2_3-interaction-shap	interaction	QKI-U2AF2	QKI	1	U2AF2	3	49	0.00897163525223732	false	0.00897163525223732
K562	XRCC6_2-BUD13_5-interaction-shap	interaction	BUD13-XRCC6	XRCC6	2	BUD13	5	114	0.008950394578278065	false	0.008950394578278065
K562	CSTF2T_2-EWSR1_3-interaction-shap	interaction	CSTF2T-EWSR1	CSTF2T	2	EWSR1	3	369	0.008935334160923958	true	0.008935334160923958
K562	EFTUD2_4-SERBP1_5-interaction-shap	interaction	EFTUD2-SERBP1	EFTUD2	4	SERBP1	5	47	0.008917373605072498	false	0.008917373605072498
K562	RBM22_2-KHDRBS1_6-interaction-shap	interaction	KHDRBS1-RBM22	RBM22	2	KHDRBS1	6	22	0.008914993144571781	false	0.008914993144571781
K562	HNRNPK_1-UCHL5_4-interaction-shap	interaction	HNRNPK-UCHL5	HNRNPK	1	UCHL5	4	26	0.008912427350878716	false	0.008912427350878716
K562	U2AF1_1-EWSR1_3-interaction-shap	interaction	EWSR1-U2AF1	U2AF1	1	EWSR1	3	10	0.008848699741065502	false	0.008848699741065502
K562	RPS3_3-RPS6_6-interaction-shap	interaction	RPS3-RPS6	RPS3	3	RPS6	6	23	0.008836808614432812	false	0.008836808614432812
K562	TIA1_2-APOBEC3C_5-interaction-shap	interaction	APOBEC3C-TIA1	TIA1	2	APOBEC3C	5	68	0.008827537298202515	false	0.008827537298202515
K562	UCHL5_4-HNRNPC_5-interaction-shap	interaction	HNRNPC-UCHL5	UCHL5	4	HNRNPC	5	1	0.008818205446004868	false	0.008818205446004868
K562	APOBEC3C_3-ZC3H11A_4-interaction-shap	interaction	APOBEC3C-ZC3H11A	APOBEC3C	3	ZC3H11A	4	18	0.008811556734144688	false	0.008811556734144688
K562	RBFOX2_3-U2AF2_5-interaction-shap	interaction	RBFOX2-U2AF2	RBFOX2	3	U2AF2	5	79	0.008682450279593468	false	0.008682450279593468
K562	TRA2A_3-RPS6_6-interaction-shap	interaction	RPS6-TRA2A	TRA2A	3	RPS6	6	1	0.008670128881931305	false	0.008670128881931305
K562	PTBP1_3-LIN28B_4-interaction-shap	interaction	LIN28B-PTBP1	PTBP1	3	LIN28B	4	15	0.008647703565657139	false	0.008647703565657139
K562	SRSF9_1-RPS3_3-interaction-shap	interaction	RPS3-SRSF9	SRSF9	1	RPS3	3	4	0.00857129693031311	false	0.00857129693031311
K562	RPS3_3-FUS_5-interaction-shap	interaction	FUS-RPS3	RPS3	3	FUS	5	93	0.008552070707082748	false	0.008552070707082748
K562	DDX1_1-EWSR1_3-interaction-shap	interaction	DDX1-EWSR1	DDX1	1	EWSR1	3	69	0.008532308042049408	false	0.008532308042049408
K562	NOLC1_5-CPSF6_6-interaction-shap	interaction	CPSF6-NOLC1	NOLC1	5	CPSF6	6	55	0.008487289771437645	false	0.008487289771437645
K562	PTBP1_3-IGF2BP2_4-interaction-shap	interaction	IGF2BP2-PTBP1	PTBP1	3	IGF2BP2	4	2	0.008470550179481506	true	0.008470550179481506
K562	IGF2BP1_2-RBFOX2_3-interaction-shap	interaction	IGF2BP1-RBFOX2	IGF2BP1	2	RBFOX2	3	9	0.008455782197415829	false	0.008455782197415829
K562	RBM22_2-NOLC1_5-interaction-shap	interaction	NOLC1-RBM22	RBM22	2	NOLC1	5	81	0.008451772853732109	false	0.008451772853732109
K562	NOLC1_1-PTBP1_3-interaction-shap	interaction	NOLC1-PTBP1	NOLC1	1	PTBP1	3	46	0.008369749411940575	false	0.008369749411940575
K562	PUM2_4-PCBP1_6-interaction-shap	interaction	PCBP1-PUM2	PUM2	4	PCBP1	6	1	0.008295923471450806	false	0.008295923471450806
K562	ELAC2_2-FXR1_4-interaction-shap	interaction	ELAC2-FXR1	ELAC2	2	FXR1	4	2	0.008207768201828003	false	0.008207768201828003
