Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Bound-Only	Value - Bound-Only	PPI	Abs. SHAP Value
HepG2	LARP4_4-RBM22_4-interaction-shap	interaction	LARP4-RBM22	LARP4	4	RBM22	4	96	0.13749897480010986	false	0.13749897480010986
HepG2	DDX3X_3-PTBP1_3-interaction-shap	interaction	DDX3X-PTBP1	DDX3X	3	PTBP1	3	75	0.1328282505273819	false	0.1328282505273819
HepG2	LIN28B_4-RPS3_4-interaction-shap	interaction	LIN28B-RPS3	LIN28B	4	RPS3	4	581	0.1306696981191635	false	0.1306696981191635
HepG2	DDX3X_6-G3BP1_6-interaction-shap	interaction	DDX3X-G3BP1	DDX3X	6	G3BP1	6	23	0.13055895268917084	false	0.13055895268917084
HepG2	LIN28B_4-SUB1_4-interaction-shap	interaction	LIN28B-SUB1	LIN28B	4	SUB1	4	27	0.12988106906414032	false	0.12988106906414032
HepG2	NKRF_4-XRN2_4-interaction-shap	interaction	NKRF-XRN2	NKRF	4	XRN2	4	98	0.12919682264328003	false	0.12919682264328003
HepG2	RBM22_4-TIAL1_4-interaction-shap	interaction	RBM22-TIAL1	RBM22	4	TIAL1	4	401	0.1280720829963684	false	0.1280720829963684
HepG2	G3BP1_3-IGF2BP1_3-interaction-shap	interaction	G3BP1-IGF2BP1	G3BP1	3	IGF2BP1	3	79	0.1268109381198883	false	0.1268109381198883
HepG2	BUD13_3-LIN28B_3-interaction-shap	interaction	BUD13-LIN28B	BUD13	3	LIN28B	3	82	0.1258089393377304	false	0.1258089393377304
HepG2	DDX6_3-RBM5_3-interaction-shap	interaction	DDX6-RBM5	DDX6	3	RBM5	3	32	0.12327615171670914	false	0.12327615171670914
HepG2	PPIG_4-SRSF9_4-interaction-shap	interaction	PPIG-SRSF9	PPIG	4	SRSF9	4	248	0.1225215494632721	false	0.1225215494632721
HepG2	G3BP1_2-LARP4_2-interaction-shap	interaction	G3BP1-LARP4	G3BP1	2	LARP4	2	172	0.12244490534067154	false	0.12244490534067154
HepG2	NKRF_3-RBFOX2_3-interaction-shap	interaction	NKRF-RBFOX2	NKRF	3	RBFOX2	3	86	0.1191888079047203	false	0.1191888079047203
HepG2	PCBP2_3-PTBP1_3-interaction-shap	interaction	PCBP2-PTBP1	PCBP2	3	PTBP1	3	128	0.11747574061155319	false	0.11747574061155319
HepG2	PPIG_2-SRSF1_2-interaction-shap	interaction	PPIG-SRSF1	PPIG	2	SRSF1	2	1119	0.11742181330919266	false	0.11742181330919266
HepG2	GTF2F1_1-XRN2_1-interaction-shap	interaction	GTF2F1-XRN2	GTF2F1	1	XRN2	1	185	0.11519243568181992	false	0.11519243568181992
HepG2	LARP4_3-LIN28B_3-interaction-shap	interaction	LARP4-LIN28B	LARP4	3	LIN28B	3	108	0.11351142823696136	false	0.11351142823696136
HepG2	HNRNPK_2-PCBP2_2-interaction-shap	interaction	HNRNPK-PCBP2	HNRNPK	2	PCBP2	2	218	0.11209404468536377	false	0.11209404468536377
HepG2	IGF2BP1_3-LARP4_3-interaction-shap	interaction	IGF2BP1-LARP4	IGF2BP1	3	LARP4	3	8	0.11001381278038025	false	0.11001381278038025
HepG2	EFTUD2_4-XRN2_4-interaction-shap	interaction	EFTUD2-XRN2	EFTUD2	4	XRN2	4	241	0.10896410793066025	false	0.10896410793066025
HepG2	PRPF4_2-XRN2_2-interaction-shap	interaction	PRPF4-XRN2	PRPF4	2	XRN2	2	883	0.10893800109624863	false	0.10893800109624863
HepG2	DDX3X_1-PTBP1_1-interaction-shap	interaction	DDX3X-PTBP1	DDX3X	1	PTBP1	1	80	0.10824836790561676	false	0.10824836790561676
HepG2	G3BP1_2-LIN28B_2-interaction-shap	interaction	G3BP1-LIN28B	G3BP1	2	LIN28B	2	188	0.1078907698392868	false	0.1078907698392868
HepG2	LIN28B_3-PTBP1_3-interaction-shap	interaction	LIN28B-PTBP1	LIN28B	3	PTBP1	3	10	0.10763011872768402	false	0.10763011872768402
HepG2	NIP7_2-TIA1_2-interaction-shap	interaction	NIP7-TIA1	NIP7	2	TIA1	2	100	0.10575079917907715	false	0.10575079917907715
HepG2	LIN28B_4-PTBP1_4-interaction-shap	interaction	LIN28B-PTBP1	LIN28B	4	PTBP1	4	25	0.10443801432847977	false	0.10443801432847977
HepG2	NKRF_3-SF3B4_3-interaction-shap	interaction	NKRF-SF3B4	NKRF	3	SF3B4	3	118	0.10361139476299286	false	0.10361139476299286
HepG2	DDX3X_3-RPS3_3-interaction-shap	interaction	DDX3X-RPS3	DDX3X	3	RPS3	3	1040	0.10310719162225723	false	0.10310719162225723
HepG2	PPIG_4-QKI_4-interaction-shap	interaction	PPIG-QKI	PPIG	4	QKI	4	51	0.09838979691267014	false	0.09838979691267014
HepG2	ILF3_4-LARP4_4-interaction-shap	interaction	ILF3-LARP4	ILF3	4	LARP4	4	12	0.09819275140762329	false	0.09819275140762329
HepG2	EFTUD2_3-SF3A3_3-interaction-shap	interaction	EFTUD2-SF3A3	EFTUD2	3	SF3A3	3	1385	0.09720109403133392	false	0.09720109403133392
HepG2	RBM22_4-SUB1_4-interaction-shap	interaction	RBM22-SUB1	RBM22	4	SUB1	4	55	0.09589752554893494	false	0.09589752554893494
HepG2	IGF2BP1_1-RBM22_1-interaction-shap	interaction	IGF2BP1-RBM22	IGF2BP1	1	RBM22	1	14	0.09583626687526703	false	0.09583626687526703
HepG2	RBM15_2-SRSF1_2-interaction-shap	interaction	RBM15-SRSF1	RBM15	2	SRSF1	2	47	0.09530746936798096	false	0.09530746936798096
