Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Bound-Only	Value - Bound-Only	PPI	Abs. SHAP Value
K562	EIF3G_3-TIA1_4-interaction-shap	interaction	EIF3G-TIA1	EIF3G	3	TIA1	4	12	0.00005884006168344058	false	0.00005884006168344058
K562	IGF2BP2_2-TARDBP_3-interaction-shap	interaction	IGF2BP2-TARDBP	IGF2BP2	2	TARDBP	3	10	0.00005855698691448197	false	0.00005855698691448197
K562	DROSHA_2-HNRNPL_4-interaction-shap	interaction	DROSHA-HNRNPL	DROSHA	2	HNRNPL	4	2	0.000057441648095846176	false	0.000057441648095846176
K562	ZRANB2_5-GPKOW_6-interaction-shap	interaction	GPKOW-ZRANB2	ZRANB2	5	GPKOW	6	112	0.000057419121731072664	false	0.000057419121731072664
K562	EIF3G_3-IGF2BP1_4-interaction-shap	interaction	EIF3G-IGF2BP1	EIF3G	3	IGF2BP1	4	10	0.00005708786193281412	false	0.00005708786193281412
K562	EIF3G_1-PUM2_6-interaction-shap	interaction	EIF3G-PUM2	EIF3G	1	PUM2	6	40	0.00005581094592344016	false	0.00005581094592344016
K562	DDX6_1-NONO_2-interaction-shap	interaction	DDX6-NONO	DDX6	1	NONO	2	43	0.00005550100831896998	false	0.00005550100831896998
K562	EIF4E_1-NOLC1_3-interaction-shap	interaction	EIF4E-NOLC1	EIF4E	1	NOLC1	3	31	0.00005472743578138761	false	0.00005472743578138761
K562	GTF2F1_2-U2AF1_5-interaction-shap	interaction	GTF2F1-U2AF1	GTF2F1	2	U2AF1	5	100	0.000054451156756840646	false	0.000054451156756840646
K562	SLTM_3-RBM22_6-interaction-shap	interaction	RBM22-SLTM	SLTM	3	RBM22	6	8	0.00005409124423749745	false	0.00005409124423749745
K562	FXR2_2-ZC3H8_4-interaction-shap	interaction	FXR2-ZC3H8	FXR2	2	ZC3H8	4	1	0.00005233427509665489	false	0.00005233427509665489
K562	EIF4E_1-TRA2A_6-interaction-shap	interaction	EIF4E-TRA2A	EIF4E	1	TRA2A	6	25	0.00005210369999986142	true	0.00005210369999986142
K562	SRSF9_1-IGF2BP1_6-interaction-shap	interaction	IGF2BP1-SRSF9	SRSF9	1	IGF2BP1	6	4	0.00005201995372772217	false	0.00005201995372772217
K562	U2AF2_2-AKAP1_6-interaction-shap	interaction	AKAP1-U2AF2	U2AF2	2	AKAP1	6	2	0.000050147071306128055	false	0.000050147071306128055
K562	FAM120A_1-ELAVL1_4-interaction-shap	interaction	ELAVL1-FAM120A	FAM120A	1	ELAVL1	4	11	0.00004998713848181069	false	0.00004998713848181069
K562	FAM120A_2-U2AF2_3-interaction-shap	interaction	FAM120A-U2AF2	FAM120A	2	U2AF2	3	4	0.00004962645471096039	false	0.00004962645471096039
K562	FXR1_2-TARDBP_4-interaction-shap	interaction	FXR1-TARDBP	FXR1	2	TARDBP	4	2	0.0000495128333568573	false	0.0000495128333568573
K562	EWSR1_4-DDX55_6-interaction-shap	interaction	DDX55-EWSR1	EWSR1	4	DDX55	6	8	0.00004669732879847288	false	0.00004669732879847288
K562	DDX52_2-DDX3X_5-interaction-shap	interaction	DDX3X-DDX52	DDX52	2	DDX3X	5	48	0.000045845012209611014	false	0.000045845012209611014
K562	LIN28B_4-NIPBL_5-interaction-shap	interaction	LIN28B-NIPBL	LIN28B	4	NIPBL	5	54	0.000044535929191624746	false	0.000044535929191624746
K562	EIF4E_1-HLTF_5-interaction-shap	interaction	EIF4E-HLTF	EIF4E	1	HLTF	5	7	0.00004258964690961875	false	0.00004258964690961875
K562	SERBP1_1-PUM2_6-interaction-shap	interaction	PUM2-SERBP1	SERBP1	1	PUM2	6	8	0.000041203893488273025	false	0.000041203893488273025
K562	ZRANB2_4-SMNDC1_5-interaction-shap	interaction	SMNDC1-ZRANB2	ZRANB2	4	SMNDC1	5	42	0.00004105410698684864	false	0.00004105410698684864
K562	NONO_2-QKI_3-interaction-shap	interaction	NONO-QKI	NONO	2	QKI	3	9	0.00003994183862232603	false	0.00003994183862232603
K562	BUD13_4-RNF187_6-interaction-shap	interaction	BUD13-RNF187	BUD13	4	RNF187	6	1	0.00003809051122516394	false	0.00003809051122516394
K562	NONO_4-SRSF7_6-interaction-shap	interaction	NONO-SRSF7	NONO	4	SRSF7	6	11	0.00003677009590319358	false	0.00003677009590319358
K562	HLTF_2-TIA1_4-interaction-shap	interaction	HLTF-TIA1	HLTF	2	TIA1	4	2	0.000036596087738871574	false	0.000036596087738871574
K562	FUS_4-GTF2F1_5-interaction-shap	interaction	FUS-GTF2F1	FUS	4	GTF2F1	5	18	0.000035474702599458396	false	0.000035474702599458396
K562	PRPF8_4-DDX21_5-interaction-shap	interaction	DDX21-PRPF8	PRPF8	4	DDX21	5	104	0.00003368216857779771	false	0.00003368216857779771
K562	HNRNPL_3-FUS_5-interaction-shap	interaction	FUS-HNRNPL	HNRNPL	3	FUS	5	5	0.00003273263428127393	true	0.00003273263428127393
K562	HNRNPL_4-IGF2BP1_6-interaction-shap	interaction	HNRNPL-IGF2BP1	HNRNPL	4	IGF2BP1	6	4	0.00003193318843841553	true	0.00003193318843841553
K562	SMNDC1_1-DDX21_5-interaction-shap	interaction	DDX21-SMNDC1	SMNDC1	1	DDX21	5	13	0.00003172987271682359	false	0.00003172987271682359
K562	EIF4E_2-ADAT1_6-interaction-shap	interaction	ADAT1-EIF4E	EIF4E	2	ADAT1	6	22	0.000030934323149267584	false	0.000030934323149267584
