Feature	Statistic	P-Val	RBP	Position	FDR P-Val
PRPF4_5_right_shap	36071.65902497867	0.0	PRPF4	2	0.0
RBFOX2_3_left_shap	35970.50939341359	0.0	RBFOX2	5	0.0
SRSF1_3_right_shap	34595.7982760714	0.0	SRSF1	6	0.0
TRA2A_3_left_shap	34491.536393891845	0.0	TRA2A	5	0.0
KHSRP_3_left_shap	34145.55008177865	0.0	KHSRP	5	0.0
TIA1_center_right_shap	33747.60088023204	0.0	TIA1	4	0.0
BCLAF1_3_left_shap	32852.5412122556	0.0	BCLAF1	5	0.0
LARP4_3_right_shap	32571.259099323415	0.0	LARP4	6	0.0
LIN28B_5_right_shap	32521.34797300395	0.0	LIN28B	2	0.0
DDX3X_5_left_shap	32481.83938751908	0.0	DDX3X	1	0.0
TIAL1_center_right_shap	32339.197985460964	0.0	TIAL1	4	0.0
ZNF800_5_right_shap	32230.53660755177	0.0	ZNF800	2	0.0
AGGF1_center_left_shap	31782.62309426525	0.0	AGGF1	3	0.0
XRN2_center_right_shap	31397.773991176284	0.0	XRN2	4	0.0
PCBP2_center_left_shap	31258.82108060778	0.0	PCBP2	3	0.0
TIA1_3_left_shap	30922.37813419935	0.0	TIA1	5	0.0
NCBP2_5_left_shap	30827.763909130037	0.0	NCBP2	1	0.0
FAM120A_3_left_shap	30403.295374476587	0.0	FAM120A	5	0.0
EIF3D_3_left_shap	30264.581492934554	0.0	EIF3D	5	0.0
CSTF2_5_left_shap	30235.823460132757	0.0	CSTF2	1	0.0
XRN2_3_left_shap	30042.421664069367	0.0	XRN2	5	0.0
FUBP3_5_left_shap	29990.977680986693	0.0	FUBP3	1	0.0
FASTKD2_5_left_shap	29913.557079512488	0.0	FASTKD2	1	0.0
DROSHA_5_left_shap	29893.122756957422	0.0	DROSHA	1	0.0
RBFOX2_center_right_shap	29696.601144614608	0.0	RBFOX2	4	0.0
KHSRP_5_right_shap	29305.576027807256	0.0	KHSRP	2	0.0
PRPF8_5_right_shap	29135.49396662701	0.0	PRPF8	2	0.0
RBFOX2_5_right_shap	29106.045824479923	0.0	RBFOX2	2	0.0
SSB_center_left_shap	28455.585597495974	0.0	SSB	3	0.0
EFTUD2_5_left_shap	28118.62478568715	0.0	EFTUD2	1	0.0
SF3B4_5_left_shap	28099.333216561507	0.0	SF3B4	1	0.0
SF3A3_5_left_shap	26580.215888970695	0.0	SF3A3	1	0.0
U2AF2_3_right_shap	26209.606903028496	0.0	U2AF2	6	0.0
SF3B4_5_right_shap	26147.5396781427	0.0	SF3B4	2	0.0
DGCR8_3_right_shap	25942.409415631428	0.0	DGCR8	6	0.0
