Feature	Statistic	P-Val	RBP	Position	FDR P-Val
ADAT1_3_left_shap	31559.614094711596	0.0	ADAT1	5	0.0
PUM1_5_right_shap	31368.08899914659	0.0	PUM1	2	0.0
ELAC2_3_left_shap	31034.89929175153	0.0	ELAC2	5	0.0
SF3B4_5_left_shap	30956.15559866769	0.0	SF3B4	1	0.0
DDX43_5_left_shap	30683.60506294733	0.0	DDX43	1	0.0
SMNDC1_5_right_shap	30565.968303498124	0.0	SMNDC1	2	0.0
GPKOW_3_left_shap	30334.491709060763	0.0	GPKOW	5	0.0
EIF4G2_5_left_shap	30130.58291690393	0.0	EIF4G2	1	0.0
FXR2_center_left_shap	30033.221225223497	0.0	FXR2	3	0.0
KHSRP_center_left_shap	29923.25914055676	0.0	KHSRP	3	0.0
LSM11_5_right_shap	29611.494464130516	0.0	LSM11	2	0.0
IGF2BP1_5_left_shap	29434.370771452242	0.0	IGF2BP1	1	0.0
TIA1_center_left_shap	29393.96700355509	0.0	TIA1	3	0.0
FXR2_3_left_shap	29249.292127431552	0.0	FXR2	5	0.0
SRSF1_5_left_shap	29056.124225984826	0.0	SRSF1	1	0.0
LIN28B_3_right_shap	28514.25750184708	0.0	LIN28B	6	0.0
U2AF1_3_left_shap	28479.79375173163	0.0	U2AF1	5	0.0
GEMIN5_5_left_shap	28447.911671980582	0.0	GEMIN5	1	0.0
ZNF622_5_right_shap	28210.096834378102	0.0	ZNF622	2	0.0
U2AF2_3_right_shap	27733.824658026275	0.0	U2AF2	6	0.0
FXR2_3_right_shap	27718.05115715339	0.0	FXR2	6	0.0
RNF187_5_left_shap	27702.65115094944	0.0	RNF187	1	0.0
DDX3X_center_left_shap	27684.79774652099	0.0	DDX3X	3	0.0
SMNDC1_3_right_shap	27666.53295657817	0.0	SMNDC1	6	0.0
GRWD1_5_left_shap	27559.939855663444	0.0	GRWD1	1	0.0
PHF6_center_right_shap	26757.426360708276	0.0	PHF6	4	0.0
APEX1_3_left_shap	26151.854411983622	0.0	APEX1	5	0.0
RBM22_center_left_shap	26031.65567628287	0.0	RBM22	3	0.0
U2AF1_5_left_shap	25428.654745359574	0.0	U2AF1	1	0.0
XRCC6_3_left_shap	25259.356255186492	0.0	XRCC6	5	0.0
MATR3_center_left_shap	24847.334557244936	0.0	MATR3	3	0.0
IGF2BP1_5_right_shap	24567.17424538718	0.0	IGF2BP1	2	0.0
XRN2_5_left_shap	24503.704204827536	0.0	XRN2	1	0.0
DHX30_3_left_shap	24486.219782088352	0.0	DHX30	5	0.0
DROSHA_3_right_shap	24220.39228371801	0.0	DROSHA	6	0.0
ELAC2_3_right_shap	23601.984925151944	0.0	ELAC2	6	0.0
TRA2A_5_right_shap	23583.92447626443	0.0	TRA2A	2	0.0
HLTF_center_left_shap	23391.204170261804	0.0	HLTF	3	0.0
KHSRP_center_right_shap	23309.500155797417	0.0	KHSRP	4	0.0
PPIL4_3_left_shap	23296.612933484706	0.0	PPIL4	5	0.0
SLTM_5_right_shap	23291.40139320847	0.0	SLTM	2	0.0
RBFOX2_center_right_shap	23240.466007072155	0.0	RBFOX2	4	0.0
HNRNPM_center_left_shap	23213.93656793539	0.0	HNRNPM	3	0.0
HNRNPM_center_right_shap	23161.331870044414	0.0	HNRNPM	4	0.0
SMNDC1_center_left_shap	23129.942415559854	0.0	SMNDC1	3	0.0
DDX43_3_right_shap	22875.492710257062	0.0	DDX43	6	0.0
DDX43_5_right_shap	22795.360974494255	0.0	DDX43	2	0.0
EWSR1_5_right_shap	22783.93621127386	0.0	EWSR1	2	0.0
EXOSC10_3_right_shap	22341.28815909749	0.0	EXOSC10	6	0.0
AQR_5_left_shap	22311.60059207987	0.0	AQR	1	0.0
UCHL5_3_left_shap	22251.626820338744	0.0	UCHL5	5	0.0
EIF4E_center_right_shap	22141.585869920338	0.0	EIF4E	4	0.0
NIPBL_5_right_shap	22046.82406764277	0.0	NIPBL	2	0.0
RBFOX2_center_left_shap	21980.022589576252	0.0	RBFOX2	3	0.0
NCBP2_3_left_shap	21808.230658713714	0.0	NCBP2	5	0.0
AATF_5_right_shap	21586.401219745112	0.0	AATF	2	0.0
RBM22_3_right_shap	21514.087068036693	0.0	RBM22	6	0.0
EXOSC5_center_right_shap	21406.30659916084	0.0	EXOSC5	4	0.0
EXOSC5_3_left_shap	20438.6870496951	0.0	EXOSC5	5	0.0
EIF4E_3_right_shap	20298.496056503354	0.0	EIF4E	6	0.0
MTPAP_center_left_shap	20166.566610405964	0.0	MTPAP	3	0.0
TROVE2_5_right_shap	20143.172228782376	0.0	TROVE2	2	0.0
SRSF7_3_right_shap	19953.389442559608	0.0	SRSF7	6	0.0
SND1_3_right_shap	19845.324673017334	0.0	SND1	6	0.0
BUD13_center_left_shap	19824.742382314154	0.0	BUD13	3	0.0
TIA1_3_left_shap	19665.849266267986	0.0	TIA1	5	0.0
BUD13_5_left_shap	19643.161987660937	0.0	BUD13	1	0.0
HNRNPK_center_right_shap	19576.60457549597	0.0	HNRNPK	4	0.0
FXR2_5_right_shap	19369.368692156953	0.0	FXR2	2	0.0
ILF3_5_right_shap	19157.513967494222	0.0	ILF3	2	0.0
HNRNPK_center_left_shap	18975.502881704168	0.0	HNRNPK	3	0.0
METAP2_3_left_shap	18861.610029600237	0.0	METAP2	5	0.0
UPF1_3_left_shap	18533.5777386274	0.0	UPF1	5	0.0
CPSF6_3_left_shap	18529.751393917843	0.0	CPSF6	5	0.0
IGF2BP2_5_left_shap	18489.73493922754	0.0	IGF2BP2	1	0.0
AKAP8L_center_left_shap	18257.199307600793	0.0	AKAP8L	3	0.0
KHSRP_3_left_shap	18095.649499734416	0.0	KHSRP	5	0.0
PRPF8_3_right_shap	17988.39372201402	0.0	PRPF8	6	0.0
EIF4E_5_left_shap	17976.16506156031	0.0	EIF4E	1	0.0
DDX55_5_right_shap	17842.740818933253	0.0	DDX55	2	0.0
DDX6_3_right_shap	17725.18833657006	0.0	DDX6	6	0.0
NOLC1_5_right_shap	17565.730364167335	0.0	NOLC1	2	0.0
ZC3H11A_3_right_shap	17538.214052956748	0.0	ZC3H11A	6	0.0
NONO_center_left_shap	17352.235179717853	0.0	NONO	3	0.0
RBM22_3_left_shap	17350.44243993165	0.0	RBM22	5	0.0
HNRNPK_5_right_shap	17198.44781283713	0.0	HNRNPK	2	0.0
XRN2_5_right_shap	17123.18713958389	0.0	XRN2	2	0.0
FAM120A_center_left_shap	17089.086885216493	0.0	FAM120A	3	0.0
DDX1_center_right_shap	16745.235346337537	0.0	DDX1	4	0.0
DDX51_5_left_shap	16508.93502291892	0.0	DDX51	1	0.0
QKI_3_left_shap	16331.981614334516	0.0	QKI	5	0.0
APOBEC3C_5_right_shap	16108.542841052265	0.0	APOBEC3C	2	0.0
WRN_5_left_shap	15954.346262329338	0.0	WRN	1	0.0
ELAVL1_center_left_shap	15919.46320045508	0.0	ELAVL1	3	0.0
APOBEC3C_5_left_shap	15734.922659198553	0.0	APOBEC3C	1	0.0
DROSHA_center_left_shap	15691.845136282429	0.0	DROSHA	3	0.0
HNRNPL_3_left_shap	15555.576755130334	0.0	HNRNPL	5	0.0
HLTF_5_left_shap	15466.135183531193	0.0	HLTF	1	0.0
MATR3_3_left_shap	15402.945574819048	0.0	MATR3	5	0.0
DROSHA_5_left_shap	15380.884230579331	0.0	DROSHA	1	0.0
SLTM_3_right_shap	15263.952867346956	0.0	SLTM	6	0.0
EFTUD2_5_right_shap	15248.488645837324	0.0	EFTUD2	2	0.0
HNRNPL_5_left_shap	15152.52064227681	0.0	HNRNPL	1	0.0
AKAP8L_center_right_shap	15059.672078492336	0.0	AKAP8L	4	0.0
U2AF1_center_left_shap	14778.690512221987	0.0	U2AF1	3	0.0
GPKOW_5_right_shap	14768.360292893194	0.0	GPKOW	2	0.0
GPKOW_3_right_shap	14624.352895832224	0.0	GPKOW	6	0.0
RPS3_5_right_shap	14338.25673463784	0.0	RPS3	2	0.0
SMNDC1_center_right_shap	14313.516372961858	0.0	SMNDC1	4	0.0
FAM120A_5_right_shap	13953.315623644348	0.0	FAM120A	2	0.0
UCHL5_3_right_shap	13901.915506292868	0.0	UCHL5	6	0.0
RPS6_3_left_shap	13820.750164822119	0.0	RPS6	5	0.0
ZNF800_5_left_shap	13759.664954583366	0.0	ZNF800	1	0.0
DDX1_3_left_shap	13399.83509923173	0.0	DDX1	5	0.0
TARDBP_center_left_shap	13310.143927602398	0.0	TARDBP	3	0.0
PRPF8_5_left_shap	13085.07449711572	0.0	PRPF8	1	0.0
DDX3X_3_left_shap	12956.251158705461	0.0	DDX3X	5	0.0
MBNL1_3_left_shap	12834.404116750105	0.0	MBNL1	5	0.0
ZNF622_3_left_shap	12770.901009430552	0.0	ZNF622	5	0.0
QKI_center_right_shap	12653.224313219072	0.0	QKI	4	0.0
XRCC6_center_right_shap	12451.019158578774	0.0	XRCC6	4	0.0
