Interaction	RBP 1	RBP 2	Rec-Y2H	Street et al | IP-MS	Street et al | IP/SEC-MS (Both)	K562 - Both eCLIP	HepG2 - Both eCLIP
FAM120A-LSM11	FAM120A	LSM11				true	true
FAM120A-MATR3	FAM120A	MATR3				true	true
FAM120A-MBNL1	FAM120A	MBNL1	false			true	false
FAM120A-METAP2	FAM120A	METAP2				true	false
FAM120A-METTL1	FAM120A	METTL1				true	false
FAM120A-MORC2	FAM120A	MORC2				true	false
FAM120A-MTPAP	FAM120A	MTPAP	false			true	false
FAM120A-NCBP2	FAM120A	NCBP2				true	true
FAM120A-NIP7	FAM120A	NIP7	false			false	true
FAM120A-NIPBL	FAM120A	NIPBL				true	false
FAM120A-NKRF	FAM120A	NKRF	false			false	true
FAM120A-NOL12	FAM120A	NOL12				false	true
FAM120A-NOLC1	FAM120A	NOLC1	false			true	true
FAM120A-NONO	FAM120A	NONO	false			true	false
FAM120A-NPM1	FAM120A	NPM1	false			true	false
FAM120A-NSUN2	FAM120A	NSUN2	false			true	true
FAM120A-PABPC4	FAM120A	PABPC4				true	false
FAM120A-PABPN1	FAM120A	PABPN1				false	true
FAM120A-PCBP1	FAM120A	PCBP1	false			true	true
FAM120A-PCBP2	FAM120A	PCBP2	false			false	true
FAM120A-PHF6	FAM120A	PHF6				true	false
FAM120A-POLR2G	FAM120A	POLR2G				false	true
FAM120A-PPIG	FAM120A	PPIG	false			false	true
FAM120A-PPIL4	FAM120A	PPIL4	false			true	false
FAM120A-PRPF4	FAM120A	PRPF4	false			false	true
FAM120A-PRPF8	FAM120A	PRPF8		false	false	true	true
FAM120A-PTBP1	FAM120A	PTBP1	false	false	false	true	true
FAM120A-PUM1	FAM120A	PUM1				true	false
FAM120A-PUM2	FAM120A	PUM2	false	false	false	true	false
FAM120A-PUS1	FAM120A	PUS1				true	false
FAM120A-QKI	FAM120A	QKI	false			true	true
FAM120A-RBFOX2	FAM120A	RBFOX2	false	false	false	true	true
FAM120A-RBM15	FAM120A	RBM15	false			true	true
FAM120A-RBM22	FAM120A	RBM22	false	false	false	true	true
FAM120A-RBM5	FAM120A	RBM5	false			false	true
FAM120A-RNF187	FAM120A	RNF187				true	false
FAM120A-RPS10	FAM120A	RPS10	false			true	false
FAM120A-RPS11	FAM120A	RPS11	false			true	false
FAM120A-RPS3	FAM120A	RPS3	false	false	false	true	true
FAM120A-RPS6	FAM120A	RPS6	false	false	false	true	false
FAM120A-RYBP	FAM120A	RYBP	false			true	false
FAM120A-SAFB	FAM120A	SAFB				true	true
FAM120A-SAFB2	FAM120A	SAFB2	false			true	false
FAM120A-SBDS	FAM120A	SBDS	false			true	false
FAM120A-SDAD1	FAM120A	SDAD1				true	true
FAM120A-SERBP1	FAM120A	SERBP1	false			true	false
FAM120A-SF3A3	FAM120A	SF3A3	false			false	true
FAM120A-SF3B1	FAM120A	SF3B1				true	false
FAM120A-SF3B4	FAM120A	SF3B4	false	false	false	true	true
FAM120A-SFPQ	FAM120A	SFPQ	false			false	true
FAM120A-SLBP	FAM120A	SLBP				true	false
FAM120A-SLTM	FAM120A	SLTM				true	true
FAM120A-SMNDC1	FAM120A	SMNDC1	false			true	true
FAM120A-SND1	FAM120A	SND1				true	true
FAM120A-SRSF1	FAM120A	SRSF1	false	false	false	true	true
FAM120A-SRSF7	FAM120A	SRSF7	false			true	true
FAM120A-SRSF9	FAM120A	SRSF9	false			true	true
FAM120A-SSB	FAM120A	SSB				true	true
FAM120A-STAU2	FAM120A	STAU2	false			false	true
FAM120A-SUB1	FAM120A	SUB1	false			false	true
FAM120A-SUGP2	FAM120A	SUGP2	false			false	true
FAM120A-SUPV3L1	FAM120A	SUPV3L1	false			true	true
FAM120A-TAF15	FAM120A	TAF15	false	false	false	true	true
FAM120A-TARDBP	FAM120A	TARDBP	false			true	true
FAM120A-TBRG4	FAM120A	TBRG4	false			true	true
FAM120A-TIA1	FAM120A	TIA1	false	false	false	true	true
FAM120A-TIAL1	FAM120A	TIAL1	false			false	true
FAM120A-TRA2A	FAM120A	TRA2A	false			true	true
FAM120A-TROVE2	FAM120A	TROVE2				true	true
FAM120A-U2AF1	FAM120A	U2AF1	false			true	true
FAM120A-U2AF2	FAM120A	U2AF2	false	false	false	true	true
FAM120A-UCHL5	FAM120A	UCHL5	false			true	true
FAM120A-UPF1	FAM120A	UPF1				true	true
FAM120A-UTP18	FAM120A	UTP18	false			true	true
FAM120A-UTP3	FAM120A	UTP3	false			true	false
FAM120A-WDR3	FAM120A	WDR3	false			true	false
FAM120A-WDR43	FAM120A	WDR43				true	true
FAM120A-WRN	FAM120A	WRN				true	false
FAM120A-XPO5	FAM120A	XPO5	false	false	false	false	true
FAM120A-XRCC6	FAM120A	XRCC6	false			true	true
FAM120A-XRN2	FAM120A	XRN2	false			true	true
FAM120A-YBX3	FAM120A	YBX3				true	true
FAM120A-YWHAG	FAM120A	YWHAG	false			true	false
FAM120A-ZC3H11A	FAM120A	ZC3H11A	false			true	true
FAM120A-ZC3H8	FAM120A	ZC3H8	false			true	false
FAM120A-ZNF622	FAM120A	ZNF622				true	false
FAM120A-ZNF800	FAM120A	ZNF800				true	true
FAM120A-ZRANB2	FAM120A	ZRANB2	false			true	false
FASTKD2-FKBP4	FASTKD2	FKBP4	false			false	true
FASTKD2-FMR1	FASTKD2	FMR1	false			true	false
FASTKD2-FTO	FASTKD2	FTO				true	true
FASTKD2-FUBP3	FASTKD2	FUBP3	false			false	true
FASTKD2-FUS	FASTKD2	FUS	false	false	false	true	true
FASTKD2-FXR1	FASTKD2	FXR1	false			true	false
FASTKD2-FXR2	FASTKD2	FXR2	false			true	true
FASTKD2-G3BP1	FASTKD2	G3BP1	false			false	true
FASTKD2-GARS	FASTKD2	GARS				true	false
FASTKD2-GEMIN5	FASTKD2	GEMIN5				true	false
FASTKD2-GNL3	FASTKD2	GNL3	false			true	false
FASTKD2-GPKOW	FASTKD2	GPKOW		false	false	true	false
FASTKD2-GRSF1	FASTKD2	GRSF1				false	true
FASTKD2-GRWD1	FASTKD2	GRWD1				true	true
FASTKD2-GTF2F1	FASTKD2	GTF2F1	false			true	true
FASTKD2-HLTF	FASTKD2	HLTF				true	true
FASTKD2-HNRNPA1	FASTKD2	HNRNPA1	false			true	true
FASTKD2-HNRNPC	FASTKD2	HNRNPC	false	false	false	true	true
FASTKD2-HNRNPK	FASTKD2	HNRNPK	false			true	true
FASTKD2-HNRNPL	FASTKD2	HNRNPL		false	false	true	true
FASTKD2-HNRNPM	FASTKD2	HNRNPM				true	true
FASTKD2-HNRNPU	FASTKD2	HNRNPU	false			true	true
FASTKD2-HNRNPUL1	FASTKD2	HNRNPUL1				true	true
FASTKD2-IGF2BP1	FASTKD2	IGF2BP1	false	false	false	true	true
FASTKD2-IGF2BP2	FASTKD2	IGF2BP2	false	false	false	true	false
FASTKD2-IGF2BP3	FASTKD2	IGF2BP3	false			false	true
FASTKD2-ILF3	FASTKD2	ILF3	false			true	true
FASTKD2-KHDRBS1	FASTKD2	KHDRBS1	false			true	false
FASTKD2-KHSRP	FASTKD2	KHSRP				true	true
FASTKD2-LARP4	FASTKD2	LARP4	false			true	true
FASTKD2-LARP7	FASTKD2	LARP7	false	false	false	true	true
FASTKD2-LIN28B	FASTKD2	LIN28B	false	false	false	true	true
FASTKD2-LSM11	FASTKD2	LSM11				true	true
FASTKD2-MATR3	FASTKD2	MATR3				true	true
FASTKD2-MBNL1	FASTKD2	MBNL1	false			true	false
FASTKD2-METAP2	FASTKD2	METAP2				true	false
FASTKD2-METTL1	FASTKD2	METTL1				true	false
FASTKD2-MORC2	FASTKD2	MORC2				true	false
FASTKD2-MTPAP	FASTKD2	MTPAP	false			true	false
FASTKD2-NCBP2	FASTKD2	NCBP2				true	true
FASTKD2-NIP7	FASTKD2	NIP7	false			false	true
FASTKD2-NIPBL	FASTKD2	NIPBL				true	false
FASTKD2-NKRF	FASTKD2	NKRF	false			false	true
FASTKD2-NOL12	FASTKD2	NOL12				false	true
FASTKD2-NOLC1	FASTKD2	NOLC1	false			true	true
FASTKD2-NONO	FASTKD2	NONO	false			true	false
FASTKD2-NPM1	FASTKD2	NPM1	false			true	false
FASTKD2-NSUN2	FASTKD2	NSUN2	false			true	true
FASTKD2-PABPC4	FASTKD2	PABPC4				true	false
FASTKD2-PABPN1	FASTKD2	PABPN1				false	true
FASTKD2-PCBP1	FASTKD2	PCBP1	false			true	true
FASTKD2-PCBP2	FASTKD2	PCBP2	false			false	true
FASTKD2-PHF6	FASTKD2	PHF6				true	false
FASTKD2-POLR2G	FASTKD2	POLR2G				false	true
FASTKD2-PPIG	FASTKD2	PPIG	false			false	true
FASTKD2-PPIL4	FASTKD2	PPIL4	false			true	false
FASTKD2-PRPF4	FASTKD2	PRPF4	false			false	true
FASTKD2-PRPF8	FASTKD2	PRPF8		false	false	true	true
FASTKD2-PTBP1	FASTKD2	PTBP1	false	false	false	true	true
FASTKD2-PUM1	FASTKD2	PUM1				true	false
FASTKD2-PUM2	FASTKD2	PUM2	false	false	false	true	false
FASTKD2-PUS1	FASTKD2	PUS1				true	false
FASTKD2-QKI	FASTKD2	QKI	false			true	true
FASTKD2-RBFOX2	FASTKD2	RBFOX2	false	false	false	true	true
FASTKD2-RBM15	FASTKD2	RBM15	false			true	true
FASTKD2-RBM22	FASTKD2	RBM22	false	false	false	true	true
FASTKD2-RBM5	FASTKD2	RBM5	false			false	true
FASTKD2-RNF187	FASTKD2	RNF187				true	false
FASTKD2-RPS10	FASTKD2	RPS10	false			true	false
FASTKD2-RPS11	FASTKD2	RPS11	false			true	false
FASTKD2-RPS3	FASTKD2	RPS3	false	false	false	true	true
FASTKD2-RPS6	FASTKD2	RPS6	false	false	false	true	false
FASTKD2-RYBP	FASTKD2	RYBP	false			true	false
FASTKD2-SAFB	FASTKD2	SAFB				true	true
FASTKD2-SAFB2	FASTKD2	SAFB2	false			true	false
FASTKD2-SBDS	FASTKD2	SBDS	false			true	false
FASTKD2-SDAD1	FASTKD2	SDAD1				true	true
FASTKD2-SERBP1	FASTKD2	SERBP1	false			true	false
FASTKD2-SF3A3	FASTKD2	SF3A3	false			false	true
FASTKD2-SF3B1	FASTKD2	SF3B1				true	false
FASTKD2-SF3B4	FASTKD2	SF3B4	false	false	false	true	true
FASTKD2-SFPQ	FASTKD2	SFPQ	false			false	true
FASTKD2-SLBP	FASTKD2	SLBP				true	false
FASTKD2-SLTM	FASTKD2	SLTM				true	true
FASTKD2-SMNDC1	FASTKD2	SMNDC1	false			true	true
FASTKD2-SND1	FASTKD2	SND1				true	true
FASTKD2-SRSF1	FASTKD2	SRSF1	false	false	false	true	true
FASTKD2-SRSF7	FASTKD2	SRSF7	false			true	true
FASTKD2-SRSF9	FASTKD2	SRSF9	false			true	true
FASTKD2-SSB	FASTKD2	SSB				true	true
FASTKD2-STAU2	FASTKD2	STAU2	false			false	true
FASTKD2-SUB1	FASTKD2	SUB1	false			false	true
FASTKD2-SUGP2	FASTKD2	SUGP2	false			false	true
FASTKD2-SUPV3L1	FASTKD2	SUPV3L1	false			true	true
FASTKD2-TAF15	FASTKD2	TAF15	false	false	false	true	true
FASTKD2-TARDBP	FASTKD2	TARDBP	false			true	true
FASTKD2-TBRG4	FASTKD2	TBRG4	false			true	true
FASTKD2-TIA1	FASTKD2	TIA1	false	false	false	true	true
FASTKD2-TIAL1	FASTKD2	TIAL1	false			false	true
FASTKD2-TRA2A	FASTKD2	TRA2A	false			true	true
FASTKD2-TROVE2	FASTKD2	TROVE2				true	true
FASTKD2-U2AF1	FASTKD2	U2AF1	false			true	true
FASTKD2-U2AF2	FASTKD2	U2AF2	false	false	false	true	true
FASTKD2-UCHL5	FASTKD2	UCHL5	false			true	true
FASTKD2-UPF1	FASTKD2	UPF1				true	true
FASTKD2-UTP18	FASTKD2	UTP18	false			true	true
FASTKD2-UTP3	FASTKD2	UTP3	false			true	false
FASTKD2-WDR3	FASTKD2	WDR3	false			true	false
FASTKD2-WDR43	FASTKD2	WDR43				true	true
FASTKD2-WRN	FASTKD2	WRN				true	false
FASTKD2-XPO5	FASTKD2	XPO5	false	false	false	false	true
FASTKD2-XRCC6	FASTKD2	XRCC6	false			true	true
FASTKD2-XRN2	FASTKD2	XRN2	false			true	true
FASTKD2-YBX3	FASTKD2	YBX3				true	true
FASTKD2-YWHAG	FASTKD2	YWHAG	false			true	false
FASTKD2-ZC3H11A	FASTKD2	ZC3H11A	false			true	true
FASTKD2-ZC3H8	FASTKD2	ZC3H8	false			true	false
FASTKD2-ZNF622	FASTKD2	ZNF622				true	false
FASTKD2-ZNF800	FASTKD2	ZNF800				true	true
FASTKD2-ZRANB2	FASTKD2	ZRANB2	false			true	false
FKBP4-FTO	FKBP4	FTO				false	true
FKBP4-FUBP3	FKBP4	FUBP3	true			false	true
FKBP4-FUS	FKBP4	FUS	false	false	false	false	true
FKBP4-FXR2	FKBP4	FXR2	false			false	true
FKBP4-G3BP1	FKBP4	G3BP1	false			false	true
FKBP4-GRSF1	FKBP4	GRSF1				false	true
FKBP4-GRWD1	FKBP4	GRWD1				false	true
FKBP4-GTF2F1	FKBP4	GTF2F1	false			false	true
FKBP4-HLTF	FKBP4	HLTF				false	true
FKBP4-HNRNPA1	FKBP4	HNRNPA1	false			false	true
FKBP4-HNRNPC	FKBP4	HNRNPC	false	false	false	false	true
FKBP4-HNRNPK	FKBP4	HNRNPK	false			false	true
FKBP4-HNRNPL	FKBP4	HNRNPL		false	false	false	true
FKBP4-HNRNPM	FKBP4	HNRNPM				false	true
FKBP4-HNRNPU	FKBP4	HNRNPU	false			false	true
FKBP4-HNRNPUL1	FKBP4	HNRNPUL1				false	true
FKBP4-IGF2BP1	FKBP4	IGF2BP1	false	false	false	false	true
FKBP4-IGF2BP3	FKBP4	IGF2BP3	false			false	true
FKBP4-ILF3	FKBP4	ILF3	false			false	true
FKBP4-KHSRP	FKBP4	KHSRP				false	true
FKBP4-LARP4	FKBP4	LARP4	false			false	true
FKBP4-LARP7	FKBP4	LARP7	false	false	false	false	true
FKBP4-LIN28B	FKBP4	LIN28B	false	false	false	false	true
FKBP4-LSM11	FKBP4	LSM11				false	true
FKBP4-MATR3	FKBP4	MATR3				false	true
FKBP4-NCBP2	FKBP4	NCBP2				false	true
FKBP4-NIP7	FKBP4	NIP7	false			false	true
FKBP4-NKRF	FKBP4	NKRF	false			false	true
FKBP4-NOL12	FKBP4	NOL12				false	true
FKBP4-NOLC1	FKBP4	NOLC1	false			false	true
FKBP4-NSUN2	FKBP4	NSUN2	false			false	true
FKBP4-PABPN1	FKBP4	PABPN1				false	true
FKBP4-PCBP1	FKBP4	PCBP1	false			false	true
FKBP4-PCBP2	FKBP4	PCBP2	false			false	true
FKBP4-POLR2G	FKBP4	POLR2G				false	true
FKBP4-PPIG	FKBP4	PPIG	false			false	true
FKBP4-PRPF4	FKBP4	PRPF4	false			false	true
FKBP4-PRPF8	FKBP4	PRPF8		false	false	false	true
FKBP4-PTBP1	FKBP4	PTBP1	false	false	false	false	true
FKBP4-QKI	FKBP4	QKI	false			false	true
FKBP4-RBFOX2	FKBP4	RBFOX2	false	false	false	false	true
FKBP4-RBM15	FKBP4	RBM15	false			false	true
FKBP4-RBM22	FKBP4	RBM22	false	false	false	false	true
FKBP4-RBM5	FKBP4	RBM5	false			false	true
FKBP4-RPS3	FKBP4	RPS3	false	false	false	false	true
FKBP4-SAFB	FKBP4	SAFB				false	true
FKBP4-SDAD1	FKBP4	SDAD1				false	true
FKBP4-SF3A3	FKBP4	SF3A3	false			false	true
FKBP4-SF3B4	FKBP4	SF3B4	false	false	false	false	true
FKBP4-SFPQ	FKBP4	SFPQ	false			false	true
FKBP4-SLTM	FKBP4	SLTM				false	true
FKBP4-SMNDC1	FKBP4	SMNDC1	false			false	true
FKBP4-SND1	FKBP4	SND1				false	true
FKBP4-SRSF1	FKBP4	SRSF1	false	false	false	false	true
FKBP4-SRSF7	FKBP4	SRSF7	false			false	true
FKBP4-SRSF9	FKBP4	SRSF9	false			false	true
FKBP4-SSB	FKBP4	SSB				false	true
FKBP4-STAU2	FKBP4	STAU2	false			false	true
FKBP4-SUB1	FKBP4	SUB1	false			false	true
FKBP4-SUGP2	FKBP4	SUGP2	false			false	true
FKBP4-SUPV3L1	FKBP4	SUPV3L1	false			false	true
FKBP4-TAF15	FKBP4	TAF15	false	false	false	false	true
FKBP4-TARDBP	FKBP4	TARDBP	false			false	true
FKBP4-TBRG4	FKBP4	TBRG4	false			false	true
FKBP4-TIA1	FKBP4	TIA1	false	false	false	false	true
FKBP4-TIAL1	FKBP4	TIAL1	false			false	true
FKBP4-TRA2A	FKBP4	TRA2A	false			false	true
FKBP4-TROVE2	FKBP4	TROVE2				false	true
FKBP4-U2AF1	FKBP4	U2AF1	false			false	true
FKBP4-U2AF2	FKBP4	U2AF2	false	false	false	false	true
FKBP4-UCHL5	FKBP4	UCHL5	false			false	true
FKBP4-UPF1	FKBP4	UPF1				false	true
FKBP4-UTP18	FKBP4	UTP18	false			false	true
FKBP4-WDR43	FKBP4	WDR43				false	true
FKBP4-XPO5	FKBP4	XPO5	false	false	false	false	true
FKBP4-XRCC6	FKBP4	XRCC6	false			false	true
FKBP4-XRN2	FKBP4	XRN2	false			false	true
FKBP4-YBX3	FKBP4	YBX3				false	true
FKBP4-ZC3H11A	FKBP4	ZC3H11A	false			false	true
FKBP4-ZNF800	FKBP4	ZNF800				false	true
FMR1-FTO	FMR1	FTO				true	false
FMR1-FUS	FMR1	FUS	false	false	false	true	false
FMR1-FXR1	FMR1	FXR1	false			true	false
FMR1-FXR2	FMR1	FXR2	true			true	false
FMR1-GARS	FMR1	GARS				true	false
FMR1-GEMIN5	FMR1	GEMIN5				true	false
FMR1-GNL3	FMR1	GNL3	false			true	false
FMR1-GPKOW	FMR1	GPKOW		false	false	true	false
FMR1-GRWD1	FMR1	GRWD1				true	false
FMR1-GTF2F1	FMR1	GTF2F1	false			true	false
FMR1-HLTF	FMR1	HLTF				true	false
FMR1-HNRNPA1	FMR1	HNRNPA1	false			true	false
FMR1-HNRNPC	FMR1	HNRNPC	false	false	false	true	false
FMR1-HNRNPK	FMR1	HNRNPK	false			true	false
FMR1-HNRNPL	FMR1	HNRNPL		false	false	true	false
FMR1-HNRNPM	FMR1	HNRNPM				true	false
FMR1-HNRNPU	FMR1	HNRNPU	false			true	false
FMR1-HNRNPUL1	FMR1	HNRNPUL1				true	false
FMR1-IGF2BP1	FMR1	IGF2BP1	false	false	false	true	false
FMR1-IGF2BP2	FMR1	IGF2BP2	false	true	false	true	false
FMR1-ILF3	FMR1	ILF3	false			true	false
FMR1-KHDRBS1	FMR1	KHDRBS1	false			true	false
FMR1-KHSRP	FMR1	KHSRP				true	false
FMR1-LARP4	FMR1	LARP4	false			true	false
FMR1-LARP7	FMR1	LARP7	false	false	false	true	false
FMR1-LIN28B	FMR1	LIN28B	false	false	false	true	false
FMR1-LSM11	FMR1	LSM11				true	false
FMR1-MATR3	FMR1	MATR3				true	false
FMR1-MBNL1	FMR1	MBNL1	false			true	false
FMR1-METAP2	FMR1	METAP2				true	false
FMR1-METTL1	FMR1	METTL1				true	false
FMR1-MORC2	FMR1	MORC2				true	false
FMR1-MTPAP	FMR1	MTPAP	false			true	false
FMR1-NCBP2	FMR1	NCBP2				true	false
FMR1-NIPBL	FMR1	NIPBL				true	false
FMR1-NOLC1	FMR1	NOLC1	false			true	false
FMR1-NONO	FMR1	NONO	false			true	false
FMR1-NPM1	FMR1	NPM1	false			true	false
FMR1-NSUN2	FMR1	NSUN2	false			true	false
FMR1-PABPC4	FMR1	PABPC4				true	false
FMR1-PCBP1	FMR1	PCBP1	false			true	false
FMR1-PHF6	FMR1	PHF6				true	false
FMR1-PPIL4	FMR1	PPIL4	false			true	false
FMR1-PRPF8	FMR1	PRPF8		false	false	true	false
FMR1-PTBP1	FMR1	PTBP1	false	false	false	true	false
FMR1-PUM1	FMR1	PUM1				true	false
FMR1-PUM2	FMR1	PUM2	false	false	false	true	false
FMR1-PUS1	FMR1	PUS1				true	false
FMR1-QKI	FMR1	QKI	false			true	false
FMR1-RBFOX2	FMR1	RBFOX2	false	false	false	true	false
FMR1-RBM15	FMR1	RBM15	false			true	false
FMR1-RBM22	FMR1	RBM22	false	false	false	true	false
FMR1-RNF187	FMR1	RNF187				true	false
FMR1-RPS10	FMR1	RPS10	false			true	false
FMR1-RPS11	FMR1	RPS11	false			true	false
FMR1-RPS3	FMR1	RPS3	false	false	false	true	false
FMR1-RPS6	FMR1	RPS6	false	false	false	true	false
FMR1-RYBP	FMR1	RYBP	true			true	false
FMR1-SAFB	FMR1	SAFB				true	false
FMR1-SAFB2	FMR1	SAFB2	false			true	false
FMR1-SBDS	FMR1	SBDS	false			true	false
FMR1-SDAD1	FMR1	SDAD1				true	false
FMR1-SERBP1	FMR1	SERBP1	false			true	false
FMR1-SF3B1	FMR1	SF3B1				true	false
FMR1-SF3B4	FMR1	SF3B4	false	false	false	true	false
FMR1-SLBP	FMR1	SLBP				true	false
FMR1-SLTM	FMR1	SLTM				true	false
FMR1-SMNDC1	FMR1	SMNDC1	false			true	false
FMR1-SND1	FMR1	SND1				true	false
FMR1-SRSF1	FMR1	SRSF1	false	false	false	true	false
FMR1-SRSF7	FMR1	SRSF7	false			true	false
FMR1-SRSF9	FMR1	SRSF9	false			true	false
FMR1-SSB	FMR1	SSB				true	false
FMR1-SUPV3L1	FMR1	SUPV3L1	false			true	false
FMR1-TAF15	FMR1	TAF15	false	false	false	true	false
FMR1-TARDBP	FMR1	TARDBP	false			true	false
FMR1-TBRG4	FMR1	TBRG4	false			true	false
FMR1-TIA1	FMR1	TIA1	false	false	false	true	false
FMR1-TRA2A	FMR1	TRA2A	false			true	false
FMR1-TROVE2	FMR1	TROVE2				true	false
FMR1-U2AF1	FMR1	U2AF1	false			true	false
FMR1-U2AF2	FMR1	U2AF2	false	false	false	true	false
FMR1-UCHL5	FMR1	UCHL5	false			true	false
FMR1-UPF1	FMR1	UPF1				true	false
FMR1-UTP18	FMR1	UTP18	false			true	false
FMR1-UTP3	FMR1	UTP3	false			true	false
FMR1-WDR3	FMR1	WDR3	false			true	false
FMR1-WDR43	FMR1	WDR43				true	false
FMR1-WRN	FMR1	WRN				true	false
FMR1-XRCC6	FMR1	XRCC6	false			true	false
FMR1-XRN2	FMR1	XRN2	false			true	false
FMR1-YBX3	FMR1	YBX3				true	false
FMR1-YWHAG	FMR1	YWHAG	false			true	false
FMR1-ZC3H11A	FMR1	ZC3H11A	false			true	false
FMR1-ZC3H8	FMR1	ZC3H8	false			true	false
FMR1-ZNF622	FMR1	ZNF622				true	false
FMR1-ZNF800	FMR1	ZNF800				true	false
FMR1-ZRANB2	FMR1	ZRANB2	false			true	false
FTO-FUBP3	FTO	FUBP3				false	true
FTO-FUS	FTO	FUS		false	false	true	true
FTO-FXR1	FTO	FXR1				true	false
FTO-FXR2	FTO	FXR2				true	true
FTO-G3BP1	FTO	G3BP1				false	true
FTO-GARS	FTO	GARS				true	false
FTO-GEMIN5	FTO	GEMIN5				true	false
FTO-GNL3	FTO	GNL3				true	false
FTO-GPKOW	FTO	GPKOW		false	false	true	false
FTO-GRSF1	FTO	GRSF1				false	true
FTO-GRWD1	FTO	GRWD1				true	true
FTO-GTF2F1	FTO	GTF2F1				true	true
FTO-HLTF	FTO	HLTF				true	true
FTO-HNRNPA1	FTO	HNRNPA1				true	true
FTO-HNRNPC	FTO	HNRNPC		false	false	true	true
FTO-HNRNPK	FTO	HNRNPK				true	true
FTO-HNRNPL	FTO	HNRNPL		false	false	true	true
FTO-HNRNPM	FTO	HNRNPM				true	true
FTO-HNRNPU	FTO	HNRNPU				true	true
FTO-HNRNPUL1	FTO	HNRNPUL1				true	true
FTO-IGF2BP1	FTO	IGF2BP1		false	false	true	true
FTO-IGF2BP2	FTO	IGF2BP2		false	false	true	false
FTO-IGF2BP3	FTO	IGF2BP3				false	true
FTO-ILF3	FTO	ILF3				true	true
FTO-KHDRBS1	FTO	KHDRBS1				true	false
FTO-KHSRP	FTO	KHSRP				true	true
FTO-LARP4	FTO	LARP4				true	true
FTO-LARP7	FTO	LARP7		false	false	true	true
FTO-LIN28B	FTO	LIN28B		false	false	true	true
FTO-LSM11	FTO	LSM11				true	true
FTO-MATR3	FTO	MATR3				true	true
FTO-MBNL1	FTO	MBNL1				true	false
FTO-METAP2	FTO	METAP2				true	false
FTO-METTL1	FTO	METTL1				true	false
FTO-MORC2	FTO	MORC2				true	false
FTO-MTPAP	FTO	MTPAP				true	false
FTO-NCBP2	FTO	NCBP2				true	true
FTO-NIP7	FTO	NIP7				false	true
FTO-NIPBL	FTO	NIPBL				true	false
FTO-NKRF	FTO	NKRF				false	true
FTO-NOL12	FTO	NOL12				false	true
FTO-NOLC1	FTO	NOLC1				true	true
FTO-NONO	FTO	NONO				true	false
FTO-NPM1	FTO	NPM1				true	false
FTO-NSUN2	FTO	NSUN2				true	true
FTO-PABPC4	FTO	PABPC4				true	false
FTO-PABPN1	FTO	PABPN1				false	true
FTO-PCBP1	FTO	PCBP1				true	true
FTO-PCBP2	FTO	PCBP2				false	true
FTO-PHF6	FTO	PHF6				true	false
FTO-POLR2G	FTO	POLR2G				false	true
FTO-PPIG	FTO	PPIG				false	true
FTO-PPIL4	FTO	PPIL4				true	false
FTO-PRPF4	FTO	PRPF4				false	true
FTO-PRPF8	FTO	PRPF8		false	false	true	true
FTO-PTBP1	FTO	PTBP1		false	false	true	true
FTO-PUM1	FTO	PUM1				true	false
FTO-PUM2	FTO	PUM2		false	false	true	false
FTO-PUS1	FTO	PUS1				true	false
FTO-QKI	FTO	QKI				true	true
FTO-RBFOX2	FTO	RBFOX2		false	false	true	true
FTO-RBM15	FTO	RBM15				true	true
FTO-RBM22	FTO	RBM22		false	false	true	true
FTO-RBM5	FTO	RBM5				false	true
FTO-RNF187	FTO	RNF187				true	false
FTO-RPS10	FTO	RPS10				true	false
FTO-RPS11	FTO	RPS11				true	false
FTO-RPS3	FTO	RPS3		false	false	true	true
FTO-RPS6	FTO	RPS6		false	false	true	false
FTO-RYBP	FTO	RYBP				true	false
FTO-SAFB	FTO	SAFB				true	true
FTO-SAFB2	FTO	SAFB2				true	false
FTO-SBDS	FTO	SBDS				true	false
FTO-SDAD1	FTO	SDAD1				true	true
FTO-SERBP1	FTO	SERBP1				true	false
FTO-SF3A3	FTO	SF3A3				false	true
FTO-SF3B1	FTO	SF3B1				true	false
FTO-SF3B4	FTO	SF3B4		false	false	true	true
FTO-SFPQ	FTO	SFPQ				false	true
FTO-SLBP	FTO	SLBP				true	false
FTO-SLTM	FTO	SLTM				true	true
FTO-SMNDC1	FTO	SMNDC1				true	true
FTO-SND1	FTO	SND1				true	true
FTO-SRSF1	FTO	SRSF1		false	false	true	true
FTO-SRSF7	FTO	SRSF7				true	true
FTO-SRSF9	FTO	SRSF9				true	true
FTO-SSB	FTO	SSB				true	true
FTO-STAU2	FTO	STAU2				false	true
FTO-SUB1	FTO	SUB1				false	true
FTO-SUGP2	FTO	SUGP2				false	true
FTO-SUPV3L1	FTO	SUPV3L1				true	true
FTO-TAF15	FTO	TAF15		false	false	true	true
FTO-TARDBP	FTO	TARDBP				true	true
FTO-TBRG4	FTO	TBRG4				true	true
FTO-TIA1	FTO	TIA1		false	false	true	true
FTO-TIAL1	FTO	TIAL1				false	true
FTO-TRA2A	FTO	TRA2A				true	true
FTO-TROVE2	FTO	TROVE2				true	true
FTO-U2AF1	FTO	U2AF1				true	true
FTO-U2AF2	FTO	U2AF2		false	false	true	true
FTO-UCHL5	FTO	UCHL5				true	true
FTO-UPF1	FTO	UPF1				true	true
FTO-UTP18	FTO	UTP18				true	true
