Interaction	RBP 1	RBP 2	Rec-Y2H	Street et al | IP-MS	Street et al | IP/SEC-MS (Both)	K562 - Both eCLIP	HepG2 - Both eCLIP
AATF-ZNF800	AATF	ZNF800				true	false
AATF-ZRANB2	AATF	ZRANB2				true	false
ABCF1-ADAT1	ABCF1	ADAT1				true	false
ABCF1-AGGF1	ABCF1	AGGF1				true	false
ABCF1-AKAP1	ABCF1	AKAP1				true	false
ABCF1-AKAP8L	ABCF1	AKAP8L				true	false
ABCF1-APEX1	ABCF1	APEX1				true	false
ABCF1-APOBEC3C	ABCF1	APOBEC3C				true	false
ABCF1-AQR	ABCF1	AQR				true	false
ABCF1-BUD13	ABCF1	BUD13		false	false	true	false
ABCF1-CPEB4	ABCF1	CPEB4				true	false
ABCF1-CPSF6	ABCF1	CPSF6				true	false
ABCF1-CSTF2T	ABCF1	CSTF2T		false	false	true	false
ABCF1-DDX1	ABCF1	DDX1				true	false
ABCF1-DDX21	ABCF1	DDX21				true	false
ABCF1-DDX24	ABCF1	DDX24				true	false
ABCF1-DDX3X	ABCF1	DDX3X		false	false	true	false
ABCF1-DDX42	ABCF1	DDX42				true	false
ABCF1-DDX43	ABCF1	DDX43				true	false
ABCF1-DDX47	ABCF1	DDX47				true	false
ABCF1-DDX51	ABCF1	DDX51				true	false
ABCF1-DDX52	ABCF1	DDX52				true	false
ABCF1-DDX55	ABCF1	DDX55				true	false
ABCF1-DDX6	ABCF1	DDX6				true	false
ABCF1-DGCR8	ABCF1	DGCR8		false	false	true	false
ABCF1-DHX30	ABCF1	DHX30				true	false
ABCF1-DROSHA	ABCF1	DROSHA				true	false
ABCF1-EEF2	ABCF1	EEF2				true	false
ABCF1-EFTUD2	ABCF1	EFTUD2				true	false
ABCF1-EIF3G	ABCF1	EIF3G				true	false
ABCF1-EIF4E	ABCF1	EIF4E		false	false	true	false
ABCF1-EIF4G2	ABCF1	EIF4G2		false	false	true	false
ABCF1-ELAC2	ABCF1	ELAC2				true	false
ABCF1-ELAVL1	ABCF1	ELAVL1				true	false
ABCF1-EWSR1	ABCF1	EWSR1		false	false	true	false
ABCF1-EXOSC10	ABCF1	EXOSC10		false	false	true	false
ABCF1-EXOSC5	ABCF1	EXOSC5				true	false
ABCF1-FAM120A	ABCF1	FAM120A				true	false
ABCF1-FASTKD2	ABCF1	FASTKD2				true	false
ABCF1-FMR1	ABCF1	FMR1				true	false
ABCF1-FTO	ABCF1	FTO				true	false
ABCF1-FUS	ABCF1	FUS		false	false	true	false
ABCF1-FXR1	ABCF1	FXR1				true	false
ABCF1-FXR2	ABCF1	FXR2				true	false
ABCF1-GARS	ABCF1	GARS				true	false
ABCF1-GEMIN5	ABCF1	GEMIN5				true	false
ABCF1-GNL3	ABCF1	GNL3				true	false
ABCF1-GPKOW	ABCF1	GPKOW		false	false	true	false
ABCF1-GRWD1	ABCF1	GRWD1				true	false
ABCF1-GTF2F1	ABCF1	GTF2F1				true	false
ABCF1-HLTF	ABCF1	HLTF				true	false
ABCF1-HNRNPA1	ABCF1	HNRNPA1				true	false
ABCF1-HNRNPC	ABCF1	HNRNPC		false	false	true	false
ABCF1-HNRNPK	ABCF1	HNRNPK				true	false
ABCF1-HNRNPL	ABCF1	HNRNPL		false	false	true	false
ABCF1-HNRNPM	ABCF1	HNRNPM				true	false
ABCF1-HNRNPU	ABCF1	HNRNPU				true	false
ABCF1-HNRNPUL1	ABCF1	HNRNPUL1				true	false
ABCF1-IGF2BP1	ABCF1	IGF2BP1		false	false	true	false
ABCF1-IGF2BP2	ABCF1	IGF2BP2		false	false	true	false
ABCF1-ILF3	ABCF1	ILF3				true	false
ABCF1-KHDRBS1	ABCF1	KHDRBS1				true	false
ABCF1-KHSRP	ABCF1	KHSRP				true	false
ABCF1-LARP4	ABCF1	LARP4				true	false
ABCF1-LARP7	ABCF1	LARP7		false	false	true	false
ABCF1-LIN28B	ABCF1	LIN28B		false	false	true	false
ABCF1-LSM11	ABCF1	LSM11				true	false
ABCF1-MATR3	ABCF1	MATR3				true	false
ABCF1-MBNL1	ABCF1	MBNL1				true	false
ABCF1-METAP2	ABCF1	METAP2				true	false
