Data Partition	Cell Line	RBP Pair	Position	# Graphs Used in OLS Reg.	# Rows - RBP 1 Bound	% Rows - RBP 1 Bound	# Rows - RBP 2 Bound	% Rows - RBP 2 Bound	# Rows - PPI Interaction	% Rows - PPI Interaction	Intercept Beta Coefficient	Intercept Param P-value	Intercept Param FDR BH	RBP 1 Beta Coefficient	RBP 1 Param P-value	RBP 1 Param FDR BH	RBP 2 Beta Coefficient	RBP 2 Param P-value	RBP 2 Param FDR BH	Interaction Beta Coefficient	Interaction Param P-value	Interaction Param FDR BH
All	K562	CPSF6-RBM15	2	2252043	8602	0.3819642875380266	88384	3.9246142280587004	1010	0.04484816675347673	0.7217834993068408	0.0	0.0	-0.012489110476483361	0.001842998418664326	0.0020658561928982083	-0.017545127479987963	3.9810911219431053e-48	7.024039925120162e-48	-0.13953589501373564	1.4833166520914657e-32	2.3798267165423514e-32
All	K562	RBFOX2-SF3B4	6	2252043	8049	0.35740880613736065	217779	9.670286046936049	2677	0.11886984395946258	0.7188919082435147	0.0	0.0	0.03405634194262348	8.802986235468324e-13	1.1578702616021398e-12	0.01917516458704997	7.201060407992647e-130	1.6889234049267896e-129	0.09818775444607399	2.248649426976533e-32	3.5978390831624527e-32
All	HepG2	PCBP1-RBFOX2	3	2083000	3818	0.18329332693230918	45069	2.1636581853096493	747	0.03586173787806049	0.7064476022920517	0.0	0.0	-0.020674401380289024	0.001211590448325678	0.0013659629764907258	-0.045579489391009524	1.3872938540401834e-158	3.3757483781644467e-158	0.16814363787685088	5.817023827310277e-31	9.206346653520872e-31
All	K562	CSTF2T-EWSR1	2	2252043	18752	0.8326661613477184	11644	0.5170416373044386	5742	0.25496848861234	0.7220042372481853	0.0	0.0	-0.13238959466554942	0.0	0.0	-0.024802356529784093	4.822520398530458e-08	5.806911160292345e-08	0.08275615699835961	5.911012409281174e-31	9.329814181135691e-31
All	K562	RBM22-TIA1	4	2252043	13063	0.5800510913867986	32827	1.4576542277389908	2451	0.10883451159680343	0.7200361144415214	0.0	0.0	0.1854391965271927	0.0	0.0	-0.0019451544731309077	0.33407825252741896	0.34559319033748415	-0.09074823075099565	2.349264288269415e-29	3.668369904677375e-29
All	HepG2	RBM22-TIA1	2	2083000	45053	2.1628900624099856	9879	0.4742678828612578	1702	0.08170907345175228	0.7079690230912858	0.0	0.0	-0.10359061198196132	0.0	0.0	-0.03367178694110097	8.173979227378364e-18	1.1311857508978589e-17	-0.10397278163001869	1.748509448582098e-27	2.7085663606682898e-27
All	K562	U2AF1-U2AF2	3	2252043	13956	0.6197039754569518	41172	1.828206655023905	10359	0.45998233603887667	0.7206375835079842	0.0	0.0	0.0332931921384025	1.0664161460224711e-08	1.2947755286426677e-08	0.02679294905943649	6.920289534761655e-41	1.1613359449140248e-40	-0.07589328740491712	4.333767744233468e-27	6.66031674376933e-27
All	K562	CPSF6-RBM15	6	2252043	5212	0.2314343020981393	70428	3.127293750607781	348	0.015452635673475152	0.7213387086993425	0.0	0.0	0.05378351580725401	6.4601047272031606e-27	9.90210278395445e-27	-0.016326615377424605	3.2435964561084974e-34	5.2327633435562495e-34	0.20732077018119233	1.1833054434001917e-26	1.8043090834091695e-26
All	K562	RBFOX2-SF3B4	5	2252043	21494	0.954422273464583	227853	10.117613207207855	8934	0.3967064572035259	0.7225760937647572	0.0	0.0	-0.027490186121449416	1.3037598627498792e-18	1.8346885779419987e-18	-0.015178017307248375	2.7382143904877165e-83	5.571836947891381e-83	0.05207106645821189	1.8064329676558972e-26	2.7472834716433437e-26
All	HepG2	HNRNPK-U2AF2	2	2083000	9177	0.4405664906385022	142906	6.860585693710994	163	0.007825252040326452	0.707550231476686	0.0	0.0	-0.010146914414340374	0.0065878058782569944	0.0072590162884945	-0.029805441889805606	3.629071729452672e-207	9.633535863638001e-207	0.2954880143980187	4.428788293413647e-26	6.683236081016976e-26
All	HepG2	PCBP1-PTBP1	3	2083000	3818	0.18329332693230918	11406	0.5475756120979357	326	0.015650504080652904	0.7061318102298628	0.0	0.0	-0.004552342875905867	0.447324694274	0.45831161658950176	-0.12306723441759178	5.462691059538408e-292	1.5793126627576388e-291	0.21879451552990822	5.7053602812872e-26	8.565373789901605e-26
All	K562	CSTF2T-EWSR1	3	2252043	23498	1.0434081409635607	15693	0.6968339414478321	8828	0.3919996199006857	0.7219612176371004	0.0	0.0	-0.05047055642372692	2.3552923100515114e-68	4.615740634463364e-68	-0.10172399986578734	1.189616883321069e-128	2.767873545256989e-128	0.06604116601990377	1.2666073981181203e-25	1.8918125844014892e-25
All	HepG2	HNRNPK-PCBP1	5	2083000	16670	0.800288046087374	2907	0.13955832933269324	546	0.02621219395103216	0.7050538692683848	0.0	0.0	0.05585052790351884	1.065478447642282e-88	2.2065227426350806e-88	-0.04530355160636446	5.016872080647115e-10	6.314338998055852e-10	0.1763030005882998	4.123110728972628e-25	6.126963526005127e-25
All	K562	PCBP1-QKI	3	2252043	9455	0.4198410065882401	8638	0.3835628360559723	92	0.004085179545861247	0.7214928882268109	0.0	0.0	-0.0020058114351877918	0.5786224719614956	0.587679171522632	-0.13434293503231268	1.1729697023692383e-276	3.3092478559595904e-276	0.37844281476243874	6.820378756298949e-25	1.0109393892585244e-24
All	K562	DDX42-RBFOX2	3	2252043	1116	0.04955500405631687	24510	1.0883451159680344	293	0.0130104087710581	0.7212704811133916	0.0	0.0	-0.32737497686067035	1.23947309444151e-159	3.0413961645119404e-159	-0.01427615894300269	2.36472214320455e-10	2.989172579288868e-10	0.24411956254011186	1.2763700798382675e-24	1.8823235520847177e-24
All	K562	HNRNPK-PCBP1	3	2252043	23871	1.059970879774498	9455	0.4198410065882401	3031	0.1345889043859287	0.7216737944627375	0.0	0.0	-0.07455819945315455	3.583162372770759e-207	9.555099660722025e-207	-0.0023189532423189795	0.5946105976200657	0.6018242443849539	0.08237986763555179	1.5884688205840153e-24	2.336689650430894e-24
All	HepG2	QKI-RBFOX2	4	2083000	18847	0.9048007681228997	28995	1.3919827172347576	1289	0.06188190110417667	0.7081001602300472	0.0	0.0	-0.22299732961150906	0.0	0.0	-0.038347363002005946	4.451208511810197e-72	8.811883969142899e-72	-0.10482490128602097	7.621153810578071e-24	1.1099136721639884e-23
