Interaction Term	Same Position	K562 - # Interaction Rows	K562 - Mean PSI (Interaction Rows)	K562 - # Single Binders	K562 - Mean PSI (Single Binders)	K562 - Difference in Mean PSI(Interaction - Single)	K562 - Interaction Beta Coefficient	K562 - Interaction P-value	K562 - Beta (trained on All Data and All Position PPI)	K562 - P-value (trained on All Data and All Position PPI)	HepG2 - # Interaction Rows	HepG2 - Mean PSI (Interaction Rows)	HepG2 - # Single Binders	HepG2 - Mean PSI (Single Binders)	HepG2 - Difference in Mean PSI(Interaction - Single)	HepG2 - Interaction Beta Coefficient	HepG2 - Interaction P-value	HepG2 - Beta (trained on All Data and All Position PPI)	HepG2 - P-value (trained on All Data and All Position PPI)
CPEB4-3_CSTF2T-3_interaction	True	23.0	0.9941521739130436	23504.0	0.6581682692307692	0.3359839046822743	0.0658684431488198	0.4989032318612589	-0.4504111171555782	1.2351020147462816e-05									
CPEB4-3_CSTF2T-4_interaction	False	0.0		17229.0	0.5614902199779441				-8.032452739312435e-15	0.2796221606772126									
CPEB4-3_CSTF2T-5_interaction	False	0.0		24198.0	0.6566768741218283				1.5532547324138248e-14	0.0101031051326771									
CPEB4-3_CSTF2T-6_interaction	False	0.0		10436.0	0.715382042928325				-2.0416648619214337e-15	0.7734287521487071									
CPEB4-4_CSTF2T-1_interaction	False	0.0		10307.0	0.6619589599301445				-4.895596412811924e-14	1.042922435711089e-07									
CPEB4-4_CSTF2T-2_interaction	False	0.0		19018.0	0.6123905773477758				3.5143315844918736e-14	0.0005320650223266									
CPEB4-4_CSTF2T-3_interaction	False	8.0	0.997625	23748.0	0.661316195048004	0.336308804951996	0.0952345790970644	0.4469420048603176	0.295697969336101	0.0325667934569974									
CPEB4-4_CSTF2T-4_interaction	True	117.0	0.9537948717948718	17209.0	0.561119646696496	0.3926752250983757	0.1411617318816596	0.0010657524568389	-0.2023489136060922	0.0015712198869317									
CPEB4-4_CSTF2T-5_interaction	False	0.0		24412.0	0.6593416352613469				-3.387303302529663e-14	3.027849996441316e-06									
CPEB4-4_CSTF2T-6_interaction	False	0.0		10650.0	0.7203106103286384				-7.779937126928724e-15	0.16119209015321									
CPEB4-5_CSTF2T-1_interaction	False	0.0		10207.0	0.6460835211129617				-8.139056834557565e-15	0.0145200766459488									
CPEB4-5_CSTF2T-2_interaction	False	0.0		18918.0	0.6035631409239878				-1.6255480241064884e-14	0.0297245314139407									
CPEB4-5_CSTF2T-3_interaction	False	0.0		23664.0	0.6546933105138607				8.297120739378423e-15	0.1538121728314748									
CPEB4-5_CSTF2T-4_interaction	False	0.0		17343.0	0.5564930807818717				-1.4299782644529558e-14	0.0035920305760904									
CPEB4-5_CSTF2T-5_interaction	True	0.0		24312.0	0.652665823461665				-4.763217558423679e-15	0.3378447512963558									
CPEB4-5_CSTF2T-6_interaction	False	0.0		10550.0	0.7055044075829384				3.1765429144821675e-14	2.264906958998924e-05									
CPEB4-6_CSTF2T-1_interaction	False	0.0		10219.0	0.6597712594187298				3.8962347776112836e-14	4.316054329558213e-10									
CPEB4-6_CSTF2T-2_interaction	False	0.0		18930.0	0.6109791600633915				-8.079477924994551e-16	0.9298047489255148									
CPEB4-6_CSTF2T-3_interaction	False	0.0		23676.0	0.6605968280114884				3.750193891341837e-15	0.5417635431707584									
CPEB4-6_CSTF2T-4_interaction	False	0.0		17355.0	0.5646146643618554				-3.8148103411845044e-14	3.812431742234046e-09									
CPEB4-6_CSTF2T-5_interaction	False	0.0		24324.0	0.6584130693964808				3.7474105981923154e-14	0.0003280014614613									
CPEB4-6_CSTF2T-6_interaction	True	4.0	0.9945	10554.0	0.7184710536289558	0.2760289463710442	0.0094688285787299	0.9572003809744712	0.5301845383563082	0.0006102914709231									
CPSF6-1_NONO-1_interaction	True	4.0	0.978125	15153.0	0.6609922787566819	0.317132721243318	0.3756540616643986	0.0313276033733825	-0.0522805380517682	0.5013267786582798									
CPSF6-1_NONO-2_interaction	False	0.0		23087.0	0.6127149911205441				-6.113438809118248e-15	0.2634320750297542									
CPSF6-1_NONO-3_interaction	False	169.0	0.0817307692307692	22266.0	0.639438628402048	-0.5577078591712787	-0.5028684621046837	8.83045501338809e-76	-0.1429921966980591	5.293483132791332e-52									
CPSF6-1_NONO-4_interaction	False	169.0	0.0817307692307692	19412.0	0.5698211930764475	-0.4880904238456783	-0.3901048762826699	2.7206294709648115e-46	-0.1429921966980031	5.29348313326389e-52									
CPSF6-1_NONO-5_interaction	False	0.0		24973.0	0.6559876266367677				6.831411310612816e-14	6.764662112700155e-11									
CPSF6-1_NONO-6_interaction	False	0.0		17192.0	0.6518095335039553				-2.480886543275068e-14	2.154811431548214e-06									
CPSF6-1_RBM15-1_interaction	True	89.0	0.9911573033707866	38437.0	0.657386827796134	0.3337704755746525	0.3885797180397328	1.8042415998859989e-25	0.1428518945476526	0.0001254431425713									
CPSF6-1_RBM15-2_interaction	False	338.0	0.5507204142011835	94697.0	0.70149040624307	-0.1507699920418865	-0.11089338183332	1.2615616028161361e-08	0.1248149493312886	6.087510376816666e-07									
CPSF6-1_RBM15-3_interaction	False	6.0	0.9955833333333332	32648.0	0.7738203259005146	0.2217630074328186	0.2409198023090559	0.0907629053997788	-0.2735259326619413	0.0309303837574093									
CPSF6-1_RBM15-4_interaction	False	356.0	0.9404283707865168	50680.0	0.8245898480662983	0.1158385227202185	0.1497584514900137	3.4941682536796504e-15	0.230399169336288	6.045399556907235e-21									
CPSF6-1_RBM15-5_interaction	False	42.0	0.9900119047619048	50697.0	0.7237967236720122	0.2662151810898927	0.3067234989513224	1.3562272046518771e-08	0.284105876025628	0.0002858197459359									
CPSF6-1_RBM15-6_interaction	False	492.0	0.6650569105691057	76433.0	0.7038910549108369	-0.0388341443417312	0.0052499058149449	0.748361465420651	0.1053036828249677	0.048940506815351									
CPSF6-1_TAF15-1_interaction	True	0.0		7231.0	0.6777628267182962				1.3896055150408683e-14	0.0159708068500827									
CPSF6-1_TAF15-2_interaction	False	0.0		7168.0	0.680852818080357				-6.460036494718609e-16	0.9093564621651038									
CPSF6-1_TAF15-3_interaction	False	0.0		7703.0	0.6786133324678697				1.1711952712197823e-14	0.0063940954580471									
CPSF6-1_TAF15-4_interaction	False	0.0		7641.0	0.6792067137809187				-2.9443798652533738e-15	0.4709242252485801									
CPSF6-1_TAF15-5_interaction	False	0.0		7903.0	0.6753757433885866				-1.575844990819554e-14	0.0014260859054766									
CPSF6-1_TAF15-6_interaction	False	0.0		7040.0	0.6763033380681819				3.5555192602761325e-14	2.715742161618173e-09									
CPSF6-2_NONO-1_interaction	False	4.0	0.978125	16766.0	0.670836782774663	0.3072882172253369	0.35885834428168	0.0397139911101961	-0.0522805380518068	0.5013267786579697									
CPSF6-2_NONO-2_interaction	True	0.0		24700.0	0.622549979757085				1.5387594892284138e-14	0.0599817213972798									
CPSF6-2_NONO-3_interaction	False	169.0	0.0817307692307692	23879.0	0.6478066083169312	-0.5660758390861619	-0.5171508836237784	2.142942338644765e-80	-0.1429921966980024	5.293483133277261e-52									
CPSF6-2_NONO-4_interaction	False	169.0	0.0817307692307692	21025.0	0.5846659928656361	-0.5029352236348669	-0.4043868978732979	7.888149330183584e-50	-0.1429921966980333	5.2934831330081574e-52									
CPSF6-2_NONO-5_interaction	False	139.0	0.0521906474820143	26308.0	0.6689487418275809	-0.6167580943455665	-0.5810952412098093	6.307914875270114e-84	-0.3398429805776051	6.330576354720088e-33									
CPSF6-2_NONO-6_interaction	False	0.0		18805.0	0.661374262164318				2.7744382761251757e-15	0.4338904371349982									
CPSF6-2_RBM15-1_interaction	False	100.0	0.99349	40028.0	0.6614604526831218	0.332029547316878	0.3737539626787497	1.9799815331859366e-26	0.0916967175261206	0.0211314050785253									
CPSF6-2_RBM15-2_interaction	True	1010.0	0.5522133663366336	94966.0	0.704642572078428	-0.1524292057417943	-0.1395358950137356	1.4833166520914654e-32	-0.2273962814813933	2.9698165215344426e-48									
CPSF6-2_RBM15-3_interaction	False	95.0	0.9879631578947368	34083.0	0.7722076548425901	0.2157555030521466	0.2202444439460848	9.930266391324755e-10	0.3002950517914592	6.087257379537344e-08									
CPSF6-2_RBM15-4_interaction	False	329.0	0.9593465045592704	52347.0	0.822583567348654	0.1367629372106165	0.148389079801049	4.3533824630166544e-14	-0.0919308661698374	0.0040209582513716									
CPSF6-2_RBM15-5_interaction	False	81.0	0.9935925925925924	52232.0	0.7246085732884057	0.2689840193041868	0.2947578902392785	3.9623483064101686e-14	0.1049753212162606	0.0931366715875809									
CPSF6-2_RBM15-6_interaction	False	496.0	0.6680554435483871	78038.0	0.7050852597452524	-0.0370298161968652	-0.0091961429315109	0.5700206088957886	-0.0689898371183416	0.205280944385858									
CPSF6-2_TAF15-1_interaction	False	0.0		8844.0	0.6933668588873814				1.1928868573333652e-14	0.0119217160986179									
CPSF6-2_TAF15-2_interaction	True	0.0		8781.0	0.6960011957635804				2.511498552420152e-14	4.933121909361127e-07									
CPSF6-2_TAF15-3_interaction	False	0.0		9316.0	0.6932795191069127				7.141086891787592e-16	0.8898520312557969									
CPSF6-2_TAF15-4_interaction	False	0.0		9254.0	0.6938677328722714				4.048632263002354e-14	7.134314626614711e-07									
CPSF6-2_TAF15-5_interaction	False	0.0		9516.0	0.690282471626734				1.4810873986628028e-14	0.0003447566938209									
CPSF6-2_TAF15-6_interaction	False	0.0		8653.0	0.6925238645556456				2.4458967382407342e-14	5.006170099350656e-09									
CPSF6-3_NONO-1_interaction	False	0.0		12116.0	0.6777231346979201				-1.7067003985020298e-14	0.0651960886266137									
CPSF6-3_NONO-2_interaction	False	110.0	0.9558454545454546	19822.0	0.6115890172535566	0.3442564372918979	0.3655969121436646	3.169625935936562e-27	0.5516779103523686	7.12330317375595e-30									
CPSF6-3_NONO-3_interaction	True	380.0	0.8152657894736843	18799.0	0.62945986488643	0.1858059245872543	0.203774006318504	9.32449272141202e-27	-0.0966679440231305	0.1522203049246275									
CPSF6-3_NONO-4_interaction	False	380.0	0.8152657894736843	15945.0	0.5429190655377861	0.2723467239358982	0.3209568521073342	1.302289165747506e-63	-0.0966679440231203	0.1522203049246872									
CPSF6-3_NONO-5_interaction	False	490.0	0.7941357142857143	20948.0	0.6583529931258354	0.1357827211598788	0.144187475158153	2.6678551745041817e-17	0.1321884678609449	0.1792825075495197									
