Parameter Name	Beta_K562	Beta_HepG2	Raw_P_K562	Raw_P_HepG2	FDR_K562	FDR_HepG2
QKI_5		-0.0559977518904884		8.074728901058503e-74		3.534004726826903e-73
QKI_6	0.020318753861886137		0.011964614058485366		0.01414763136038445	
RBFOX2-SF3B4_1_interaction	-0.0011478433055836705	-0.0088303950817465	0.8884306902458865	0.22335291983949024	0.8964106066253406	0.23669790561606355
RBFOX2-SF3B4_2_interaction	-0.003561226219355562	-0.01789864893604655	0.5821244009784952	0.00305490207917708	0.5962794016101911	0.0036899713286117413
RBFOX2-SF3B4_3_interaction	0.012316112174930368	-0.010409291734015828	0.02477944715119174	0.043256833203783936	0.028116746430813522	0.048110735279456064
RBFOX2-SF3B4_4_interaction	0.01109278718630435	0.08730051857202531	0.12448859005415244	8.05878390959195e-44	0.1357691095412601	2.207975754091453e-43
RBFOX2-SF3B4_5_interaction	0.022147438357338043	0.009666322149862185	3.1397491342013724e-05	0.023952003218870026	4.1493939538269115e-05	0.027269679340402697
RBFOX2-SF3B4_6_interaction	0.11526005902740853	-0.005788738242586115	1.8008022704109683e-39	0.4478818139619146	4.66823357791151e-39	0.4644189886312776
RBFOX2_1	0.009016200689001434	0.05681866311219855	0.02492659483417928	3.128351885766248e-79	0.02818880019838395	1.4246683587881429e-78
RBFOX2_2	-0.01469329041542475	0.024247498574944876	1.6946152265880185e-05	3.8013213989888665e-19	2.2662116323815964e-05	7.116918396995822e-19
RBFOX2_3	-0.0063303854743360305	-0.046248917792530916	0.035592356919397064	7.106648556038076e-115	0.039788098577823276	4.354437387972421e-114
RBFOX2_4	-0.06303950428921558	-0.0448087957174397	7.67844513118461e-83	1.3505689752859517e-70	3.5447068619304295e-82	5.6190338848316757e-70
RBFOX2_5	-0.02927489044243845	-0.029726923815265056	1.1176002054610028e-18	3.478754710893803e-43	2.046909071958467e-18	9.454357561058158e-43
RBFOX2_6	0.03220040350486163	0.029696758208858035	6.230192445141105e-11	3.2653958931008127e-19	9.857158939026068e-11	6.147700647904881e-19
RBM15-SRSF9_6_interaction		0.047526377482261205		0.014988342539513274		0.01766108893641949
RBM15_2	-0.021975500415128968		1.4140924719721056e-73		6.109604654546148e-73	
RBM15_3	0.019783541541865624		5.90859852049208e-17		1.0591477135137398e-16	
RBM15_4	0.1153904368835404		0.0		0.0	
RBM15_5	0.0038398444377729457		0.03427181282543067		0.038498669740567114	
RBM15_6	-0.017112473037537674	-0.11013040631720075	5.084699579475256e-33	1.423731448133187e-107	1.1982823484497632e-32	8.417499965278668e-107
RBM22-TIA1_1_interaction	0.26813979444556213		8.52212972101557e-154		7.004774917029871e-153	
RBM22-TIA1_2_interaction	0.04406277623146895	-0.0482806109827022	2.0156715101131603e-12	4.63192460322693e-07	3.2815521686383336e-12	6.558649543224687e-07
