RBP	Cell Line	Feature	Global SHAP	ElasticNet Coefficient	Binding Sum	# RBP Differential Events
FAM120A	HepG2	FAM120A_5	3.6252568e-06	-0.0	9340	185.0
FAM120A	HepG2	FAM120A_6	0.0002997975	-0.0024488194873309387	10039	185.0
FASTKD2	HepG2	FASTKD2_1	0.0	0.0	8807	121.0
FASTKD2	HepG2	FASTKD2_2	5.7243105e-05	0.0033057458336078834	13160	121.0
FASTKD2	HepG2	FASTKD2_3	0.0	-0.0	5636	121.0
FASTKD2	HepG2	FASTKD2_4	0.0	0.0	5144	121.0
FASTKD2	HepG2	FASTKD2_5	2.3081793e-05	0.0	5998	121.0
FASTKD2	HepG2	FASTKD2_6	0.00059270713	0.0	6744	121.0
FKBP4	HepG2	FKBP4_1	0.0	0.0	2009	92.0
FKBP4	HepG2	FKBP4_2	0.0019323521	-0.15650968579300079	10095	92.0
FKBP4	HepG2	FKBP4_3	0.0005225941	-0.0	1675	92.0
FKBP4	HepG2	FKBP4_4	0.0	-0.0	2588	92.0
FKBP4	HepG2	FKBP4_5	0.0	0.0	454	92.0
FKBP4	HepG2	FKBP4_6	0.0	-0.0	677	92.0
FTO	HepG2	FTO_1	4.3329434e-05	-0.0	10205	568.0
FTO	HepG2	FTO_2	0.0	0.0	9374	568.0
FTO	HepG2	FTO_3	0.00028193276	0.0	8022	568.0
FTO	HepG2	FTO_4	0.0	0.017061304231090358	6985	568.0
FTO	HepG2	FTO_5	0.00079787074	-0.0	6371	568.0
FTO	HepG2	FTO_6	7.868969e-05	0.0	6607	568.0
FUBP3	HepG2	FUBP3_1	0.0001122935	-0.0	1018	334.0
FUBP3	HepG2	FUBP3_2	0.0	0.0	66	334.0
FUBP3	HepG2	FUBP3_3	0.00017287405	-0.0	1243	334.0
FUBP3	HepG2	FUBP3_4	2.2171223e-05	-0.0	677	334.0
FUBP3	HepG2	FUBP3_5	0.0	0.0	1026	334.0
FUBP3	HepG2	FUBP3_6	0.0019105548	0.027953503967627948	25998	334.0
FUS	HepG2	FUS_1	3.3795328e-05	0.0	1618	323.0
FUS	HepG2	FUS_2	0.0	0.0	7108	323.0
FUS	HepG2	FUS_3	0.0	-0.0	1846	323.0
FUS	HepG2	FUS_4	0.00031127647	-0.0	4017	323.0
FUS	HepG2	FUS_5	0.0	-0.0	1694	323.0
FUS	HepG2	FUS_6	0.0	0.0	2548	323.0
FXR2	HepG2	FXR2_1	9.69336e-05	-0.0	44337	
FXR2	HepG2	FXR2_2	0.00041243664	-0.013998276183212408	52369	
FXR2	HepG2	FXR2_3	0.005267181	0.006333866897016873	38368	
FXR2	HepG2	FXR2_4	0.009731019	0.04371557096897177	45687	
FXR2	HepG2	FXR2_5	0.00024673692	0.00674109731075193	50175	
FXR2	HepG2	FXR2_6	0.0016583905	0.015438301538937067	63051	
G3BP1	HepG2	G3BP1_1	0.00031634848	0.011182483477245042	112957	572.0
G3BP1	HepG2	G3BP1_2	0.000700743	-0.006162558644876843	126592	572.0
