Feature	Statistic	P-Val	RBP	Position	FDR P-Val
DGCR8_center_left_shap	1057.839174698925	0.0	DGCR8	3	0.0
PTBP1_3_left_shap	1054.8521287710369	0.0	PTBP1	5	0.0
XRN2_3_left_shap	1052.3500329780402	0.0	XRN2	5	0.0
LIN28B_5_left_shap	1022.3991993787469	0.0	LIN28B	1	0.0
SRSF1_3_left_shap	1022.0097588336398	0.0	SRSF1	5	0.0
TARDBP_center_left_shap	1016.890785240515	0.0	TARDBP	3	0.0
PTBP1_center_left_shap	1016.7239609394526	0.0	PTBP1	3	0.0
BCLAF1_3_right_shap	1014.4018175521041	0.0	BCLAF1	6	0.0
EIF3D_center_right_shap	1013.1370513010617	0.0	EIF3D	4	0.0
NKRF_center_right_shap	1005.556491774023	0.0	NKRF	4	0.0
FASTKD2_3_left_shap	996.7345689948181	0.0	FASTKD2	5	0.0
TRA2A_center_left_shap	988.7595846159979	0.0	TRA2A	3	0.0
PCBP2_5_right_shap	973.4847136347346	0.0	PCBP2	2	0.0
FXR2_5_left_shap	972.7857030878503	0.0	FXR2	1	0.0
CDC40_center_left_shap	970.0771326137312	0.0	CDC40	3	0.0
RPS3_5_left_shap	961.3457618392475	0.0	RPS3	1	0.0
DROSHA_3_left_shap	942.4828278879118	0.0	DROSHA	5	0.0
TRA2A_3_left_shap	941.9676780570134	0.0	TRA2A	5	0.0
RBM5_3_right_shap	930.3112994837575	0.0	RBM5	6	0.0
SF3A3_5_left_shap	927.4675456093671	0.0	SF3A3	1	0.0
FAM120A_center_left_shap	927.1066588081692	0.0	FAM120A	3	0.0
XPO5_center_right_shap	927.0994018823126	0.0	XPO5	4	0.0
AQR_3_left_shap	923.5318406187922	0.0	AQR	5	0.0
PPIG_5_right_shap	901.915975188507	0.0	PPIG	2	0.0
CSTF2T_3_right_shap	899.936621382963	0.0	CSTF2T	6	0.0
UCHL5_3_left_shap	896.5977273400046	0.0	UCHL5	5	0.0
IGF2BP3_center_right_shap	892.3734016313323	0.0	IGF2BP3	4	0.0
U2AF2_3_right_shap	887.7147043651573	0.0	U2AF2	6	0.0
CSTF2T_3_left_shap	882.6924572470226	0.0	CSTF2T	5	0.0
TRA2A_3_right_shap	875.4923513469824	0.0	TRA2A	6	0.0
ILF3_center_right_shap	868.5747657606929	0.0	ILF3	4	0.0
G3BP1_5_left_shap	850.6831442795624	0.0	G3BP1	1	0.0
LARP4_3_right_shap	840.0494329790301	0.0	LARP4	6	0.0
SRSF7_5_right_shap	813.5843170035477	0.0	SRSF7	2	0.0
PRPF4_5_right_shap	800.2491028426847	0.0	PRPF4	2	0.0
BUD13_5_left_shap	786.7140869685556	0.0	BUD13	1	0.0
DDX59_3_right_shap	781.27110374228	0.0	DDX59	6	0.0
SND1_5_left_shap	762.1947102151327	0.0	SND1	1	0.0
XRN2_3_right_shap	743.0658250904083	2.5e-323	XRN2	6	6e-323
HNRNPK_center_right_shap	733.1525429166983	5.10404e-319	HNRNPK	4	1.219596e-318
RPS3_3_left_shap	724.9269738873778	1.89553914e-315	RPS3	5	4.50562706e-315
HNRNPUL1_center_left_shap	718.0289669486211	1.86820823765e-312	HNRNPUL1	3	4.41753406195e-312
AGGF1_center_right_shap	716.3806254920354	9.700592380624e-312	AGGF1	4	2.2819010055977e-311
SFPQ_3_left_shap	715.7319348413822	1.8549297539957e-311	SFPQ	5	4.340918084093e-311
XPO5_center_left_shap	708.7933472456311	1.903962436865337e-308	XPO5	3	4.43281510941981e-308
