Feature	Statistic	P-Val	RBP	Position	FDR P-Val
SRSF7_5_left_shap	1374.9081475715318	0.0	SRSF7	1	0.0
RBM15_5_left_shap	1360.4820288330313	0.0	RBM15	1	0.0
RBFOX2_5_right_shap	1356.0546611343889	0.0	RBFOX2	2	0.0
RBM22_5_right_shap	1348.9941934842188	0.0	RBM22	2	0.0
GRWD1_3_right_shap	1345.4094971383447	0.0	GRWD1	6	0.0
RBM15_5_right_shap	1340.7682293714602	0.0	RBM15	2	0.0
METAP2_center_left_shap	1324.5838981654822	0.0	METAP2	3	0.0
SRSF1_3_left_shap	1321.2868616844999	0.0	SRSF1	5	0.0
UPF1_5_left_shap	1315.2923662356698	0.0	UPF1	1	0.0
EFTUD2_3_right_shap	1312.9599642505318	0.0	EFTUD2	6	0.0
GEMIN5_5_right_shap	1301.1064562961758	0.0	GEMIN5	2	0.0
RBFOX2_center_right_shap	1294.8002130532848	0.0	RBFOX2	4	0.0
NONO_3_right_shap	1291.0414673763958	0.0	NONO	6	0.0
HNRNPK_center_right_shap	1288.1123300803877	0.0	HNRNPK	4	0.0
CSTF2T_5_right_shap	1283.4144360947353	0.0	CSTF2T	2	0.0
NONO_center_left_shap	1266.1730537381945	0.0	NONO	3	0.0
NONO_5_right_shap	1256.1658725480422	0.0	NONO	2	0.0
U2AF2_3_left_shap	1255.317587296653	0.0	U2AF2	5	0.0
PUM1_3_right_shap	1247.5757837667388	0.0	PUM1	6	0.0
UPF1_center_right_shap	1243.2620065634633	0.0	UPF1	4	0.0
METAP2_5_right_shap	1241.0447493259737	0.0	METAP2	2	0.0
IGF2BP1_3_left_shap	1240.470898238491	0.0	IGF2BP1	5	0.0
ADAT1_center_right_shap	1232.1600526393056	0.0	ADAT1	4	0.0
SLTM_center_left_shap	1212.2809246572551	0.0	SLTM	3	0.0
AATF_3_right_shap	1206.353899737633	0.0	AATF	6	0.0
RPS3_3_right_shap	1194.6686286092754	0.0	RPS3	6	0.0
EXOSC10_center_left_shap	1193.7226443609848	0.0	EXOSC10	3	0.0
IGF2BP1_3_right_shap	1167.0389228545378	0.0	IGF2BP1	6	0.0
NCBP2_center_left_shap	1160.7740838129973	0.0	NCBP2	3	0.0
FUS_5_right_shap	1157.4042986944987	0.0	FUS	2	0.0
METTL1_5_left_shap	1148.0355585073223	0.0	METTL1	1	0.0
EWSR1_5_right_shap	1147.5230913813357	0.0	EWSR1	2	0.0
ELAVL1_center_left_shap	1142.6680355313836	0.0	ELAVL1	3	0.0
TARDBP_5_left_shap	1132.6710455574382	0.0	TARDBP	1	0.0
DDX6_5_left_shap	1132.5889768191007	0.0	DDX6	1	0.0
DGCR8_center_right_shap	1131.4666893786002	0.0	DGCR8	4	0.0
