Cell Line	Column	Column Type	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value	RBP_PAIR
HepG2	AQR_3-SF3B4_3-interaction-shap	interaction	AQR	3	SF3B4	3	3189	-0.5082195997238159	false	0.5082195997238159	AQR-SF3B4
HepG2	YBX3_3-PRPF8_4-interaction-shap	interaction	YBX3	3	PRPF8	4	301	-0.5060933828353882	false	0.5060933828353882	PRPF8-YBX3
HepG2	SF3B4_2-PTBP1_3-interaction-shap	interaction	SF3B4	2	PTBP1	3	9	-0.5053510665893555	false	0.5053510665893555	PTBP1-SF3B4
HepG2	SND1_1-RBFOX2_4-interaction-shap	interaction	SND1	1	RBFOX2	4	118	0.5021746158599854	false	0.5021746158599854	RBFOX2-SND1
HepG2	PPIG_3-SF3B4_4-interaction-shap	interaction	PPIG	3	SF3B4	4	161	-0.5003467202186584	false	0.5003467202186584	PPIG-SF3B4
HepG2	RBFOX2_3-UCHL5_4-interaction-shap	interaction	RBFOX2	3	UCHL5	4	89	-0.49578866362571716	false	0.49578866362571716	RBFOX2-UCHL5
HepG2	DDX3X_3-PTBP1_3-interaction-shap	interaction	DDX3X	3	PTBP1	3	75	0.49194297194480896	false	0.49194297194480896	DDX3X-PTBP1
HepG2	DGCR8_3-RBFOX2_3-interaction-shap	interaction	DGCR8	3	RBFOX2	3	47	0.4859083890914917	false	0.4859083890914917	DGCR8-RBFOX2
HepG2	LARP4_5-PRPF8_6-interaction-shap	interaction	LARP4	5	PRPF8	6	405	-0.4857370853424072	false	0.4857370853424072	LARP4-PRPF8
HepG2	DGCR8_3-AQR_4-interaction-shap	interaction	DGCR8	3	AQR	4	65	0.4838145673274994	false	0.4838145673274994	AQR-DGCR8
HepG2	DDX3X_3-SND1_4-interaction-shap	interaction	DDX3X	3	SND1	4	372	-0.4717543423175812	false	0.4717543423175812	DDX3X-SND1
HepG2	RBM22_2-QKI_3-interaction-shap	interaction	RBM22	2	QKI	3	63	0.46641701459884644	false	0.46641701459884644	QKI-RBM22
HepG2	NKRF_2-DDX3X_3-interaction-shap	interaction	NKRF	2	DDX3X	3	74	-0.46346181631088257	false	0.46346181631088257	DDX3X-NKRF
HepG2	IGF2BP1_3-TIAL1_4-interaction-shap	interaction	IGF2BP1	3	TIAL1	4	98	-0.4553413689136505	false	0.4553413689136505	IGF2BP1-TIAL1
