Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value	RBP_PAIR
K562	PRPF8_2-EIF4E_6-interaction-shap	interaction	EIF4E-PRPF8	PRPF8	2	EIF4E	6	36	0.12034879624843597	false	0.12034879624843597	EIF4E-PRPF8
K562	LIN28B_1-PUM1_6-interaction-shap	interaction	LIN28B-PUM1	LIN28B	1	PUM1	6	160	-0.12032977491617203	false	0.12032977491617203	LIN28B-PUM1
K562	FXR1_6-RPS3_6-interaction-shap	interaction	FXR1-RPS3	FXR1	6	RPS3	6	169	-0.12011994421482086	false	0.12011994421482086	FXR1-RPS3
K562	RBM22_1-NOLC1_3-interaction-shap	interaction	NOLC1-RBM22	RBM22	1	NOLC1	3	10	-0.1195906400680542	false	0.1195906400680542	NOLC1-RBM22
K562	BUD13_1-QKI_1-interaction-shap	interaction	BUD13-QKI	BUD13	1	QKI	1	18	0.11824502050876617	false	0.11824502050876617	BUD13-QKI
K562	EIF4E_1-TROVE2_4-interaction-shap	interaction	EIF4E-TROVE2	EIF4E	1	TROVE2	4	6	0.11820505559444427	false	0.11820505559444427	EIF4E-TROVE2
K562	PTBP1_4-DDX43_6-interaction-shap	interaction	DDX43-PTBP1	PTBP1	4	DDX43	6	60	-0.11818752437829971	false	0.11818752437829971	DDX43-PTBP1
K562	RBFOX2_3-PABPC4_4-interaction-shap	interaction	PABPC4-RBFOX2	RBFOX2	3	PABPC4	4	30	-0.11781200766563416	false	0.11781200766563416	PABPC4-RBFOX2
K562	IGF2BP2_2-MBNL1_4-interaction-shap	interaction	IGF2BP2-MBNL1	IGF2BP2	2	MBNL1	4	11	0.11748816817998886	false	0.11748816817998886	IGF2BP2-MBNL1
K562	ELAVL1_3-PRPF8_4-interaction-shap	interaction	ELAVL1-PRPF8	ELAVL1	3	PRPF8	4	158	0.11726751178503036	false	0.11726751178503036	ELAVL1-PRPF8
K562	PTBP1_1-KHSRP_6-interaction-shap	interaction	KHSRP-PTBP1	PTBP1	1	KHSRP	6	30	-0.11698726564645767	false	0.11698726564645767	KHSRP-PTBP1
K562	DDX3X_1-PCBP1_2-interaction-shap	interaction	DDX3X-PCBP1	DDX3X	1	PCBP1	2	141	0.11637253314256668	false	0.11637253314256668	DDX3X-PCBP1
K562	DDX24_3-EXOSC10_4-interaction-shap	interaction	DDX24-EXOSC10	DDX24	3	EXOSC10	4	57	-0.11548463255167007	false	0.11548463255167007	DDX24-EXOSC10
K562	GPKOW_2-DDX24_5-interaction-shap	interaction	DDX24-GPKOW	GPKOW	2	DDX24	5	188	-0.1154603362083435	false	0.1154603362083435	DDX24-GPKOW
K562	CSTF2T_2-HNRNPM_6-interaction-shap	interaction	CSTF2T-HNRNPM	CSTF2T	2	HNRNPM	6	8	0.11448678374290466	false	0.11448678374290466	CSTF2T-HNRNPM
K562	U2AF2_1-FAM120A_5-interaction-shap	interaction	FAM120A-U2AF2	U2AF2	1	FAM120A	5	30	-0.11421237885951996	false	0.11421237885951996	FAM120A-U2AF2
K562	BUD13_3-SRSF7_5-interaction-shap	interaction	BUD13-SRSF7	BUD13	3	SRSF7	5	30	-0.11402056366205215	true	0.11402056366205215	BUD13-SRSF7
K562	DHX30_1-LIN28B_6-interaction-shap	interaction	DHX30-LIN28B	DHX30	1	LIN28B	6	12	0.11365773528814316	false	0.11365773528814316	DHX30-LIN28B
K562	EXOSC10_1-SRSF1_4-interaction-shap	interaction	EXOSC10-SRSF1	EXOSC10	1	SRSF1	4	51	-0.11343927681446075	false	0.11343927681446075	EXOSC10-SRSF1
K562	RBFOX2_1-ZNF622_3-interaction-shap	interaction	RBFOX2-ZNF622	RBFOX2	1	ZNF622	3	35	-0.11340954154729843	false	0.11340954154729843	RBFOX2-ZNF622
K562	U2AF2_3-NOLC1_5-interaction-shap	interaction	NOLC1-U2AF2	U2AF2	3	NOLC1	5	74	-0.11317002028226852	false	0.11317002028226852	NOLC1-U2AF2
K562	EIF4G2_2-CSTF2T_5-interaction-shap	interaction	CSTF2T-EIF4G2	EIF4G2	2	CSTF2T	5	4	-0.11296087503433228	false	0.11296087503433228	CSTF2T-EIF4G2
K562	GPKOW_3-METAP2_3-interaction-shap	interaction	GPKOW-METAP2	GPKOW	3	METAP2	3	22	-0.11268576979637146	false	0.11268576979637146	GPKOW-METAP2
K562	GRWD1_4-DGCR8_5-interaction-shap	interaction	DGCR8-GRWD1	GRWD1	4	DGCR8	5	4	0.1124701052904129	false	0.1124701052904129	DGCR8-GRWD1
K562	GPKOW_1-EFTUD2_5-interaction-shap	interaction	EFTUD2-GPKOW	GPKOW	1	EFTUD2	5	71	-0.11193983256816864	false	0.11193983256816864	EFTUD2-GPKOW
K562	METAP2_2-SRSF1_2-interaction-shap	interaction	METAP2-SRSF1	METAP2	2	SRSF1	2	35	-0.11119639128446579	false	0.11119639128446579	METAP2-SRSF1
K562	RBFOX2_2-DDX24_4-interaction-shap	interaction	DDX24-RBFOX2	RBFOX2	2	DDX24	4	210	-0.11098611354827881	false	0.11098611354827881	DDX24-RBFOX2
K562	QKI_3-GPKOW_5-interaction-shap	interaction	GPKOW-QKI	QKI	3	GPKOW	5	10	0.11060954630374908	false	0.11060954630374908	GPKOW-QKI
K562	DDX24_2-TAF15_4-interaction-shap	interaction	DDX24-TAF15	DDX24	2	TAF15	4	21	0.10995882749557495	false	0.10995882749557495	DDX24-TAF15
K562	EIF4E_2-SRSF1_4-interaction-shap	interaction	EIF4E-SRSF1	EIF4E	2	SRSF1	4	72	-0.10873003304004669	false	0.10873003304004669	EIF4E-SRSF1
K562	SRSF1_1-XRN2_2-interaction-shap	interaction	SRSF1-XRN2	SRSF1	1	XRN2	2	75	-0.10867639631032944	false	0.10867639631032944	SRSF1-XRN2
K562	BUD13_3-ZNF622_3-interaction-shap	interaction	BUD13-ZNF622	BUD13	3	ZNF622	3	985	-0.10854645073413849	false	0.10854645073413849	BUD13-ZNF622
K562	LIN28B_3-FXR1_4-interaction-shap	interaction	FXR1-LIN28B	LIN28B	3	FXR1	4	156	-0.10853904485702515	false	0.10853904485702515	FXR1-LIN28B
K562	EIF4E_1-IGF2BP2_3-interaction-shap	interaction	EIF4E-IGF2BP2	EIF4E	1	IGF2BP2	3	128	-0.10844428837299347	false	0.10844428837299347	EIF4E-IGF2BP2
K562	TIA1_2-PABPC4_5-interaction-shap	interaction	PABPC4-TIA1	TIA1	2	PABPC4	5	267	-0.10841860622167587	false	0.10841860622167587	PABPC4-TIA1
K562	MTPAP_2-SRSF1_4-interaction-shap	interaction	MTPAP-SRSF1	MTPAP	2	SRSF1	4	89	-0.10761216282844543	false	0.10761216282844543	MTPAP-SRSF1
K562	DROSHA_3-PRPF8_4-interaction-shap	interaction	DROSHA-PRPF8	DROSHA	3	PRPF8	4	326	-0.10749969631433487	false	0.10749969631433487	DROSHA-PRPF8
K562	TIA1_2-FXR1_4-interaction-shap	interaction	FXR1-TIA1	TIA1	2	FXR1	4	93	-0.10740923136472702	false	0.10740923136472702	FXR1-TIA1
K562	RBM15_1-GPKOW_6-interaction-shap	interaction	GPKOW-RBM15	RBM15	1	GPKOW	6	99	-0.10731852054595947	false	0.10731852054595947	GPKOW-RBM15
K562	XRCC6_1-IGF2BP1_6-interaction-shap	interaction	IGF2BP1-XRCC6	XRCC6	1	IGF2BP1	6	45	-0.10729439556598663	false	0.10729439556598663	IGF2BP1-XRCC6
K562	PRPF8_2-RBM22_2-interaction-shap	interaction	PRPF8-RBM22	PRPF8	2	RBM22	2	3006	0.10699402540922165	false	0.10699402540922165	PRPF8-RBM22
K562	KHSRP_2-TAF15_4-interaction-shap	interaction	KHSRP-TAF15	KHSRP	2	TAF15	4	4	-0.10691399872303009	false	0.10691399872303009	KHSRP-TAF15
K562	U2AF2_5-DDX24_6-interaction-shap	interaction	DDX24-U2AF2	U2AF2	5	DDX24	6	710	0.10682039707899094	false	0.10682039707899094	DDX24-U2AF2
K562	QKI_1-SF3B4_1-interaction-shap	interaction	QKI-SF3B4	QKI	1	SF3B4	1	38	0.10630161315202713	false	0.10630161315202713	QKI-SF3B4
K562	MBNL1_2-PTBP1_2-interaction-shap	interaction	MBNL1-PTBP1	MBNL1	2	PTBP1	2	4	-0.10611523687839508	false	0.10611523687839508	MBNL1-PTBP1
