Cell Line	Column	Column Type	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value
K562	CSTF2T_2-TARDBP_6-interaction-shap	interaction	CSTF2T	2	TARDBP	6	3	0.0	false	0.0
K562	CSTF2T_2-TIA1_6-interaction-shap	interaction	CSTF2T	2	TIA1	6	103	0.0	false	0.0
K562	CSTF2T_2-TRA2A_6-interaction-shap	interaction	CSTF2T	2	TRA2A	6	86	0.0	false	0.0
K562	CSTF2T_2-U2AF2_6-interaction-shap	interaction	CSTF2T	2	U2AF2	6	30	0.0	false	0.0
K562	PRPF8_1-SF3B1_3-interaction-shap	interaction	PRPF8	1	SF3B1	3	6	0.0	false	0.0
K562	CSTF2T_2-UPF1_6-interaction-shap	interaction	CSTF2T	2	UPF1	6	31	0.0	false	0.0
K562	CSTF2T_2-UTP18_6-interaction-shap	interaction	CSTF2T	2	UTP18	6	17	0.0	false	0.0
K562	CSTF2T_2-XRCC6_6-interaction-shap	interaction	CSTF2T	2	XRCC6	6	7	0.0	false	0.0
K562	CSTF2T_2-XRN2_6-interaction-shap	interaction	CSTF2T	2	XRN2	6	83	0.0	false	0.0
K562	CSTF2T_2-YBX3_6-interaction-shap	interaction	CSTF2T	2	YBX3	6	368	0.0	false	0.0
K562	CSTF2T_2-YWHAG_6-interaction-shap	interaction	CSTF2T	2	YWHAG	6	1	0.0	false	0.0
K562	PRPF8_1-RPS6_3-interaction-shap	interaction	PRPF8	1	RPS6	3	23	0.0	false	0.0
K562	CSTF2T_2-ZNF622_6-interaction-shap	interaction	CSTF2T	2	ZNF622	6	355	0.0	false	0.0
K562	CSTF2T_2-ZNF800_6-interaction-shap	interaction	CSTF2T	2	ZNF800	6	145	0.0	false	0.0
K562	DDX1_2-APOBEC3C_6-interaction-shap	interaction	DDX1	2	APOBEC3C	6	5	0.0	false	0.0
K562	PRPF8_1-RPS3_3-interaction-shap	interaction	PRPF8	1	RPS3	3	75	0.0	false	0.0
K562	DDX1_2-CPSF6_6-interaction-shap	interaction	DDX1	2	CPSF6	6	7	0.0	false	0.0
K562	DDX1_2-CSTF2T_6-interaction-shap	interaction	DDX1	2	CSTF2T	6	9	0.0	false	0.0
K562	DDX1_2-DDX6_6-interaction-shap	interaction	DDX1	2	DDX6	6	1	0.0	false	0.0
K562	DDX1_2-DGCR8_6-interaction-shap	interaction	DDX1	2	DGCR8	6	8	0.0	false	0.0
K562	DDX1_2-EFTUD2_6-interaction-shap	interaction	DDX1	2	EFTUD2	6	47	0.0	false	0.0
K562	DDX1_2-ELAC2_6-interaction-shap	interaction	DDX1	2	ELAC2	6	2	0.0	false	0.0
K562	DDX1_2-ELAVL1_6-interaction-shap	interaction	DDX1	2	ELAVL1	6	1	0.0	false	0.0
K562	DDX1_2-EWSR1_6-interaction-shap	interaction	DDX1	2	EWSR1	6	61	0.0	false	0.0
K562	DDX1_2-EXOSC10_6-interaction-shap	interaction	DDX1	2	EXOSC10	6	2	0.0	false	0.0
K562	DDX1_2-FASTKD2_6-interaction-shap	interaction	DDX1	2	FASTKD2	6	37	0.0	false	0.0
K562	DDX1_2-FMR1_6-interaction-shap	interaction	DDX1	2	FMR1	6	1	0.0	false	0.0
K562	PRPF8_1-RBM22_3-interaction-shap	interaction	PRPF8	1	RBM22	3	10	0.0	false	0.0
K562	DDX1_2-FXR1_6-interaction-shap	interaction	DDX1	2	FXR1	6	1	0.0	false	0.0
K562	DDX1_2-FXR2_6-interaction-shap	interaction	DDX1	2	FXR2	6	2	0.0	false	0.0
K562	DDX1_2-GTF2F1_6-interaction-shap	interaction	DDX1	2	GTF2F1	6	7	0.0	false	0.0
K562	DDX1_2-HNRNPK_6-interaction-shap	interaction	DDX1	2	HNRNPK	6	2	0.0	false	0.0
K562	DDX1_2-IGF2BP1_6-interaction-shap	interaction	DDX1	2	IGF2BP1	6	11	0.0	false	0.0
K562	DDX1_2-IGF2BP2_6-interaction-shap	interaction	DDX1	2	IGF2BP2	6	7	0.0	false	0.0
K562	DDX1_2-ILF3_6-interaction-shap	interaction	DDX1	2	ILF3	6	1	0.0	false	0.0
K562	DDX1_2-LIN28B_6-interaction-shap	interaction	DDX1	2	LIN28B	6	3	0.0	false	0.0
K562	DDX1_2-MTPAP_6-interaction-shap	interaction	DDX1	2	MTPAP	6	22	0.0	false	0.0
K562	DDX1_2-NONO_6-interaction-shap	interaction	DDX1	2	NONO	6	3	0.0	false	0.0
K562	DDX1_2-PCBP1_6-interaction-shap	interaction	DDX1	2	PCBP1	6	4	0.0	false	0.0
K562	DDX1_2-PRPF8_6-interaction-shap	interaction	DDX1	2	PRPF8	6	51	0.0	false	0.0
K562	DDX1_2-RBFOX2_6-interaction-shap	interaction	DDX1	2	RBFOX2	6	23	0.0	false	0.0
K562	DDX1_2-RBM15_6-interaction-shap	interaction	DDX1	2	RBM15	6	3	0.0	false	0.0
K562	DDX1_2-RBM22_6-interaction-shap	interaction	DDX1	2	RBM22	6	24	0.0	false	0.0
K562	DDX1_2-SF3B4_6-interaction-shap	interaction	DDX1	2	SF3B4	6	66	0.0	false	0.0
K562	DDX1_2-SMNDC1_6-interaction-shap	interaction	DDX1	2	SMNDC1	6	56	0.0	false	0.0
K562	DDX1_2-SRSF7_6-interaction-shap	interaction	DDX1	2	SRSF7	6	6	0.0	false	0.0
K562	DDX1_2-TIA1_6-interaction-shap	interaction	DDX1	2	TIA1	6	37	0.0	false	0.0
K562	DDX1_2-TRA2A_6-interaction-shap	interaction	DDX1	2	TRA2A	6	8	0.0	false	0.0
K562	DDX1_2-UCHL5_6-interaction-shap	interaction	DDX1	2	UCHL5	6	19	0.0	false	0.0
K562	DDX1_2-XRN2_6-interaction-shap	interaction	DDX1	2	XRN2	6	7	0.0	false	0.0
K562	DDX21_2-EFTUD2_6-interaction-shap	interaction	DDX21	2	EFTUD2	6	2	0.0	false	0.0
K562	DDX21_2-EIF4E_6-interaction-shap	interaction	DDX21	2	EIF4E	6	5	0.0	false	0.0
K562	DDX21_2-PRPF8_6-interaction-shap	interaction	DDX21	2	PRPF8	6	8	0.0	false	0.0
K562	DDX21_2-RBM22_6-interaction-shap	interaction	DDX21	2	RBM22	6	4	0.0	false	0.0
K562	PRPF8_1-RBM15_3-interaction-shap	interaction	PRPF8	1	RBM15	3	76	0.0	false	0.0
