Cell Line	Column	Column Type	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value
K562	BUD13_2-HNRNPC_2-interaction-shap	interaction	BUD13	2	HNRNPC	2	39	0.009265256114304066	false	0.009265256114304066
K562	DDX55_2-PRPF8_2-interaction-shap	interaction	DDX55	2	PRPF8	2	278	0.009257885627448559	false	0.009257885627448559
K562	CSTF2T_3-HNRNPL_3-interaction-shap	interaction	CSTF2T	3	HNRNPL	3	33	-0.009250306524336338	true	0.009250306524336338
K562	BUD13_3-IGF2BP1_3-interaction-shap	interaction	BUD13	3	IGF2BP1	3	94	0.009219018742442131	false	0.009219018742442131
K562	IGF2BP2_3-U2AF2_3-interaction-shap	interaction	IGF2BP2	3	U2AF2	3	144	-0.009213894605636597	false	0.009213894605636597
K562	NONO_4-RBM22_4-interaction-shap	interaction	NONO	4	RBM22	4	45	0.009191945195198059	false	0.009191945195198059
K562	PUM2_4-YBX3_4-interaction-shap	interaction	PUM2	4	YBX3	4	89	-0.009159033186733723	false	0.009159033186733723
K562	DDX3X_1-RBM15_1-interaction-shap	interaction	DDX3X	1	RBM15	1	874	0.009158726781606674	false	0.009158726781606674
K562	SF3B4_3-UPF1_3-interaction-shap	interaction	SF3B4	3	UPF1	3	51	-0.009158630855381489	false	0.009158630855381489
K562	ELAC2_5-PRPF8_5-interaction-shap	interaction	ELAC2	5	PRPF8	5	61	0.009119795635342598	false	0.009119795635342598
K562	DDX24_6-U2AF2_6-interaction-shap	interaction	DDX24	6	U2AF2	6	60	0.00909972470253706	false	0.00909972470253706
K562	GTF2F1_3-UCHL5_3-interaction-shap	interaction	GTF2F1	3	UCHL5	3	188	0.00908737163990736	false	0.00908737163990736
K562	EFTUD2_4-SRSF7_4-interaction-shap	interaction	EFTUD2	4	SRSF7	4	66	0.009071741253137589	false	0.009071741253137589
K562	DDX3X_4-TIA1_4-interaction-shap	interaction	DDX3X	4	TIA1	4	43	-0.009053243324160576	false	0.009053243324160576
K562	NOLC1_1-RPS3_1-interaction-shap	interaction	NOLC1	1	RPS3	1	77	0.009024063125252724	false	0.009024063125252724
K562	SF3B4_5-TARDBP_5-interaction-shap	interaction	SF3B4	5	TARDBP	5	224	-0.00893616396933794	false	0.00893616396933794
K562	FXR2_4-RBM22_4-interaction-shap	interaction	FXR2	4	RBM22	4	71	-0.00890511367470026	false	0.00890511367470026
K562	EWSR1_2-FAM120A_2-interaction-shap	interaction	EWSR1	2	FAM120A	2	129	0.008879079483449459	false	0.008879079483449459
K562	GPKOW_6-GRWD1_6-interaction-shap	interaction	GPKOW	6	GRWD1	6	164	-0.008877086453139782	false	0.008877086453139782
K562	ELAC2_6-PUM2_6-interaction-shap	interaction	ELAC2	6	PUM2	6	235	0.008868474513292313	false	0.008868474513292313
K562	DGCR8_3-SF3B4_3-interaction-shap	interaction	DGCR8	3	SF3B4	3	144	0.008853234350681305	false	0.008853234350681305
K562	DDX3X_4-EFTUD2_4-interaction-shap	interaction	DDX3X	4	EFTUD2	4	211	-0.008830437436699867	false	0.008830437436699867
K562	EWSR1_4-XRN2_4-interaction-shap	interaction	EWSR1	4	XRN2	4	224	0.008806765079498291	false	0.008806765079498291
K562	DDX24_3-EWSR1_3-interaction-shap	interaction	DDX24	3	EWSR1	3	294	0.008796749636530876	false	0.008796749636530876
K562	BUD13_5-METAP2_5-interaction-shap	interaction	BUD13	5	METAP2	5	489	0.008627235889434814	false	0.008627235889434814
K562	IGF2BP1_6-KHSRP_6-interaction-shap	interaction	IGF2BP1	6	KHSRP	6	284	0.00862581841647625	false	0.00862581841647625
K562	IGF2BP2_5-SND1_5-interaction-shap	interaction	IGF2BP2	5	SND1	5	176	-0.008618115447461605	false	0.008618115447461605
K562	TIA1_2-YBX3_2-interaction-shap	interaction	TIA1	2	YBX3	2	324	0.00858309492468834	false	0.00858309492468834
K562	GRWD1_1-LIN28B_1-interaction-shap	interaction	GRWD1	1	LIN28B	1	342	0.008533289656043053	false	0.008533289656043053
K562	IGF2BP2_3-RBM15_3-interaction-shap	interaction	IGF2BP2	3	RBM15	3	27	0.008532244712114334	false	0.008532244712114334
K562	CSTF2T_2-FTO_2-interaction-shap	interaction	CSTF2T	2	FTO	2	406	-0.008506259880959988	false	0.008506259880959988
K562	EXOSC10_3-SRSF1_3-interaction-shap	interaction	EXOSC10	3	SRSF1	3	128	-0.008497918955981731	false	0.008497918955981731
K562	LIN28B_3-U2AF2_3-interaction-shap	interaction	LIN28B	3	U2AF2	3	179	-0.008374256081879139	false	0.008374256081879139
K562	DDX47_3-EFTUD2_3-interaction-shap	interaction	DDX47	3	EFTUD2	3	16	-0.008338493295013905	false	0.008338493295013905
K562	KHSRP_3-LIN28B_3-interaction-shap	interaction	KHSRP	3	LIN28B	3	312	-0.008296393789350986	false	0.008296393789350986
K562	EIF3G_1-UCHL5_1-interaction-shap	interaction	EIF3G	1	UCHL5	1	60	-0.008278530091047287	false	0.008278530091047287
K562	METAP2_1-SF3B4_1-interaction-shap	interaction	METAP2	1	SF3B4	1	546	0.008192881010472775	false	0.008192881010472775
K562	DDX42_3-SF3B4_3-interaction-shap	interaction	DDX42	3	SF3B4	3	113	-0.00816232431679964	false	0.00816232431679964
K562	RPS3_3-TAF15_3-interaction-shap	interaction	RPS3	3	TAF15	3	22	-0.008112055249512196	false	0.008112055249512196
K562	U2AF1_5-XRN2_5-interaction-shap	interaction	U2AF1	5	XRN2	5	20	-0.008082455024123192	false	0.008082455024123192
K562	SRSF1_3-U2AF2_3-interaction-shap	interaction	SRSF1	3	U2AF2	3	97	-0.008080091327428818	false	0.008080091327428818
K562	BUD13_1-UCHL5_1-interaction-shap	interaction	BUD13	1	UCHL5	1	1109	0.008031558245420456	false	0.008031558245420456
K562	PUM2_5-YBX3_5-interaction-shap	interaction	PUM2	5	YBX3	5	169	-0.008025184273719788	false	0.008025184273719788
K562	PTBP1_4-TRA2A_4-interaction-shap	interaction	PTBP1	4	TRA2A	4	41	0.008023601025342941	false	0.008023601025342941
K562	FMR1_5-RPS6_5-interaction-shap	interaction	FMR1	5	RPS6	5	5	0.007965341210365295	false	0.007965341210365295
K562	DROSHA_5-EWSR1_5-interaction-shap	interaction	DROSHA	5	EWSR1	5	208	-0.007937448099255562	false	0.007937448099255562
K562	ELAC2_4-EXOSC5_4-interaction-shap	interaction	ELAC2	4	EXOSC5	4	8	-0.007933985441923141	false	0.007933985441923141
K562	PABPC4_4-PUM2_4-interaction-shap	interaction	PABPC4	4	PUM2	4	82	-0.007901545614004135	false	0.007901545614004135
K562	EWSR1_2-LSM11_2-interaction-shap	interaction	EWSR1	2	LSM11	2	414	-0.007853660732507706	false	0.007853660732507706
K562	DDX3X_1-FTO_1-interaction-shap	interaction	DDX3X	1	FTO	1	406	0.007822870276868343	false	0.007822870276868343
K562	GPKOW_4-RPS3_4-interaction-shap	interaction	GPKOW	4	RPS3	4	120	0.0077935680747032166	false	0.0077935680747032166
K562	BUD13_2-RBM22_2-interaction-shap	interaction	BUD13	2	RBM22	2	743	-0.007785333786159754	true	0.007785333786159754
K562	BUD13_3-PUM2_3-interaction-shap	interaction	BUD13	3	PUM2	3	49	0.007762931287288666	false	0.007762931287288666
K562	GRWD1_4-SRSF1_4-interaction-shap	interaction	GRWD1	4	SRSF1	4	445	-0.007758843246847391	false	0.007758843246847391
K562	EIF4E_1-PHF6_1-interaction-shap	interaction	EIF4E	1	PHF6	1	9	0.007758120074868202	false	0.007758120074868202
K562	ILF3_4-PRPF8_4-interaction-shap	interaction	ILF3	4	PRPF8	4	25	0.0077387369237840176	false	0.0077387369237840176
K562	FMR1_4-LIN28B_4-interaction-shap	interaction	FMR1	4	LIN28B	4	221	-0.0077250637114048	false	0.0077250637114048
K562	SND1_1-SRSF1_1-interaction-shap	interaction	SND1	1	SRSF1	1	59	0.0077056847512722015	false	0.0077056847512722015
K562	PABPC4_1-RPS3_1-interaction-shap	interaction	PABPC4	1	RPS3	1	609	-0.007699380163103342	false	0.007699380163103342
K562	EFTUD2_4-HNRNPL_4-interaction-shap	interaction	EFTUD2	4	HNRNPL	4	5	-0.007696819491684437	false	0.007696819491684437
K562	DDX3X_2-ZNF622_2-interaction-shap	interaction	DDX3X	2	ZNF622	2	514	0.007657215464860201	false	0.007657215464860201
K562	LIN28B_2-PUM2_2-interaction-shap	interaction	LIN28B	2	PUM2	2	96	0.007654916495084763	false	0.007654916495084763
K562	DDX43_1-LIN28B_1-interaction-shap	interaction	DDX43	1	LIN28B	1	387	0.007648427505046129	false	0.007648427505046129
K562	AQR_2-IGF2BP2_2-interaction-shap	interaction	AQR	2	IGF2BP2	2	1119	0.007636798080056906	false	0.007636798080056906
K562	LIN28B_1-UCHL5_1-interaction-shap	interaction	LIN28B	1	UCHL5	1	501	-0.007620920892804861	false	0.007620920892804861
K562	DDX43_3-EIF4G2_3-interaction-shap	interaction	DDX43	3	EIF4G2	3	24	0.007618428207933903	false	0.007618428207933903
K562	FXR2_3-IGF2BP1_3-interaction-shap	interaction	FXR2	3	IGF2BP1	3	11	0.00761759839951992	false	0.00761759839951992
K562	AGGF1_2-EXOSC10_2-interaction-shap	interaction	AGGF1	2	EXOSC10	2	58	0.007576285861432552	false	0.007576285861432552
K562	PRPF8_1-ZNF622_1-interaction-shap	interaction	PRPF8	1	ZNF622	1	183	-0.007556477095931768	false	0.007556477095931768
K562	DDX3X_2-PUM2_2-interaction-shap	interaction	DDX3X	2	PUM2	2	16	0.007532607298344374	false	0.007532607298344374
K562	DDX24_3-SRSF1_3-interaction-shap	interaction	DDX24	3	SRSF1	3	469	0.007527792826294899	false	0.007527792826294899
K562	AKAP8L_2-PRPF8_2-interaction-shap	interaction	AKAP8L	2	PRPF8	2	501	-0.00752123212441802	false	0.00752123212441802
K562	IGF2BP2_1-SF3B4_1-interaction-shap	interaction	IGF2BP2	1	SF3B4	1	189	-0.007517524529248476	false	0.007517524529248476
K562	NOLC1_1-U2AF2_1-interaction-shap	interaction	NOLC1	1	U2AF2	1	3	-0.0075066834688186646	false	0.0075066834688186646
K562	DDX3X_2-GEMIN5_2-interaction-shap	interaction	DDX3X	2	GEMIN5	2	2329	0.007466808892786503	false	0.007466808892786503
K562	CPEB4_6-MBNL1_6-interaction-shap	interaction	CPEB4	6	MBNL1	6	1	0.007446119096130133	false	0.007446119096130133
K562	PRPF8_3-UCHL5_3-interaction-shap	interaction	PRPF8	3	UCHL5	3	427	0.00741072092205286	false	0.00741072092205286
K562	AGGF1_6-HNRNPL_6-interaction-shap	interaction	AGGF1	6	HNRNPL	6	116	0.007405451033264399	false	0.007405451033264399
K562	TRA2A_6-U2AF2_6-interaction-shap	interaction	TRA2A	6	U2AF2	6	27	-0.00739790964871645	false	0.00739790964871645
K562	LIN28B_4-ZC3H11A_4-interaction-shap	interaction	LIN28B	4	ZC3H11A	4	59	0.007394831627607346	false	0.007394831627607346
K562	BUD13_4-PABPC4_4-interaction-shap	interaction	BUD13	4	PABPC4	4	315	0.00739371357485652	false	0.00739371357485652
K562	DROSHA_5-FUS_5-interaction-shap	interaction	DROSHA	5	FUS	5	118	0.00730386795476079	false	0.00730386795476079
K562	LIN28B_6-TIA1_6-interaction-shap	interaction	LIN28B	6	TIA1	6	241	0.0072858394123613834	false	0.0072858394123613834
K562	U2AF2_3-YBX3_3-interaction-shap	interaction	U2AF2	3	YBX3	3	140	-0.0072798472829163074	false	0.0072798472829163074
K562	DDX24_1-IGF2BP1_1-interaction-shap	interaction	DDX24	1	IGF2BP1	1	170	-0.007186443544924259	false	0.007186443544924259
K562	EIF4G2_3-HNRNPUL1_3-interaction-shap	interaction	EIF4G2	3	HNRNPUL1	3	17	0.007186303846538067	true	0.007186303846538067
K562	RPS3_4-XRN2_4-interaction-shap	interaction	RPS3	4	XRN2	4	55	0.0071832421235740185	false	0.0071832421235740185
K562	DDX3X_4-SND1_4-interaction-shap	interaction	DDX3X	4	SND1	4	45	-0.0071790870279073715	false	0.0071790870279073715
K562	IGF2BP2_4-SND1_4-interaction-shap	interaction	IGF2BP2	4	SND1	4	170	0.00716150039806962	false	0.00716150039806962
K562	EFTUD2_5-RBFOX2_5-interaction-shap	interaction	EFTUD2	5	RBFOX2	5	302	-0.007158632390201092	false	0.007158632390201092
K562	SF3B4_1-SRSF1_1-interaction-shap	interaction	SF3B4	1	SRSF1	1	476	-0.007152044679969549	false	0.007152044679969549
K562	IGF2BP1_2-UCHL5_2-interaction-shap	interaction	IGF2BP1	2	UCHL5	2	156	0.007143404800444841	false	0.007143404800444841
K562	DDX3X_6-TIA1_6-interaction-shap	interaction	DDX3X	6	TIA1	6	36	0.007139075081795454	false	0.007139075081795454
K562	GPKOW_6-UCHL5_6-interaction-shap	interaction	GPKOW	6	UCHL5	6	389	0.007115411572158337	false	0.007115411572158337
K562	DDX43_6-EXOSC10_6-interaction-shap	interaction	DDX43	6	EXOSC10	6	401	0.007108327001333237	false	0.007108327001333237
K562	RBM22_4-ZNF800_4-interaction-shap	interaction	RBM22	4	ZNF800	4	311	-0.007077598478645086	false	0.007077598478645086
