Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value
HepG2	BUD13_3-EFTUD2_4-interaction-shap	interaction	BUD13-EFTUD2	BUD13	3	EFTUD2	4	881	-0.3670545816421509	false	0.3670545816421509
HepG2	SUB1_2-ZC3H11A_6-interaction-shap	interaction	SUB1-ZC3H11A	SUB1	2	ZC3H11A	6	40	-0.36695241928100586	false	0.36695241928100586
HepG2	TARDBP_3-XPO5_5-interaction-shap	interaction	TARDBP-XPO5	TARDBP	3	XPO5	5	13	-0.3641131520271301	false	0.3641131520271301
HepG2	SF3B4_1-DDX3X_6-interaction-shap	interaction	DDX3X-SF3B4	SF3B4	1	DDX3X	6	31	0.36337894201278687	false	0.36337894201278687
HepG2	U2AF2_1-PTBP1_4-interaction-shap	interaction	PTBP1-U2AF2	U2AF2	1	PTBP1	4	13	-0.3613869547843933	false	0.3613869547843933
HepG2	DDX3X_2-EIF3H_4-interaction-shap	interaction	DDX3X-EIF3H	DDX3X	2	EIF3H	4	21	-0.3547847867012024	false	0.3547847867012024
HepG2	EFTUD2_1-SF3A3_6-interaction-shap	interaction	EFTUD2-SF3A3	EFTUD2	1	SF3A3	6	16	-0.352591335773468	false	0.352591335773468
HepG2	IGF2BP3_5-CSTF2T_6-interaction-shap	interaction	CSTF2T-IGF2BP3	IGF2BP3	5	CSTF2T	6	8	-0.3516484200954437	false	0.3516484200954437
HepG2	RPS3_3-SRSF9_4-interaction-shap	interaction	RPS3-SRSF9	RPS3	3	SRSF9	4	65	-0.35095205903053284	false	0.35095205903053284
HepG2	U2AF1_3-LIN28B_6-interaction-shap	interaction	LIN28B-U2AF1	U2AF1	3	LIN28B	6	35	-0.34761762619018555	false	0.34761762619018555
HepG2	EFTUD2_5-SF3B4_6-interaction-shap	interaction	EFTUD2-SF3B4	EFTUD2	5	SF3B4	6	87	-0.34483563899993896	false	0.34483563899993896
HepG2	SMNDC1_1-SF3B4_4-interaction-shap	interaction	SF3B4-SMNDC1	SMNDC1	1	SF3B4	4	16	-0.34429243206977844	false	0.34429243206977844
HepG2	SF3B4_1-RBM5_4-interaction-shap	interaction	RBM5-SF3B4	SF3B4	1	RBM5	4	106	-0.3435770273208618	false	0.3435770273208618
HepG2	G3BP1_3-PRPF4_5-interaction-shap	interaction	G3BP1-PRPF4	G3BP1	3	PRPF4	5	96	-0.3407353162765503	false	0.3407353162765503
HepG2	DDX3X_3-BUD13_4-interaction-shap	interaction	BUD13-DDX3X	DDX3X	3	BUD13	4	229	-0.3371936082839966	false	0.3371936082839966
HepG2	U2AF2_3-UCHL5_6-interaction-shap	interaction	U2AF2-UCHL5	U2AF2	3	UCHL5	6	267	-0.3366154432296753	false	0.3366154432296753
HepG2	PPIG_1-RBM5_4-interaction-shap	interaction	PPIG-RBM5	PPIG	1	RBM5	4	101	-0.33540835976600647	false	0.33540835976600647
HepG2	SF3B4_3-U2AF1_3-interaction-shap	interaction	SF3B4-U2AF1	SF3B4	3	U2AF1	3	402	-0.3349000811576843	false	0.3349000811576843
HepG2	GTF2F1_2-SFPQ_2-interaction-shap	interaction	GTF2F1-SFPQ	GTF2F1	2	SFPQ	2	56	0.33160465955734253	false	0.33160465955734253
HepG2	SF3A3_3-XRN2_5-interaction-shap	interaction	SF3A3-XRN2	SF3A3	3	XRN2	5	99	-0.3303396701812744	false	0.3303396701812744
HepG2	TARDBP_1-SRSF1_4-interaction-shap	interaction	SRSF1-TARDBP	TARDBP	1	SRSF1	4	28	-0.32660695910453796	false	0.32660695910453796
HepG2	U2AF1_3-PPIG_6-interaction-shap	interaction	PPIG-U2AF1	U2AF1	3	PPIG	6	402	0.32536590099334717	false	0.32536590099334717
HepG2	DDX3X_1-TIAL1_4-interaction-shap	interaction	DDX3X-TIAL1	DDX3X	1	TIAL1	4	168	0.3220595717430115	false	0.3220595717430115
HepG2	LARP4_2-RBFOX2_2-interaction-shap	interaction	LARP4-RBFOX2	LARP4	2	RBFOX2	2	151	0.32172608375549316	false	0.32172608375549316
