Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value	RBP_PAIR
K562	DHX30_1-HNRNPK_3-interaction-shap	interaction	DHX30-HNRNPK	DHX30	1	HNRNPK	3	6	9.05897468328476e-6	false	9.05897468328476e-6	DHX30-HNRNPK
K562	LARP4_3-SRSF1_5-interaction-shap	interaction	LARP4-SRSF1	LARP4	3	SRSF1	5	33	8.549774975108448e-6	false	8.549774975108448e-6	LARP4-SRSF1
K562	UCHL5_1-KHDRBS1_6-interaction-shap	interaction	KHDRBS1-UCHL5	UCHL5	1	KHDRBS1	6	72	-8.315184459206648e-6	false	8.315184459206648e-6	KHDRBS1-UCHL5
K562	APOBEC3C_3-SMNDC1_5-interaction-shap	interaction	APOBEC3C-SMNDC1	APOBEC3C	3	SMNDC1	5	9	7.403500148939202e-6	false	7.403500148939202e-6	APOBEC3C-SMNDC1
K562	PCBP1_2-DDX52_3-interaction-shap	interaction	DDX52-PCBP1	PCBP1	2	DDX52	3	67	-6.871110599604435e-6	false	6.871110599604435e-6	DDX52-PCBP1
K562	HNRNPK_2-SMNDC1_5-interaction-shap	interaction	HNRNPK-SMNDC1	HNRNPK	2	SMNDC1	5	41	-6.702068276354112e-6	false	6.702068276354112e-6	HNRNPK-SMNDC1
K562	FUS_1-ILF3_3-interaction-shap	interaction	FUS-ILF3	FUS	1	ILF3	3	8	6.424932507798076e-6	false	6.424932507798076e-6	FUS-ILF3
K562	RBM22_2-GTF2F1_6-interaction-shap	interaction	GTF2F1-RBM22	RBM22	2	GTF2F1	6	10	-6.22051311438554e-6	false	6.22051311438554e-6	GTF2F1-RBM22
K562	RBM15_5-CPEB4_6-interaction-shap	interaction	CPEB4-RBM15	RBM15	5	CPEB4	6	10	-5.906447768211365e-6	false	5.906447768211365e-6	CPEB4-RBM15
K562	BUD13_2-SUPV3L1_3-interaction-shap	interaction	BUD13-SUPV3L1	BUD13	2	SUPV3L1	3	7	4.30806539952755e-6	false	4.30806539952755e-6	BUD13-SUPV3L1
K562	HNRNPK_1-FXR2_4-interaction-shap	interaction	FXR2-HNRNPK	HNRNPK	1	FXR2	4	7	-3.57681096829765e-6	false	3.57681096829765e-6	FXR2-HNRNPK
K562	SRSF7_2-DDX6_3-interaction-shap	interaction	DDX6-SRSF7	SRSF7	2	DDX6	3	20	-3.5049524740315974e-6	false	3.5049524740315974e-6	DDX6-SRSF7
K562	DDX6_2-RBFOX2_5-interaction-shap	interaction	DDX6-RBFOX2	DDX6	2	RBFOX2	5	52	2.8897641186631517e-6	false	2.8897641186631517e-6	DDX6-RBFOX2
K562	HNRNPC_2-EFTUD2_4-interaction-shap	interaction	EFTUD2-HNRNPC	HNRNPC	2	EFTUD2	4	5	2.6106833956873743e-6	false	2.6106833956873743e-6	EFTUD2-HNRNPC
K562	XRCC6_2-U2AF2_5-interaction-shap	interaction	U2AF2-XRCC6	XRCC6	2	U2AF2	5	33	1.995383399844286e-6	false	1.995383399844286e-6	U2AF2-XRCC6
K562	DDX3X_3-CPEB4_6-interaction-shap	interaction	CPEB4-DDX3X	DDX3X	3	CPEB4	6	1	-1.8477439880371094e-6	false	1.8477439880371094e-6	CPEB4-DDX3X
K562	EXOSC5_1-HNRNPK_3-interaction-shap	interaction	EXOSC5-HNRNPK	EXOSC5	1	HNRNPK	3	7	-1.620757188902644e-6	false	1.620757188902644e-6	EXOSC5-HNRNPK
K562	U2AF1_1-CPEB4_2-interaction-shap	interaction	CPEB4-U2AF1	U2AF1	1	CPEB4	2	7	1.380153548780072e-6	false	1.380153548780072e-6	CPEB4-U2AF1
K562	GTF2F1_3-ZC3H11A_5-interaction-shap	interaction	GTF2F1-ZC3H11A	GTF2F1	3	ZC3H11A	5	17	1.1853271644213237e-6	false	1.1853271644213237e-6	GTF2F1-ZC3H11A
K562	DDX47_1-BUD13_5-interaction-shap	interaction	BUD13-DDX47	DDX47	1	BUD13	5	1	-1.1037686817871872e-6	false	1.1037686817871872e-6	BUD13-DDX47
K562	NSUN2_1-SF3B4_5-interaction-shap	interaction	NSUN2-SF3B4	NSUN2	1	SF3B4	5	6	-4.296501572298439e-7	false	4.296501572298439e-7	NSUN2-SF3B4
