Cell Line	Column	Column Type	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value
HepG2	AGGF1_3-HNRNPL_3-interaction-shap	interaction	AGGF1	3	HNRNPL	3	36	0.0	false	0.0
HepG2	AGGF1_3-IGF2BP1_3-interaction-shap	interaction	AGGF1	3	IGF2BP1	3	4	0.0	false	0.0
HepG2	FTO_1-XPO5_1-interaction-shap	interaction	FTO	1	XPO5	1	4	0.0	false	0.0
HepG2	AGGF1_3-PRPF8_3-interaction-shap	interaction	AGGF1	3	PRPF8	3	28	0.0	false	0.0
HepG2	AGGF1_3-RBFOX2_3-interaction-shap	interaction	AGGF1	3	RBFOX2	3	3	0.0	false	0.0
HepG2	AGGF1_3-RPS3_3-interaction-shap	interaction	AGGF1	3	RPS3	3	4	0.0	false	0.0
HepG2	AGGF1_3-SF3B4_3-interaction-shap	interaction	AGGF1	3	SF3B4	3	74	0.0	false	0.0
HepG2	AGGF1_3-SRSF1_3-interaction-shap	interaction	AGGF1	3	SRSF1	3	1	0.0	false	0.0
HepG2	FUS_1-PCBP2_1-interaction-shap	interaction	FUS	1	PCBP2	1	51	0.0	false	0.0
HepG2	AGGF1_3-XPO5_3-interaction-shap	interaction	AGGF1	3	XPO5	3	13	0.0	false	0.0
HepG2	AKAP1_3-BUD13_3-interaction-shap	interaction	AKAP1	3	BUD13	3	6	0.0	false	0.0
HepG2	AKAP1_3-CSTF2T_3-interaction-shap	interaction	AKAP1	3	CSTF2T	3	3	0.0	false	0.0
HepG2	AKAP1_3-DDX3X_3-interaction-shap	interaction	AKAP1	3	DDX3X	3	39	0.0	false	0.0
HepG2	AKAP1_3-IGF2BP1_3-interaction-shap	interaction	AKAP1	3	IGF2BP1	3	9	0.0	false	0.0
HepG2	AKAP1_3-LIN28B_3-interaction-shap	interaction	AKAP1	3	LIN28B	3	13	0.0	false	0.0
HepG2	AKAP1_3-PRPF8_3-interaction-shap	interaction	AKAP1	3	PRPF8	3	9	0.0	false	0.0
