Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value
HepG2	RBFOX2_2-SRSF7_2-interaction-shap	interaction	RBFOX2-SRSF7	RBFOX2	2	SRSF7	2	84	0.0	false	0.0
HepG2	RBFOX2_2-SRSF9_2-interaction-shap	interaction	RBFOX2-SRSF9	RBFOX2	2	SRSF9	2	6	0.0	false	0.0
HepG2	RBFOX2_2-SSB_2-interaction-shap	interaction	RBFOX2-SSB	RBFOX2	2	SSB	2	2	0.0	false	0.0
HepG2	RBFOX2_2-STAU2_2-interaction-shap	interaction	RBFOX2-STAU2	RBFOX2	2	STAU2	2	3	0.0	false	0.0
HepG2	RBFOX2_2-SUB1_2-interaction-shap	interaction	RBFOX2-SUB1	RBFOX2	2	SUB1	2	1	0.0	false	0.0
HepG2	FKBP4_1-RBFOX2_1-interaction-shap	interaction	FKBP4-RBFOX2	FKBP4	1	RBFOX2	1	22	0.0	false	0.0
HepG2	RBFOX2_2-TAF15_2-interaction-shap	interaction	RBFOX2-TAF15	RBFOX2	2	TAF15	2	16	0.0	false	0.0
HepG2	RBFOX2_2-TARDBP_2-interaction-shap	interaction	RBFOX2-TARDBP	RBFOX2	2	TARDBP	2	63	0.0	false	0.0
HepG2	RBFOX2_2-TIA1_2-interaction-shap	interaction	RBFOX2-TIA1	RBFOX2	2	TIA1	2	88	0.0	false	0.0
HepG2	RBFOX2_2-TIAL1_2-interaction-shap	interaction	RBFOX2-TIAL1	RBFOX2	2	TIAL1	2	122	0.0	false	0.0
HepG2	RBFOX2_2-TRA2A_2-interaction-shap	interaction	RBFOX2-TRA2A	RBFOX2	2	TRA2A	2	3	0.0	false	0.0
HepG2	RBFOX2_2-U2AF1_2-interaction-shap	interaction	RBFOX2-U2AF1	RBFOX2	2	U2AF1	2	14	0.0	false	0.0
HepG2	RBFOX2_2-U2AF2_2-interaction-shap	interaction	RBFOX2-U2AF2	RBFOX2	2	U2AF2	2	32	0.0	false	0.0
HepG2	RBFOX2_2-UCHL5_2-interaction-shap	interaction	RBFOX2-UCHL5	RBFOX2	2	UCHL5	2	111	0.0	false	0.0
HepG2	RBFOX2_2-UPF1_2-interaction-shap	interaction	RBFOX2-UPF1	RBFOX2	2	UPF1	2	14	0.0	false	0.0
HepG2	RBFOX2_2-WDR43_2-interaction-shap	interaction	RBFOX2-WDR43	RBFOX2	2	WDR43	2	26	0.0	false	0.0
HepG2	RBFOX2_2-XPO5_2-interaction-shap	interaction	RBFOX2-XPO5	RBFOX2	2	XPO5	2	32	0.0	false	0.0
HepG2	RBFOX2_2-XRN2_2-interaction-shap	interaction	RBFOX2-XRN2	RBFOX2	2	XRN2	2	190	0.0	false	0.0
HepG2	RBFOX2_2-YBX3_2-interaction-shap	interaction	RBFOX2-YBX3	RBFOX2	2	YBX3	2	14	0.0	false	0.0
HepG2	RBFOX2_2-ZC3H11A_2-interaction-shap	interaction	RBFOX2-ZC3H11A	RBFOX2	2	ZC3H11A	2	21	0.0	false	0.0
HepG2	RBFOX2_2-ZNF800_2-interaction-shap	interaction	RBFOX2-ZNF800	RBFOX2	2	ZNF800	2	33	0.0	false	0.0
HepG2	RBM15_2-RBM22_2-interaction-shap	interaction	RBM15-RBM22	RBM15	2	RBM22	2	116	0.0	false	0.0
HepG2	RBM15_2-RBM5_2-interaction-shap	interaction	RBM15-RBM5	RBM15	2	RBM5	2	27	0.0	false	0.0
HepG2	RBM15_2-RPS3_2-interaction-shap	interaction	RBM15-RPS3	RBM15	2	RPS3	2	70	0.0	false	0.0
HepG2	RBM15_2-SF3B4_2-interaction-shap	interaction	RBM15-SF3B4	RBM15	2	SF3B4	2	4	0.0	false	0.0
HepG2	RBM15_2-SRSF1_2-interaction-shap	interaction	RBM15-SRSF1	RBM15	2	SRSF1	2	47	0.0	false	0.0
HepG2	RBM15_2-SRSF7_2-interaction-shap	interaction	RBM15-SRSF7	RBM15	2	SRSF7	2	12	0.0	false	0.0
HepG2	FTO_1-IGF2BP1_1-interaction-shap	interaction	FTO-IGF2BP1	FTO	1	IGF2BP1	1	18	0.0	false	0.0
HepG2	FTO_1-FUS_1-interaction-shap	interaction	FTO-FUS	FTO	1	FUS	1	49	0.0	false	0.0
HepG2	RBM15_2-SUPV3L1_2-interaction-shap	interaction	RBM15-SUPV3L1	RBM15	2	SUPV3L1	2	9	0.0	false	0.0
HepG2	RBM15_2-TAF15_2-interaction-shap	interaction	RBM15-TAF15	RBM15	2	TAF15	2	5	0.0	false	0.0
HepG2	RBM15_2-TARDBP_2-interaction-shap	interaction	RBM15-TARDBP	RBM15	2	TARDBP	2	2	0.0	false	0.0
HepG2	RBM15_2-TIA1_2-interaction-shap	interaction	RBM15-TIA1	RBM15	2	TIA1	2	22	0.0	false	0.0
