RBP	Position	Cell Line	Feature	Global SHAP	ElasticNet Coefficient	Binding Percentage	# RBP Diff. Events	# RBP Diff. Events w/ RBP KD	# RBP Diff. Events w/ RBP KD at Position
EFTUD2	4	HepG2	EFTUD2_4	0.010461882	0.021920079077487806	0.032563177431486394	358.0	56.0	8.0
EFTUD2	5	HepG2	EFTUD2_5	0.004666272	0.024473851880138984	0.023233254440004115	358.0	56.0	11.0
EFTUD2	6	HepG2	EFTUD2_6	0.00042649033	-0.007330306145471992	0.02763819681887669	358.0	56.0	9.0
EIF3D	1	HepG2	EIF3D_1	0.0	0.0	0.001635436436412012	466.0	1.0	0.0
EIF3D	2	HepG2	EIF3D_2	0.0	0.0	0.0022588033604102596	466.0	1.0	0.0
EIF3D	3	HepG2	EIF3D_3	0.00034982595	0.0	0.0017941425150882165	466.0	1.0	1.0
EIF3D	4	HepG2	EIF3D_4	7.3622585e-05	0.0	0.0010943929863794963	466.0	1.0	0.0
EIF3D	5	HepG2	EIF3D_5	0.0022895199	-0.09587208412235254	0.0014345077512430738	466.0	1.0	0.0
EIF3D	6	HepG2	EIF3D_6	0.0016476965	-0.01619385421736625	0.001507071225718023	466.0	1.0	0.0
EIF3H	1	HepG2	EIF3H_1	0.00010100252	-0.0	0.005194229294214123	0.0	0.0	0.0
EIF3H	2	HepG2	EIF3H_2	5.5783043e-05	-0.0	0.005646584053221702	0.0	0.0	0.0
EIF3H	3	HepG2	EIF3H_3	0.001934796	-0.0	0.004664431060986206	0.0	0.0	0.0
EIF3H	4	HepG2	EIF3H_4	0.0017846971	0.0	0.004033850224320858	0.0	0.0	0.0
EIF3H	5	HepG2	EIF3H_5	6.840678e-05	-0.0	0.005014305825340566	0.0	0.0	0.0
EIF3H	6	HepG2	EIF3H_6	0.0006176067	0.0025883891582756608	0.005197199728841753	0.0	0.0	0.0
EXOSC5	1	HepG2	EXOSC5_1	0.0	0.0	0.00030149911470439404	0.0	0.0	0.0
EXOSC5	2	HepG2	EXOSC5_2	3.3606714e-06	-0.0	0.0010407129891801918	0.0	0.0	0.0
EXOSC5	3	HepG2	EXOSC5_3	0.0	0.0	0.0003365078085300274	0.0	0.0	0.0
EXOSC5	4	HepG2	EXOSC5_4	0.0	-0.0	0.0001557356440485751	0.0	0.0	0.0
EXOSC5	5	HepG2	EXOSC5_5	5.893729e-05	0.0	0.00022596520560181537	0.0	0.0	0.0
EXOSC5	6	HepG2	EXOSC5_6	0.0	-0.0	0.0003040452015280764	0.0	0.0	0.0
FAM120A	1	HepG2	FAM120A_1	0.0	0.0	0.003187276355446451	185.0	3.0	0.0
FAM120A	2	HepG2	FAM120A_2	0.0033368724	-0.028732635983735533	0.00944407255074404	185.0	3.0	3.0
FAM120A	3	HepG2	FAM120A_3	7.416301e-06	-0.0	0.0023205459658845583	185.0	3.0	0.0
FAM120A	4	HepG2	FAM120A_4	0.00016272935	-0.0	0.0023099372707858813	185.0	3.0	1.0
FAM120A	5	HepG2	FAM120A_5	3.6252568e-06	-0.0	0.001981704244432822	185.0	3.0	0.0
FAM120A	6	HepG2	FAM120A_6	0.0002997975	-0.0024488194873309387	0.0021300138019123235	185.0	3.0	0.0
