Cell Line	Data Mode	Feature	Zero Cutoff	% Non Zero
HepG2	Unique-Binding	FKBP4_1_shap	1e-15	0.0
HepG2	Unique-Binding	DDX3X_1_shap	0.05	0.15984708807659126
HepG2	Unique-Binding	CDC40_1_shap	0.01	0.18099088279571712
HepG2	Unique-Binding	DDX59_1_shap	1e-10	100.0
HepG2	Unique-Binding	CSTF2T_1_shap	0.01	0.0033830071550601326
HepG2	Unique-Binding	EIF3D_1_shap	1e-15	0.0
HepG2	Unique-Binding	DDX59_1_shap	0.0001	17.463928686209172
HepG2	Unique-Binding	DDX55_1_shap	1e-10	0.203826181092373
HepG2	Unique-Binding	EIF3H_1_shap	1e-07	10.466178385967288
HepG2	Unique-Binding	CSTF2_1_shap	1e-10	0.06766014310120266
HepG2	Unique-Binding	FAM120A_1_shap	0.05	0.0
HepG2	Unique-Binding	EXOSC5_1_shap	0.0001	0.0
HepG2	Unique-Binding	EFTUD2_1_shap	0.1	0.0
HepG2	Unique-Binding	DKC1_1_shap	0.001	0.22750723117779392
HepG2	Unique-Binding	BUD13_1_shap	0.1	0.0
HepG2	Unique-Binding	BCLAF1_1_shap	0.01	0.11417649148327948
HepG2	Unique-Binding	AKAP1_1_shap	1e-15	0.1302457754698151
HepG2	Unique-Binding	DHX30_1_shap	1e-07	0.0
HepG2	Unique-Binding	DDX3X_1_shap	0.01	4.645714575686328
HepG2	Unique-Binding	FTO_1_shap	1e-10	0.5209831018792604
HepG2	Unique-Binding	DGCR8_1_shap	1e-08	0.30447064395541196
HepG2	Unique-Binding	BCCIP_1_shap	1e-07	0.0
HepG2	Unique-Binding	FKBP4_1_shap	0.001	0.0
HepG2	Unique-Binding	FUBP3_1_shap	0.01	0.019452291141595766
HepG2	Unique-Binding	FTO_1_shap	0.001	0.0786549163551481
HepG2	Unique-Binding	FTO_1_shap	0.01	0.0
HepG2	Unique-Binding	FTO_1_shap	0.05	0.0
HepG2	Unique-Binding	FASTKD2_1_shap	0.01	0.0
HepG2	Unique-Binding	FUBP3_1_shap	1e-15	0.038058830494426495
HepG2	Unique-Binding	FUBP3_1_shap	0.0001	0.038058830494426495
HepG2	Unique-Binding	FUBP3_1_shap	1e-10	0.038058830494426495
HepG2	Unique-Binding	FUBP3_1_shap	1e-07	0.038058830494426495
HepG2	Unique-Binding	FUBP3_1_shap	1e-06	0.038058830494426495
HepG2	Unique-Binding	FUS_1_shap	1e-08	0.0837294270877383
HepG2	Unique-Binding	FUBP3_1_shap	0.05	0.0042287589438251665
HepG2	Unique-Binding	FUS_1_shap	0.0001	0.0837294270877383
HepG2	Unique-Binding	FUBP3_1_shap	0.1	0.0
HepG2	Unique-Binding	FUBP3_1_shap	1e-05	0.038058830494426495
HepG2	Unique-Binding	FTO_1_shap	0.1	0.0
HepG2	Unique-Binding	FXR2_1_shap	1e-15	100.0
HepG2	Unique-Binding	FUS_1_shap	1e-07	0.0837294270877383
HepG2	Unique-Binding	FUS_1_shap	1e-06	0.0837294270877383
HepG2	Unique-Binding	FTO_1_shap	0.0001	0.5125255839916102
HepG2	Unique-Binding	FUS_1_shap	1e-05	0.0837294270877383
HepG2	Unique-Binding	FUS_1_shap	1e-15	0.0837294270877383
HepG2	Unique-Binding	FUS_1_shap	0.1	0.0
HepG2	Unique-Binding	FXR2_1_shap	1e-10	100.0
HepG2	Unique-Binding	FXR2_1_shap	1e-07	99.98054770885841
HepG2	Unique-Binding	FXR2_1_shap	1e-06	93.02170199089971
HepG2	Unique-Binding	FUS_1_shap	0.001	0.0837294270877383
HepG2	Unique-Binding	FUS_1_shap	0.01	0.0042287589438251665
HepG2	Unique-Binding	G3BP1_1_shap	1e-10	100.0
HepG2	Unique-Binding	FXR2_1_shap	0.01	0.0
HepG2	Unique-Binding	FXR2_1_shap	1e-08	99.99830849642247
HepG2	Unique-Binding	FUBP3_1_shap	0.001	0.03213856797307126
HepG2	Unique-Binding	G3BP1_1_shap	1e-15	100.0
HepG2	Unique-Binding	FXR2_1_shap	0.001	0.1302457754698151
HepG2	Unique-Binding	FUS_1_shap	1e-10	0.0837294270877383
HepG2	Unique-Binding	FXR2_1_shap	0.05	0.0
HepG2	Unique-Binding	G3BP1_1_shap	1e-05	19.126676702921227
HepG2	Unique-Binding	G3BP1_1_shap	0.0001	8.285830274531031
HepG2	Unique-Binding	GRSF1_1_shap	1e-08	0.32984319761836295
HepG2	Unique-Binding	FXR2_1_shap	0.1	0.0
HepG2	Unique-Binding	FXR2_1_shap	0.0001	1.3844956782083595
HepG2	Unique-Binding	G3BP1_1_shap	0.05	0.0
HepG2	Unique-Binding	G3BP1_1_shap	1e-08	99.72259341328507
HepG2	Unique-Binding	GRSF1_1_shap	1e-10	0.32984319761836295
HepG2	Unique-Binding	G3BP1_1_shap	1e-06	48.076760432348316
