,RBP,Cell Line,Significant Events,AUROC,AUPRC,Sign Concordance
128,U2AF2 Position 4,K562,21,0.4920634920634921,0.1938141806048083,66.66666666666666
129,BUD13 Position 3,K562,21,0.5662828461765574,0.04465146704070712,80.95238095238095
130,EFTUD2 Position 5,HepG2,20,0.5152093596059113,0.06001839639393058,75.0
131,SRSF1 Position 5,HepG2,20,0.3703389830508475,0.1273643408850435,75.0
132,HNRNPK Position 2,K562,20,0.46348684210526314,0.24012761218713208,50.0
133,UCHL5 Position 4,K562,20,0.40966042154566745,0.012956324264433829,45.0
134,GPKOW Position 2,K562,19,0.7613798008534851,0.3683504179371424,78.94736842105263
135,UCHL5 Position 2,HepG2,19,0.5773385428637094,0.09182995513473934,78.94736842105263
136,G3BP1 Position 5,HepG2,19,0.5068851905043508,0.033126589282743944,89.47368421052632
137,RBM22 Position 6,K562,19,0.5417875397154304,0.07495892352250508,31.57894736842105
138,U2AF1 Position 2,HepG2,18,0.5171717171717172,0.3577028291256128,22.22222222222222
139,LARP4 Position 5,HepG2,18,0.5173194777511324,0.0479416812728196,22.22222222222222
140,UPF1 Position 6,K562,18,0.721482577251808,0.22325733546290713,55.55555555555556
141,LARP4 Position 3,HepG2,18,0.514327485380117,0.0884952925864494,66.66666666666666
142,AKAP8L Position 2,K562,18,0.7206931702344546,0.2959276960229773,33.33333333333333
143,TIAL1 Position 6,HepG2,18,0.4614335317460318,0.09061214885605676,44.44444444444444
144,TARDBP Position 5,K562,18,0.48919753086419754,0.43077430196482114,27.77777777777778
145,U2AF2 Position 2,K562,18,0.5239463601532567,0.18025828409835132,22.22222222222222
146,G3BP1 Position 6,HepG2,18,0.5675743822491175,0.03046606668476119,61.111111111111114
147,DDX3X Position 1,K562,17,0.5915104032879528,0.016318132663569435,47.05882352941176
148,G3BP1 Position 2,HepG2,17,0.4100381043105501,0.02895929106514727,64.70588235294117
149,SMNDC1 Position 5,K562,17,0.701143372950203,0.09508840283845835,47.05882352941176
150,QKI Position 5,HepG2,17,0.5451436388508891,0.19860964227780178,17.647058823529413
151,PTBP1 Position 3,K562,16,0.681338028169014,0.40109821839655935,87.5
152,AGGF1 Position 5,K562,16,0.34738372093023256,0.22356762967013596,0.0
153,KHSRP Position 4,HepG2,16,0.47245065789473684,0.21903969069039655,68.75
154,GPKOW Position 5,K562,16,0.669783464566929,0.2841089020762807,62.5
155,KHSRP Position 5,HepG2,16,0.6869918699186992,0.43910641029779013,93.75
156,RBFOX2 Position 5,HepG2,16,0.3926470588235294,0.19685285390775298,31.25
157,HNRNPK Position 3,K562,15,0.5836734693877551,0.35082044221133435,60.0
158,BUD13 Position 6,K562,15,0.6129262086513995,0.06129563733923497,73.33333333333333
159,DROSHA Position 2,K562,15,0.7309164149043303,0.09776590028500964,66.66666666666666
160,PCBP2 Position 3,HepG2,15,0.6326860841423948,0.1961042399017499,40.0
161,HNRNPK Position 1,HepG2,14,0.7137362637362638,0.31151416606954047,71.42857142857143
162,BUD13 Position 4,K562,14,0.4728322390762962,0.024127537055839567,50.0
