,Feature,Kruskal-Wallis Statistic,P-Val
276,ZNF800_5_right_shap,1339.072714654947,1.6751533842879668e-291
277,ZRANB2_5_right_shap,3099.777186520781,0.0
278,AARS_center_left_shap,4194304.0,0.0
279,AATF_center_left_shap,296.8797299374822,3.4149610106523318e-65
280,ABCF1_center_left_shap,4194304.0,0.0
281,ADAT1_center_left_shap,4194304.0,0.0
282,AGGF1_center_left_shap,52176.851056007945,0.0
283,AKAP1_center_left_shap,4194304.0,0.0
284,AKAP8L_center_left_shap,18257.199307600793,0.0
285,APEX1_center_left_shap,4194304.0,0.0
286,APOBEC3C_center_left_shap,4194304.0,0.0
287,AQR_center_left_shap,172255.82927541932,0.0
288,BUD13_center_left_shap,19824.74426276943,0.0
289,CPEB4_center_left_shap,4194304.0,0.0
290,CPSF6_center_left_shap,61175.36670517789,0.0
291,CSTF2T_center_left_shap,10241.058985386788,0.0
292,DDX1_center_left_shap,4194304.0,0.0
293,DDX21_center_left_shap,4194304.0,0.0
294,DDX24_center_left_shap,93276.15607998746,0.0
295,DDX3X_center_left_shap,27684.783958431137,0.0
296,DDX42_center_left_shap,4194304.0,0.0
297,DDX43_center_left_shap,95303.18158328555,0.0
298,DDX47_center_left_shap,4194304.0,0.0
299,DDX51_center_left_shap,3747.4426434223337,0.0
300,DDX52_center_left_shap,60489.127193442386,0.0
301,DDX55_center_left_shap,67897.25291995451,0.0
302,DDX6_center_left_shap,37655.28494871311,0.0
303,DGCR8_center_left_shap,2953.746896249927,0.0
304,DHX30_center_left_shap,4194304.0,0.0
305,DROSHA_center_left_shap,15691.845136282429,0.0
306,EEF2_center_left_shap,4194304.0,0.0
307,EFTUD2_center_left_shap,46849.45656450673,0.0
308,EIF3G_center_left_shap,98175.88590121361,0.0
309,EIF4E_center_left_shap,4194304.0,0.0
310,EIF4G2_center_left_shap,3038.63090446532,0.0
311,ELAC2_center_left_shap,5733.595969577034,0.0
312,ELAVL1_center_left_shap,15919.46320045508,0.0
313,EWSR1_center_left_shap,66791.11495420455,0.0
314,EXOSC10_center_left_shap,90243.69398486409,0.0
315,EXOSC5_center_left_shap,4194304.0,0.0
316,FAM120A_center_left_shap,17089.086885216493,0.0
317,FASTKD2_center_left_shap,626.3858838277716,9.594747624487158e-137
318,FMR1_center_left_shap,37801.425272082495,0.0
319,FTO_center_left_shap,37415.3007221466,0.0
320,FUS_center_left_shap,51329.69676514429,0.0
321,FXR1_center_left_shap,2194.7081736547098,0.0
322,FXR2_center_left_shap,30033.217194157765,0.0
323,GARS_center_left_shap,4194304.0,0.0
324,GEMIN5_center_left_shap,3996.342960734184,0.0
325,GNL3_center_left_shap,4194304.0,0.0
326,GPKOW_center_left_shap,32258.298607666442,0.0
327,GRWD1_center_left_shap,4768.002708845101,0.0
328,GTF2F1_center_left_shap,44105.41879643206,0.0
329,HLTF_center_left_shap,23391.204170261804,0.0
330,HNRNPA1_center_left_shap,4194304.0,0.0
331,HNRNPC_center_left_shap,4194304.0,0.0
332,HNRNPK_center_left_shap,18975.50414808248,0.0
333,HNRNPL_center_left_shap,7324.842631306933,0.0
334,HNRNPM_center_left_shap,23213.93656793539,0.0
335,HNRNPU_center_left_shap,4194304.0,0.0
336,HNRNPUL1_center_left_shap,4194304.0,0.0
337,IGF2BP1_center_left_shap,5366.061013328841,0.0
338,IGF2BP2_center_left_shap,43907.89676798681,0.0
339,ILF3_center_left_shap,420.5914783564517,4.67434654839325e-92
340,KHDRBS1_center_left_shap,3904.2919608269212,0.0
341,KHSRP_center_left_shap,29923.258982038,0.0
342,LARP4_center_left_shap,4194304.0,0.0
343,LARP7_center_left_shap,4194304.0,0.0
344,LIN28B_center_left_shap,2687.058568389537,0.0
345,LSM11_center_left_shap,4194304.0,0.0
346,MATR3_center_left_shap,24847.334557244936,0.0
347,MBNL1_center_left_shap,673.0961399668245,6.902879799046397e-147
348,METAP2_center_left_shap,76141.9011498955,0.0
349,METTL1_center_left_shap,4194304.0,0.0
350,MORC2_center_left_shap,4194304.0,0.0
351,MTPAP_center_left_shap,20166.566610405964,0.0
352,NCBP2_center_left_shap,8318.4229921565,0.0
353,NIPBL_center_left_shap,2315.899990370054,0.0
354,NOLC1_center_left_shap,3327.691166805277,0.0
355,NONO_center_left_shap,17352.235179717853,0.0
356,NPM1_center_left_shap,4194304.0,0.0
357,NSUN2_center_left_shap,4194304.0,0.0
358,PABPC4_center_left_shap,179375.43728075328,0.0
359,PCBP1_center_left_shap,38411.52175545414,0.0
360,PHF6_center_left_shap,4194304.0,0.0
361,PPIL4_center_left_shap,212.22175220283947,8.25338376260966e-47
362,PRPF8_center_left_shap,181143.1912763032,0.0
363,PTBP1_center_left_shap,11177.640324044729,0.0
364,PUM1_center_left_shap,7866.07409181289,0.0
365,PUM2_center_left_shap,924.823146303103,1.5038530885206119e-201
366,PUS1_center_left_shap,4194304.0,0.0
367,QKI_center_left_shap,427.82067946631776,1.2586930431491612e-93
368,RBFOX2_center_left_shap,21980.021068875376,0.0
369,RBM15_center_left_shap,1779.555012332296,0.0
370,RBM22_center_left_shap,26031.65567628287,0.0
371,RNF187_center_left_shap,4194304.0,0.0
372,RPS10_center_left_shap,4194304.0,0.0
373,RPS11_center_left_shap,4194304.0,0.0
374,RPS3_center_left_shap,11416.60000833326,0.0
375,RPS6_center_left_shap,4462.653699995974,0.0
376,RYBP_center_left_shap,4194304.0,0.0
377,SAFB_center_left_shap,11741.041286242935,0.0
378,SAFB2_center_left_shap,4194304.0,0.0
379,SBDS_center_left_shap,4194304.0,0.0
380,SDAD1_center_left_shap,4194304.0,0.0
381,SERBP1_center_left_shap,4194304.0,0.0
382,SF3B1_center_left_shap,4194304.0,0.0
383,SF3B4_center_left_shap,135319.99110320865,0.0
384,SLBP_center_left_shap,4194304.0,0.0
385,SLTM_center_left_shap,83239.640384806,0.0
386,SMNDC1_center_left_shap,23129.942415559854,0.0
387,SND1_center_left_shap,33091.8646111346,0.0
388,SRSF1_center_left_shap,57561.49649177591,0.0
389,SRSF7_center_left_shap,4194304.0,0.0
390,SRSF9_center_left_shap,4194304.0,0.0
391,SSB_center_left_shap,4194304.0,0.0
392,SUPV3L1_center_left_shap,4194304.0,0.0
393,TAF15_center_left_shap,8596.943539759352,0.0
394,TARDBP_center_left_shap,13310.143981216464,0.0
395,TBRG4_center_left_shap,4194304.0,0.0
396,TIA1_center_left_shap,29393.973781906217,0.0
397,TRA2A_center_left_shap,2204.8434045937497,0.0
398,TROVE2_center_left_shap,4194304.0,0.0
399,U2AF1_center_left_shap,14778.690531168222,0.0
400,U2AF2_center_left_shap,4498.396449007297,0.0
401,UCHL5_center_left_shap,111061.02670796958,0.0
402,UPF1_center_left_shap,573.6405006535455,2.726138931972915e-125
403,UTP18_center_left_shap,6489.223627673369,0.0
404,UTP3_center_left_shap,4194304.0,0.0
405,WDR3_center_left_shap,4194304.0,0.0
406,WDR43_center_left_shap,4194304.0,0.0
407,WRN_center_left_shap,4194304.0,0.0
408,XRCC6_center_left_shap,873.680878825662,1.9169363412714469e-190
409,XRN2_center_left_shap,4194304.0,0.0
410,YBX3_center_left_shap,178675.6964903652,0.0
411,YWHAG_center_left_shap,7153.863245358679,0.0
412,ZC3H11A_center_left_shap,4782.625590565571,0.0
413,ZC3H8_center_left_shap,61414.34841645575,0.0
414,ZNF622_center_left_shap,195684.39049403984,0.0
415,ZNF800_center_left_shap,91456.41451603206,0.0
416,ZRANB2_center_left_shap,537.5598209568159,1.8636657879834163e-117
417,AARS_center_right_shap,4194304.0,0.0
418,AATF_center_right_shap,41382.426863089306,0.0
419,ABCF1_center_right_shap,4194304.0,0.0
420,ADAT1_center_right_shap,91243.78237730646,0.0
421,AGGF1_center_right_shap,132957.81998775605,0.0
422,AKAP1_center_right_shap,4194304.0,0.0
423,AKAP8L_center_right_shap,15059.672078492336,0.0
424,APEX1_center_right_shap,4194304.0,0.0
425,APOBEC3C_center_right_shap,12397.279671219161,0.0
426,AQR_center_right_shap,378956.7136204851,0.0
427,BUD13_center_right_shap,304043.29671819863,0.0
428,CPEB4_center_right_shap,4194304.0,0.0
429,CPSF6_center_right_shap,281.3401278972063,8.086627868387921e-62
430,CSTF2T_center_right_shap,3407.849892876741,0.0
431,DDX1_center_right_shap,16745.235346337537,0.0
432,DDX21_center_right_shap,4194304.0,0.0
433,DDX24_center_right_shap,345087.4337580261,0.0
434,DDX3X_center_right_shap,271320.2534987523,0.0
435,DDX42_center_right_shap,4194304.0,0.0
436,DDX43_center_right_shap,386650.5466275034,0.0
437,DDX47_center_right_shap,4194304.0,0.0
438,DDX51_center_right_shap,4194304.0,0.0
439,DDX52_center_right_shap,1547.548750109915,0.0
440,DDX55_center_right_shap,52075.873523008624,0.0
441,DDX6_center_right_shap,11891.933656664649,0.0
442,DGCR8_center_right_shap,106966.28292697719,0.0
443,DHX30_center_right_shap,2593.457840223418,0.0
444,DROSHA_center_right_shap,492.20839873336814,1.3131194731495235e-107
445,EEF2_center_right_shap,4194304.0,0.0
446,EFTUD2_center_right_shap,193916.1066516927,0.0
447,EIF3G_center_right_shap,6943.481148538414,0.0
448,EIF4E_center_right_shap,22141.585869920338,0.0
449,EIF4G2_center_right_shap,46105.50594919912,0.0
450,ELAC2_center_right_shap,56094.752189783525,0.0
451,ELAVL1_center_right_shap,8356.032550736842,0.0
452,EWSR1_center_right_shap,65331.52039548336,0.0
453,EXOSC10_center_right_shap,119096.41406371616,0.0
454,EXOSC5_center_right_shap,21406.30659916084,0.0
455,FAM120A_center_right_shap,4533.19265037064,0.0
456,FASTKD2_center_right_shap,4194304.0,0.0
457,FMR1_center_right_shap,205107.0103283257,0.0
458,FTO_center_right_shap,5306.40548603457,0.0
459,FUS_center_right_shap,2249.5277809156264,0.0
460,FXR1_center_right_shap,334340.41234909574,0.0
461,FXR2_center_right_shap,334587.2642074315,0.0
462,GARS_center_right_shap,4260.441650448635,0.0
463,GEMIN5_center_right_shap,3178.166951828782,0.0
464,GNL3_center_right_shap,4194304.0,0.0
465,GPKOW_center_right_shap,234007.887717512,0.0
466,GRWD1_center_right_shap,286702.6057615544,0.0
467,GTF2F1_center_right_shap,539.7252198300826,6.31186413384787e-118
468,HLTF_center_right_shap,53957.85319170912,0.0
469,HNRNPA1_center_right_shap,4194304.0,0.0
470,HNRNPC_center_right_shap,1020.4530990115385,2.5788437483064703e-222
471,HNRNPK_center_right_shap,19576.604531241403,0.0
472,HNRNPL_center_right_shap,816.7624258657992,4.388263628548681e-178
473,HNRNPM_center_right_shap,23161.242950742835,0.0
474,HNRNPU_center_right_shap,4194304.0,0.0
475,HNRNPUL1_center_right_shap,1192.487448163727,1.1340723495673384e-259
476,IGF2BP1_center_right_shap,249972.58227348974,0.0
477,IGF2BP2_center_right_shap,169971.00939772258,0.0
478,ILF3_center_right_shap,976.3112886244523,9.924242443066316e-213
479,KHDRBS1_center_right_shap,1182.4334749881182,1.7291525022939746e-257
480,KHSRP_center_right_shap,23309.50015579742,0.0
481,LARP4_center_right_shap,4194304.0,0.0
482,LARP7_center_right_shap,4194304.0,0.0
483,LIN28B_center_right_shap,320199.32300388993,0.0
484,LSM11_center_right_shap,36747.43681856782,0.0
485,MATR3_center_right_shap,3359.4852088473112,0.0
486,MBNL1_center_right_shap,9137.063621712932,0.0
487,METAP2_center_right_shap,244519.82075661802,0.0
488,METTL1_center_right_shap,4194304.0,0.0
489,MORC2_center_right_shap,4194304.0,0.0
490,MTPAP_center_right_shap,159345.87444947084,0.0
491,NCBP2_center_right_shap,4194304.0,0.0
492,NIPBL_center_right_shap,4194304.0,0.0
493,NOLC1_center_right_shap,49212.56583029082,0.0
494,NONO_center_right_shap,7113.114663728305,0.0
495,NPM1_center_right_shap,4194304.0,0.0
496,NSUN2_center_right_shap,4194304.0,0.0
497,PABPC4_center_right_shap,211515.35781515052,0.0
498,PCBP1_center_right_shap,42970.01676630658,0.0
499,PHF6_center_right_shap,26757.426360708276,0.0
500,PPIL4_center_right_shap,4194304.0,0.0
501,PRPF8_center_right_shap,181939.1293631227,0.0
502,PTBP1_center_right_shap,2473.3094176892137,0.0
503,PUM1_center_right_shap,41488.490005938904,0.0
504,PUM2_center_right_shap,177511.73869987013,0.0
505,PUS1_center_right_shap,4194304.0,0.0
506,QKI_center_right_shap,12653.224027200478,0.0
507,RBFOX2_center_right_shap,23240.46606704978,0.0
508,RBM15_center_right_shap,77790.97274526462,0.0
509,RBM22_center_right_shap,49288.77716500861,0.0
510,RNF187_center_right_shap,940.240253126696,6.751856475191449e-205
511,RPS10_center_right_shap,4194304.0,0.0
512,RPS11_center_right_shap,4194304.0,0.0
