,Feature,Kruskal-Wallis Statistic,P-Val
289,SRSF7_center_left_shap,72890.28401367005,0.0
290,SRSF9_center_left_shap,40668.14978401175,0.0
291,SSB_center_left_shap,28455.585597495974,0.0
292,STAU2_center_left_shap,-4194304.0,1.0
293,SUB1_center_left_shap,53141.44490448271,0.0
294,SUGP2_center_left_shap,79662.63827322544,0.0
295,SUPV3L1_center_left_shap,7260.4061717377335,0.0
296,TAF15_center_left_shap,24496.9359967764,0.0
297,TARDBP_center_left_shap,458.6712790511019,2.516501828538227e-100
298,TBRG4_center_left_shap,-4194304.0,1.0
299,TIA1_center_left_shap,116770.19325438018,0.0
300,TIAL1_center_left_shap,18783.38774811019,0.0
301,TRA2A_center_left_shap,2378.272794684799,0.0
302,TROVE2_center_left_shap,-4194304.0,1.0
303,U2AF1_center_left_shap,17687.629254075713,0.0
304,U2AF2_center_left_shap,89341.27680603458,0.0
305,UCHL5_center_left_shap,6561.1148889984315,0.0
306,UPF1_center_left_shap,7060.429901938908,0.0
307,UTP18_center_left_shap,-4194304.0,1.0
308,WDR43_center_left_shap,-4194304.0,1.0
309,XPO5_center_left_shap,12152.650944237925,0.0
310,XRCC6_center_left_shap,-4194304.0,1.0
311,XRN2_center_left_shap,135266.55566306497,0.0
312,YBX3_center_left_shap,-4194304.0,1.0
313,ZC3H11A_center_left_shap,46466.11638910734,0.0
314,ZNF800_center_left_shap,561.1314758787366,1.418561607698532e-122
315,AGGF1_center_right_shap,15433.155944858245,0.0
316,AKAP1_center_right_shap,2170.2466497702003,0.0
317,AQR_center_right_shap,353232.8365983698,0.0
318,BCCIP_center_right_shap,-4194304.0,1.0
319,BCLAF1_center_right_shap,414330.92319922085,0.0
320,BUD13_center_right_shap,148445.9894161865,0.0
321,CDC40_center_right_shap,1931.2314928550936,0.0
322,CSTF2_center_right_shap,7495.004337792636,0.0
323,CSTF2T_center_right_shap,12977.421956538852,0.0
324,DDX3X_center_right_shap,388210.3956900323,0.0
325,DDX52_center_right_shap,-4194304.0,1.0
326,DDX55_center_right_shap,3268.710029438912,0.0
327,DDX59_center_right_shap,5402.438615999571,0.0
328,DDX6_center_right_shap,-4194304.0,1.0
329,DGCR8_center_right_shap,7102.004939188973,0.0
330,DHX30_center_right_shap,-4194304.0,1.0
331,DKC1_center_right_shap,2880.0278005016467,0.0
332,DROSHA_center_right_shap,18365.77270441841,0.0
333,EFTUD2_center_right_shap,9724.60052982688,0.0
334,EIF3D_center_right_shap,146149.05326162657,0.0
335,EIF3H_center_right_shap,349015.9673431245,0.0
336,EXOSC5_center_right_shap,-4194304.0,1.0
337,FAM120A_center_right_shap,1550.8305014167447,0.0
338,FASTKD2_center_right_shap,122200.49154148999,0.0
339,FKBP4_center_right_shap,930.033616156451,1.1111335456863576e-202
340,FTO_center_right_shap,-4194304.0,1.0
341,FUBP3_center_right_shap,12333.373839290265,0.0
342,FUS_center_right_shap,1553.6004757674448,0.0
343,FXR2_center_right_shap,313026.0608866984,0.0
344,G3BP1_center_right_shap,400141.26964117325,0.0
345,GRSF1_center_right_shap,12447.80835324463,0.0
346,GRWD1_center_right_shap,404075.6637227273,0.0
347,GTF2F1_center_right_shap,14364.04809501792,0.0
348,HLTF_center_right_shap,61163.60500143166,0.0
349,HNRNPA1_center_right_shap,-4194304.0,1.0
350,HNRNPC_center_right_shap,-4194304.0,1.0
351,HNRNPK_center_right_shap,6854.863910217801,0.0
352,HNRNPL_center_right_shap,251.02497910961404,3.0946987279551404e-55
353,HNRNPM_center_right_shap,7309.01483627618,0.0
354,HNRNPU_center_right_shap,-4194304.0,1.0
355,HNRNPUL1_center_right_shap,-4194304.0,1.0
356,IGF2BP1_center_right_shap,359101.75188492244,0.0
357,IGF2BP3_center_right_shap,3765.9524119625135,0.0
358,ILF3_center_right_shap,4603.526018108271,0.0
359,KHSRP_center_right_shap,161.34328725371523,9.220411989779307e-36
360,LARP4_center_right_shap,345263.3844055327,0.0
361,LARP7_center_right_shap,-4194304.0,1.0
362,LIN28B_center_right_shap,347828.9181548109,0.0
363,LSM11_center_right_shap,86536.49633395045,0.0
364,MATR3_center_right_shap,1378.3393719617477,4.982052313765265e-300
365,NCBP2_center_right_shap,14985.209510575936,0.0
366,NIP7_center_right_shap,-4194304.0,1.0
367,NKRF_center_right_shap,948.8907399473803,8.932928459083736e-207
368,NOL12_center_right_shap,105376.1732383983,0.0
369,NOLC1_center_right_shap,131264.28947893291,0.0
370,NSUN2_center_right_shap,3312.8336924019004,0.0
371,PABPN1_center_right_shap,380807.1347983847,0.0
372,PCBP1_center_right_shap,13336.64238474097,0.0
373,PCBP2_center_right_shap,152.92125668462583,6.2168591504710435e-34
374,POLR2G_center_right_shap,-4194304.0,1.0
375,PPIG_center_right_shap,421773.326679264,0.0
376,PRPF4_center_right_shap,51260.600253446355,0.0
377,PRPF8_center_right_shap,362025.1171720894,0.0
378,PTBP1_center_right_shap,941.8054313686579,3.087088394208715e-205
379,QKI_center_right_shap,55470.051229697805,0.0
380,RBFOX2_center_right_shap,29696.603858159764,0.0
381,RBM15_center_right_shap,201674.84473973245,0.0
382,RBM22_center_right_shap,45616.810746719006,0.0
383,RBM5_center_right_shap,7511.573990376983,0.0
384,RPS3_center_right_shap,384045.2336615168,0.0
385,SAFB_center_right_shap,-4194304.0,1.0
386,SDAD1_center_right_shap,5216.7364202335175,0.0
387,SF3A3_center_right_shap,121554.35431746345,0.0
388,SF3B4_center_right_shap,271169.2167753819,0.0
389,SFPQ_center_right_shap,-4194304.0,1.0
390,SLTM_center_right_shap,12806.963064119012,0.0
391,SMNDC1_center_right_shap,207648.17318817353,0.0
392,SND1_center_right_shap,422150.45430414623,0.0
393,SRSF1_center_right_shap,83728.00048078269,0.0
394,SRSF7_center_right_shap,43084.45415387296,0.0
395,SRSF9_center_right_shap,-4194304.0,1.0
396,SSB_center_right_shap,-4194304.0,1.0
397,STAU2_center_right_shap,-4194304.0,1.0
398,SUB1_center_right_shap,150571.48772681956,0.0
399,SUGP2_center_right_shap,17034.003510310056,0.0
400,SUPV3L1_center_right_shap,3451.888506544828,0.0
401,TAF15_center_right_shap,717.1236811410325,1.899202263243045e-156
402,TARDBP_center_right_shap,1386.0759783885512,1.040939631349061e-301
403,TBRG4_center_right_shap,-4194304.0,1.0
404,TIA1_center_right_shap,33747.60088023204,0.0
405,TIAL1_center_right_shap,32339.197853625858,0.0
406,TRA2A_center_right_shap,18267.76647904317,0.0
407,TROVE2_center_right_shap,-4194304.0,1.0
408,U2AF1_center_right_shap,52246.3147467557,0.0
409,U2AF2_center_right_shap,109940.89254765208,0.0
410,UCHL5_center_right_shap,162058.4778248565,0.0
411,UPF1_center_right_shap,7214.9352983487515,0.0
412,UTP18_center_right_shap,-4194304.0,1.0
413,WDR43_center_right_shap,-4194304.0,1.0
414,XPO5_center_right_shap,79597.47636049203,0.0
415,XRCC6_center_right_shap,-4194304.0,1.0
416,XRN2_center_right_shap,31397.773991176284,0.0
417,YBX3_center_right_shap,422543.8804877356,0.0
418,ZC3H11A_center_right_shap,-4194304.0,1.0
419,ZNF800_center_right_shap,214792.08221937492,0.0
420,AGGF1_3_left_shap,780.0671677398595,4.079122692954494e-170
421,AKAP1_3_left_shap,1169.2643053383276,1.2516478352026972e-254
422,AQR_3_left_shap,3234.061294471212,0.0
423,BCCIP_3_left_shap,-4194304.0,1.0
424,BCLAF1_3_left_shap,32852.49916774097,0.0
425,BUD13_3_left_shap,71905.20560746243,0.0
426,CDC40_3_left_shap,295.05183882071674,8.51740429536618e-65
427,CSTF2_3_left_shap,-4194304.0,1.0
428,CSTF2T_3_left_shap,11715.944773861704,0.0
429,DDX3X_3_left_shap,396.5540706668508,7.751355699669564e-87
430,DDX52_3_left_shap,1327.492405521587,5.478816521933305e-289
431,DDX55_3_left_shap,-4194304.0,1.0
432,DDX59_3_left_shap,79917.65184778205,0.0
433,DDX6_3_left_shap,-4194304.0,1.0
434,DGCR8_3_left_shap,5235.066663813622,0.0
435,DHX30_3_left_shap,-4194304.0,1.0
436,DKC1_3_left_shap,-4194304.0,1.0
437,DROSHA_3_left_shap,3460.2622221817564,0.0
438,EFTUD2_3_left_shap,2224.66189154703,0.0
439,EIF3D_3_left_shap,30264.581492934554,0.0
440,EIF3H_3_left_shap,61474.403802274486,0.0
441,EXOSC5_3_left_shap,-4194304.0,1.0
442,FAM120A_3_left_shap,30403.295374476587,0.0
443,FASTKD2_3_left_shap,130111.37879861164,0.0
444,FKBP4_3_left_shap,-4194304.0,1.0
445,FTO_3_left_shap,-4194304.0,1.0
446,FUBP3_3_left_shap,9398.8968150246,0.0
447,FUS_3_left_shap,1563.7163577572842,0.0
448,FXR2_3_left_shap,14769.781304988295,0.0
449,G3BP1_3_left_shap,1955.1517590081714,0.0
450,GRSF1_3_left_shap,103082.83521470183,0.0
451,GRWD1_3_left_shap,5957.79706071348,0.0
452,GTF2F1_3_left_shap,11927.34153053745,0.0
453,HLTF_3_left_shap,24353.42358975711,0.0
454,HNRNPA1_3_left_shap,-4194304.0,1.0
455,HNRNPC_3_left_shap,-4194304.0,1.0
456,HNRNPK_3_left_shap,15645.715582800183,0.0
457,HNRNPL_3_left_shap,1429.298649178202,4.2829384683544e-311
458,HNRNPM_3_left_shap,112063.7653809414,0.0
459,HNRNPU_3_left_shap,-4194304.0,1.0
460,HNRNPUL1_3_left_shap,-4194304.0,1.0
461,IGF2BP1_3_left_shap,13947.314125341372,0.0
462,IGF2BP3_3_left_shap,8290.017889250408,0.0
463,ILF3_3_left_shap,9727.928463567547,0.0
464,KHSRP_3_left_shap,34145.5501143202,0.0
465,LARP4_3_left_shap,60496.95810538874,0.0
466,LARP7_3_left_shap,974.4163128952524,2.55968260174491e-212
467,LIN28B_3_left_shap,4361.257974794973,0.0
468,LSM11_3_left_shap,23918.187556350225,0.0
469,MATR3_3_left_shap,-4194304.0,1.0
470,NCBP2_3_left_shap,79451.50947177505,0.0
471,NIP7_3_left_shap,-4194304.0,1.0
472,NKRF_3_left_shap,5922.341951863206,0.0
473,NOL12_3_left_shap,-4194304.0,1.0
474,NOLC1_3_left_shap,4898.578474239411,0.0
475,NSUN2_3_left_shap,-4194304.0,1.0
476,PABPN1_3_left_shap,52388.28107862211,0.0
477,PCBP1_3_left_shap,5645.992844727352,0.0
478,PCBP2_3_left_shap,2813.927338753985,0.0
479,POLR2G_3_left_shap,-4194304.0,1.0
480,PPIG_3_left_shap,162.90366686719193,4.225890104281264e-36
481,PRPF4_3_left_shap,83258.91311536566,0.0
482,PRPF8_3_left_shap,5309.74060732397,0.0
483,PTBP1_3_left_shap,1166.6549932626986,4.614100721889639e-254
484,QKI_3_left_shap,643.7329476589955,1.6412188871741252e-140
485,RBFOX2_3_left_shap,35970.581490731085,0.0
486,RBM15_3_left_shap,762.7609698598069,2.3364682797739664e-166
487,RBM22_3_left_shap,38909.89450945361,0.0
488,RBM5_3_left_shap,15759.18221894503,0.0
489,RPS3_3_left_shap,9719.69618604282,0.0
490,SAFB_3_left_shap,-4194304.0,1.0
491,SDAD1_3_left_shap,20252.390132040742,0.0
492,SF3A3_3_left_shap,3754.091435952153,0.0
493,SF3B4_3_left_shap,1718.3779571218838,0.0
494,SFPQ_3_left_shap,8238.88971823808,0.0
495,SLTM_3_left_shap,91776.06303711022,0.0
496,SMNDC1_3_left_shap,47715.26546242217,0.0
497,SND1_3_left_shap,667.3605013779387,1.2148101326620982e-145
498,SRSF1_3_left_shap,65083.25409692765,0.0
499,SRSF7_3_left_shap,-4194304.0,1.0
500,SRSF9_3_left_shap,4102.6609823275685,0.0
501,SSB_3_left_shap,-4194304.0,1.0
502,STAU2_3_left_shap,-4194304.0,1.0
503,SUB1_3_left_shap,18706.51040968042,0.0
504,SUGP2_3_left_shap,-4194304.0,1.0
505,SUPV3L1_3_left_shap,147816.54551498708,0.0
506,TAF15_3_left_shap,-4194304.0,1.0
