Cell Line	Interaction Column	Feature 1	Feature 2	Both - #	Both - Mean	Both - Median	Both - Median Abs. Dev.	XOR_1st_Feature - #	XOR_1st_Feature - Mean	XOR_1st_Feature - Median	XOR_1st_Feature - Median Abs. Dev.	XOR_2nd_Feature - #	XOR_2nd_Feature - Mean	XOR_2nd_Feature - Median	XOR_2nd_Feature - Median Abs. Dev.
HepG2	RBM22_3-TIA1_3-interaction-shap	RBM22_3	TIA1_3	128	0.9996406250000001	1.0	0.0	4738	0.6957747994934572	0.964	0.03600000000000003	5996	0.8271504336224149	0.993	0.007000000000000006
HepG2	RBM22_3-TIA1_4-interaction-shap	RBM22_3	TIA1_4	128	0.9996406250000001	1.0	0.0	4738	0.6957747994934572	0.964	0.03600000000000003	30327	0.7904909816335279	0.986	0.014000000000000012
HepG2	RBM22_3-TIA1_5-interaction-shap	RBM22_3	TIA1_5	132	0.999621212121212	1.0	0.0	4734	0.6955185889311365	0.964	0.03600000000000003	9113	0.8660638648085153	0.998	0.0020000000000000018
HepG2	RBM22_3-TIA1_6-interaction-shap	RBM22_3	TIA1_6	4	0.999	1.0	0.0	4862	0.7035250925545043	0.968	0.03200000000000003	37938	0.8086266803732406	0.996	0.0040000000000000036
HepG2	RBM22_4-BUD13_5-interaction-shap	RBM22_4	BUD13_5	9238	0.9855855163455294	0.999	0.0010000000000000009	67300	0.9710082169390787	1.0	0.0	139164	0.797137011008594	0.989	0.01100000000000001
HepG2	RBM22_4-BUD13_6-interaction-shap	RBM22_4	BUD13_6	3511	0.9894380518370834	1.0	0.0	73027	0.9719661905870433	1.0	0.0	66613	0.8210300091573717	0.993	0.007000000000000006
HepG2	RBM22_4-TIA1_4-interaction-shap	RBM22_4	TIA1_4	1990	0.9893869346733669	1.0	0.0	74548	0.9723240328379029	1.0	0.0	28465	0.7775265764974529	0.984	0.016000000000000014
HepG2	RBM22_4-TIA1_5-interaction-shap	RBM22_4	TIA1_5	942	0.9981411889596602	1.0	0.0	75596	0.9724514921424414	1.0	0.0	8303	0.8532025773816693	0.997	0.0030000000000000027
HepG2	RBM22_4-TIA1_6-interaction-shap	RBM22_4	TIA1_6	1845	0.9928471544715447	1.0	0.0	74693	0.9722716854323697	1.0	0.0	36097	0.7992318475219548	0.995	0.0050000000000000044
HepG2	RBM22_5-BUD13_6-interaction-shap	RBM22_5	BUD13_6	88	0.9880227272727272	1.0	0.0	1203	0.9945561097256858	1.0	0.0	70036	0.8292627077502999	0.994	0.006000000000000005
HepG2	RBM22_5-TIA1_5-interaction-shap	RBM22_5	TIA1_5	48	0.9986875	1.0	0.0	1243	0.9939340305711988	1.0	0.0	9197	0.8672885723605523	0.998	0.0020000000000000018
HepG2	RBM22_5-TIA1_6-interaction-shap	RBM22_5	TIA1_6	48	0.9986875	1.0	0.0	1243	0.9939340305711988	1.0	0.0	37894	0.8084060273394205	0.996	0.0040000000000000036
HepG2	RBM22_6-TIA1_6-interaction-shap	RBM22_6	TIA1_6	2910	0.7718020618556701	0.993	0.007000000000000006	78262	0.8255951164038742	0.993	0.007000000000000006	35032	0.8117073247316738	0.996	0.0040000000000000036
HepG2	RPS3_1-HNRNPC_3-interaction-shap	RPS3_1	HNRNPC_3	208	0.0011105769230769233	0.001	0.001	123761	0.8535937330823117	0.999	0.0010000000000000009	4060	0.15188743842364533	0.008	0.008
HepG2	RPS3_1-HNRNPC_4-interaction-shap	RPS3_1	HNRNPC_4	144	0.0002777777777777778	0.0	0.0	123825	0.8531540884312535	0.998	0.0020000000000000018	4716	0.5815258693808313	0.947	0.05300000000000005
HepG2	RPS3_1-HNRNPC_6-interaction-shap	RPS3_1	HNRNPC_6	365	0.9945917808219178	1.0	0.0	123604	0.8517428157664801	0.998	0.0020000000000000018	4084	0.8963290891283057	0.997	0.0030000000000000027
HepG2	RPS3_1-SRSF1_1-interaction-shap	RPS3_1	SRSF1_1	617	0.9594327390599676	0.995	0.0050000000000000044	123352	0.8516268483688956	0.998	0.0020000000000000018	33846	0.7976302369556225	0.985	0.015000000000000013
HepG2	RPS3_1-SRSF1_2-interaction-shap	RPS3_1	SRSF1_2	1912	0.5382280334728033	0.882	0.118	122057	0.8570811424170675	0.999	0.0010000000000000009	63106	0.7824298957309923	0.98	0.020000000000000018
HepG2	RPS3_1-SRSF1_3-interaction-shap	RPS3_1	SRSF1_3	556	0.6297913669064749	0.9275	0.07250000000000001	123413	0.8531652338084318	0.999	0.0010000000000000009	18818	0.91414709320863	0.998	0.0020000000000000018
HepG2	RPS3_1-SRSF1_4-interaction-shap	RPS3_1	SRSF1_4	811	0.9865992601726263	0.999	0.0010000000000000009	123158	0.8512781386511635	0.998	0.0020000000000000018	32912	0.9176318667963053	0.998	0.0020000000000000018
HepG2	RPS3_1-SRSF1_5-interaction-shap	RPS3_1	SRSF1_5	265	0.9871018867924528	0.996	0.0040000000000000036	123704	0.8518743371273363	0.998	0.0020000000000000018	27691	0.8623335379726265	0.994	0.006000000000000005
