,Counts
ENSE00003610423,203
ENSE00003624641,203
ENSE00001857647,203
ENSE00003691020,203
ENSE00001730188,203
ENSE00002520544,202
ENSE00000827216,202
ENSE00003611430,202
ENSE00002511114,202
ENSE00001084069,201
ENSE00003787101,201
ENSE00002173028,200
ENSE00003639841,200
ENSE00000797897,200
ENSE00003646448,199
ENSE00001729072,199
ENSE00000937518,199
ENSE00002230621,198
ENSE00003471418,198
ENSE00003536057,198
ENSE00000921221,198
ENSE00003650549,198
ENSE00003480255,197
ENSE00003478740,197
ENSE00001621494,197
ENSE00003588703,197
ENSE00003785134,197
ENSE00002223579,196
ENSE00003493618,196
ENSE00003684852,196
ENSE00001692247,196
ENSE00003643362,196
ENSE00003621371,196
ENSE00003636305,196
ENSE00001381796,196
ENSE00003531733,196
ENSE00003466349,196
ENSE00000466125,196
ENSE00003720687,195
ENSE00003788504,195
ENSE00000764970,195
ENSE00003652321,194
ENSE00003473904,194
ENSE00001390455,194
ENSE00003528531,194
ENSE00003554433,194
ENSE00003504090,194
ENSE00003597297,193
ENSE00003491296,193
ENSE00003612538,193
ENSE00003610252,193
ENSE00000700398,193
ENSE00002244793,193
ENSE00003530356,193
ENSE00003472269,193
ENSE00001796190,192
ENSE00001289538,192
ENSE00001273582,192
ENSE00003555294,192
ENSE00000992117,192
ENSE00003621347,192
ENSE00003678455,192
ENSE00001329066,192
ENSE00003510928,192
ENSE00003521988,192
ENSE00003464793,192
ENSE00003638914,192
ENSE00001754635,192
ENSE00003513746,191
ENSE00003474010,191
ENSE00000927060,191
ENSE00003790776,191
ENSE00003655254,190
ENSE00003547338,190
ENSE00003575006,190
ENSE00000914155,190
ENSE00003438742,190
ENSE00003514687,189
ENSE00003690844,189
ENSE00003566862,189
ENSE00003693073,189
ENSE00003647587,189
ENSE00003671030,189
ENSE00003829339,189
ENSE00002257758,189
ENSE00003503943,189
ENSE00003541939,189
ENSE00003557379,188
ENSE00001098423,188
ENSE00001276351,188
ENSE00003601981,188
ENSE00003681050,188
ENSE00003531121,188
ENSE00001054142,188
ENSE00003604838,187
ENSE00003470047,187
ENSE00003608716,187
ENSE00003574363,187
ENSE00001225019,187
ENSE00001296427,187
ENSE00003504091,187
ENSE00001350583,187
ENSE00001002549,186
ENSE00000364881,186
ENSE00003640155,186
ENSE00003483450,186
ENSE00001801647,186
ENSE00000998398,186
ENSE00003588593,186
ENSE00001800747,186
ENSE00003541743,186
ENSE00001191187,186
ENSE00003606346,186
ENSE00001609326,186
ENSE00003586194,186
ENSE00003674711,186
ENSE00001102018,185
ENSE00003478155,185
ENSE00003490332,185
ENSE00001716871,185
ENSE00003507066,185
ENSE00003688118,185
ENSE00003524405,184
ENSE00003558997,184
ENSE00003493146,184
ENSE00003474291,184
ENSE00003608398,184
ENSE00001348045,184
ENSE00003546707,184
ENSE00002500644,184
ENSE00000996423,183
ENSE00003571477,183
ENSE00000680395,183
ENSE00003645259,182
ENSE00003651658,182
ENSE00003667566,182
ENSE00003632064,182
ENSE00003586883,182
ENSE00003572997,182
ENSE00003495929,182
ENSE00003716036,182
ENSE00003464047,182
ENSE00003547126,182
ENSE00003637171,182
ENSE00003579347,181
ENSE00001593400,181
ENSE00002495750,181
ENSE00001766242,181
ENSE00003610516,181
ENSE00003642784,181
ENSE00001591273,180
ENSE00003625145,180
ENSE00003581620,180
ENSE00001200707,180
ENSE00002443813,180
ENSE00003574275,179
ENSE00000989277,179
ENSE00003489488,179
ENSE00000854482,179
ENSE00003502522,179
ENSE00003642419,178
ENSE00003472219,178
ENSE00003668410,178
ENSE00002184114,178
ENSE00003720531,178
ENSE00003518986,178
ENSE00003619654,177
ENSE00003501034,177
ENSE00003571834,177
ENSE00003672498,177
ENSE00001062417,176
ENSE00003515047,176
ENSE00003715642,176
ENSE00003463025,176
ENSE00003808199,176
ENSE00003577408,176
ENSE00003702059,176
ENSE00003593572,175
ENSE00003517242,175
ENSE00003589311,175
ENSE00003553972,175
ENSE00003661551,175
ENSE00002700431,175
ENSE00003516318,175
ENSE00000840485,174
ENSE00001279286,174
ENSE00003539754,174
ENSE00003750812,174
ENSE00001054143,174
ENSE00000360900,174
ENSE00003648209,174
ENSE00003537850,174
ENSE00002243913,174
ENSE00003617904,174
ENSE00002730111,174
ENSE00003693381,173
ENSE00003628237,173
ENSE00003655474,173
ENSE00001757939,173
ENSE00003697275,173
ENSE00003561275,173
ENSE00001674173,173
ENSE00000698225,173
ENSE00003710720,172
ENSE00000837128,172
ENSE00003586789,172
ENSE00003671056,172
ENSE00003551775,172
ENSE00003607787,172
ENSE00000853761,171
ENSE00003572230,171
ENSE00003458228,171
ENSE00003684036,171
ENSE00003620574,170
ENSE00003704391,170
ENSE00003575552,170
ENSE00001248835,170
ENSE00003613494,170
ENSE00003612818,170
ENSE00003473819,170
ENSE00003641538,169
ENSE00003526504,169
ENSE00001291003,169
ENSE00003652577,169
ENSE00003691710,169
ENSE00002468932,169
ENSE00003600349,169
ENSE00000815082,169
ENSE00001683645,169
ENSE00003650344,168
ENSE00001326532,168
ENSE00003543678,168
ENSE00003462536,168
ENSE00003694470,168
ENSE00003562357,168
ENSE00003651635,168
ENSE00003680438,168
ENSE00003471940,168
ENSE00003629091,168
ENSE00003594152,168
ENSE00001295437,168
ENSE00003585379,168
ENSE00003461669,168
ENSE00003598271,168
ENSE00000732414,168
ENSE00003607760,167
ENSE00001140455,167
ENSE00003634698,167
ENSE00001506773,167
ENSE00003646929,167
ENSE00003551718,167
ENSE00003625365,167
ENSE00001353075,167
ENSE00002320116,166
ENSE00003519759,166
ENSE00003541474,166
ENSE00003590475,166
ENSE00003716072,166
ENSE00003704542,166
ENSE00003547798,166
ENSE00001413149,166
ENSE00000942714,166
ENSE00003747939,165
ENSE00001756605,165
ENSE00001070803,165
ENSE00003611032,165
ENSE00003591675,165
ENSE00003593633,165
ENSE00003526712,165
ENSE00003611369,165
ENSE00003481792,165
ENSE00003528515,164
ENSE00003619503,164
ENSE00003571312,164
ENSE00003521956,164
ENSE00003540768,164
ENSE00003683911,163
ENSE00003486732,163
ENSE00003640712,163
ENSE00002140508,163
ENSE00003511132,163
ENSE00003592688,163
ENSE00003556046,163
ENSE00003623380,163
ENSE00001785296,162
ENSE00003496209,162
ENSE00003582612,162
ENSE00003572683,162
ENSE00001734332,162
ENSE00003644514,162
ENSE00003614778,162
ENSE00003685755,162
ENSE00000360902,162
ENSE00003589981,162
ENSE00000729545,162
ENSE00003585290,162
ENSE00003477922,162
ENSE00003642639,162
ENSE00003523640,162
ENSE00003505430,162
ENSE00003734672,162
ENSE00001054145,162
ENSE00003484367,161
ENSE00002436937,161
ENSE00003658009,161
ENSE00003573287,161
ENSE00003538447,161
ENSE00003484744,161
ENSE00003664783,161
ENSE00001308438,161
ENSE00003478252,161
ENSE00003679199,161
ENSE00003581403,161
ENSE00000469822,161
ENSE00003525807,161
ENSE00003806294,161
ENSE00000712920,161
ENSE00001703151,161
ENSE00003675063,161
ENSE00001151885,160
ENSE00003467490,160
ENSE00003694224,160
ENSE00003531475,160
ENSE00003524885,160
ENSE00003669138,160
ENSE00003652524,160
ENSE00003538547,160
ENSE00003604035,160
ENSE00001657782,160
ENSE00001098495,160
ENSE00003575651,160
ENSE00003570397,160
ENSE00001163940,160
ENSE00000961112,160
ENSE00001711680,160
ENSE00003585086,160
ENSE00002186824,160
ENSE00003592264,160
ENSE00003532324,160
ENSE00001084075,160
ENSE00003496930,160
ENSE00003618249,159
ENSE00003622610,159
ENSE00003617610,159
ENSE00003534523,159
ENSE00003785170,159
ENSE00001173954,159
ENSE00003482541,159
ENSE00003546434,159
ENSE00003503994,159
ENSE00003531788,158
ENSE00003694960,158
ENSE00003549164,158
ENSE00003492448,158
ENSE00003598539,158
ENSE00003598816,158
ENSE00003602894,158
ENSE00002240772,158
ENSE00003541115,158
ENSE00001392610,157
ENSE00000961110,157
ENSE00003618719,157
ENSE00000824907,157
ENSE00003743210,157
ENSE00001710443,157
ENSE00003696831,157
ENSE00003644570,157
ENSE00001281378,157
ENSE00000809468,157
ENSE00001414342,157
ENSE00003664844,157
ENSE00003562076,157
ENSE00003251405,157
ENSE00003586229,156
ENSE00003701514,156
ENSE00003588092,156
ENSE00003543924,156
ENSE00003607369,156
ENSE00000832025,156
ENSE00003566393,156
ENSE00001592102,156
ENSE00000943564,156
ENSE00002267420,156
ENSE00003713474,156
ENSE00002342555,156
ENSE00001737874,156
ENSE00001632309,156
ENSE00003480546,156
ENSE00001308282,156
ENSE00001627236,156
ENSE00003580654,155
ENSE00003610005,155
ENSE00003530860,155
ENSE00003547331,155
ENSE00000789773,155
ENSE00003663619,155
ENSE00003541518,155
ENSE00003485887,155
ENSE00000658288,155
ENSE00003823220,155
ENSE00001687145,155
ENSE00003506188,155
ENSE00003643147,155
ENSE00001916254,155
ENSE00003683881,155
ENSE00003590402,155
ENSE00003824374,155
ENSE00003618844,155
ENSE00003711279,155
ENSE00003620245,155
ENSE00000652099,155
ENSE00003520254,154
ENSE00003513429,154
ENSE00003759758,154
ENSE00003534359,154
ENSE00003717788,154
ENSE00003661691,154
ENSE00003535005,154
ENSE00001270464,154
ENSE00003654637,154
ENSE00003460215,153
ENSE00003694232,153
ENSE00003602824,153
ENSE00003547032,153
ENSE00003566215,153
ENSE00003785343,153
ENSE00003681794,153
ENSE00003651410,153
ENSE00000774233,153
ENSE00003697321,153
ENSE00003683297,153
ENSE00001421291,153
ENSE00000754639,153
ENSE00003639605,153
ENSE00003790808,152
ENSE00002180535,152
ENSE00003640752,152
ENSE00003573113,152
ENSE00003566018,152
ENSE00002385082,152
ENSE00003532094,152
ENSE00003584027,152
ENSE00003689341,152
ENSE00003529172,152
ENSE00001714506,152
ENSE00001781241,152
ENSE00003785199,152
ENSE00003658389,151
ENSE00001241203,151
ENSE00003528082,151
ENSE00003500879,151
ENSE00003797789,151
ENSE00003502633,151
ENSE00000960897,151
ENSE00001450422,151
ENSE00001211238,151
ENSE00001100648,151
ENSE00002047060,151
ENSE00003783986,151
ENSE00003488334,151
ENSE00003657051,151
ENSE00003503589,150
ENSE00000910604,150
ENSE00000786783,150
ENSE00001225900,150
ENSE00003664831,150
ENSE00003785663,150
ENSE00001752823,150
ENSE00003696492,150
ENSE00001211986,150
ENSE00001739773,150
ENSE00003467534,150
ENSE00003569224,150
ENSE00001325607,150
ENSE00003509014,150
ENSE00003642947,150
ENSE00003459387,150
ENSE00003506060,150
ENSE00003633372,150
ENSE00000937511,150
ENSE00001329893,150
ENSE00003675708,150
ENSE00001189261,150
ENSE00000907786,150
ENSE00003601779,150
ENSE00003481065,150
ENSE00003579840,149
ENSE00003506206,149
ENSE00003679843,149
ENSE00003517406,149
ENSE00003471942,149
ENSE00003653589,149
ENSE00003649593,149
ENSE00003684910,149
ENSE00003648002,149
ENSE00003694506,149
ENSE00003489502,149
ENSE00003632285,149
ENSE00003533784,149
ENSE00001106634,149
ENSE00003548317,149
ENSE00003525913,149
ENSE00003662963,148
ENSE00000842844,148
ENSE00001434372,148
ENSE00003653218,148
ENSE00003673570,148
ENSE00003495179,148
ENSE00000859933,148
ENSE00003568768,148
ENSE00003571590,148
ENSE00003626481,148
ENSE00000858956,148
ENSE00000766012,147
ENSE00003599412,147
ENSE00003764619,147
ENSE00003644014,147
ENSE00003459462,147
ENSE00003791677,147
ENSE00003613920,147
ENSE00000927450,147
ENSE00000731725,147
ENSE00000660171,147
ENSE00003647362,147
ENSE00000956591,147
ENSE00003548840,146
ENSE00003537912,146
ENSE00000731657,146
ENSE00003471145,146
ENSE00001652658,146
ENSE00000916508,146
ENSE00003517638,146
ENSE00001695435,146
ENSE00003553299,146
ENSE00003468802,146
ENSE00003617717,146
ENSE00002185937,146
ENSE00003493833,146
ENSE00003580791,146
ENSE00001719406,146
ENSE00003574688,146
ENSE00003642613,145
ENSE00003632013,145
ENSE00003625084,145
ENSE00003629539,145
ENSE00000916510,145
ENSE00001705767,145
ENSE00003530382,145
ENSE00003600276,145
ENSE00003791619,145
ENSE00003821846,145
ENSE00003549981,145
ENSE00003653007,145
ENSE00000932613,145
ENSE00001777236,145
ENSE00003647992,145
ENSE00001070794,145
ENSE00003471577,145
ENSE00001281424,145
ENSE00003676814,145
ENSE00003474911,145
ENSE00003726177,145
ENSE00003561927,145
ENSE00003709767,144
ENSE00000841666,144
ENSE00003488392,144
ENSE00000779479,144
ENSE00001373499,144
ENSE00003459452,144
ENSE00003575610,144
ENSE00003687053,144
ENSE00003661160,144
ENSE00001067890,144
ENSE00003534281,144
ENSE00002178626,144
ENSE00001649048,144
ENSE00003790566,144
ENSE00003744462,144
ENSE00000942571,144
ENSE00000846519,144
ENSE00000660173,144
ENSE00000435084,144
ENSE00003706359,144
ENSE00003511828,143
ENSE00002455290,143
ENSE00003573734,143
ENSE00003533433,143
ENSE00003556653,143
ENSE00003584630,143
ENSE00002170563,143
ENSE00001162359,143
ENSE00003670046,143
ENSE00003538303,143
ENSE00001183860,143
ENSE00003557333,143
ENSE00002344967,142
ENSE00003699418,142
ENSE00003460799,142
ENSE00003599032,142
ENSE00003390188,142
ENSE00003519001,142
ENSE00003507372,142
ENSE00003655953,142
ENSE00003633676,142
ENSE00000853763,142
ENSE00003641745,142
ENSE00001848957,142
ENSE00001634290,141
ENSE00003672717,141
ENSE00001300336,141
ENSE00003517836,141
ENSE00003631381,141
ENSE00003591784,141
ENSE00003575394,141
ENSE00003500819,141
ENSE00003556649,141
ENSE00003658656,141
ENSE00003659589,141
ENSE00000984984,141
ENSE00003672891,140
ENSE00001096840,140
ENSE00003621238,140
ENSE00000651602,140
ENSE00003688811,140
ENSE00003553308,140
ENSE00000868205,140
ENSE00000869155,140
ENSE00003654752,140
ENSE00003710431,140
ENSE00003512181,140
ENSE00003618755,140
ENSE00003640827,140
ENSE00003619602,140
ENSE00001694267,140
ENSE00003594538,140
ENSE00003497481,140
ENSE00003476225,140
ENSE00003519404,140
ENSE00000832024,140
ENSE00003707774,140
ENSE00003487395,140
ENSE00003660603,140
ENSE00001423540,140
ENSE00003558911,140
ENSE00003495472,140
ENSE00002433802,140
ENSE00003711341,140
ENSE00000919461,140
ENSE00003622246,140
ENSE00001225881,140
ENSE00003784657,139
ENSE00003787006,139
ENSE00000868206,139
ENSE00002450796,139
ENSE00003473450,139
ENSE00003727857,139
ENSE00003486846,139
ENSE00003576437,139
ENSE00003577557,139
ENSE00001003386,138
ENSE00000938153,138
ENSE00003678695,138
ENSE00003709727,138
ENSE00000956078,138
ENSE00001503897,138
ENSE00003491976,138
ENSE00003469122,138
ENSE00003747963,138
ENSE00003541358,138
ENSE00000768002,138
ENSE00003682971,138
ENSE00003474415,138
ENSE00003582519,138
ENSE00003520950,138
ENSE00003467201,138
ENSE00003458396,138
ENSE00003486934,138
ENSE00003539535,138
ENSE00003584865,137
ENSE00003838470,137
ENSE00003584381,137
ENSE00003673015,137
ENSE00003655464,137
ENSE00003668298,136
ENSE00003605947,136
ENSE00002455099,136
ENSE00003530208,136
ENSE00003551234,136
ENSE00003486140,136
ENSE00003656386,136
ENSE00003684487,136
ENSE00003589388,136
ENSE00003529384,136
ENSE00003551586,136
ENSE00003641976,136
ENSE00003630017,136
ENSE00003550770,136
ENSE00003461145,136
ENSE00003490503,136
ENSE00003461061,136
ENSE00000655562,135
ENSE00001721575,135
ENSE00001151894,135
ENSE00002149823,135
ENSE00003690956,135
ENSE00003629008,135
ENSE00003608447,135
ENSE00003693789,135
ENSE00001338200,135
ENSE00003461937,135
ENSE00003553776,135
ENSE00001224982,135
ENSE00003540008,135
ENSE00003677469,135
ENSE00003469445,135
ENSE00003499385,135
ENSE00001088370,135
ENSE00003496551,135
ENSE00003566621,135
ENSE00003724020,135
ENSE00001089858,135
ENSE00002725059,135
ENSE00003556954,135
ENSE00001595379,135
ENSE00003744386,135
ENSE00001084089,135
ENSE00003541685,135
ENSE00003591214,135
ENSE00001793052,135
ENSE00001293264,135
ENSE00003664122,135
ENSE00003685388,135
ENSE00003655613,134
ENSE00003530707,134
ENSE00000984847,134
ENSE00003549953,134
ENSE00001582388,134
ENSE00003573891,134
ENSE00003498928,134
ENSE00003528121,134
ENSE00003540683,134
ENSE00003603060,134
ENSE00000760648,134
ENSE00003461081,134
ENSE00001057852,134
ENSE00003604760,134
ENSE00003552832,134
ENSE00000941985,134
ENSE00001207451,134
ENSE00001105888,134
ENSE00000654816,134
ENSE00003653115,134
ENSE00003715963,133
ENSE00000890541,133
ENSE00003535345,133
ENSE00003787704,133
ENSE00000919029,133
ENSE00003473796,133
ENSE00003521700,133
ENSE00003690403,133
ENSE00001167550,133
ENSE00003552849,133
ENSE00003821387,133
ENSE00003546265,133
ENSE00000469824,133
ENSE00000964081,133
ENSE00001092088,132
ENSE00003676379,132
ENSE00001598886,132
ENSE00003602308,132
ENSE00001097223,132
ENSE00001673533,132
ENSE00003606190,132
ENSE00003710901,132
ENSE00001015214,132
ENSE00001716454,132
ENSE00003533701,132
ENSE00003496810,132
ENSE00000983738,132
ENSE00003624874,132
ENSE00003607567,132
ENSE00002290914,132
ENSE00003662307,132
ENSE00001713743,132
ENSE00003563904,132
ENSE00003741519,132
ENSE00003569388,132
ENSE00003709982,132
ENSE00003790975,132
ENSE00003581780,132
ENSE00003493567,132
ENSE00001735136,132
ENSE00003632294,132
ENSE00003492130,132
ENSE00003721574,132
ENSE00000637942,132
ENSE00003610428,131
ENSE00003544327,131
ENSE00001109544,131
ENSE00003675270,131
ENSE00003576873,131
ENSE00000720959,131
ENSE00003475576,131
ENSE00003612990,131
ENSE00003635842,131
ENSE00001092095,131
ENSE00003571799,130
ENSE00003658622,130
ENSE00003671431,130
ENSE00003620322,130
ENSE00001804284,130
ENSE00000811429,130
ENSE00001626155,130
ENSE00003697509,130
ENSE00003647581,130
ENSE00003613326,130
ENSE00003553207,130
ENSE00003520835,130
ENSE00003487278,130
ENSE00000651605,130
ENSE00003684551,130
ENSE00000804475,130
ENSE00003529511,130
ENSE00003517707,130
ENSE00003486435,130
ENSE00003618391,130
ENSE00002297268,130
ENSE00003528094,130
ENSE00003526922,130
ENSE00001609010,130
ENSE00003475061,130
ENSE00003788406,130
ENSE00003784171,130
ENSE00000972916,130
ENSE00003690111,129
ENSE00003658479,129
ENSE00003672108,129
ENSE00003544937,129
ENSE00003466526,129
ENSE00003709270,129
ENSE00003538360,129
ENSE00003748286,129
ENSE00003473633,129
ENSE00001307627,129
ENSE00003542632,129
ENSE00003573089,129
ENSE00003462132,129
ENSE00003501821,128
ENSE00003506974,128
ENSE00003689190,128
ENSE00003596271,128
ENSE00001729849,128
ENSE00002407519,128
ENSE00003670464,128
ENSE00000942717,128
ENSE00001415401,128
ENSE00003556025,128
