	Counts
ENSE00003469122	137
ENSE00003473329	137
ENSE00003649233	137
ENSE00003608371	137
ENSE00003465431	136
ENSE00000754639	136
ENSE00003789188	136
ENSE00003716072	136
ENSE00003473819	136
ENSE00003475931	136
ENSE00003560952	136
ENSE00003671056	136
ENSE00003574363	136
ENSE00003612782	136
ENSE00001747618	136
ENSE00003612746	136
ENSE00003529172	135
ENSE00000809956	135
ENSE00003547032	135
ENSE00003658720	135
ENSE00003740621	135
ENSE00003501034	135
ENSE00001102018	135
ENSE00000778629	135
ENSE00003697472	135
ENSE00003570451	135
ENSE00003734410	135
ENSE00003529392	135
ENSE00003601851	134
ENSE00003516009	134
ENSE00003551718	134
ENSE00003466349	134
ENSE00003640752	134
ENSE00000914602	134
ENSE00003502795	134
ENSE00003478858	134
ENSE00003614778	134
ENSE00003486684	134
ENSE00003517406	134
ENSE00003784156	133
ENSE00001215876	133
ENSE00003460215	133
ENSE00003491408	133
ENSE00003586883	133
ENSE00000778741	133
ENSE00001089102	133
ENSE00000653597	133
ENSE00003692926	133
ENSE00003604878	133
ENSE00003784869	133
ENSE00001703151	133
ENSE00001366228	133
ENSE00003637171	133
ENSE00003664844	133
ENSE00002485762	133
ENSE00002435591	132
ENSE00001354043	132
ENSE00003586789	132
ENSE00003523640	132
ENSE00003707774	132
ENSE00001785296	132
ENSE00003547338	132
ENSE00003534523	132
ENSE00003589981	132
ENSE00003821846	132
ENSE00001745147	132
ENSE00003662411	132
ENSE00003518986	132
ENSE00003633580	132
ENSE00003787617	132
ENSE00003594152	131
ENSE00003699418	131
ENSE00003540434	131
ENSE00003521516	131
ENSE00003655953	131
ENSE00003688118	131
ENSE00001292600	131
ENSE00003553972	131
ENSE00002184114	131
ENSE00003788504	131
ENSE00003569842	131
ENSE00003672717	131
ENSE00001307627	131
ENSE00001592102	131
ENSE00003614729	131
ENSE00003785170	131
ENSE00003305995	131
ENSE00003490332	131
ENSE00003653250	130
ENSE00003675063	130
ENSE00003788994	130
ENSE00003524885	130
ENSE00003497481	130
ENSE00003617610	130
ENSE00003601779	130
ENSE00002468932	130
ENSE00003676437	130
ENSE00003485225	130
ENSE00003539458	130
ENSE00003679199	130
ENSE00003538547	130
ENSE00001916254	130
ENSE00001148914	130
ENSE00003671987	130
ENSE00003520254	130
ENSE00003531475	130
ENSE00001710443	130
ENSE00003610607	129
ENSE00003464465	129
ENSE00003602439	129
ENSE00003521956	129
ENSE00003471942	129
ENSE00003515294	129
ENSE00001318724	129
ENSE00003621027	129
ENSE00003487848	129
ENSE00003538360	129
ENSE00002267090	129
ENSE00003689341	129
ENSE00000829710	129
ENSE00001342949	128
ENSE00003802606	128
ENSE00003691733	128
ENSE00003789543	128
ENSE00003678923	128
ENSE00003541474	128
ENSE00003668410	128
ENSE00003697275	128
ENSE00003711279	128
ENSE00001072449	128
ENSE00003551775	128
ENSE00003602824	128
ENSE00003673251	128
ENSE00003623890	128
ENSE00001414342	128
ENSE00003525621	128
ENSE00003644570	127
ENSE00003506060	127
ENSE00003525913	127
ENSE00003689356	127
ENSE00003790344	127
ENSE00003667249	127
ENSE00002436937	127
ENSE00003570453	127
ENSE00002385082	127
ENSE00003614489	127
ENSE00003489098	127
ENSE00003790305	127
ENSE00003507372	127
ENSE00001683645	127
ENSE00001593400	127
ENSE00003558911	126
ENSE00003463769	126
ENSE00003714369	126
ENSE00000786783	126
ENSE00001634331	126
ENSE00003574052	126
ENSE00003671955	126
ENSE00003531121	126
ENSE00002110804	126
ENSE00003566215	126
ENSE00001062420	126
ENSE00003671136	126
ENSE00003604035	126
ENSE00003620721	126
ENSE00000397476	126
ENSE00000652099	126
ENSE00003624874	126
ENSE00003610203	126
ENSE00002267378	126
ENSE00003536094	126
ENSE00003648002	126
ENSE00003605978	126
ENSE00003634152	126
ENSE00003662884	126
ENSE00001413149	126
ENSE00003575552	126
ENSE00003621238	126
ENSE00003571312	126
ENSE00003803454	126
ENSE00003558243	126
ENSE00003495985	126
ENSE00003653007	125
ENSE00000978463	125
ENSE00000768714	125
ENSE00003654752	125
ENSE00003541298	125
ENSE00003390188	125
ENSE00000360902	125
ENSE00003500879	125
ENSE00003481635	125
ENSE00003606367	125
ENSE00003790839	125
ENSE00001388532	125
ENSE00003585159	125
ENSE00000985611	125
ENSE00001137271	125
ENSE00003519461	125
ENSE00001011795	124
ENSE00003736598	124
ENSE00001003386	124
ENSE00003688944	124
ENSE00003702059	124
ENSE00001756605	124
ENSE00003653854	124
ENSE00003526504	124
ENSE00003619503	124
ENSE00003669844	124
ENSE00000720959	124
ENSE00003514821	124
ENSE00003672934	124
ENSE00003475061	124
ENSE00003642422	124
ENSE00003528531	124
ENSE00003696831	124
ENSE00001199377	123
ENSE00003588092	123
ENSE00002277537	123
ENSE00000919029	123
ENSE00003681794	123
ENSE00001079166	123
ENSE00001241203	123
ENSE00003696683	123
ENSE00003646929	123
ENSE00001503897	123
ENSE00000774940	123
ENSE00003618655	123
ENSE00003470047	123
ENSE00003654354	122
ENSE00003519001	122
ENSE00003546434	122
ENSE00003710431	122
ENSE00003790642	122
ENSE00001695435	122
ENSE00003630863	122
ENSE00003481065	122
ENSE00003778691	122
ENSE00003655613	122
ENSE00003468802	122
ENSE00001279286	122
ENSE00001048238	122
ENSE00003502522	122
ENSE00003686739	121
ENSE00003673908	121
ENSE00003588593	121
ENSE00003655464	121
ENSE00003652685	121
ENSE00001866669	121
ENSE00000890541	121
ENSE00003537468	120
ENSE00003533374	120
ENSE00001124279	120
ENSE00003664831	120
ENSE00003591214	120
ENSE00003586097	120
ENSE00003789252	120
ENSE00003720687	120
ENSE00003583940	120
ENSE00003473677	120
ENSE00003680438	120
ENSE00003649593	120
ENSE00003595779	120
ENSE00003625340	120
ENSE00000907786	120
ENSE00003587385	120
ENSE00000937024	120
ENSE00003493443	120
ENSE00003689819	120
ENSE00003541685	120
ENSE00003693789	120
ENSE00003658009	120
ENSE00003474010	120
ENSE00003787006	119
ENSE00000983738	119
ENSE00001757939	119
ENSE00003544244	119
ENSE00001364815	119
ENSE00002443813	119
ENSE00003509732	119
ENSE00000960897	119
ENSE00001146412	119
ENSE00003579604	119
ENSE00003531833	119
ENSE00001092088	119
ENSE00003601981	119
ENSE00003670291	119
ENSE00003635252	119
ENSE00003728560	119
ENSE00000950646	119
ENSE00001335830	119
ENSE00003526922	118
ENSE00003493567	118
ENSE00003822384	118
ENSE00003508264	118
ENSE00003600349	118
ENSE00003672279	118
ENSE00001450422	118
ENSE00003597495	118
ENSE00003647362	118
ENSE00003512333	118
ENSE00003784438	118
ENSE00001173954	118
ENSE00003709982	118
ENSE00003585486	117
ENSE00003715963	117
ENSE00003750812	117
ENSE00003550881	117
ENSE00001639664	117
ENSE00003791418	117
ENSE00003790186	117
ENSE00003556046	117
ENSE00003251405	117
ENSE00003717155	117
ENSE00003681126	117
ENSE00003538447	117
ENSE00003685469	116
ENSE00003650883	116
ENSE00001270464	116
ENSE00001167550	116
ENSE00003474207	116
ENSE00001696248	116
ENSE00003621347	116
ENSE00000811429	116
ENSE00003647581	116
ENSE00003568768	116
ENSE00001848957	116
ENSE00003514137	116
ENSE00001900351	116
ENSE00003591958	116
ENSE00000932613	116
ENSE00001299617	115
ENSE00003557209	115
ENSE00003630228	115
ENSE00003505291	115
ENSE00003744386	115
ENSE00003519110	115
ENSE00003669138	115
ENSE00003621367	115
ENSE00003785874	115
ENSE00001303154	115
ENSE00001070794	115
ENSE00003532324	115
ENSE00003709727	115
ENSE00001721836	115
ENSE00000789773	115
ENSE00001520773	115
ENSE00001078565	115
ENSE00003647394	114
ENSE00001094616	114
ENSE00003560915	114
ENSE00003521700	114
ENSE00001712155	114
ENSE00003711341	114
ENSE00003687161	114
ENSE00003473904	114
ENSE00003520895	114
ENSE00002429109	114
ENSE00003726177	114
ENSE00003540683	114
ENSE00000916508	114
ENSE00001230554	114
ENSE00003735803	114
ENSE00002196187	114
ENSE00002693380	114
ENSE00003683097	114
ENSE00003633755	114
ENSE00000768002	114
ENSE00003551586	113
ENSE00001178498	113
ENSE00001608098	113
ENSE00003495179	113
ENSE00003490852	113
ENSE00003656482	113
ENSE00003686076	113
ENSE00001434372	113
ENSE00003565426	113
ENSE00003679843	113
ENSE00001028571	113
ENSE00003543924	113
ENSE00003534663	113
