Interaction Term	K562 - # Interaction Rows	K562 - Mean PSI (Interaction Rows)	K562 - # Single Binders	K562 - Mean PSI (Single Binders)	K562 - Difference in Mean PSI(Interaction - Single)	K562 - Interaction Beta Coefficient	K562 - Interaction P-value	HepG2 - # Interaction Rows	HepG2 - Mean PSI (Interaction Rows)	HepG2 - # Single Binders	HepG2 - Mean PSI (Single Binders)	HepG2 - Difference in Mean PSI(Interaction - Single)	HepG2 - Interaction Beta Coefficient	HepG2 - Interaction P-value
CPEB4-6_CSTF2T-5_interaction	0.0		24324.0	0.6584130693964808										
CPEB4-6_CSTF2T-6_interaction	4.0	0.9945	10554.0	0.7184710536289558	0.27602894637104425	0.009468828578729918	0.9572003809744712							
CPSF6-1_NONO-1_interaction	4.0	0.9781249999999999	15153.0	0.6609922787566819	0.31713272124331804	0.3756540616643986	0.03132760337338254							
CPSF6-1_NONO-2_interaction	0.0		23087.0	0.6127149911205441										
CPSF6-1_NONO-3_interaction	169.0	0.08173076923076923	22266.0	0.639438628402048	-0.5577078591712787	-0.5028684621046837	8.83045501338809e-76							
CPSF6-1_NONO-4_interaction	169.0	0.08173076923076923	19412.0	0.5698211930764475	-0.4880904238456783	-0.3901048762826699	2.7206294709648115e-46							
CPSF6-1_NONO-5_interaction	0.0		24973.0	0.6559876266367677										
CPSF6-1_NONO-6_interaction	0.0		17192.0	0.6518095335039553										
CPSF6-1_RBM15-1_interaction	89.0	0.9911573033707866	38437.0	0.657386827796134	0.33377047557465256	0.38857971803973285	1.8042415998859989e-25							
CPSF6-1_RBM15-2_interaction	338.0	0.5507204142011835	94697.0	0.70149040624307	-0.15076999204188657	-0.11089338183332004	1.261561602816136e-08							
CPSF6-1_RBM15-3_interaction	6.0	0.9955833333333333	32648.0	0.7738203259005146	0.22176300743281863	0.2409198023090559	0.09076290539977888							
CPSF6-1_RBM15-4_interaction	356.0	0.9404283707865169	50680.0	0.8245898480662983	0.11583852272021855	0.14975845149001374	3.49416825367965e-15							
CPSF6-1_RBM15-5_interaction	42.0	0.9900119047619049	50697.0	0.7237967236720122	0.2662151810898927	0.3067234989513224	1.356227204651877e-08							
CPSF6-1_RBM15-6_interaction	492.0	0.6650569105691057	76433.0	0.7038910549108369	-0.03883414434173127	0.005249905814944995	0.748361465420651							
CPSF6-1_TAF15-1_interaction	0.0		7231.0	0.6777628267182962										
CPSF6-1_TAF15-2_interaction	0.0		7168.0	0.680852818080357										
CPSF6-1_TAF15-3_interaction	0.0		7703.0	0.6786133324678697										
CPSF6-1_TAF15-4_interaction	0.0		7641.0	0.6792067137809187										
CPSF6-1_TAF15-5_interaction	0.0		7903.0	0.6753757433885866										
CPSF6-1_TAF15-6_interaction	0.0		7040.0	0.6763033380681819										
CPSF6-2_NONO-1_interaction	4.0	0.9781249999999999	16766.0	0.670836782774663	0.30728821722533695	0.35885834428168006	0.03971399111019612							
CPSF6-2_NONO-2_interaction	0.0		24700.0	0.622549979757085										
CPSF6-2_NONO-3_interaction	169.0	0.08173076923076923	23879.0	0.6478066083169312	-0.5660758390861619	-0.5171508836237784	2.142942338644765e-80							
CPSF6-2_NONO-4_interaction	169.0	0.08173076923076923	21025.0	0.5846659928656361	-0.5029352236348669	-0.4043868978732979	7.888149330183584e-50							
CPSF6-2_NONO-5_interaction	139.0	0.052190647482014386	26308.0	0.6689487418275809	-0.6167580943455665	-0.5810952412098093	6.307914875270114e-84							
CPSF6-2_NONO-6_interaction	0.0		18805.0	0.661374262164318										
CPSF6-2_RBM15-1_interaction	100.0	0.9934899999999999	40028.0	0.6614604526831218	0.33202954731687806	0.3737539626787497	1.9799815331859366e-26							
CPSF6-2_RBM15-2_interaction	1010.0	0.5522133663366336	94966.0	0.704642572078428	-0.1524292057417943	-0.13953589501373564	1.4833166520914657e-32							
CPSF6-2_RBM15-3_interaction	95.0	0.9879631578947368	34083.0	0.7722076548425901	0.21575550305214664	0.22024444394608486	9.930266391324755e-10							
CPSF6-2_RBM15-4_interaction	329.0	0.9593465045592705	52347.0	0.822583567348654	0.1367629372106165	0.14838907980104904	4.353382463016654e-14							
CPSF6-2_RBM15-5_interaction	81.0	0.9935925925925925	52232.0	0.7246085732884057	0.2689840193041868	0.29475789023927856	3.962348306410168e-14							
CPSF6-2_RBM15-6_interaction	496.0	0.6680554435483871	78038.0	0.7050852597452524	-0.037029816196865295	-0.009196142931510979	0.5700206088957886							
