Cell Line	Data Mode	Feature	Zero Cutoff	% Non Zero
HepG2	All-Data	DGCR8_1_shap	1e-10	100.0
HepG2	All-Data	DGCR8_1_shap	1e-09	100.0
HepG2	All-Data	DGCR8_1_shap	1e-08	100.0
HepG2	All-Data	DGCR8_1_shap	1e-07	100.0
HepG2	All-Data	DGCR8_1_shap	1e-06	100.0
HepG2	All-Data	DGCR8_1_shap	1e-05	100.0
HepG2	All-Data	DGCR8_1_shap	0.0001	85.5231624944437
HepG2	All-Data	DGCR8_1_shap	0.001	0.2921422456273611
HepG2	All-Data	DGCR8_1_shap	0.01	0.11009703773406761
HepG2	All-Data	DGCR8_1_shap	0.05	0.11009703773406761
HepG2	All-Data	DGCR8_1_shap	0.1	0.09700590798230045
HepG2	All-Data	DHX30_1_shap	1e-10	0.0
HepG2	All-Data	DHX30_1_shap	1e-09	0.0
HepG2	All-Data	DHX30_1_shap	1e-08	0.0
HepG2	All-Data	DHX30_1_shap	1e-07	0.0
HepG2	All-Data	DHX30_1_shap	1e-06	0.0
HepG2	All-Data	DHX30_1_shap	1e-05	0.0
HepG2	All-Data	DHX30_1_shap	0.0001	0.0
HepG2	All-Data	DHX30_1_shap	0.001	0.0
HepG2	All-Data	DHX30_1_shap	0.01	0.0
HepG2	All-Data	DHX30_1_shap	0.05	0.0
HepG2	All-Data	DHX30_1_shap	0.1	0.0
HepG2	All-Data	DKC1_1_shap	1e-10	100.0
HepG2	All-Data	DKC1_1_shap	1e-09	100.0
HepG2	All-Data	DKC1_1_shap	1e-08	100.0
HepG2	All-Data	DKC1_1_shap	1e-07	100.0
HepG2	All-Data	DKC1_1_shap	1e-06	100.0
HepG2	All-Data	DKC1_1_shap	1e-05	100.0
HepG2	All-Data	DKC1_1_shap	0.0001	0.11009703773406761
HepG2	All-Data	DKC1_1_shap	0.001	0.11009703773406761
HepG2	All-Data	DKC1_1_shap	0.01	0.11009703773406761
HepG2	All-Data	DKC1_1_shap	0.05	0.0984911252961152
HepG2	All-Data	DKC1_1_shap	0.1	0.0
HepG2	All-Data	DROSHA_1_shap	1e-10	100.0
HepG2	All-Data	DROSHA_1_shap	1e-09	100.0
HepG2	All-Data	DROSHA_1_shap	1e-08	100.0
HepG2	All-Data	DROSHA_1_shap	1e-07	100.0
HepG2	All-Data	DROSHA_1_shap	1e-06	100.0
HepG2	All-Data	DROSHA_1_shap	1e-05	100.0
HepG2	All-Data	DROSHA_1_shap	0.0001	29.17630908645344
HepG2	All-Data	DROSHA_1_shap	0.001	0.3534392859075155
HepG2	All-Data	DROSHA_1_shap	0.01	0.16816903470422429
HepG2	All-Data	DROSHA_1_shap	0.05	0.07561877866336807
HepG2	All-Data	DROSHA_1_shap	0.1	0.04990330174417556
HepG2	All-Data	EFTUD2_1_shap	1e-10	100.0
HepG2	All-Data	EFTUD2_1_shap	1e-09	100.0
HepG2	All-Data	EFTUD2_1_shap	1e-08	100.0
HepG2	All-Data	EFTUD2_1_shap	1e-07	100.0
HepG2	All-Data	EFTUD2_1_shap	1e-06	100.0
HepG2	All-Data	EFTUD2_1_shap	1e-05	99.76310783844656
HepG2	All-Data	EFTUD2_1_shap	0.0001	99.09989465565768
HepG2	All-Data	EFTUD2_1_shap	0.001	6.883727640848993
HepG2	All-Data	EFTUD2_1_shap	0.01	2.0613118924532925
HepG2	All-Data	EFTUD2_1_shap	0.05	1.6024646120453245
HepG2	All-Data	EFTUD2_1_shap	0.1	0.012284868924267708
HepG2	All-Data	EIF3D_1_shap	1e-10	0.0
HepG2	All-Data	EIF3D_1_shap	1e-09	0.0
HepG2	All-Data	EIF3D_1_shap	1e-08	0.0
HepG2	All-Data	EIF3D_1_shap	1e-07	0.0
HepG2	All-Data	EIF3D_1_shap	1e-06	0.0
HepG2	All-Data	EIF3D_1_shap	1e-05	0.0
HepG2	All-Data	EIF3D_1_shap	0.0001	0.0
HepG2	All-Data	EIF3D_1_shap	0.001	0.0
HepG2	All-Data	EIF3D_1_shap	0.01	0.0
HepG2	All-Data	EIF3D_1_shap	0.05	0.0
HepG2	All-Data	EIF3D_1_shap	0.1	0.0
HepG2	All-Data	EIF3H_1_shap	1e-10	100.0
HepG2	All-Data	EIF3H_1_shap	1e-09	100.0
HepG2	All-Data	EIF3H_1_shap	1e-08	100.0
HepG2	All-Data	EIF3H_1_shap	1e-07	100.0
HepG2	All-Data	EIF3H_1_shap	1e-06	100.0
HepG2	All-Data	EIF3H_1_shap	1e-05	100.0
HepG2	All-Data	EIF3H_1_shap	0.0001	6.133883853884321
HepG2	All-Data	EIF3H_1_shap	0.001	1.6426503490791122
HepG2	All-Data	EIF3H_1_shap	0.01	0.0931019081859874
HepG2	All-Data	EIF3H_1_shap	0.05	0.00967512992999322
HepG2	All-Data	EIF3H_1_shap	0.1	0.0
HepG2	All-Data	EXOSC5_1_shap	1e-10	0.0
HepG2	All-Data	EXOSC5_1_shap	1e-09	0.0
HepG2	All-Data	EXOSC5_1_shap	1e-08	0.0
HepG2	All-Data	EXOSC5_1_shap	1e-07	0.0
HepG2	All-Data	EXOSC5_1_shap	1e-06	0.0
HepG2	All-Data	EXOSC5_1_shap	1e-05	0.0
HepG2	All-Data	EXOSC5_1_shap	0.0001	0.0
HepG2	All-Data	EXOSC5_1_shap	0.001	0.0
HepG2	All-Data	EXOSC5_1_shap	0.01	0.0
HepG2	All-Data	EXOSC5_1_shap	0.05	0.0
HepG2	All-Data	EXOSC5_1_shap	0.1	0.0
HepG2	All-Data	FAM120A_1_shap	1e-10	0.0
HepG2	All-Data	FAM120A_1_shap	1e-09	0.0
HepG2	All-Data	FAM120A_1_shap	1e-08	0.0
HepG2	All-Data	FAM120A_1_shap	1e-07	0.0
HepG2	All-Data	FAM120A_1_shap	1e-06	0.0
HepG2	All-Data	FAM120A_1_shap	1e-05	0.0
HepG2	All-Data	FAM120A_1_shap	0.0001	0.0
HepG2	All-Data	FAM120A_1_shap	0.001	0.0
HepG2	All-Data	FAM120A_1_shap	0.01	0.0
HepG2	All-Data	FAM120A_1_shap	0.05	0.0
HepG2	All-Data	FAM120A_1_shap	0.1	0.0
HepG2	All-Data	FASTKD2_1_shap	1e-10	0.0
HepG2	All-Data	FASTKD2_1_shap	1e-09	0.0
HepG2	All-Data	FASTKD2_1_shap	1e-08	0.0
HepG2	All-Data	FASTKD2_1_shap	1e-07	0.0
HepG2	All-Data	FASTKD2_1_shap	1e-06	0.0
HepG2	All-Data	FASTKD2_1_shap	1e-05	0.0
HepG2	All-Data	FASTKD2_1_shap	0.0001	0.0
HepG2	All-Data	FASTKD2_1_shap	0.001	0.0
HepG2	All-Data	FASTKD2_1_shap	0.01	0.0
HepG2	All-Data	FASTKD2_1_shap	0.05	0.0
HepG2	All-Data	FASTKD2_1_shap	0.1	0.0
HepG2	All-Data	FKBP4_1_shap	1e-10	0.0
HepG2	All-Data	FKBP4_1_shap	1e-09	0.0
