Data Partition	Model	Cell Line	Feature Pair	# Rows - Both Bound	# Rows - Either Bound	R2 - Both	R2 - Either	Difference R2 - (Both vs. Either)
All	xgboost	HepG2	SRSF7_4-TARDBP_5	132	19492	0.9947572877773799	0.3078861022978898	0.6868711854794901
All	xgboost	K562	PHF6_5-ZC3H8_3	327	5377	0.721862966065159	0.03535470776047478	0.6865082583046842
All	xgboost	HepG2	RBM5_3-TARDBP_5	172	26359	0.9939088596800931	0.30875112122098414	0.685157738459109
All	xgboost	HepG2	PCBP2_3-TARDBP_5	75	39760	0.9959741452652424	0.3109274326933068	0.6850467125719356
All	xgboost	K562	MORC2_3-NCBP2_2	104	7506	0.9917518077879927	0.30680865545574076	0.6849431523322519
All	xgboost	HepG2	RPS3_4-SUPV3L1_2	777	39445	0.871380202130396	0.18769460653045822	0.6836855955999378
All	xgboost	HepG2	EIF3D_3-U2AF2_4	384	168719	0.9716982702706466	0.2884637659411263	0.6832345043295203
All	xgboost	K562	DHX30_2-FASTKD2_3	34	3590	0.9616649565684375	0.2795571909882959	0.6821077655801416
All	xgboost	HepG2	PCBP2_3-SRSF7_3	131	25967	0.9942038164279585	0.31271270746224344	0.6814911089657151
All	xgboost	K562	APOBEC3C_3-FAM120A_3	145	5648	0.9428791829629829	0.26146435960104875	0.6814148233619342
All	xgboost	HepG2	CDC40_5-KHSRP_1	115	19593	0.9603061291339254	0.2820038987939165	0.6783022303400089
All	xgboost	K562	HNRNPUL1_5-WDR43_5	400	1336	0.3211811454026757	-0.3568831395848231	0.6780642849874988
All	xgboost	HepG2	FUS_4-TARDBP_5	71	17434	0.9923177168761592	0.3154750527666055	0.6768426641095537
All	xgboost	HepG2	SRSF7_3-TARDBP_5	97	19017	0.9519065375062383	0.27560339755880947	0.6763031399474289
All	xgboost	HepG2	FASTKD2_3-U2AF2_4	364	169186	0.9646377680430008	0.29043371849766786	0.674204049545333
All	xgboost	HepG2	GTF2F1_2-SRSF7_3	133	21822	0.987861526311188	0.31486075515173984	0.6730007711594481
All	xgboost	HepG2	SUB1_2-U2AF1_2	977	37241	0.9570496222087789	0.28467028266387195	0.6723793395449069
All	xgboost	HepG2	NIP7_3-NOLC1_4	1270	4917	0.9015457558727262	0.23215383278534418	0.669391923087382
All	xgboost	K562	FAM120A_5-MORC2_3	68	5848	0.9532149421448072	0.2850445713101455	0.6681703708346617
All	xgboost	HepG2	GTF2F1_3-SRSF7_4	59	18207	0.9925247003123586	0.3244171749619954	0.6681075253503632
All	xgboost	HepG2	DKC1_1-U2AF2_2	921	144522	0.9536383604199923	0.2862885018175221	0.6673498586024702
All	xgboost	HepG2	AQR_4-NIP7_5	692	145914	0.9143992969841495	0.24736698457486883	0.6670323124092806
All	xgboost	HepG2	SRSF7_5-TARDBP_5	357	18018	0.9737291177389008	0.30728402465238414	0.6664450930865167
All	xgboost	K562	AKAP8L_3-APOBEC3C_3	80	9162	0.9241124429924277	0.2580434138157216	0.6660690291767061
All	xgboost	HepG2	FUBP3_6-SUB1_5	587	12415	0.9359256690885783	0.27007490153047	0.6658507675581083
All	xgboost	K562	PABPC4_3-UPF1_4	309	16056	0.9662172884523247	0.3011469015235677	0.665070386928757
All	xgboost	HepG2	AQR_4-LARP7_5	533	145578	0.9106699245718131	0.2468205381726135	0.6638493863991995
All	xgboost	K562	DGCR8_5-UTP18_3	295	3178	0.6189660271948114	-0.044406784975453695	0.6633728121702651
All	xgboost	HepG2	PCBP1_3-RPS3_4	598	40190	0.8827355615092844	0.2197226342518862	0.6630129272573982
All	xgboost	K562	FAM120A_4-SLTM_2	32	6159	0.9382998717648955	0.27543199139450625	0.6628678803703892
All	xgboost	HepG2	FAM120A_3-HNRNPUL1_3	935	14302	0.8498967106221738	0.18720670349494928	0.6626900071272245
All	xgboost	HepG2	GTF2F1_1-PCBP1_3	426	10812	0.826562226053639	0.1643871657002305	0.6621750603534086
All	xgboost	HepG2	LARP4_5-SDAD1_5	106	18587	0.9725218860855813	0.3122356319792534	0.6602862541063279
All	xgboost	HepG2	FASTKD2_2-U2AF2_4	266	171453	0.9559190769937946	0.2970351566682877	0.6588839203255069
All	xgboost	HepG2	CSTF2_1-IGF2BP1_2	41	25492	0.9091115716345851	0.2516339890639878	0.6574775825705973
All	xgboost	HepG2	PCBP2_4-TARDBP_5	265	36940	0.9212682499979407	0.2641704797128033	0.6570977702851374
All	xgboost	HepG2	NIP7_5-NOLC1_3	1365	6504	0.8253538471603429	0.16836479638166657	0.6569890507786763
All	xgboost	HepG2	FTO_5-NKRF_3	124	9980	0.9571892186428054	0.3006586992113963	0.656530519431409
All	xgboost	HepG2	TARDBP_5-TIAL1_3	169	38099	0.9938242613563559	0.3379772690466025	0.6558469923097534
All	xgboost	K562	AKAP8L_3-FAM120A_6	110	11633	0.909165993197202	0.25353988936082295	0.6556261038363791
All	xgboost	HepG2	FAM120A_3-TIAL1_5	217	38415	0.983040674985116	0.3284911759501383	0.6545494990349777
All	xgboost	HepG2	FTO_3-NKRF_3	83	9626	0.9588096208798134	0.30611952674608844	0.6526900941337249
All	xgboost	HepG2	DKC1_5-TIAL1_3	70	25955	0.9948825769984984	0.34224673765962277	0.6526358393388756
All	xgboost	K562	FASTKD2_2-FTO_3	441	4538	0.8844284420463409	0.23190975739424635	0.6525186846520945
All	xgboost	K562	ZC3H8_3-ZC3H8_5	382	4098	0.7705697821824548	0.118374752006432	0.6521950301760228
All	xgboost	HepG2	GTF2F1_4-NCBP2_3	208	12988	0.8706846892577275	0.22018606688437659	0.6504986223733509
All	xgboost	HepG2	DKC1_5-RBM5_2	56	10730	0.9899376727771804	0.3395138162705128	0.6504238565066676
All	xgboost	K562	NIPBL_5-UTP18_5	607	2634	0.4691755972171642	-0.18056802342256617	0.6497436206397303
