Data Partition	Cell Line	RBP Pair	Position	# Graphs Used in OLS Reg.	% Rows - RBP 1 Bound	% Rows - RBP 2 Bound	% Rows - PPI Interaction	Intercept Beta Coefficient	Intercept Param P-value	RBP 1 Beta Coefficient	RBP 1 Param P-value	RBP 2 Beta Coefficient	RBP 2 Param P-value	Interaction Beta Coefficient	Interaction Param P-value
All	K562	MBNL1-RBFOX2	2	18401	13.189500570621163	87.9354382913972	1.1249388620183687	-337826986995.781	0.31257027997958586	337826986996.278	0.31257027997887193	337826986996.4785	0.3125702799785832	-337826986996.1378	0.3125702799790716
All	K562	MBNL1-RBFOX2	3	27029	11.213881386658773	90.68038033223574	1.8942617188945208	0.49761178329878036	0.0	0.16768436596679745	3.66203357855674e-228	0.2074430754394487	0.0	-0.1224843418925337	2.3389768049176508e-25
All	K562	MBNL1-RBFOX2	4	20582	9.999028277135361	92.13390341074725	2.132931687882616	423897540120.5362	0.19182314415495721	-423897540119.8837	0.19182314415563453	-423897540119.8596	0.19182314415566926	423897540119.78503	0.19182314415574703
All	K562	MBNL1-RBFOX2	5	23113	8.484402717085624	92.99528403928525	1.4796867563708735	184263379476.33325	0.41908530467020555	-184263379475.79498	0.41908530467156924	-184263379475.62195	0.4190853046720059	184263379475.67053	0.41908530467188376
All	K562	PCBP1-QKI	3	18001	52.524859730014995	47.9862229876118	0.5110827176267986	-151630476939.10336	0.6600411290828663	151630476939.8156	0.6600411290813668	151630476939.6906	0.6600411290816317	-151630476939.44052	0.6600411290821577
All	K562	PCBP1-RBFOX2	3	33308	28.386573796085024	73.58592530323045	1.9724990993154798	688128095501.8949	0.331216445946922	-688128095501.1698	0.3312164459474305	-688128095501.1888	0.3312164459474193	688128095501.0662	0.3312164459475069
All	K562	PCBP1-RBFOX2	4	30280	40.35997357992074	62.62549537648613	2.9854689564068693	113123511114.92038	0.6538527588041616	-113123511114.08401	0.6538527588065555	-113123511114.2492	0.6538527588060836	113123511113.93866	0.6538527588069716
All	K562	PCBP1-RBFOX2	6	21927	63.82086012678433	36.70816801203995	0.5290281388242806	-301221704455.271	0.5538197632533977	301221704455.9693	0.5538197632524772	301221704456.05536	0.5538197632523674	-301221704455.7675	0.5538197632527543
All	K562	PTBP1-ZC3H8	3	14422	89.85577589793371	22.701428373318542	12.557204271252253	-270530558855.3422	0.18742888952578543	270530558855.9052	0.18742888952486075	270530558856.13113	0.18742888952449333	-270530558856.0738	0.1874288895245857
All	K562	PTBP1-ZC3H8	5	8338	92.13240585272247	19.045334612616934	11.17774046533941	696775594467.401	0.11930552569822596	-696775594466.7515	0.11930552569857371	-696775594466.5994	0.11930552569864682	696775594466.7063	0.11930552569859237
All	K562	PTBP1-ZC3H8	6	4795	97.5599582898853	3.482794577685089	1.0427528675703857	-474082719555.8882	0.1979760595431915	474082719556.47046	0.19797605954263425	474082719556.8452	0.19797605954228317	-474082719556.4427	0.19797605954266326
All	K562	PUM2-QKI	6	22186	92.0355178941675	9.05976742089606	1.0952853150635535	-135501383904.84525	0.4601651476228864	135501383905.59111	0.46016514762041116	135501383905.5958	0.4601651476203956	-135501383905.37872	0.4601651476211104
All	K562	QKI-RBFOX2	1	13756	24.040418726373947	76.42483280023262	0.46525152660657165	295912592205.06433	0.4891144858383727	-295912592204.3875	0.4891144858393648	-295912592204.3392	0.4891144858394404	295912592204.6517	0.4891144858389809
All	K562	QKI-RBFOX2	3	33086	26.107719277035603	74.07967116000725	0.187390437042858	-500312751521.27637	0.36626145262641385	500312751521.86383	0.3662614526258493	500312751521.98303	0.3662614526257352	-500312751522.5526	0.3662614526251895
All	K562	RBFOX2-SF3B4	1	125988	8.344445502746293	93.58748452233546	1.9319300250817537	-46428028139.86792	0.4918928638546435	46428028140.581856	0.4918928638479787	46428028140.62736	0.49189286384755493	-46428028140.572716	0.4918928638480641
All	K562	RBFOX2-SF3B4	2	259270	6.240984302078914	95.36467774906468	1.6056620511435953	98255865276.04903	0.37449684066239064	-98255865275.3568	0.37449684066575684	-98255865275.31433	0.37449684066596556	98255865275.35078	0.37449684066578814
All	K562	RBFOX2-SF3B4	3	145516	16.84350861760906	87.95321476676105	4.796723384370104	-94031785925.10744	0.5703998206385426	94031785925.76419	0.5703998206358492	94031785925.9587	0.5703998206350515	-94031785925.78963	0.5703998206357443
All	K562	RBFOX2-SF3B4	4	159477	11.890742865742396	90.22178746778532	2.112530333527719	-43717580370.00023	0.6642305068851448	43717580370.63586	0.6642305068805596	43717580370.88914	0.6642305068787341	-43717580370.65822	0.6642305068803993
All	K562	RBFOX2-SF3B4	5	240413	8.940448311863335	94.77565689043438	3.7161052022977126	43220848596.429344	0.5238831316985576	-43220848595.734985	0.5238831317052337	-43220848595.722244	0.5238831317053527	43220848595.759094	0.5238831317049988
All	K562	RBFOX2-SF3B4	6	223151	3.6069746494526127	97.59266147138037	1.1996361208329787	-46393588110.92481	0.44004280682122765	46393588111.67735	0.4400428068138047	46393588111.66218	0.440042806813954	-46393588111.544685	0.44004280681511165
All	K562	RBM22-TIA1	1	34061	43.116761105076186	60.73515163970523	3.851912744781422	118725255919.91881	0.4860375964382695	-118725255919.21591	0.4860375964408552	-118725255919.26476	0.4860375964406779	118725255919.48729	0.4860375964398622
All	K562	RBM22-TIA1	2	57631	44.389304367441135	62.754420364040186	7.1437247314813215	-4083196078.6815453	0.9747510505933339	4083196079.3177075	0.974751050589401	4083196079.385073	0.974751050588985	-4083196079.360422	0.9747510505891375
All	K562	RBM22-TIA1	3	45676	34.60460635782468	71.33724494263946	5.941851300464139	-134637833281.64473	0.5716237678139026	134637833282.4636	0.5716237678115609	134637833282.36066	0.5716237678118553	-134637833282.53903	0.571623767811346
All	K562	RBM22-TIA1	4	43439	30.072055065724353	75.57034001703539	5.642395082759732	83590681407.42091	0.3813273186192988	-83590681406.51494	0.3813273186244672	-83590681406.70425	0.381327318623388	83590681406.61002	0.3813273186239252
All	K562	RBM22-TIA1	5	57754	40.262146344841916	68.23423485819164	8.496381203033557	107533683798.3058	0.42480035711830266	-107533683797.62796	0.4248003571212259	-107533683797.60788	0.42480035712131436	107533683797.51666	0.4248003571217085
All	K562	RBM22-TIA1	6	40872	38.564298297122726	66.12106087296927	4.685359170091995	-425892855769.7647	0.21504111560690609	425892855770.5176	0.2150411156060951	425892855770.4264	0.21504111560619074	-425892855770.54254	0.2150411156060658
All	K562	U2AF1-U2AF2	1	36766	38.36152967415547	90.58641135832019	28.947941032475654	-94459692368.22742	0.3937796502137283	94459692368.88466	0.3937796502104317	94459692368.95102	0.39377965021009553	-94459692368.9569	0.3937796502100648
All	K562	U2AF1-U2AF2	2	93858	33.53470135736964	91.94208272070574	25.476784078075394	89536951148.53482	0.35042893439624057	-89536951147.89557	0.3504289343996826	-89536951147.82947	0.3504289344000424	89536951147.88368	0.35042893439975054
All	K562	U2AF1-U2AF2	3	44769	31.173356563693627	91.96542250217786	23.138779065871475	-79607506414.84573	0.3783431034939285	79607506415.59853	0.3783431034894139	79607506415.59178	0.37834310348945077	-79607506415.6417	0.3783431034891517
All	K562	U2AF1-U2AF2	4	76961	30.36992762568054	92.83143410298723	23.201361728667766	68542308691.57631	0.5548211129158683	-68542308690.79135	0.5548211129204046	-68542308690.82214	0.5548211129202276	68542308690.77814	0.5548211129204815
All	K562	U2AF1-U2AF2	5	63526	31.26751251456097	93.45779680760633	24.725309322167302	487331103262.2119	0.24008893422123342	-487331103261.53406	0.24008893422188715	-487331103261.5229	0.2400889342219001	487331103261.46216	0.2400889342219584
All	K562	U2AF1-U2AF2	6	88975	34.31525709468952	93.64765383534701	27.96291093003653	-56080463600.401	0.36554345351101936	56080463601.07254	0.3655434535052683	56080463601.114685	0.3655434535049088	-56080463601.12222	0.3655434535048433
All	HepG2	FUBP3-RBFOX2	6	20012	26.654007595442735	73.49090545672597	0.14491305216869876	83756537633.52809	0.7801082519552109	-83756537632.86516	0.780108251956907	-83756537632.80586	0.78010825195706	83756537633.13702	0.780108251956213
All	HepG2	FUBP3-U2AF2	4	167375	0.3967139656460045	99.65108289768484	0.04779686333084391	48862857110.22873	0.36987081792324317	-48862857109.76281	0.36987081792781074	-48862857109.55472	0.36987081792985255	48862857110.06191	0.36987081792488496
