,RBP,cell_line,Significant Events,AUROC,AUPRC,Sign Concordance
76,SDAD1 Position 3,HepG2,1,0.5,0.011764705882352941,0.0
77,IGF2BP1 Position 6,HepG2,1,0.9767857142857143,0.125,0.0
78,IGF2BP1 Position 5,K562,1,0.5569620253164558,0.004739336492890996,0.0
79,SRSF7 Position 6,K562,1,0.39560439560439564,0.017857142857142856,100.0
80,IGF2BP1 Position 4,K562,1,0.46562499999999996,0.005813953488372093,0.0
81,IGF2BP1 Position 3,K562,1,0.07894736842105265,0.0035587188612099642,0.0
82,IGF2BP1 Position 2,K562,1,0.6823529411764706,0.009174311926605505,100.0
83,TRA2A Position 6,K562,1,0.45344129554655865,0.007352941176470588,0.0
84,ELAVL1 Position 5,K562,1,0.9512195121951219,0.2,0.0
85,IGF2BP1 Position 1,K562,1,0.17182130584192434,0.004132231404958678,0.0
86,ADAT1 Position 6,K562,1,0.040000000000000036,0.04,100.0
87,EXOSC10 Position 2,K562,1,0.9224137931034483,0.1,0.0
88,XRCC6 Position 4,K562,1,0.5,0.041666666666666664,0.0
89,DDX6 Position 1,K562,1,0.006024096385542188,0.011904761904761904,0.0
90,ZC3H11A Position 6,HepG2,1,0.8527131782945736,0.05,0.0
91,WDR43 Position 3,HepG2,1,0.5,0.0625,0.0
92,DROSHA Position 5,HepG2,1,0.45833333333333337,0.1,0.0
93,SRSF7 Position 1,HepG2,1,0.5,0.05263157894736842,0.0
94,SRSF7 Position 2,HepG2,1,0.5,0.024390243902439025,0.0
95,SDAD1 Position 1,HepG2,1,0.1325301204819277,0.012345679012345678,0.0
96,DDX6 Position 2,K562,1,0.9035087719298246,0.08333333333333333,0.0
97,RBM5 Position 4,HepG2,1,0.6,0.07692307692307693,100.0
98,DDX42 Position 2,HepG2,0,,,
99,CDC40 Position 3,K562,0,,,
100,DDX42 Position 1,K562,0,,,
101,DDX42 Position 1,HepG2,0,,,
102,NPM1 Position 3,HepG2,0,,,
103,CDC40 Position 4,HepG2,0,,,
104,CDC40 Position 4,K562,0,,,
105,CDC40 Position 5,HepG2,0,,,
106,SRSF9 Position 2,K562,0,,,
107,IGF2BP1 Position 4,HepG2,0,,,
108,SAFB Position 5,HepG2,0,,,
109,SDAD1 Position 6,K562,0,,,
110,IGF2BP1 Position 3,HepG2,0,,,
111,SAFB Position 5,K562,0,,,
112,NPM1 Position 4,K562,0,,,
113,CDC40 Position 5,K562,0,,,
114,NPM1 Position 1,K562,0,,,
115,NPM1 Position 2,HepG2,0,,,
116,NPM1 Position 1,HepG2,0,,,
117,DDX42 Position 6,K562,0,,,
118,DDX42 Position 6,HepG2,0,,,
119,DDX42 Position 5,K562,0,,,
120,DDX42 Position 5,HepG2,0,,,
121,DDX42 Position 4,K562,0,,,
122,CDC40 Position 3,HepG2,0,,,
123,NPM1 Position 2,K562,0,,,
124,CDC40 Position 1,HepG2,0,,,
125,DDX42 Position 3,K562,0,,,
126,CDC40 Position 1,K562,0,,,
127,DDX42 Position 3,HepG2,0,,,
128,SAFB Position 6,HepG2,0,,,
129,CDC40 Position 2,K562,0,,,
130,DDX42 Position 2,K562,0,,,
131,DDX42 Position 4,HepG2,0,,,
132,NOLC1 Position 4,K562,0,,,
133,DDX43 Position 3,HepG2,0,,,
