Bait,Prey,IP,Bait_lifecycle_step,IP_experiment,IP_reps,IP_bait_gene,IP_prey_gene,IP_volc_pval_cutoff,IP_volc_log2FC,IP_volc_pvalue,IP_bait_gene_uniprotID,IP_prey_gene_uniprotID,SEC_gene_A,SEC_gene_B,SEC_gene_A_uniprotID,SEC_gene_B_uniprotID,IP_interaction_type,Interaction_support,IP_prey_over_bait_intensity_stoichimoetry,stoich_bait_uniprotID,stoich_prey_uniprotID,totalProteome_prey_over_bait_intensity_stoichimoetry,in_CORUM_2020,CORUM_complex_2020,in_CORUM_2022,CORUM_complex_2022,in_Mentha,Mentha_score,in_HI,in_HIPPIE,HIPPIE_score,in_recY2H,recY2H_score,in_BioID,in_OpenCell,OpenCell_enrichment,in_BioPlex3,BioPlex3_score,PPI_support,bait_eclipped,prey_eclipped,Bait_targets_cnt,Prey_targets_cnt,shared_targets,Bait_main_location_HPA,Prey_main_location_HPA,Bait_main_location.nucl.cyto.,Prey_main_location.nucl.cyto.,Prey_is_RBP_HydRa,Prey_HydRa_score,Prey_PSP_PScore,Bait_Disgenet_disease_.1,Bait_Disgenet_disease_.2,Prey_Disgenet_disease_.1,Prey_Disgenet_disease_.2,Prey_SAFE_localization_BioID,Prey_NMF_localization_BioID,Bait_SAFE_localization_BioID,Bait_NMF_localization_BioID,Prey_NMF_localization_2018_BioID,prey_lifecycle_stage_main_by_most_common_bait_stage,bait_prey_pctLocalizationOverlap_HPA,PvalWilcoxon_R,PvalWilcoxon_noR,log2FC_R,log2FC_noR
CDC5L,SON,,,,,,,NA,NA,NA,,,CDC5L,SON,Q99459,P18583,,SEC,NA,,,NA,FALSE,,FALSE,,TRUE,0.081,FALSE,TRUE,0.49,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,TRUE,FALSE,FALSE,NA,NA,NA,Nucleoplasm,Nuclear speckles,nucleus,nucleus,1,0.995271989,3.85,Ischemic stroke,Liver carcinoma,Adenoid Cystic Carcinoma,Malignant neoplasm of salivary gland,"splicing speckles, nucleolus",nuclear body,"splicing speckles, nucleolus",nuclear body,,splicing,0,NA,NA,NA,NA
CDC5L,SRRM2,,,,,,,NA,NA,NA,,,CDC5L,SRRM2,Q99459,Q9UQ35,,SEC,NA,,,NA,TRUE,"Spliceosome,C complex spliceosome",TRUE,"C complex spliceosome,Spliceosome, C complex,Spliceosome, A complex",TRUE,0.126,FALSE,TRUE,0.73,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,TRUE,FALSE,FALSE,NA,NA,NA,Nucleoplasm,Nuclear speckles,nucleus,nucleus,1,0.998496474,4.28,Ischemic stroke,Liver carcinoma,Amyotrophic Lateral Sclerosis,Frontotemporal Lobar Degeneration,"splicing speckles, nucleolus",nuclear body,"splicing speckles, nucleolus",nuclear body, cytoplasmic ribonucleoprotein granule,splicing,0,NA,NA,NA,NA
CDC5L,SRRT,,,,,,,NA,NA,NA,,,CDC5L,SRRT,Q99459,Q9BXP5,,SEC,NA,,,NA,TRUE,Spliceosome,TRUE,"Spliceosome, A complex",FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,TRUE,FALSE,FALSE,NA,NA,NA,Nucleoplasm,Nucleoplasm,nucleus,nucleus,1,0.999657171,4.6,Ischemic stroke,Liver carcinoma,Glioblastoma,Glioblastoma Multiforme,no prediction,nuclear body,"splicing speckles, nucleolus",nuclear body, nucleus,splicing,1,NA,NA,NA,NA
CDC5L,SRSF1,,,,,,,NA,NA,NA,,,CDC5L,SRSF1,Q99459,Q07955,,SEC,NA,,,NA,TRUE,"Spliceosome,C complex spliceosome,CDC5L complex",TRUE,"C complex spliceosome,CDC5L complex,Spliceosome, A complex",TRUE,0.463,FALSE,TRUE,0.83,FALSE,NA,TRUE,FALSE,NA,FALSE,NA,TRUE,FALSE,TRUE,NA,1205,NA,Nucleoplasm,Nucleoplasm,nucleus,nucleus,1,1,4.04,Ischemic stroke,Liver carcinoma,Malignant neoplasm of breast,Schizophrenia,,,"splicing speckles, nucleolus",nuclear body, nucleus,splicing,1,NA,NA,NA,NA
CDC5L,SRSF3,,,,,,,NA,NA,NA,,,CDC5L,SRSF3,Q99459,P84103,,SEC,NA,,,NA,TRUE,Spliceosome,TRUE,"Spliceosome, A complex",FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,TRUE,FALSE,FALSE,NA,NA,NA,Nucleoplasm,Nucleoplasm,nucleus,nucleus,1,0.999810002,2.65,Ischemic stroke,Liver carcinoma,Bipolar Disorder,Malignant neoplasm of breast,no prediction,nuclear body,"splicing speckles, nucleolus",nuclear body,,translation,1,NA,NA,NA,NA
CDC5L,SRSF4,,,,,,,NA,NA,NA,,,CDC5L,SRSF4,Q99459,Q08170,,SEC,NA,,,NA,TRUE,Spliceosome,TRUE,"Spliceosome, A complex",TRUE,0.236,FALSE,TRUE,0.72,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,TRUE,FALSE,FALSE,NA,NA,NA,Nucleoplasm,Nuclear speckles,nucleus,nucleus,1,1,2.72,Ischemic stroke,Liver carcinoma,Hepatitis C,Hepatitis B,"chromatin, nucleoplasm",nuclear body,"splicing speckles, nucleolus",nuclear body,,splicing,0,NA,NA,NA,NA
CDC5L,TAF15,,,,,,,NA,NA,NA,,,CDC5L,TAF15,Q99459,Q92804;Q16514,,SEC,NA,,,NA,FALSE,,FALSE,,TRUE,0.126,FALSE,TRUE,0.63,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,TRUE,FALSE,TRUE,NA,445,NA,Nucleoplasm,Nucleoplasm,nucleus,nucleus,1,1,18.48,Ischemic stroke,Liver carcinoma,Amyotrophic Lateral Sclerosis,Extraskeletal Myxoid Chondrosarcoma,paraspeckles,nuclear body,"splicing speckles, nucleolus",nuclear body, ribonucleoprotein complex,splicing,1,NA,NA,NA,NA
CDC5L,TRA2A,,,,,,,NA,NA,NA,,,CDC5L,TRA2A,Q99459,Q13595,,SEC,NA,,,NA,FALSE,,FALSE,,TRUE,0.081,FALSE,TRUE,0.49,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,TRUE,FALSE,TRUE,NA,566,NA,Nucleoplasm,Nucleoli,nucleus,nucleus,1,1,6.16,Ischemic stroke,Liver carcinoma,"Arsenic Poisoning, Inorganic","Nervous System, Organic Arsenic Poisoning",,,"splicing speckles, nucleolus",nuclear body, cytoplasmic ribonucleoprotein granule,translation,0,NA,NA,NA,NA
CDC5L,ZCCHC3,,,,,,,NA,NA,NA,,,CDC5L,ZCCHC3,Q99459,Q9NUD5,,SEC,NA,,,NA,FALSE,,FALSE,,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,Nucleoplasm,Vesicles,nucleus,secretory,1,0.99775569,2.18,Ischemic stroke,Liver carcinoma,Vaccinia virus infection,,cytoplasmic ribonucleoprotein granule,cytoplasmic ribonucleoprotein granule,"splicing speckles, nucleolus",nuclear body, cytoplasmic ribonucleoprotein granule,splicing,0,NA,NA,NA,NA
CEP170,DDX1,,,,,,,NA,NA,NA,,,CEP170,DDX1,Q5SW79,Q92499,,SEC,NA,,,NA,FALSE,,FALSE,,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,Centrosome,Nucleoplasm,cytoplasm,nucleus,1,0.999673953,1.24,Carcinoma of lung,Microcephaly,Endometrial Hyperplasia,"Organic Mental Disorders, Substance-Induced",,,microtubule cytoskeleton,microtubule cytoskeleton, cytoplasmic ribonucleoprotein granule,undetermined,0,NA,NA,NA,NA
