Feature-Feature Interaction	HepG2 - Interaction SHAP	K562 - Interaction SHAP	HepG2 - F1 (1st Individual Feature in Interaction) SHAP	K562 - F1 (1st Individual Feature in Interaction) SHAP	HepG2 - F2 (2nd Individual Feature in Interaction) SHAP	K562 - F2 (2nd Individual Feature in Interaction) SHAP	HepG2 - Both Bound: # Points	K562 - Both Bound: # Points	HepG2 - Both Bound: Average	K562 - Both Bound: Average	HepG2 - Both Bound: Median	K562 - Both Bound: Median	HepG2 - F1 Bound Only: # Points	K562 - F1 Bound Only: # Points	HepG2 - F1 Bound Only: Average	K562 - F1 Bound Only: Average	HepG2 - F1 Bound Only: Median	K562 - F1 Bound Only: Median	HepG2 - F2 Bound Only: # Points	K562 - F2 Bound Only: # Points	HepG2 - F2 Bound Only: Average	K562 - F2 Bound Only: Average	HepG2 - F2 Bound Only: Median	K562 - F2 Bound Only: Median	HepG2 - Both Bound vs F1 Bound Only: Abs(Diff Average)	HepG2 - Both Bound vs F1 Bound Only: Abs(Diff Median)	K562 - Both Bound vs F1 Bound Only: Abs(Diff Average)	K562 - Both Bound vs F1 Bound Only: Abs(Diff Median)	HepG2 - Both Bound vs F2 Bound Only: Abs(Diff Average)	HepG2 - Both Bound vs F2 Bound Only: Abs(Diff Median)	K562 - Both Bound vs F2 Bound Only: Abs(Diff Average)	K562 - Both Bound vs F2 Bound Only: Abs(Diff Median)	Statistical Testing Directionality	HepG2 - Both Bound vs F1 Bound Only: Mann-Whitney U	K562 - Both Bound vs F1 Bound Only: Mann-Whitney U	HepG2 - Both Bound vs F2 Bound Only: Mann-Whitney U	K562 - Both Bound vs F2 Bound Only: Mann-Whitney U	HepG2 - Both Bound vs F1 Bound Only: Welch's t-test	K562 - Both Bound vs F1 Bound Only: Welch's t-test	HepG2 - Both Bound vs F2 Bound Only: Welch's t-test	K562 - Both Bound vs F2 Bound Only: Welch's t-test	All MWU Significant	Rec-Y2H	Street et al | IP-MS	Street et al | IP/SEC-MS (Both)	Rec-Y2H/Street et al. IP-MS (Union)
ZNF800_3-UCHL5_6-interaction-shap	0.16882382333278656	0.007687639445066452	0.37568965554237366	0.7358933091163635	-0.2533913552761078	-0.09547325223684311	4928	13577	0.9644446022727272	0.9786896221551153	1.0	1.0	50165	60074	0.982623143626034	0.9837436994373605	1.0	1.0	60198	528136	0.7968593807103226	0.825940460411712	0.991	0.994	0.018178541353306765	0.0	0.005054077282245162	0.0	0.16758522156240463	0.009000000000000008	0.15274916174340336	0.006000000000000005	greater	1.0	1.7075670662356722e-6	5.066013319194516e-204	0.0	1.0	0.999999850410676	0.0	0.0	false	None	None	None	None
DDX3X_2-AQR_5-interaction-shap	0.0032259144354611635	0.010292368941009045	-0.1320383995771408	-0.1366044580936432	-0.11271006613969803	-0.43198004364967346	40248	33800	0.7605763764659114	0.7323909171597633	0.994	0.985	202096	441000	0.7424239173462116	0.7605281292517008	0.984	0.986	350159	361358	0.8178148355461375	0.8302316096502637	0.993	0.992	0.01815245911969976	0.010000000000000009	0.028137212091937425	0.0010000000000000009	0.05723845908022618	0.0010000000000000009	0.09784069249050031	0.007000000000000006	greater	5.527279027323117e-57	1.0	1.0	1.0	4.103603719381707e-17	1.0	1.0	1.0	false	None	False	False	False
AQR_4-SF3B4_5-interaction-shap	0.030506860464811325	0.009868155233561993	0.7352287769317627	1.1961925029754639	-0.23675884306430817	-0.22762475907802582	55069	288322	0.9499472661570032	0.9542397111562767	0.998	0.998	193664	676698	0.9680239125495704	0.9644716535293439	0.999	0.999	322221	740321	0.7866658039047735	0.7809125622534008	0.985	0.985	0.01807664639256723	0.0010000000000000009	0.010231942373067238	0.0010000000000000009	0.16328146225222973	0.013000000000000012	0.17332714890287593	0.013000000000000012	greater	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	false	None	False	False	False
PRPF8_2-CSTF2T_6-interaction-shap	-0.00031045827199704945	-0.00006260813097469509	-0.17347882688045502	-0.15538087487220764	-0.10856673866510391	-0.0018443348817527294	4133	5793	0.7756980401645294	0.8228612118073538	0.988	0.999	1233349	929171	0.7937053332025242	0.8074998649333652	0.988	0.99	6075	26487	0.8191509465020576	0.8090280137425907	0.984	0.988	0.018007293037994865	0.0	0.015361346873988602	0.009000000000000008	0.043452906337528185	0.0040000000000000036	0.01383319806476313	0.01100000000000001	less	0.11890093510484168	1.0	0.29973400193997324	1.0	0.0016402739387746685	0.9998415112653041	4.337082728077724e-9	0.9981783449197125	false	None	False	False	False
PRPF8_4-AKAP1_6-interaction-shap	-0.15727892518043518	-0.0014311522245407104	1.359736680984497	1.0885541439056396	-0.00822239276021719	-0.6895672678947449	10053	218	0.9478901820352134	0.9986238532110091	0.991	1.0	753763	648512	0.9658683233324004	0.9559362694907727	1.0	0.999	20682	5908	0.7954368533023884	0.6337950236966824	0.991	0.958	0.017978141297187	0.009000000000000008	0.0426875837202364	0.0010000000000000009	0.1524533287328249	0.0	0.3648288295143267	0.04200000000000004	less	1.2828183477877877e-216	1.0	1.0	1.0	3.9777815287078454e-42	1.0	1.0	1.0	false	None	False	False	False
AQR_3-BUD13_3-interaction-shap	-0.0023862433154135942	-0.3370213210582733	1.1179728507995605	0.6514191031455994	0.7667649984359741	1.022349238395691	43452	82129	0.9787582389763416	0.9410201634014781	1.0	0.999	252656	270623	0.9609064973719208	0.9374660136056433	0.999	0.997	69368	213961	0.9536476329143121	0.970898668448923	0.999	1.0	0.017851741604420823	0.0010000000000000009	0.0035541497958347934	0.0020000000000000018	0.025110606062029528	0.0010000000000000009	0.029878505047444937	0.0010000000000000009	less	1.0	1.0	1.0	2.2448747484747452e-85	1.0	0.9999994598517319	1.0	0.0	false	None	False	False	False
PRPF8_4-SF3B4_5-interaction-shap	0.046132929623126984	0.04821724444627762	1.359736680984497	1.0885541439056396	-0.23675884306430817	-0.22762475907802582	138208	189753	0.9510559157212317	0.9500723097922036	0.998	0.998	625608	458977	0.9688517554123348	0.9583808578643374	1.0	1.0	239082	838890	0.7292449954408948	0.8022210301708209	0.974	0.988	0.0177958396911031	0.0020000000000000018	0.00830854807213377	0.0020000000000000018	0.2218109202803369	0.02400000000000002	0.14785127962138267	0.010000000000000009	greater	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	false	None	Different-Position	Different-Position	Different-Position
GRWD1_3-YBX3_3-interaction-shap	-0.023824604228138924	-0.002524849260225892	1.3557939529418945	0.8886932730674744	1.090239405632019	1.5398563146591187	632	9430	0.992381329113924	0.9893915164369035	0.996	1.0	296554	99354	0.9746088671877636	0.9767673772570807	1.0	1.0	16077	335177	0.9943681657025564	0.9773068140117013	1.0	0.999	0.017772461926160332	0.0040000000000000036	0.012624139179822746	0.0	0.0019868365886324124	0.0040000000000000036	0.01208470242520221	0.0010000000000000009	less	0.49353756366342844	1.0	1.0857323718960265e-24	1.0	1.0	1.0	6.570750751996528e-6	1.0	false	None	None	None	None
SND1_3-RBFOX2_4-interaction-shap	0.06818193942308426	0.00023639325809199363	1.385410189628601	1.4929884672164917	-0.4484655559062958	-0.04954059422016144	2233	78	0.966474697716077	0.998448717948718	0.999	1.0	113487	108807	0.9842387938706635	0.9831681785179262	1.0	0.999	47395	22437	0.7313010022154237	0.7614769799884119	0.963	0.98	0.017764096154586517	0.0010000000000000009	0.015280539430791884	0.0010000000000000009	0.23517369550065326	0.03600000000000003	0.23697173796030613	0.020000000000000018	greater	1.0	1.2807438124222815e-6	1.01933527218186e-208	2.3121203230040675e-16	1.0	4.691087526617385e-58	0.0	0.0	false	None	False	False	False
LIN28B_3-SND1_4-interaction-shap	-0.07425723224878311	-0.06959424912929535	1.011259913444519	1.3737187385559082	1.6919124126434326	1.5452886819839478	11316	6892	0.9970717568045245	0.997534822983169	1.0	1.0	38160	128696	0.9794522274633123	0.9772323770746566	1.0	1.0	135753	128011	0.9840435791474222	0.9817417175086516	0.999	0.999	0.017619529341212248	0.0	0.02030244590851238	0.0	0.013028177657102291	0.0010000000000000009	0.0157931054745174	0.0010000000000000009	less	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	false	None	False	False	False
