Feature-Feature Interaction	Cell Line	Interaction SHAP Value	Feature 1 SHAP Value	Feature 2 SHAP Value	MWU p-value (Both Bound vs F1 Bound Only)	MWU p-value (Both Bound vs F2 Bound Only)	Both MWU Significant
CSTF2T_1-EIF4E_2-interaction-shap	K562	-0.00263228639960289	0.0010518872877582908	-0.0008222008473239839	2.9837291802537555e-37	7.397994082206139e-49	true
EFTUD2_2-KHSRP_5-interaction-shap	HepG2	0.36487752199172974	-0.1441425085067749	-0.3579765260219574	2.046099815008213e-34	1.090361051673826e-37	true
KHSRP_1-PUM1_1-interaction-shap	K562	-0.011945393867790699	0.003378988243639469	-0.0032722551841288805	1.1837831861210984e-33	6.906266577682841e-42	true
NCBP2_2-U2AF2_4-interaction-shap	HepG2	0.41842156648635864	-0.31789401173591614	-0.2962295114994049	9.226684327673335e-32	3.771947293930562e-12	true
AGGF1_5-NOL12_5-interaction-shap	HepG2	0.10144686698913574	0.07914610952138901	-0.1009889543056488	1.3793637929534627e-31	1.2409940162329131e-27	true
LSM11_2-DDX1_3-interaction-shap	K562	-0.0010093195596709847	0.00034092075657099485	-0.00047964343684725463	7.540810672622501e-31	0.00045652974531113156	true
G3BP1_2-SUB1_5-interaction-shap	HepG2	-0.1531956046819687	-0.017455529421567917	-0.15214145183563232	1.9398805382563568e-29	0.0011140041592602407	true
AKAP8L_1-PRPF8_1-interaction-shap	K562	-0.2628065347671509	-0.004776835907250643	0.19428347051143646	2.633950290118527e-29	3.9706446719930504e-66	true
CSTF2T_2-EIF4G2_4-interaction-shap	K562	0.002623951528221369	0.002531220903620124	0.0002481711271684617	1.7512117381039906e-28	4.596005873033462e-34	true
DDX3X_1-G3BP1_6-interaction-shap	HepG2	-0.371936559677124	-0.11173701286315918	-0.09135638922452927	3.150654255801912e-27	2.2790298508559384e-258	true
IGF2BP1_6-LIN28B_6-interaction-shap	HepG2	-0.08938530832529068	-0.015726618468761444	0.04329080134630203	8.888864174790684e-27	3.1610310989832853e-104	true
FAM120A_3-FAM120A_4-interaction-shap	HepG2	-0.004599916748702526	7.058183655317407e-7	0.00037649000296369195	9.32932799657889e-27	2.7455987123580484e-30	true
EXOSC10_1-FXR1_1-interaction-shap	K562	0.02050125040113926	-0.006538862828165293	-0.01977352425456047	1.322769816845729e-26	0.00006372192481271615	true
U2AF2_3-LIN28B_6-interaction-shap	HepG2	-0.16222530603408813	0.09508994966745377	0.04329080134630203	5.106214378685527e-25	4.379478924321569e-97	true
TIA1_2-ZNF800_6-interaction-shap	HepG2	-0.5424451231956482	-0.26226308941841125	-0.2288980782032013	1.1063311342221176e-24	5.331329461936722e-113	true
KHSRP_6-PABPC4_6-interaction-shap	K562	-0.11102226376533508	-0.0919075608253479	-0.07606550306081772	2.2431920748135716e-23	3.04619635904749e-42	true
XRN2_3-SRSF1_5-interaction-shap	K562	0.009122926741838455	-0.004287945106625557	-0.005289855413138866	9.54607588777712e-22	3.8788733404031833e-28	true
AKAP8L_1-FXR2_5-interaction-shap	K562	0.006775846239179373	-0.004776835907250643	0.0034385300241410732	8.498621825795532e-20	4.0700582743738625e-10	true
PCBP2_4-PRPF8_5-interaction-shap	HepG2	0.015639865770936012	0.0029850832652300596	-0.0016077853506430984	3.1402375944083052e-19	2.2161694366424517e-7	true
PUM2_1-DDX43_6-interaction-shap	K562	-0.2769356369972229	-0.22497674822807312	-0.14127664268016815	1.6951325867074266e-17	5.848909115302978e-21	true
AQR_1-AATF_5-interaction-shap	K562	-0.004009041003882885	-0.0025427292566746473	0.002987730083987117	2.328391835862202e-16	0.000013708269318913708	true
DROSHA_1-PRPF8_2-interaction-shap	HepG2	0.258149117231369	0.10646820068359375	-0.17347882688045502	4.858916875164037e-16	4.961011737808501e-46	true
AQR_1-BUD13_6-interaction-shap	K562	0.005164971109479666	-0.0025427292566746473	-0.0032581293489784002	2.3020146942864055e-15	3.808816044861952e-55	true
PRPF8_2-ZC3H11A_6-interaction-shap	HepG2	-0.25812920928001404	-0.17347882688045502	-0.13103632628917694	1.3344938357297502e-14	1.6485030525241293e-98	true
HNRNPK_1-HNRNPK_6-interaction-shap	HepG2	0.05774715542793274	-0.03131905570626259	-0.028741776943206787	2.062000279810389e-13	5.188527271954523e-10	true
EIF4G2_1-EIF4G2_2-interaction-shap	K562	-0.011487094685435295	-0.000021945808839518577	0.010633048601448536	3.4800753124002593e-12	0.00003772043003322962	true
AQR_1-FMR1_6-interaction-shap	K562	-0.0063278526067733765	-0.0025427292566746473	-0.0002939293044619262	2.6274093159178757e-11	2.3896707148820817e-150	true
DDX3X_2-TRA2A_5-interaction-shap	HepG2	-0.23191410303115845	-0.1320383995771408	-0.05796019732952118	1.641314397616039e-10	7.628036545972112e-42	true
PPIG_1-HNRNPK_4-interaction-shap	HepG2	0.1270551234483719	0.006828615441918373	-0.11156120896339417	5.113674917915873e-10	3.908003836566303e-104	true
PTBP1_6-TIA1_6-interaction-shap	K562	-0.09512527287006378	-0.010393250733613968	-0.09421670436859131	5.137541574849619e-10	9.873871314026402e-11	true
HNRNPK_1-EFTUD2_5-interaction-shap	HepG2	-0.14313223958015442	-0.03131905570626259	0.06256677955389023	8.637145654500412e-10	1.464505587372904e-37	true
EFTUD2_2-HNRNPC_4-interaction-shap	HepG2	0.30849364399909973	-0.1441425085067749	-0.10450964421033859	1.924256367845416e-9	2.5907169619329826e-76	true
EIF4G2_5-FAM120A_6-interaction-shap	K562	0.052412666380405426	-0.042476437985897064	-0.011516518890857697	6.2036273946530954e-9	1.1348734614192176e-7	true
TIAL1_4-RBFOX2_6-interaction-shap	HepG2	0.02713552676141262	0.0031737121753394604	-0.00950104184448719	2.870692645470332e-8	0.00012390974609852517	true
APOBEC3C_5-NONO_5-interaction-shap	K562	0.0048534926027059555	-0.004799650516360998	-0.002524323295801878	0.0009886983188820886	2.198155131920079e-6	true
U2AF2_3-ZNF800_5-interaction-shap	HepG2	-0.2145439088344574	0.09508994966745377	-0.028561793267726898	0.001943712009353951	1.3265751700027144e-55	true
AKAP8L_5-CPSF6_6-interaction-shap	K562	-0.009852597489953041	0.0019512348808348179	0.00013007227971684188	0.00292959714879394	8.95029896509332e-7	true
QKI_1-KHSRP_2-interaction-shap	K562	-0.2959761619567871	-0.12953729927539825	-0.14459437131881714	0.004088846639763754	0.04772969723036462	true
AQR_1-FXR1_5-interaction-shap	K562	-0.20596832036972046	-0.0025427292566746473	0.11457481235265732	0.029241954952604916	9.806603100698842e-88	true
KHSRP_2-SND1_6-interaction-shap	K562	-0.19116902351379395	-0.14459437131881714	-0.010280267335474491	0.031075193439508295	2.1552225730753152e-26	true
SND1_2-U2AF2_5-interaction-shap	HepG2	-0.2626337707042694	-0.18224208056926727	-0.14822599291801453	5.912826433629908e-80	0.9998567593409009	false
GEMIN5_2-ZNF800_6-interaction-shap	K562	0.03859638050198555	-0.03050769492983818	-0.0059967441484332085	4.062482640387304e-58	0.5984976432072415	false
HNRNPK_3-PPIG_5-interaction-shap	HepG2	0.5265262126922607	-0.35798153281211853	-0.023685477674007416	6.331064190564512e-57	1.0	false
KHSRP_4-U2AF1_5-interaction-shap	K562	-0.31754034757614136	0.1760461926460266	-0.27911970019340515	9.869948937148636e-52	1.0	false
BCLAF1_1-PPIG_6-interaction-shap	HepG2	-0.026233306154608727	-0.013582208193838596	0.02143123187124729	3.622035631124057e-34	1.0	false
HNRNPUL1_4-AATF_5-interaction-shap	K562	0.028674740344285965	0.014068782329559326	0.002987730083987117	1.8659802186301833e-26	0.30633725481821295	false
PRPF8_3-GRWD1_6-interaction-shap	HepG2	-0.31863588094711304	0.24989266693592072	-0.2737436294555664	2.534281420850758e-26	1.0	false
SND1_2-U2AF2_3-interaction-shap	HepG2	-0.3776562213897705	-0.18224208056926727	0.09508994966745377	9.803725318937938e-24	1.0	false
BUD13_1-KHSRP_6-interaction-shap	K562	-0.33569610118865967	0.15409229695796967	-0.0919075608253479	8.195455695408171e-23	0.9991172019398598	false
EIF4E_2-AQR_6-interaction-shap	K562	0.0028873076662421227	-0.0008222008473239839	0.00043447353527881205	8.243155272482895e-20	0.9999587784668768	false
PRPF4_1-BCLAF1_5-interaction-shap	HepG2	0.19369682669639587	0.03515109419822693	-0.09470641613006592	2.250210350519383e-15	0.999999993965464	false
EFTUD2_1-GRWD1_5-interaction-shap	K562	-0.07813403755426407	0.039707399904727936	-0.0436827652156353	1.440128211293513e-12	0.16486038579960804	false
FTO_1-KHSRP_6-interaction-shap	K562	0.1514478623867035	-0.1383020132780075	-0.0919075608253479	0.0000741122310799189	0.9999997020532094	false
CSTF2T_2-RBFOX2_3-interaction-shap	HepG2	0.010149098001420498	-0.008918183855712414	-0.0015507969073951244	0.00011365006369308657	0.9999999607192197	false
