,Feature,Cell Line,Significant Events,dpsi_shap_concordance,FET OR,FET P-Value,MCC,True Positives,True Negatives,False Negatives,False Positives
105,ADAT1 Position 6,K562,1,100.0,,,0.0,1,0,0,0
106,DDX42 Position 5,K562,1,100.0,,,0.0,0,1,0,0
107,SDAD1 Position 1,HepG2,1,0.0,,,0.0,0,0,0,1
108,EXOSC5 Position 4,K562,1,100.0,,,0.0,0,1,0,0
109,FXR2 Position 3,HepG2,1,0.0,,,0.0,0,0,0,1
110,DROSHA Position 5,HepG2,1,0.0,,,0.0,0,0,1,0
111,DDX6 Position 1,K562,1,0.0,,,0.0,0,0,1,0
112,EIF3H Position 2,HepG2,1,0.0,,,0.0,0,0,1,0
113,EIF3H Position 3,HepG2,1,0.0,,,0.0,0,0,0,1
114,EIF3H Position 5,HepG2,1,100.0,,,0.0,1,0,0,0
115,NOLC1 Position 3,K562,1,0.0,,,0.0,0,0,0,1
116,NIPBL Position 4,K562,1,0.0,,,0.0,0,0,1,0
117,SDAD1 Position 5,HepG2,1,0.0,,,0.0,0,0,1,0
118,EIF4E Position 5,K562,1,100.0,,,0.0,0,1,0,0
119,EIF4E Position 6,K562,1,100.0,,,0.0,0,1,0,0
120,MORC2 Position 2,K562,1,0.0,,,0.0,0,0,0,1
121,DGCR8 Position 1,K562,1,100.0,,,0.0,0,1,0,0
122,DGCR8 Position 2,K562,1,0.0,,,0.0,0,0,0,1
123,DGCR8 Position 6,K562,1,100.0,,,0.0,0,1,0,0
124,CDC40 Position 1,HepG2,1,100.0,,,0.0,0,1,0,0
