RBP	Cell Line	Position	Positional Preference (%)	Avg. SHAP
DGCR8	K562	3	18.9266398557759	-0.09001805446762312
DGCR8	HepG2	4	12.150239475674313	-0.006761405742659384
DGCR8	K562	4	17.894882817917072	-0.06657343747930264
DGCR8	HepG2	5	5.542601462062011	0.0
DGCR8	K562	5	17.356815975592845	0.000988945169720247
DGCR8	HepG2	6	7.281951096546509	0.0
DGCR8	K562	6	8.484260158091804	-0.12693079014819475
DHX30	HepG2	1	35.678391959798994	0.0
DHX30	K562	1	15.98151301386524	0.0024696061083618976
DHX30	HepG2	2	53.266331658291456	0.0
DHX30	K562	2	42.369253223060085	-0.0021437436511005555
DHX30	K562	3	16.667477499391875	-0.19924467217562528
DHX30	K562	4	7.837509121868158	0.0025879671797849283
DHX30	K562	5	12.580880564339578	-0.05936940429772405
DHX30	HepG2	6	11.055276381909549	0.0
DHX30	K562	6	4.563366577475067	0.0050407343779473495
DKC1	HepG2	1	11.759029500964985	0.0
DKC1	HepG2	2	17.064148515761417	0.0
DKC1	HepG2	3	20.172778237294366	0.0034317066762643766
DKC1	HepG2	4	19.692583402260823	-0.06466959098863423
DKC1	HepG2	5	19.12737799834574	-0.035976099147906
DKC1	HepG2	6	12.184082345372667	0.0
DROSHA	HepG2	1	23.65070492515993	0.10775908396246867
DROSHA	K562	1	22.569672074781437	-0.001380458308692569
DROSHA	HepG2	2	20.15092230296255	0.0
DROSHA	K562	2	38.74083684425271	-0.028826780324283242
DROSHA	HepG2	3	24.396000248431772	0.023345707105331064
DROSHA	K562	3	15.807159983312626	0.01640942547975278
DROSHA	HepG2	4	11.561393702254518	0.003550574495225841
DROSHA	K562	4	7.983807746792036	-0.030530409990336092
DROSHA	HepG2	5	11.738401341531581	-0.004672626547456365
DROSHA	K562	5	10.565766129217115	-0.3258356719898092
DROSHA	HepG2	6	8.502577479659648	0.0
DROSHA	K562	6	4.332757221644073	-0.005986767822319032
EEF2	K562	1	11.26028583802512	0.0
EEF2	K562	2	46.42702468601126	0.0
EEF2	K562	3	8.661758336942398	0.0
EEF2	K562	4	22.477262884365526	0.0
EEF2	K562	5	5.868341273278475	0.0
EEF2	K562	6	5.3053269813772195	0.0
EFTUD2	HepG2	1	10.091307408613789	0.002917761592583115
EFTUD2	K562	1	8.912535839910142	0.025368148119454047
EFTUD2	HepG2	2	36.90101184159373	-0.15988000152748363
EFTUD2	K562	2	30.991947368643295	-0.11474996175265298
EFTUD2	HepG2	3	12.584241328948337	-0.05671257376565914
EFTUD2	K562	3	10.491814354543804	0.02802940935444916
EFTUD2	HepG2	4	15.926155527302912	0.2847550241990168
EFTUD2	K562	4	19.939109101120277	0.6225392626491775
EFTUD2	HepG2	5	11.263278450821137	0.0705240923284672
EFTUD2	K562	5	12.36279490070392	0.4455827246011364
EFTUD2	HepG2	6	13.234005442720099	-0.022582159240000246
EFTUD2	K562	6	17.301798435078563	-0.017740777343080917
EIF3D	HepG2	1	16.810694031866056	0.0
EIF3D	HepG2	2	23.949050319560715	0.0
EIF3D	HepG2	3	17.77387703663696	0.0
EIF3D	HepG2	4	11.4704293815825	0.0
EIF3D	HepG2	5	14.486002340444685	-0.6652326793737815
EIF3D	HepG2	6	15.509946889909083	-0.26711345725301383
EIF3G	K562	1	32.72702486903348	0.004924338831615334
EIF3G	K562	2	41.05435354145163	-0.008811872249376412
EIF3G	K562	3	14.115172642115716	-0.01046767981833045
EIF3G	K562	4	4.202613488091297	0.004415207221871242
EIF3G	K562	5	6.300025316948724	-0.00019871434504837627
EIF3G	K562	6	1.6008101423591503	0.0
EIF3H	HepG2	1	17.474594089475527	0.0
EIF3H	HepG2	2	18.980697348440604	-0.036019325026696795
EIF3H	HepG2	3	15.637775960752249	0.05737294942292871
EIF3H	HepG2	4	13.84330101623642	0.13888097903890992
EIF3H	HepG2	5	16.64525172292956	0.0035566084522890597
EIF3H	HepG2	6	17.418379862165633	0.04666225196407938
EIF4E	K562	1	51.739671707856886	-0.189876641351452
EIF4E	K562	2	37.93987458502397	-0.0015376961366859226
EIF4E	K562	3	6.129656953153818	0.011448475131990888
EIF4E	K562	4	1.4418111398008115	0.07577347998752944
EIF4E	K562	5	1.899206934710439	-0.2676944943616189
EIF4E	K562	6	0.849778679454076	-0.12826593548700374
EIF4G2	K562	1	12.821500406556256	-0.00021112301244353258
EIF4G2	K562	2	17.06252407240981	0.0023184875234331164
EIF4G2	K562	3	21.175161552616938	-0.005727388968055122
EIF4G2	K562	4	13.191680575170112	-0.0006926115701031239
EIF4G2	K562	5	22.69653785252707	-0.09963540887732185
EIF4G2	K562	6	13.05259554071982	0.0006463629936531236
ELAC2	K562	1	15.2179478427089	-0.030689428921846642
ELAC2	K562	2	22.947672037138176	-0.20239010609110794
ELAC2	K562	3	14.958526761332605	-0.014083334355714452
ELAC2	K562	4	14.776761332605135	-0.09090407351280409
ELAC2	K562	5	13.50525669033315	0.0026219234426059245
ELAC2	K562	6	18.59383533588203	0.013341936131617058
ELAVL1	K562	1	11.207634406021775	-0.006724043943885046
ELAVL1	K562	2	15.764760464911648	-0.00019752873926308408
ELAVL1	K562	3	18.21170598257781	-0.8768898907982176
ELAVL1	K562	4	13.421004215561583	-0.003554134905094449
ELAVL1	K562	5	15.543983425723725	-0.31481849982349175
ELAVL1	K562	6	25.85091150520346	0.056125083303455045
EWSR1	K562	1	14.488395277368113	0.00678987306368111
EWSR1	K562	2	28.74609674309772	-0.006027676589417171
EWSR1	K562	3	18.882288482611454	-0.08085427259145599
EWSR1	K562	4	17.08617237771168	-0.000662114159719456
EWSR1	K562	5	14.208267077521361	0.0008677540955494534
EWSR1	K562	6	6.5887800416896685	-0.0053614455854724425
EXOSC10	K562	1	15.94429572593016	-0.007156952909846067
EXOSC10	K562	2	19.05435076849039	-0.0027421851766271464
EXOSC10	K562	3	13.99524769152104	-0.015189613090650015
EXOSC10	K562	4	15.117153427376905	0.30683862961972297
EXOSC10	K562	5	16.624808253376244	-0.011337293630723024
EXOSC10	K562	6	19.264144133305262	-0.11685134057506852
EXOSC5	HepG2	1	12.342228633249189	0.0
EXOSC5	K562	1	10.456130430685139	0.0
EXOSC5	HepG2	2	44.221060223584566	0.0
EXOSC5	K562	2	34.65271887663745	0.3523573089504506
EXOSC5	HepG2	3	14.29859358095925	0.0
EXOSC5	K562	3	24.917538403543492	-0.35792707080642383
EXOSC5	HepG2	4	6.617381896862604	0.0
EXOSC5	K562	4	22.585053246630853	-0.7399787139269262
EXOSC5	HepG2	5	9.601514605120807	0.0
EXOSC5	K562	5	4.697954952407878	0.078711898624897
EXOSC5	HepG2	6	12.919221060223585	0.0
EXOSC5	K562	6	2.690604090095184	0.0
FAM120A	HepG2	1	14.898583386992916	0.004848459626404935
FAM120A	K562	1	11.88826417484954	-0.004194048825929615
FAM120A	HepG2	2	43.96329684481648	-0.060452530458880105
FAM120A	K562	2	10.04117833386126	0.09572368465737607
FAM120A	HepG2	3	10.787588538312942	0.0022668001661456756
FAM120A	K562	3	11.60318340196389	-0.25556642472355684
FAM120A	HepG2	4	10.69603187379266	-0.0031824310450733998
FAM120A	K562	4	5.285872663921444	0.0
