Cell Line	Model	RBP Pair	Position	Same Pos. PPI R2	Single Binders R2	# Graphs (Same Pos. PPI)	# Graphs (Single Binders)	Difference
K562	xgboost	FXR1-FXR2	4	-0.8108420614631147	0.29382937939158693	1711	4897	-1.1046714408547016
HepG2	xgboost	HNRNPK-LARP4	4	-0.8392639473850623	0.2816498882223737	81	5573	-1.120913835607436
K562	xgboost	RBFOX2-SF3B4	2	-0.9212535336750662	0.21125670660193552	595	43745	-1.1325102402770018
K562	xgboost	PUM2-QKI	6	-1.2555234154641126	0.009618960214181516	55	4999	-1.2651423756782942
K562	xgboost	U2AF1-U2AF2	1	-1.1700676946533024	0.11950829434449273	1394	5369	-1.2895759889977951
K562	xgboost	RBM22-TIA1	4	-1.261088778492721	0.19112269792016645	260	7541	-1.4522114764128875
K562	xgboost	CSTF2T-NONO	2	-1.336110663948166	0.18478703242133565	692	5045	-1.5208976963695016
K562	xgboost	IGF2BP2-PCBP1	4	-1.8619110873834894	-0.06083693723222616	322	5675	-1.8010741501512633
K562	xgboost	PTBP1-ZC3H8	3	-1.6381750289149468	0.24082145121390486	896	1643	-1.8789964801288517
HepG2	xgboost	PCBP2-QKI	3	-1.7923760068728378	0.24082519965889138	232	6931	-2.033201206531729
K562	xgboost	MBNL1-RBFOX2	2	-2.0983202677682256	-0.006915156873068984	163	2947	-2.0914051108951566
K562	xgboost	HNRNPK-PCBP1	1	-2.083814235227275	0.04430377412353148	72	2743	-2.128118009350806
HepG2	xgboost	HNRNPK-QKI	3	-1.839682951841279	0.36568053892670027	231	7107	-2.2053634907679793
K562	xgboost	MBNL1-RBFOX2	3	-2.0261436306760485	0.2974434404535423	291	4945	-2.323587071129591
HepG2	xgboost	PCBP2-RBFOX2	3	-2.3090764060582285	0.13114363996075828	683	10666	-2.440220046018987
HepG2	xgboost	PCBP1-RBFOX2	3	-2.3632196825893343	0.13597877311981166	198	8383	-2.499198455709146
K562	xgboost	CSTF2T-NONO	3	-2.494291730451606	0.19757748727425062	372	4996	-2.6918692177258565
K562	xgboost	IGF2BP2-PCBP1	3	-2.501683475638383	0.3500108074369135	504	3970	-2.8516942830752963
K562	xgboost	PCBP1-RBFOX2	4	-2.9372135099162513	0.35105908451212875	427	4473	-3.28827259442838
HepG2	xgboost	QKI-RBFOX2	5	-3.316866637692409	0.05856511852453283	254	9496	-3.3754317562169422
K562	xgboost	CSTF2T-EWSR1	2	-3.673098822656698	0.09768191402856397	445	3573	-3.770780736685262
