,RBP,Cell Line,Significant Events,AUROC,AUPRC,Sign Concordance
156,TIA1 Position 4,HepG2,6,0.5723514211886305,0.10538181486457349,83.33333333333334
157,HNRNPK Position 6,HepG2,6,0.3806818181818181,0.17742557150451888,83.33333333333334
158,U2AF1 Position 2,HepG2,6,0.47014925373134325,0.2744230685007193,33.33333333333333
159,SRSF1 Position 3,HepG2,6,0.3976897689768976,0.06651977509591583,0.0
160,SMNDC1 Position 5,K562,6,0.6135986733001658,0.025544392250276014,33.33333333333333
161,TARDBP Position 4,K562,6,0.5527777777777778,0.25478965478965476,50.0
162,KHSRP Position 4,K562,5,0.2619745845552297,0.003742984837581433,60.0
163,UCHL5 Position 6,HepG2,5,0.4871559633027523,0.034036290506878744,40.0
164,G3BP1 Position 2,HepG2,5,0.44189723320158103,0.010798210676091304,80.0
165,RBFOX2 Position 3,HepG2,5,0.511304347826087,0.05047321099952679,60.0
166,PRPF4 Position 2,HepG2,5,0.37393364928909956,0.010881720222396855,60.0
167,PCBP2 Position 4,HepG2,5,0.644,0.08631507539477179,80.0
168,AGGF1 Position 3,K562,5,0.2654545454545455,0.06653176829220386,0.0
169,DDX24 Position 5,K562,5,0.14609523809523808,0.0031534951816026375,40.0
170,AKAP8L Position 5,K562,5,0.6620689655172415,0.24547619047619046,80.0
171,BUD13 Position 4,K562,5,0.38625,0.007886222189579494,60.0
172,FXR1 Position 5,K562,5,0.608421052631579,0.08778339336199217,60.0
173,TIA1 Position 4,K562,5,0.5331991951710262,0.018211284948573082,100.0
174,LARP4 Position 6,HepG2,5,0.4579143389199255,0.012830850511323263,60.0
175,BUD13 Position 2,K562,5,0.48719008264462815,0.00782597676629639,20.0
176,AGGF1 Position 4,K562,5,0.4600000000000001,0.07247553114129046,40.0
177,LARP4 Position 5,HepG2,5,0.7209302325581395,0.03837685105192197,60.0
178,EFTUD2 Position 6,HepG2,5,0.7084536082474227,0.026199964614190857,20.0
179,GPKOW Position 5,K562,5,0.7033962264150944,0.07418385869519033,60.0
180,SF3B4 Position 4,HepG2,5,0.36585365853658536,0.05218915503538898,0.0
181,EFTUD2 Position 5,HepG2,5,0.5275534441805226,0.025042203648655618,60.0
182,TARDBP Position 5,K562,5,0.5795918367346938,0.2048080808080808,40.0
183,HNRNPL Position 4,K562,4,0.782608695652174,0.6291208791208791,100.0
184,HNRNPM Position 4,K562,4,0.6071428571428572,0.24246031746031743,100.0
185,U2AF1 Position 6,HepG2,4,0.6482558139534884,0.15388529139685475,75.0
186,PTBP1 Position 4,HepG2,4,0.7647058823529412,0.5446428571428571,100.0
187,DDX59 Position 5,HepG2,4,0.5,0.08888888888888889,0.0
188,NCBP2 Position 4,HepG2,4,0.6875,0.3740601503759398,100.0
189,HNRNPM Position 3,K562,4,0.71875,0.5223651960784313,100.0
190,HNRNPK Position 4,K562,4,0.41071428571428575,0.12585227272727273,25.0
191,RBM22 Position 6,K562,4,0.42866161616161613,0.014492314183178633,0.0
192,EFTUD2 Position 3,HepG2,4,0.5628834355828221,0.06392615536637276,25.0
193,U2AF1 Position 4,K562,4,0.3648648648648648,0.09342431761786602,25.0
194,EFTUD2 Position 4,HepG2,4,0.27134646962233167,0.0053972651937330765,75.0
195,IGF2BP3 Position 6,HepG2,4,0.6776315789473684,0.04650906115252465,25.0
196,FXR1 Position 2,K562,4,0.4777542372881356,0.018757638428181064,25.0
197,FXR1 Position 6,K562,4,0.6410550458715596,0.14987909966898808,50.0
198,FMR1 Position 1,K562,4,0.5982142857142857,0.030090005633483893,25.0
199,RBFOX2 Position 3,K562,4,0.6009615384615384,0.17628658386620757,50.0
200,UCHL5 Position 3,K562,4,0.37655800575263665,0.003698569911367007,75.0
201,UCHL5 Position 1,HepG2,4,0.7735294117647058,0.4613095238095238,100.0
202,GPKOW Position 1,K562,4,0.5863259668508287,0.13669970380496696,75.0
203,FUBP3 Position 6,HepG2,4,0.6397058823529411,0.18248917748917748,75.0
204,HNRNPC Position 4,HepG2,4,0.7,0.45833333333333326,100.0
205,QKI Position 4,K562,4,0.4779411764705882,0.10606060606060605,25.0
206,UTP18 Position 2,K562,4,1.0,1.0,0.0
207,UPF1 Position 6,HepG2,3,0.6164383561643836,0.022197895761114153,66.66666666666666
208,AKAP8L Position 4,K562,3,0.9700854700854701,0.5666666666666667,100.0
209,AKAP1 Position 6,HepG2,3,0.6974885844748859,0.04264584621727478,66.66666666666666
210,KHSRP Position 1,HepG2,3,0.5024875621890548,0.05355731225296442,100.0
211,PRPF4 Position 1,HepG2,3,0.318007662835249,0.02639178666301832,66.66666666666666
212,MATR3 Position 3,K562,3,0.4444444444444445,0.3888888888888889,100.0
213,PCBP1 Position 4,K562,3,0.4074074074074074,0.0637001887001887,66.66666666666666
214,TARDBP Position 4,HepG2,3,0.5120481927710843,0.04095279720279721,66.66666666666666
215,SUPV3L1 Position 6,HepG2,3,0.27927927927927926,0.0642156862745098,100.0
216,TIAL1 Position 6,HepG2,3,0.5857740585774058,0.036132042753097705,33.33333333333333
217,PUM1 Position 3,K562,3,0.03703703703703705,0.006876561312045183,33.33333333333333
218,PUM1 Position 4,K562,3,0.17638483965014573,0.006758090488805776,33.33333333333333
