Plot Type	Cell Line	PPI Source	PPI Type	Curve	AUC	ROC Input Table: # INTER-RBP Interaction Features (Rows)	# Rows as % of All INTER-RBP Interaction Effects	ROC Input Table: # True PPIs	% Rows w/ True PPI	# Rows w/ 0 Abs. SHAP Value	% Rows w/ 0 Abs. SHAP Value	Abs. SHAP - Min Val	Abs. SHAP - 50th Percentile	Abs. SHAP - 75th Percentile	Abs. SHAP - 90th Percentile	Abs. SHAP - 95th Percentile	Abs. SHAP - 99th Percentile	Abs. SHAP - Max Val	Partial AUC @ FPR=0.01	Partial AUC @ FPR=0.025	Partial AUC @ FPR=0.05	Partial AUC @ FPR=0.1	Partial AUC @ FPR=0.2	Partial AUC @ FPR=0.3	Partial AUC @ FPR=0.4	Partial AUC @ FPR=0.5
RBP-SPECIFIC_SUM_VALUE	HepG2	Street et al | IP-MS	Different-Position	roc	0.5459171455938696	1786	0.9086284086284085	58	3.2474804031354982	1109	62.09406494960806	0.0	0.0	0.03875365206840797	0.18692462301260093	0.3862229227088392	0.8070454332497325	1.6425307537429035	0.49748743718592964	0.5038556671031573	0.5081376690572093	0.5226167069973785	0.5409726656733361	0.5450778491473217	0.5474818238001894	0.5468443623087259
FEATURE-SPECIFIC	K562	Street et al | IP/SEC-MS (Both)	Different-Position	roc	0.5453465396644784	49062	14.209501963646472	411	0.8377155435978966	34127	69.55892544127839	0.0	0.0	0.00014468870722339489	0.00459319432266057	0.013250447669997811	0.08370234280824661	1.3102924823760986	0.4994565425705783	0.5029990324073947	0.5086864401348751	0.5191579876416729	0.5336691923216802	0.5400050217616388	0.5422197083678539	0.543493602599812
FEATURE-SPECIFIC	K562	Street et al | IP-MS	Different-Position	roc	0.5452089600250387	49062	14.209501963646472	1700	3.465003465003465	34127	69.55892544127839	0.0	0.0	0.00014468870722339489	0.00459319432266057	0.013250447669997811	0.08370234280824661	1.3102924823760986	0.5000603086973979	0.5024350180921439	0.5064848177157126	0.5128510099996562	0.525672141947724	0.5339457091803702	0.5386128095629324	0.5413001301215683
FEATURE-SPECIFIC	K562	Rec-Y2H/Street et al. IP-MS (Union)	All-Positions	roc	0.5444884391139914	77687	22.499971037662622	3074	3.9569039865099693	56842	73.16796890084571	0.0	0.0	0.000022597211682295892	0.003959277644753459	0.012061654496937989	0.08171106323599815	1.3102924823760986	0.5009316321730531	0.503891075426339	0.5079664536468934	0.5149901134272942	0.5277586199097083	0.5353758825652419	0.5391534091957821	0.5413269399032008
RBP-SPECIFIC_MAX_VALUE	K562	Street et al | IP-MS	Different-Position	roc	0.5436146038479017	2962	0.8578644330912082	92	3.1060094530722484	1144	38.62255232950709	0.0	0.0017085681902244687	0.019621668849140406	0.09020215347409251	0.1689860001206398	0.35494150608777986	1.3102924823760986	0.501560217387498	0.5029713564688127	0.5019791096143164	0.5050391089069439	0.5255979733710381	0.5344436820327283	0.5365581445993032	0.5364288239155683
RBP-SPECIFIC_SUM_VALUE	HepG2	Street et al | IP-MS	All-Positions	roc	0.5430579056213574	1833	0.9325396825396826	60	3.273322422258593	1102	60.12002182214948	0.0	0.0	0.050751660179230385	0.2405763347516767	0.4718336122110483	1.0714704125095165	1.9283988985989708	0.49877702103297084	0.5095299630414968	0.5182437415939954	0.5313671940709077	0.5409851475841324	0.5403639929369003	0.5425863849234551	0.5427784859485264
RBP-SPECIFIC_MAX_VALUE	HepG2	Street et al | IP-MS	Different-Position	roc	0.5411378512132822	1786	0.9086284086284085	58	3.2474804031354982	1109	62.09406494960806	0.0	0.0	0.028545512352138758	0.10680212453007698	0.19348281249403954	0.42173628062009916	1.0526175498962402	0.49748743718592964	0.49593417074866225	0.4938517208632151	0.5079443100087383	0.5321369022278984	0.5357849397741217	0.5400141763305215	0.5404719698012759
FEATURE-SPECIFIC	K562	Rec-Y2H/Street et al. IP-MS (Union)	Different-Position	roc	0.5407524663575647	63657	18.436555103743093	2506	3.9367233768477936	46603	73.20954490472376	0.0	0.0	0.00002128200139850378	0.0035911035723984247	0.010793388076126568	0.07259757965803153	1.3102924823760986	0.5008272231588541	0.5038636450282027	0.5074016901823132	0.5135974421628704	0.5252239945094997	0.5322207913013567	0.53575751884379	0.537792497460513
RBP-SPECIFIC_SUM_VALUE	K562	Street et al | IP/SEC-MS (Both)	Different-Position	roc	0.5383792986040177	2962	0.8578644330912082	25	0.8440243079000675	1144	38.62255232950709	0.0	0.0021884772831981536	0.03683418743270295	0.18368358499451462	0.373100584104213	0.7764677633728566	1.9135957090311422	0.49748743718592964	0.5042698353180504	0.5083488296971443	0.5252083221332187	0.5301479211591571	0.5312917676433869	0.5374446714334354	0.5424900692316422
FEATURE-SPECIFIC	HepG2	Street et al | IP-MS	All-Positions	roc	0.5373771817114416	36596	18.618233618233617	1238	3.382883375232266	33452	91.40889714722921	0.0	0.0	0.0	0.0	0.011691467836499214	0.10680827349424371	1.0526175498962402	0.5018246400630976	0.5055930286668101	0.5102620315387468	0.5224419839869935	0.531149060849669	0.5340112487457042	0.5354065653450214	0.5362094090498593
FEATURE-SPECIFIC	HepG2	Street et al | IP/SEC-MS (Both)	Same-Position	roc	0.5369007497076828	6301	3.2056369556369555	70	1.1109347722583718	5703	90.5094429455642	0.0	0.0	0.0	0.0	0.02351217158138752	0.16923993825912476	0.8054162263870239	0.5017859317450678	0.4997433064508874	0.4984712500360069	0.5121442389897355	0.5265770470214606	0.5313213956824082	0.5336342656546202	0.5349650554540161
RBP-SPECIFIC_MAX_VALUE	HepG2	Street et al | IP-MS	All-Positions	roc	0.5368913329573228	1833	0.9325396825396826	60	3.273322422258593	1102	60.12002182214948	0.0	0.0	0.04280245304107666	0.13264675736427303	0.242060029506683	0.4880889511108401	1.0526175498962402	0.49748743718592964	0.4936708860759494	0.5020849301729167	0.5096377435410296	0.5284619080445364	0.5272036244465825	0.5329511151359011	0.534556389063147
FEATURE-SPECIFIC	HepG2	Street et al | IP-MS	Different-Position	roc	0.5347351014962991	30295	15.41259666259666	998	3.2942729823403205	27749	91.5959729328272	0.0	0.0	0.0	0.0	0.009689075127243983	0.09328296944499051	1.0526175498962402	0.5013860232514988	0.5055610042057073	0.5101043575252463	0.5213582571417719	0.5291568289533961	0.531720373320539	0.5329701011995212	0.5336891753945047
FEATURE-SPECIFIC	K562	Rec-Y2H	Same-Position	roc	0.5335838558621544	8520	2.4675911444757235	198	2.323943661971831	6585	77.2887323943662	0.0	0.0	0.0	0.003668421250768013	0.013711249222978913	0.081510181203484	0.6021908521652222	0.49911718524066495	0.4985290466841579	0.49996641897627236	0.5098316166126282	0.5269573353767858	0.530457138692578	0.5317532905804764	0.5324990764359748
