Cell Line	Combination	Mismatched Graphs
K562	('ENSE00003571289', 'ENSE00002081714', 'ENSE00003576689')	1
K562	('ENSE00000978584', 'ENSE00003519057', 'ENSE00001147982')	1
K562	('ENSE00001098421', 'ENSE00001098423', 'ENSE00001098440')	1
K562	('ENSE00001088213', 'ENSE00001182998', 'ENSE00003495529')	1
K562	('ENSE00003639480', 'ENSE00003521516', 'ENSE00003671431')	1
K562	('ENSE00003633724', 'ENSE00003668205', 'ENSE00003552148')	1
K562	('ENSE00001386501', 'ENSE00001365279', 'ENSE00001372415')	1
K562	('ENSE00003613773', 'ENSE00003558546', 'ENSE00003574779')	1
K562	('ENSE00003509370', 'ENSE00003515676', 'ENSE00003604878')	1
K562	('ENSE00003501079', 'ENSE00003625132', 'ENSE00003543317')	1
K562	('ENSE00002194254', 'ENSE00003606545', 'ENSE00003523518')	1
K562	('ENSE00000854955', 'ENSE00000854954', 'ENSE00000854956')	1
K562	('ENSE00000943543', 'ENSE00000943544', 'ENSE00003785135')	1
K562	('ENSE00003527039', 'ENSE00002687913', 'ENSE00002728802')	1
K562	('ENSE00003485568', 'ENSE00003623401', 'ENSE00002127569')	1
K562	('ENSE00003680957', 'ENSE00003685341', 'ENSE00001630540')	1
K562	('ENSE00001242559', 'ENSE00003684932', 'ENSE00003603215')	1
K562	('ENSE00000820568', 'ENSE00003564727', 'ENSE00000820569')	1
K562	('ENSE00000902627', 'ENSE00003789078', 'ENSE00001064464')	1
K562	('ENSE00003651910', 'ENSE00003583309', 'ENSE00003498879')	1
K562	('ENSE00003622508', 'ENSE00003784979', 'ENSE00003787900')	1
K562	('ENSE00003475035', 'ENSE00003564467', 'ENSE00002025888')	1
K562	('ENSE00001638011', 'ENSE00001606066', 'ENSE00001663884')	1
K562	('ENSE00001318529', 'ENSE00001298396', 'ENSE00001328025')	1
K562	('ENSE00000857044', 'ENSE00003665483', 'ENSE00000857045')	1
K562	('ENSE00003424722', 'ENSE00001368123', 'ENSE00003296854')	1
K562	('ENSE00003589182', 'ENSE00003685801', 'ENSE00003691918')	1
K562	('ENSE00001622053', 'ENSE00001665994', 'ENSE00001452604')	1
K562	('ENSE00003506725', 'ENSE00003639761', 'ENSE00003707318')	1
K562	('ENSE00003601452', 'ENSE00003483729', 'ENSE00003681710')	1
K562	('ENSE00003278869', 'ENSE00002140517', 'ENSE00003589307')	1
