Protein1,Protein2,Position,Pearson_Corr,Pearson_P,Spearman_Corr,Spearman_P,n
FUS,RPS3,2,0.5308260967782996,5.242177603802644e-16,0.5306708903744597,5.364703252869104e-16,201
FUS,RPS3,3,-0.9881155801685956,1.7325960872309537e-90,-0.9686714165002516,9.057538047666763e-68,111
FUS,RPS3,4,0.9419681429220493,5.290070606134633e-22,0.8758338286771019,3.4050545720247716e-15,45
FUS,RPS3,5,-0.6017851692681497,2.3725366531808682e-06,-0.465056670445729,0.000513424826554518,52
FUS,RPS3,6,-0.9435342273137318,2.1347492207038938e-17,-0.965744770461884,6.604359588950202e-21,35
XRN2,ZRANB2,1,,,,,4
XRN2,ZRANB2,3,0.8578770900840628,2.61805127669623e-14,0.8213448488587292,2.7023726903453243e-12,46
XRN2,ZRANB2,4,0.794692614849944,2.630287276133891e-07,0.7066074950690333,1.834244590848071e-05,29
XRN2,ZRANB2,5,,,,,68
PHF6,TBRG4,1,0.7843016836461095,6.741010333696158e-15,0.3478613002111455,0.004209623726508684,66
PHF6,TBRG4,2,-0.27094374567098123,0.000979896494917857,-0.44809106802538934,1.589884415343052e-08,145
PHF6,TBRG4,3,0.8870236462996448,5.872561587906451e-32,0.8122861422414643,8.690437021189085e-23,92
PHF6,TBRG4,4,,,,,49
PHF6,TBRG4,5,0.8558283090318922,1.1204407613294415e-30,0.7443556330927226,2.0501775041456624e-19,103
DDX24,RNF187,5,,,,,20
AGGF1,LSM11,1,0.656952789956379,1.2272976205925228e-07,0.7945614453858015,2.0483812551806686e-12,52
AGGF1,LSM11,2,0.17401876113462444,0.16563544563938204,-0.5877107460203161,2.646495040164579e-07,65
AGGF1,LSM11,3,-0.21113891109177166,0.2234013314777075,-0.30035038542396636,0.07958549978746542,35
AGGF1,LSM11,4,,,,,33
AGGF1,LSM11,5,-1.0,1.0,-0.9999999999999999,,2
AGGF1,LSM11,6,1.0,1.0,0.9999999999999999,,2
EWSR1,UCHL5,1,0.5753724716997077,8.688699009451572e-10,0.7404127402212843,6.653782321989044e-18,96
EWSR1,UCHL5,2,0.05233789980692573,0.6990127850818132,0.08830966812239414,0.5136077174614064,57
EWSR1,UCHL5,3,-0.6805075456836713,6.8020337414415115e-15,-0.5702608065050897,5.89130988552809e-10,100
EWSR1,UCHL5,4,0.18835146233801173,0.15679755808418033,0.15671917302485852,0.24006184432753977,58
EWSR1,UCHL5,5,0.2392763432166358,0.05687821264693514,0.45815351156341777,0.00014073436236764617,64
EWSR1,UCHL5,6,,,,,66
DDX21,TBRG4,3,,,,,36
DDX21,TBRG4,5,,,,,66
DDX24,SLTM,1,-0.16784501541838112,0.07556690956728283,-0.19393531054865693,0.03956873491773519,113
DDX24,SLTM,2,0.1212378874670978,0.6429935467189212,0.22549019607843138,0.38419665076181897,17
DDX24,SLTM,3,-0.8839158652032768,8.546818649917996e-18,-0.9245739892385341,3.570391742955906e-22,51
DDX24,SLTM,4,-0.2830906164054526,0.5867075584438486,-0.7714285714285715,0.07239650145772594,6
DDX24,SLTM,5,0.829709368393962,0.00012989201401002274,0.8705035971223022,2.4288320690740346e-05,15
NPM1,TRA2A,1,-0.9945335285186891,4.474179028502564e-05,-0.23529411764705885,0.653572155505801,6
NPM1,TRA2A,2,0.6294343260484487,0.2551998840187476,1.0,0.0,5
NPM1,TRA2A,3,,,,,41
NPM1,TRA2A,5,,,,,63
NPM1,TRA2A,6,,,,,7
LARP4,UPF1,2,0.812283998479646,0.026428661706172796,0.6071428571428572,0.1482311614811614,7
LARP4,UPF1,4,0.1196932523851017,0.7259370148626015,0.5545454545454546,0.07665233333978251,11
LARP4,UPF1,6,0.24229491209692974,0.04998202894339874,-0.051748822998985346,0.6798604998886131,66
ELAC2,GNL3,6,,,,,48
AARS,ELAC2,2,,,,,4
PTBP1,SRSF9,1,0.7071150863063504,0.03314250945764821,0.773913043478261,0.014387148332321286,9
PTBP1,SRSF9,2,0.9999878877597231,4.4423164882126295e-15,0.9759036144578312,3.434897282424447e-05,8
PTBP1,SRSF9,3,-0.9303478020453635,3.286520605410899e-05,0.16391474770472406,0.6300959115364198,11
PTBP1,SRSF9,4,0.7595620468989536,0.0066884232516375795,0.8090909090909091,0.002558580199713915,11
SLTM,TARDBP,1,0.9903460425127592,1.7693376157089521e-51,0.9603056785702025,7.5136199032850305e-34,60
SLTM,TARDBP,2,-0.19566384408793427,0.45168206951992146,0.3226993865030675,0.20647856581553817,17
SLTM,TARDBP,3,-0.9859985001042072,2.6350901063787136e-34,-0.8760050782903089,6.945051323720213e-15,44
SLTM,TARDBP,5,-0.5801352310576858,0.17212359044379041,0.09090909090909091,0.8463048784202414,7
