Protein1,Protein2,Position,Pearson_Corr,Pearson_P,Spearman_Corr,Spearman_P,n
GRWD1,ZC3H11A,2,,,,,16
GRWD1,ZC3H11A,3,,,,,3
GRWD1,ZC3H11A,4,,,,,27
GRWD1,ZC3H11A,5,0.40336162635500733,0.4277711501058239,0.11595420713048969,0.826848213385815,6
GRWD1,ZC3H11A,6,0.6205705008283144,0.001580700778074427,0.7934782608695652,6.259668208732328e-06,23
IGF2BP3,PRPF4,1,-0.893770069849613,0.016327805434809543,-1.0,0.0,6
IGF2BP3,PRPF4,2,-0.8431996037294709,2.6234317825419624e-09,-0.9301151282569176,3.8090301189225556e-14,31
IGF2BP3,PRPF4,3,-0.8872618092361088,1.681202903597581e-08,-0.8333333333333331,7.949057941704911e-07,23
IGF2BP3,PRPF4,4,0.7132558568315372,4.314490708121531e-05,0.2868430092751632,0.1553910988120008,26
IGF2BP3,PRPF4,5,-0.9987009960169951,5.474547747145284e-09,-0.9761904761904763,3.3143960262001043e-05,8
IGF2BP3,PRPF4,6,1.0,1.0,0.9999999999999999,,2
GRWD1,LIN28B,1,-0.040248742589133905,0.5472007080774992,0.5579954772029332,6.772582004940788e-20,226
GRWD1,LIN28B,2,0.6363195158641242,2.813579300087644e-32,0.615133744561484,1.0453833644962107e-29,272
GRWD1,LIN28B,3,0.7089876480197608,5.613938551297353e-25,0.5886182163003257,7.97365196023469e-16,155
GRWD1,LIN28B,4,0.8134201153074249,9.504058410968735e-44,0.7424575395796552,8.560294474485733e-33,180
GRWD1,LIN28B,5,0.7898604221487222,2.497254212115926e-47,0.8405198949731183,7.064452676613753e-59,216
GRWD1,LIN28B,6,-0.8880275342370146,8.774425773806851e-118,-0.8649888385477972,9.460562838508722e-105,345
FTO,UCHL5,1,-0.30742502566284213,0.0013477703604643137,-0.705772391970225,2.958779512285783e-17,106
FTO,UCHL5,2,,,,,99
FTO,UCHL5,3,-0.5431622965829613,2.985133783620166e-10,-0.5017559979861101,9.5918826290591e-09,116
FTO,UCHL5,4,,,,,175
FTO,UCHL5,5,-0.2922620191722968,0.02227954268495329,0.15633515936748432,0.22891011791586813,61
FTO,UCHL5,6,-0.4719759156677109,4.832024632252497e-07,-0.49146720194537574,1.3534341056424335e-07,103
NOLC1,RBM5,1,0.2915216505904566,0.0022051947192175676,0.1970368958864302,0.04096109770264456,108
NOLC1,RBM5,2,,,,,41
NOLC1,RBM5,3,0.759794621083017,1.1910658219891725e-19,0.5118958799635248,7.152132150943424e-08,98
NOLC1,RBM5,4,0.732089620975971,0.00010746157369250448,0.5602512849800113,0.006691186231958473,22
NOLC1,RBM5,5,0.5402689268138602,1.5911296293929366e-09,0.7197491685012055,1.68675971425533e-18,108
NOLC1,RBM5,6,,,,,33
AKAP1,YBX3,1,-0.9061323376190736,1.556535822164013e-16,-0.9556726125382945,7.521013459990205e-23,42
AKAP1,YBX3,2,-0.9642361424364498,1.841103158885924e-37,-0.9580566875772699,2.3503055963231706e-35,64
AKAP1,YBX3,3,,,,,26
AKAP1,YBX3,4,,,,,22
AKAP1,YBX3,5,,,,,69
AKAP1,YBX3,6,0.6042475991521566,0.0037185288642043912,0.25795971410006496,0.2589086574475494,21
FAM120A,RBM5,1,,,,,4
FAM120A,RBM5,2,,,,,114
FAM120A,RBM5,3,0.2640696512805369,0.3057494989443286,0.5179376070583145,0.03319864138311652,17
FAM120A,RBM5,4,0.9527889409421322,2.7523999430833126e-59,0.9506826066338881,2.929004404312756e-58,113
FAM120A,RBM5,5,,,,,9
FAM120A,RBM5,6,,,,,12
BCCIP,DDX59,5,,,,,2
QKI,SDAD1,3,-0.4763831274429814,0.11741966904931773,-0.5438596491228072,0.0675724245086112,12
QKI,SDAD1,5,0.6463395777059506,3.472754417539513e-09,0.8267446269282195,6.844420310468143e-18,67
BUD13,DDX6,1,,,,,2
BUD13,DDX6,2,0.10671666524852655,0.8932833347514735,0.39999999999999997,0.6,4
SF3B4,SLTM,1,,,,,38
SF3B4,SLTM,3,-0.9860728251659049,7.598512938513089e-18,-0.7888732059130302,7.719770139341499e-06,23
SF3B4,SLTM,5,,,,,8
NCBP2,TIA1,2,0.4159102410840775,0.00015247611313904438,0.4666329242059976,1.660342779413212e-05,78
NCBP2,TIA1,4,,,,,18
NCBP2,TIA1,6,0.9929425038955474,8.74158797870807e-07,0.9285714285714287,0.0008629681828999769,8
FASTKD2,TIAL1,1,,,,,7
FASTKD2,TIAL1,2,-0.9961681171265946,0.05574937612771199,-1.0,0.0,3
