Plot Type	Cell Line	PPI Source	PPI Type	Curve	AUC	ROC Input Table: # INTER-RBP Interaction Features (Rows)	# Rows as % of All INTER-RBP Interaction Effects	ROC Input Table: # True PPIs	% Rows w/ True PPI	# Rows w/ 0 Abs. SHAP Value	% Rows w/ 0 Abs. SHAP Value	Abs. SHAP - Min Val	Abs. SHAP - 50th Percentile	Abs. SHAP - 75th Percentile	Abs. SHAP - 90th Percentile	Abs. SHAP - 95th Percentile	Abs. SHAP - 99th Percentile	Abs. SHAP - Max Val	Partial AUC @ FPR=0.01	Partial AUC @ FPR=0.025	Partial AUC @ FPR=0.05	Partial AUC @ FPR=0.1	Partial AUC @ FPR=0.2	Partial AUC @ FPR=0.3	Partial AUC @ FPR=0.4	Partial AUC @ FPR=0.5
RBP-SPECIFIC_MAX_VALUE	K562	Rec-Y2H/Street et al. IP-MS (Union)	Different-Position	roc	0.5910277141524225	4241	1.2282927281363316	139	3.2775288846970057	2092	49.32798868191464	0.0	4.30806539952755e-6	0.038512714207172394	0.14318038523197174	0.2772546708583832	0.6193577408790618	1.5718275308609009	0.49748743718592964	0.4943138121069099	0.4965854567592972	0.5026723879948108	0.5214369703651998	0.5412619340957097	0.5574041132769065	0.570204392312576
RBP-SPECIFIC_MAX_VALUE	K562	Street et al | IP-MS	All-Positions	roc	0.5876252297957846	3080	0.8920399911954493	94	3.051948051948052	1299	42.175324675324674	0.0	0.0014945868751965463	0.0687183253467083	0.218953429162502	0.3762787997722617	0.7702866971492768	1.8087801933288574	0.49748743718592964	0.49501660410400705	0.4965046923833317	0.5060112552118922	0.531155241402352	0.5465055811838923	0.5581463496316141	0.5667535971650207
RBP-SPECIFIC_MAX_VALUE	K562	Rec-Y2H	Same-Position	roc	0.5804953252436842	2329	0.6745328374981174	44	1.8892228424216402	1589	68.2267067410906	0.0	0.0	0.0013437180314213037	0.05517784208059359	0.1305856883525848	0.4126049649715402	1.759062647819519	0.5098328323535322	0.5155023631881511	0.5213794229111516	0.5244364641462419	0.5392104855999823	0.5598474122093635	0.5685110209183508	0.5733935152731162
RBP-SPECIFIC_MAX_VALUE	K562	Street et al | IP/SEC-MS (Both)	Different-Position	roc	0.5776829268292684	2977	0.8622087836976796	25	0.8397715821296607	1268	42.59321464561639	0.0	0.0009889949578791857	0.05429526045918465	0.1780019283294678	0.312002545595169	0.6664891147613504	1.5718275308609009	0.49748743718592964	0.4936708860759494	0.49193245778611633	0.5059620596205963	0.5415386931647094	0.5517827727296881	0.5534129403794038	0.5591869918699187
RBP-SPECIFIC_MAX_VALUE	K562	Rec-Y2H	Different-Position	roc	0.5770797020455061	2660	0.7703981742142518	49	1.8421052631578945	1414	53.1578947368421	0.0	0.0	0.029546684119850397	0.12231815308332443	0.2261156305670736	0.5685700595378866	1.3717466592788696	0.49748743718592964	0.49624727211276815	0.4990962239416581	0.5007818281820983	0.5193890143827223	0.5425393443474671	0.5548220245585787	0.5635230897806993
RBP-SPECIFIC_MAX_VALUE	K562	Street et al | IP-MS	Different-Position	roc	0.5711909426569212	2977	0.8622087836976796	92	3.0903594222371518	1268	42.59321464561639	0.0	0.0009889949578791857	0.05429526045918465	0.1780019283294678	0.312002545595169	0.6664891147613504	1.5718275308609009	0.49748743718592964	0.4936708860759494	0.49333325604895195	0.49952210795997604	0.512345213874865	0.5260563723643327	0.5401509871147615	0.550611609273353
RBP-SPECIFIC_MAX_VALUE	HepG2	Rec-Y2H/Street et al. IP-MS (Union)	All-Positions	roc	0.5706657961924526	2860	1.455026455026455	93	3.2517482517482517	1796	62.7972027972028	0.0	0.0	0.024496459867805243	0.16386038362979882	0.32174275815486897	0.6829013025760647	1.5624902248382568	0.5000280127256862	0.5102952907669672	0.5241367772465853	0.5411582338454528	0.5530421476187823	0.5651118750619577	0.56879713783327	0.5695584430907147
RBP-SPECIFIC_MAX_VALUE	HepG2	Street et al | IP/SEC-MS (Both)	All-Positions	roc	0.5685033507073716	1834	0.9330484330484331	17	0.9269356597600873	1046	57.033805888767716	0.0	0.0	0.04185144975781441	0.19738255292177206	0.367536725103855	0.756955556869508	1.2834606170654297	0.49748743718592964	0.533847410347627	0.5527741599158609	0.5537842631766375	0.5628612846716379	0.5843497812216926	0.5860581436757422	0.579274344895362
RBP-SPECIFIC_MAX_VALUE	HepG2	Street et al | IP-MS	All-Positions	roc	0.5593808718526869	1834	0.9330484330484331	60	3.271537622682661	1046	57.033805888767716	0.0	0.0	0.04185144975781441	0.19738255292177206	0.367536725103855	0.756955556869508	1.2834606170654297	0.49748743718592964	0.5080844262412056	0.5219938523207971	0.5467770327735912	0.5571370412125767	0.5646410386777785	0.5649808577602405	0.563011386881853
RBP-SPECIFIC_MAX_VALUE	HepG2	Rec-Y2H	All-Positions	roc	0.5545843299267956	2006	1.0205535205535206	35	1.744765702891326	1292	64.40677966101694	0.0	0.0	0.021126563660800457	0.15251687169075012	0.28747133165597916	0.6699746608734134	1.5624902248382568	0.502375252358043	0.5043207888708149	0.5086185588468694	0.5237027118786312	0.5331593824744509	0.5494047441401726	0.5530693497424242	0.5536865638916125
