feature,AUROC,AUPRC,total_events,num_significant
YBX3_1,0.6208733974358973,0.0018650547096437898,4997,5
YBX3_2,0.34758582979851543,0.008430268726411673,7616,72
YBX3_3,0.625638911788953,0.0034696356437871204,6078,13
YBX3_4,0.5393221738477706,0.004288217996611155,6681,20
YBX3_5,0.74291136930059,0.026829587886177876,9536,94
YBX3_6,0.22539604321798803,0.0034056995026072066,7646,36
GRSF1_1,0.7290139296187683,0.06220704484840568,2812,84
GRSF1_2,0.5115970841616965,0.017333333333333333,4605,78
GRSF1_3,0.5,0.02286902286902287,2405,55
GRSF1_4,0.6534386958683761,0.1669086261060246,2057,46
GRSF1_5,0.6704074764419592,0.05894128803137281,3315,96
GRSF1_6,0.33222480877951444,0.017369904719262367,3071,64
ZC3H11A_1,0.5,0.00408997955010225,489,2
ZC3H11A_2,0.5,0.016845329249617153,653,11
ZC3H11A_3,0.5,0.029197080291970802,548,16
ZC3H11A_4,0.5,0.01015228426395939,985,10
ZC3H11A_5,0.44371513118214717,0.042133410689682946,1722,64
ZC3H11A_6,0.4321344649930291,0.017514177876484703,6507,136
TRA2A_1,0.7277300565249447,0.08849181050948242,8438,313
TRA2A_2,0.772305225826571,0.05785359357876544,10626,232
TRA2A_3,0.7505566812586686,0.05693446847516084,6648,56
TRA2A_4,0.8423248324511663,0.20189265432169407,8309,156
TRA2A_5,0.24208410725002788,0.010063075368314741,10324,166
TRA2A_6,0.31550879200806575,0.00778991212517566,9737,99
DDX55_1,0.9303943003618818,0.1978321331333444,1690,32
DDX55_2,0.6618527569527859,0.02727606637269413,3512,63
DDX55_3,0.9486188357434187,0.1250194796358025,2717,20
DDX55_4,0.5769030239833159,0.0011968017562968775,2879,2
DDX55_5,0.2389376721763085,0.0024813137384737693,4235,11
DDX55_6,0.7483866835925517,0.06535381255464955,8430,148
BCLAF1_1,0.48216191707801137,0.022538654105640717,65452,1449
BCLAF1_2,0.4063500817445518,0.017326073575697206,68796,1548
BCLAF1_3,0.680624678428243,0.07245459076967907,62196,745
BCLAF1_4,0.5971454008245686,0.022021699939938393,66424,830
BCLAF1_5,0.36143564123132,0.013879660468720797,66915,1302
BCLAF1_6,0.35394399566347995,0.014762164783387554,69424,1466
XRN2_1,0.42125232774674115,0.011538831214621438,2178,30
XRN2_2,0.4377411744033894,0.019946965150027175,13132,318
XRN2_3,0.5,0.016552511415525113,1752,29
XRN2_4,0.5,0.052705223880597014,2144,113
XRN2_5,0.6327969500420855,0.062001299306418976,2221,95
XRN2_6,0.8489659863945578,0.23132932785834737,1085,35
RBFOX2_1,0.5058143422100831,0.029617512024060003,8254,174
RBFOX2_2,0.41347043912694037,0.020718976225978597,18771,499
RBFOX2_3,0.6644501513206675,0.07409976379608911,12845,539
RBFOX2_4,0.6147248966952741,0.06950752065382296,17474,944
RBFOX2_5,0.3807081099845001,0.03490640984667646,10602,490
RBFOX2_6,0.6535071026534441,0.04407589538161475,10940,280
STAU2_1,0.7473815461346633,0.031657212627128964,406,5
STAU2_3,0.2764075067024129,0.02235777635436438,383,10
STAU2_4,0.5,0.013157894736842105,304,4
STAU2_5,0.5,0.005154639175257732,194,1
STAU2_6,0.3076923076923077,0.004244952985545829,470,2
TIA1_1,0.9364438839848676,0.11552197802197803,798,5
TIA1_2,0.7097840399953899,0.0830457028640065,13503,621
TIA1_3,0.8675693906254485,0.19552332787501361,2231,98
TIA1_4,0.35960263605847426,0.029561425019669282,10508,405
TIA1_5,0.7887282897250276,0.06956914367523624,3355,62
TIA1_6,0.7697520541068928,0.0846722847342728,12917,300
GTF2F1_1,0.4085618718273525,0.014874282613970393,8372,158
GTF2F1_2,0.5778129638525604,0.03413587258395617,19395,490
GTF2F1_3,0.5207481260461394,0.05116257195282311,5558,273
GTF2F1_4,0.52123965126586,0.033856592751304204,4995,162
GTF2F1_5,0.4632984700492696,0.033382865187995964,3133,115
GTF2F1_6,0.41780120748998456,0.00986833454036076,3220,39
RPS3_1,0.28834926147106726,0.006369434666196306,33197,325
RPS3_2,0.3089601673653011,0.004033546485080497,35646,217
RPS3_3,0.30857545984962786,0.004392342277337924,32591,214
RPS3_4,0.3109188502912106,0.003930812074056147,30723,180
RPS3_5,0.3293595799233541,0.0054296434622810395,34739,276
RPS3_6,0.6813394253772543,0.019207931552131127,31979,363
SUPV3L1_1,0.461996336996337,0.026541830330940448,558,12
SUPV3L1_2,0.5,0.014631806188534421,4169,61
SUPV3L1_3,0.35590162849199,0.021515445216672528,1107,28
SUPV3L1_4,0.44742816768723503,0.030865576304858748,1985,55
SUPV3L1_5,0.34329849059649686,0.04194663527436668,1005,52
SUPV3L1_6,0.49383423883049826,0.029826923901875073,2501,67
HNRNPM_1,0.5,0.018575851393188854,646,12
HNRNPM_2,0.7510058330448284,0.07347423041077458,4373,89
HNRNPM_3,0.6746085938643125,0.06524616558769375,1472,58
HNRNPM_4,0.5765831115377343,0.05977109905549886,2359,123
HNRNPM_5,0.5,0.023943661971830985,710,17
