feature,AUROC,AUPRC,total_events,num_significant
ILF3_3,0.5260480572597137,0.021909881443221466,1996,40
ILF3_4,0.2840358918081467,0.009126394822956962,2241,28
ILF3_5,0.8567741935483871,0.16927818558253344,924,25
ILF3_6,0.49968746093261657,0.014638649780051353,1703,19
RNF187_3,0.4845360824742268,0.04,101,4
RNF187_4,0.5,0.03125,96,3
RNF187_6,0.635847670706557,0.18928946789437537,1446,135
LSM11_1,0.6375094586810929,0.03819392433327583,1856,49
LSM11_2,0.7456186502547035,0.115373886669681,3108,81
LSM11_3,0.7378417397121467,0.10102383668241793,3403,124
LSM11_4,0.5736451605435563,0.03409230378150804,2099,42
LSM11_5,0.3339876752523177,0.02025437503720249,5010,144
LSM11_6,0.34377333831217327,0.0056284810126763915,2698,20
U2AF2_1,0.40061012325254924,0.015605103631043428,43369,852
U2AF2_2,0.6258334704233786,0.04026735559630298,9389,146
U2AF2_3,0.4311374223192973,0.02014508752286861,46395,1058
U2AF2_4,0.3260883835527731,0.013589144935080842,10798,213
U2AF2_5,0.3782052722602537,0.019679449663245068,59300,1544
U2AF2_6,0.7221811350293542,0.03974395778912185,9300,175
LARP7_3,0.5,0.07575757575757576,198,15
TBRG4_1,0.6330049261083744,0.036637931034482756,626,17
TBRG4_2,0.5319975339087546,0.009804346213186294,1632,10
TBRG4_3,0.5487231182795699,0.05177342535089269,582,24
TBRG4_4,0.5,0.02564102564102564,312,8
TBRG4_5,0.6051124081279723,0.049696565261391955,532,18
LARP4_1,0.5403614964270702,0.01756769557986298,2404,25
LARP4_2,0.47419433593750004,0.003891859486302421,2568,8
LARP4_3,0.7192479286169534,0.006071319846124042,1571,2
LARP4_4,0.9018191546281433,0.005376344086021506,1870,1
LARP4_5,0.34804367606915376,0.0016950031842271009,3303,6
LARP4_6,0.7915118255408636,0.08879516750208222,4929,57
UTP18_1,0.5,0.010688836104513063,1684,18
UTP18_2,0.8486420009699993,0.07027646334832229,2881,51
UTP18_3,0.5,0.025886325267304444,1777,46
UTP18_4,0.5,0.012658227848101266,711,9
UTP18_5,0.5524357239512856,0.0350109409190372,1526,48
FMR1_1,0.2823842963532106,0.006349712189456631,23300,232
FMR1_2,0.37257738192515116,0.007396646854991623,24726,250
FMR1_3,0.6926450017215746,0.018713433763598582,18817,134
FMR1_4,0.4377948497563944,0.005956005412378031,18937,110
FMR1_5,0.359150066538194,0.00638177139580924,21124,185
FMR1_6,0.41878053336398646,0.010339279858361748,20457,137
GPKOW_1,0.6097646843306077,0.03086214644474331,18801,325
GPKOW_2,0.6764780381491406,0.06162289210810297,18251,592
GPKOW_3,0.4733033636091751,0.014254855578212131,19482,256
GPKOW_4,0.5911630725136435,0.02717621303936927,13455,177
GPKOW_5,0.7069881079697456,0.07046162370261265,25924,596
GPKOW_6,0.6677752292062189,0.039103072601193736,15333,302
PABPC4_1,0.78078890494257,0.03921832999075569,24065,286
PABPC4_2,0.6929878257938131,0.016360069416627803,30833,322
PABPC4_3,0.7501612903225807,0.018421448900312856,23437,125
PABPC4_4,0.7442226622381196,0.021887546374734678,24910,190
PABPC4_5,0.7209472973806752,0.021587239688840156,35654,447
PABPC4_6,0.3944238332750631,0.007547778316586449,42718,423
EXOSC10_1,0.6069440790915867,0.05138785567172949,7723,120
EXOSC10_2,0.5016817919052258,0.018164753862666916,9462,108
EXOSC10_3,0.6237677246729372,0.04121917516626948,6874,61
EXOSC10_4,0.4341257265858898,0.003798803398192334,7584,31
EXOSC10_5,0.5924346708228576,0.009532629970776661,8046,55
EXOSC10_6,0.3172468072468072,0.005887887973648772,9174,74
DGCR8_1,0.6845793050636546,0.12882130444323706,1747,62
DGCR8_2,0.6873904853688454,0.08917545581077825,3629,117
DGCR8_3,0.3387936896504828,0.016215831167078802,2637,57
DGCR8_4,0.4397147623019183,0.04872153879769362,2523,125
DGCR8_5,0.66711857063894,0.060137069305847723,2579,53
DGCR8_6,0.7339112982825557,0.13662013942899254,1195,26
TARDBP_1,0.4788147033865618,0.023997897747039726,2740,58
TARDBP_2,0.4225079541287132,0.015465269761756415,3537,58
TARDBP_3,0.460682483714815,0.01924164947741258,2943,58
TARDBP_4,0.4782282098387426,0.02133782856601496,3341,75
TARDBP_5,0.625933147632312,0.050857879332582484,4433,125
TARDBP_6,0.4193778030896277,0.003909811248308194,2565,11
AGGF1_1,0.42421659979440923,0.01619221229731312,2898,53
AGGF1_2,0.5255494033539043,0.012946367794095217,5886,65
AGGF1_3,0.46710386264602766,0.01138100890168289,4396,53
