Feature,AUROC,AUPRC,PRC Baseline,AUPRC - Baseline,Total Events,Num Significant
AQR_2_binding,0.3785298659260625,0.05016099832534916,0.06850342048542779,-0.018342422160078628,10671,731
AQR_3_binding,0.5774257067692479,0.07935758823704504,0.0656195462478185,0.01373804198922654,2865,188
AQR_4_binding,0.637866551434321,0.0908703195450615,0.05702722590139809,0.03384309364366341,8154,465
AQR_5_binding,0.3770203155438529,0.05754951996416382,0.07101200686106346,-0.01346248689689964,2915,207
AQR_6_binding,0.4201340507309955,0.046214842237410514,0.05300922536242495,-0.006794383125014437,6829,362
BUD13_1_binding,0.6741387675885493,0.018701710126570403,0.00779896013864818,0.010902749987922223,1154,9
BUD13_2_binding,0.5436026936026935,0.01232795941624676,0.006024096385542169,0.0063038630307045915,996,6
BUD13_3_binding,0.9931389365351629,0.1111111111111111,0.000856898029134533,0.11025421308197657,1167,1
BUD13_4_binding,0.5482170542635658,0.009988915998758527,0.007692307692307693,0.002296608306450834,650,5
BUD13_5_binding,0.4002741228070176,0.08959140903731813,0.007832898172323759,0.08175851086499437,1532,12
BUD13_6_binding,0.8103616813294233,0.017004153686396677,0.004379562043795621,0.012624591642601057,685,3
CPEB4_2_binding,,,0.0,,3,0
CPEB4_3_binding,,,0.0,,2,0
CPEB4_4_binding,,,0.0,,3,0
CPEB4_5_binding,,,0.0,,1,0
CPEB4_6_binding,,,0.0,,11,0
CPSF6_1_binding,,,0.0,,37,0
CPSF6_2_binding,,,0.0,,54,0
CPSF6_3_binding,,,0.0,,49,0
CPSF6_4_binding,,,0.0,,55,0
CPSF6_5_binding,0.85,0.15263157894736842,0.027777777777777776,0.12485380116959065,72,2
CPSF6_6_binding,0.1178861788617886,0.013596164972311761,0.016,-0.002403835027688239,125,2
CSTF2T_1_binding,,,0.0,,114,0
CSTF2T_2_binding,0.9560810810810811,0.07142857142857142,0.003367003367003367,0.06806156806156806,297,1
CSTF2T_3_binding,,,0.0,,142,0
CSTF2T_4_binding,0.11111111111111116,0.010309278350515464,0.009174311926605505,0.0011349664239099586,109,1
CSTF2T_5_binding,,,0.0,,88,0
CSTF2T_6_binding,0.35984848484848486,0.011627906976744186,0.007518796992481203,0.004109109984262983,133,1
DDX1_1_binding,,,0.0,,11,0
DDX1_2_binding,,,0.0,,20,0
DDX1_3_binding,,,0.0,,21,0
DDX1_4_binding,,,0.0,,19,0
DDX1_5_binding,,,0.0,,15,0
DDX1_6_binding,,,0.0,,9,0
DDX24_1_binding,0.6202854230377166,0.003923278116826504,0.002034587995930824,0.00188869012089568,983,2
DDX24_2_binding,0.3628571428571429,0.002219453672942045,0.0016299918500407497,0.0005894618229012954,1227,2
DDX24_3_binding,0.9247491638795987,0.021243291592128802,0.002224694104560623,0.01901859748756818,899,2
DDX24_4_binding,,,0.0,,917,0
DDX24_5_binding,0.6048734770384255,0.052250973997933,0.0046641791044776115,0.04758679489345539,1072,5
DDX24_6_binding,0.4189079054604727,0.00282332028109618,0.0024390243902439024,0.00038429589085227757,1230,3
DDX3X_1_binding,0.3040492957746479,0.001471027758060298,0.0014064697609001407,6.455799716015742e-05,1422,2
DDX3X_2_binding,0.43068887634105024,0.0036134020385324324,0.0033764772087788407,0.0002369248297535917,1777,6
DDX3X_3_binding,0.7717546362339515,0.05319488817891374,0.002844950213371266,0.05034993796554248,703,2
DDX3X_4_binding,0.5449640287769785,0.011978831438174926,0.007142857142857143,0.004835974295317783,280,2
DDX3X_5_binding,0.7718120805369127,0.01466795615731786,0.004454342984409799,0.01021361317290806,449,2
DDX3X_6_binding,,,0.0,,131,0
DDX47_1_binding,0.25,0.3333333333333333,0.3333333333333333,0.0,3,1
DDX47_2_binding,,,0.0,,23,0
DDX47_3_binding,,,0.0,,4,0
DDX47_4_binding,,,0.0,,3,0
DDX51_1_binding,,,0.0,,12,0
DDX51_2_binding,,,0.0,,33,0
DDX51_3_binding,,,0.0,,7,0
DDX51_4_binding,,,0.0,,2,0
DDX51_5_binding,,,0.0,,2,0
DDX51_6_binding,,,0.0,,1,0
DDX52_1_binding,,,0.0,,15,0
DDX52_2_binding,,,0.0,,55,0
DDX52_3_binding,,,0.0,,15,0
DDX52_4_binding,,,0.0,,10,0
DDX52_5_binding,,,0.0,,8,0
DDX52_6_binding,,,0.0,,3,0
DDX55_1_binding,,,0.0,,31,0
DDX55_2_binding,0.1636363636363637,0.02127659574468085,0.017857142857142856,0.0034194528875379944,56,1
DDX55_3_binding,,,0.0,,30,0
DDX55_4_binding,,,0.0,,46,0
DDX55_5_binding,,,0.0,,59,0
DDX55_6_binding,,,0.0,,80,0
DHX30_1_binding,,,0.0,,12,0
DHX30_2_binding,,,0.0,,30,0
DHX30_3_binding,0.09090909090909094,0.09090909090909091,0.08333333333333333,0.007575757575757583,12,1
DHX30_4_binding,,,0.0,,4,0
DHX30_5_binding,,,0.0,,11,0
DHX30_6_binding,,,0.0,,4,0
DROSHA_1_binding,0.2597809076682316,0.014166666666666668,0.013888888888888888,0.00027777777777777957,216,3
DROSHA_2_binding,0.26869806094182824,0.0037735849056603774,0.0027624309392265192,0.0010111539664338582,362,1
DROSHA_3_binding,0.0641891891891892,0.010689320883718557,0.013333333333333334,-0.002644012449614777,150,2
DROSHA_4_binding,,,0.0,,79,0
DROSHA_5_binding,0.5515463917525774,0.03273809523809523,0.020202020202020204,0.012536075036075029,99,2
DROSHA_6_binding,,,0.0,,49,0
EEF2_1_binding,,,0.0,,1,0
EEF2_2_binding,,,0.0,,4,0
EEF2_3_binding,,,0.0,,1,0
EEF2_4_binding,,,0.0,,4,0
EEF2_6_binding,,,0.0,,1,0
EFTUD2_1_binding,0.48385141093474426,0.04876314692366676,0.034482758620689655,0.014280388302977107,522,18
EFTUD2_2_binding,0.3704515050167224,0.03826180582895092,0.050793650793650794,-0.012531844964699876,1575,80
EFTUD2_3_binding,0.6024739327168994,0.10228890336721577,0.05379746835443038,0.04849143501278539,632,34
EFTUD2_4_binding,0.6682052972854161,0.08193580586620701,0.034383954154727794,0.047551851711479215,1047,36
EFTUD2_5_binding,0.6530837004405287,0.05927827465513505,0.039492242595204514,0.019786032059930535,709,28
EFTUD2_6_binding,0.3704441913439636,0.024688695076949038,0.03090507726269316,-0.006216382185744121,906,28
EIF3G_1_binding,0.5625,0.034482758620689655,0.015384615384615385,0.01909814323607427,65,1
EIF3G_2_binding,,,0.0,,86,0
EIF3G_3_binding,,,0.0,,25,0
EIF3G_4_binding,,,0.0,,11,0
EIF3G_5_binding,,,0.0,,10,0
EIF3G_6_binding,0.5,0.5,0.3333333333333333,0.16666666666666669,3,1
EIF4G2_1_binding,,,0.0,,40,0
EIF4G2_2_binding,0.8369565217391304,0.1111111111111111,0.02127659574468085,0.08983451536643025,47,1
EIF4G2_3_binding,,,0.0,,63,0
EIF4G2_4_binding,,,0.0,,38,0
EIF4G2_5_binding,0.12698412698412698,0.017857142857142856,0.015625,0.002232142857142856,64,1
EIF4G2_6_binding,,,0.0,,43,0
EWSR1_1_binding,,,0.0,,66,0
EWSR1_2_binding,0.7881944444444444,0.046536796536796536,0.0136986301369863,0.032838166399810235,146,2
EWSR1_3_binding,0.03960396039603964,0.01020408163265306,0.00980392156862745,0.00040016006402560957,102,1
EWSR1_4_binding,0.2716049382716049,0.016666666666666666,0.012195121951219513,0.004471544715447154,82,1
EWSR1_5_binding,,,0.0,,70,0
EWSR1_6_binding,,,0.0,,35,0
FAM120A_1_binding,,,0.0,,14,0
FAM120A_2_binding,,,0.0,,12,0
FAM120A_3_binding,,,0.0,,16,0
FAM120A_4_binding,,,0.0,,10,0
FAM120A_5_binding,,,0.0,,20,0
FAM120A_6_binding,,,0.0,,80,0
FASTKD2_1_binding,,,0.0,,16,0
FASTKD2_2_binding,,,0.0,,20,0
FASTKD2_3_binding,,,0.0,,5,0
FASTKD2_4_binding,,,0.0,,5,0
FASTKD2_6_binding,,,0.0,,6,0
FMR1_1_binding,0.7007722007722007,0.17237103174603174,0.015209125475285171,0.15716190627074658,263,4
FMR1_2_binding,0.6111111111111112,0.12541953718424306,0.012048192771084338,0.11337134441315873,249,3
FMR1_3_binding,0.8638743455497382,0.037037037037037035,0.005208333333333333,0.0318287037037037,192,1
