Feature,AUROC,AUPRC,Total Events,Num Significant
HNRNPU_1_binding,0.5,0.5,2,1
HNRNPU_4_binding,,,1,0
IGF2BP3_1_binding,0.4473684210526315,0.023255813953488372,77,1
IGF2BP3_2_binding,,,95,0
IGF2BP3_3_binding,,,75,0
IGF2BP3_4_binding,,,91,0
IGF2BP3_5_binding,0.13636363636363635,0.014066951566951567,123,2
IGF2BP3_6_binding,0.27531645569620256,0.020580849889624726,162,4
ILF3_1_binding,,,3,0
ILF3_2_binding,,,4,0
ILF3_3_binding,0.6875,0.41666666666666663,10,2
ILF3_4_binding,0.4,0.25,12,2
ILF3_5_binding,,,4,0
ILF3_6_binding,,,7,0
KHSRP_1_binding,0.2736318407960199,0.038024046828033536,70,3
KHSRP_2_binding,0.19744642042863658,0.038441685820481096,275,17
KHSRP_3_binding,0.2682748538011696,0.045483421660152006,183,12
KHSRP_4_binding,0.26,0.041028365242384596,170,10
KHSRP_5_binding,0.18086883876357562,0.0407532182648346,142,9
KHSRP_6_binding,0.3551020408163265,0.0399320240803169,147,7
LARP4_1_binding,,,165,0
LARP4_2_binding,0.22899159663865543,0.007878025401389887,240,2
LARP4_3_binding,0.8767281105990784,0.05077658303464755,219,2
LARP4_4_binding,,,253,0
LARP4_5_binding,0.11793721973094169,0.007372495196894608,451,5
LARP4_6_binding,0.22849364791288568,0.0066620709269205065,556,5
LARP7_1_binding,,,21,0
LARP7_2_binding,,,9,0
LARP7_3_binding,,,17,0
LARP7_4_binding,,,12,0
LARP7_5_binding,,,21,0
LARP7_6_binding,,,18,0
LIN28B_1_binding,,,219,0
LIN28B_2_binding,0.1155378486055777,0.004484304932735426,252,1
LIN28B_3_binding,,,209,0
LIN28B_4_binding,,,219,0
LIN28B_5_binding,,,315,0
LIN28B_6_binding,0.439873417721519,0.0056179775280898875,317,1
LSM11_1_binding,,,46,0
LSM11_2_binding,,,64,0
LSM11_3_binding,,,69,0
LSM11_4_binding,,,81,0
LSM11_5_binding,0.03007518796992481,0.007692307692307693,134,1
LSM11_6_binding,,,155,0
MATR3_1_binding,,,2,0
MATR3_2_binding,0.5,0.3333333333333333,6,2
MATR3_3_binding,0.35714285714285715,0.24285714285714285,9,2
MATR3_4_binding,,,2,0
MATR3_5_binding,,,4,0
MATR3_6_binding,,,3,0
NCBP2_1_binding,0.5525584795321637,0.16534093610335804,471,15
NCBP2_2_binding,0.34813065722156633,0.025161724702509023,626,21
NCBP2_3_binding,0.9852941176470588,0.5,69,1
NCBP2_4_binding,0.5,0.18181818181818182,22,4
NCBP2_5_binding,,,19,0
NCBP2_6_binding,0.1428571428571429,0.14285714285714285,8,1
NIP7_1_binding,,,19,0
NIP7_2_binding,,,36,0
NIP7_3_binding,,,20,0
NIP7_4_binding,,,32,0
NIP7_5_binding,,,21,0
NIP7_6_binding,,,17,0
NKRF_1_binding,0.3142857142857143,0.04,36,1
NKRF_2_binding,,,136,0
NKRF_3_binding,0.8928571428571429,0.25,29,1
NKRF_4_binding,0.5,0.041666666666666664,24,1
NKRF_5_binding,,,9,0
NKRF_6_binding,,,10,0
NOL12_1_binding,,,26,0
NOL12_2_binding,,,35,0
NOL12_3_binding,,,34,0
NOL12_4_binding,,,24,0
NOL12_5_binding,,,25,0
NOL12_6_binding,,,15,0
NSUN2_1_binding,,,4,0
NSUN2_2_binding,,,6,0
NSUN2_3_binding,,,3,0
NSUN2_5_binding,,,2,0
PCBP1_1_binding,0.9083333333333333,0.3416666666666667,43,3
PCBP1_2_binding,0.10526315789473684,0.04173290937996821,40,2
PCBP1_3_binding,0.5196078431372548,0.057692307692307696,54,3
PCBP1_4_binding,0.6354166666666667,0.07703081232492998,50,2
PCBP1_5_binding,0.5294117647058824,0.030303030303030304,70,2
PCBP1_6_binding,0.5868544600938967,0.08663419913419913,74,3
PCBP2_1_binding,0.7391304347826086,0.06886792452830189,117,2
PCBP2_2_binding,0.41391941391941395,0.04047926190567338,163,7
PCBP2_3_binding,0.514030612244898,0.0761417256488035,119,7
PCBP2_4_binding,0.3485148514851485,0.05271598212452824,106,5
PCBP2_5_binding,0.5833333333333333,0.07696969696969697,67,3
PCBP2_6_binding,,,137,0
PPIG_1_binding,0.5290697674418605,0.009804016258084254,1902,10
PPIG_2_binding,0.33417396034218466,0.0035702156516596514,2903,14
PPIG_3_binding,0.7505057316250843,0.0026954177897574125,1484,1
PPIG_4_binding,0.609393063583815,0.00959038132304817,2086,10
PPIG_5_binding,0.6108145822431537,0.017430166588282177,1926,15
PPIG_6_binding,0.5195513952666903,0.0038656438662860483,2841,10
PRPF4_1_binding,0.7849462365591398,0.05497693795566136,189,3
PRPF4_2_binding,0.44249422632794455,0.03127977385914173,438,5
PRPF4_3_binding,0.19583987441130293,0.02486714218825698,189,7
PRPF4_4_binding,0.37142857142857144,0.019963369963369962,142,2
PRPF4_5_binding,,,161,0
PRPF4_6_binding,,,115,0
PRPF8_1_binding,0.33736559139784944,0.027253908524844862,353,12
PRPF8_2_binding,0.3793616040683872,0.023406869241553423,5534,177
PRPF8_3_binding,0.59375,0.17415844702006045,359,7
PRPF8_4_binding,0.5808777182477151,0.024885788391967627,3397,57
PRPF8_5_binding,0.4293228139381986,0.024540567612727868,347,9
PRPF8_6_binding,0.4840984009255297,0.029101741693201136,3197,81
PTBP1_1_binding,,,27,0
PTBP1_2_binding,0.1707317073170732,0.02857142857142857,42,1
PTBP1_3_binding,0.2870689655172414,0.10825875807517898,68,10
PTBP1_4_binding,0.16346153846153846,0.05163261605415861,56,4
PTBP1_5_binding,0.6379310344827587,0.15263157894736842,31,2
PTBP1_6_binding,0.493421052631579,0.067816091954023,40,2
QKI_1_binding,,,45,0
QKI_2_binding,0.5460526315789473,0.04102167182662539,78,2
QKI_3_binding,0.29034123770965875,0.1219920942359849,110,19
QKI_4_binding,0.501,0.24780387763575795,105,25
QKI_5_binding,0.5434397163120568,0.13568025652116902,106,12
QKI_6_binding,,,45,0
RBFOX2_1_binding,0.3527397260273973,0.031734132933533235,75,2
RBFOX2_2_binding,0.5119949494949495,0.029719812032566593,202,4
RBFOX2_3_binding,0.3479064039408867,0.04814922866658897,123,7
RBFOX2_4_binding,0.27502465483234717,0.10374197608835162,182,26
RBFOX2_5_binding,0.41208791208791207,0.09021360211590329,101,10
RBFOX2_6_binding,,,87,0
RBM15_1_binding,,,46,0
RBM15_2_binding,0.3793103448275862,0.02702702702702703,59,1
RBM15_3_binding,,,31,0
RBM15_4_binding,,,23,0
RBM15_5_binding,0.0,0.021739130434782608,46,1
RBM15_6_binding,0.35185185185185186,0.027777777777777776,55,1
RBM22_1_binding,,,16,0
RBM22_2_binding,0.4213644680665679,0.035597968073485066,1044,46
RBM22_3_binding,0.09090909090909088,0.06847826086956521,24,2
RBM22_4_binding,0.4326639892904953,0.045486256616656284,424,9
RBM22_5_binding,,,10,0
RBM22_6_binding,0.2650943396226415,0.023006468908848447,439,15
SF3A3_1_binding,0.4518327378589388,0.039883040513623666,720,33
SF3A3_2_binding,0.5,0.14285714285714285,14,2
SF3A3_3_binding,0.7571360038378508,0.17402236581285097,791,33
SF3A3_4_binding,,,24,0
SF3A3_5_binding,0.37531057713151794,0.048697964382030084,1409,91
SF3A3_6_binding,0.6799999999999999,0.28888888888888886,28,3
SF3B4_1_binding,0.5435733741913517,0.03604569376178983,1379,44
SF3B4_2_binding,0.5526315789473685,0.05756578947368421,59,2
SF3B4_3_binding,0.6396288798920378,0.05003760049762108,1532,50
SF3B4_4_binding,0.6352941176470588,0.09013736375055716,90,5
SF3B4_5_binding,0.3534271632150128,0.04084364317047579,2315,119
SF3B4_6_binding,0.398989898989899,0.04690016103059581,69,3
SFPQ_1_binding,,,6,0
