Parameter Name	Beta_All Data_HepG2_All Pos. PPI	Beta_All Data_HepG2_Same Pos. PPI	Beta_All Data_K562_All Pos. PPI	Beta_All Data_K562_Same Pos. PPI	Beta_Train & Validate_HepG2_All Pos. PPI	Beta_Train & Validate_HepG2_Same Pos. PPI	Beta_Train & Validate_K562_Same Pos. PPI	P-value_All Data_HepG2_All Pos. PPI	P-value_All Data_HepG2_Same Pos. PPI	P-value_All Data_K562_All Pos. PPI	P-value_All Data_K562_Same Pos. PPI	P-value_Train & Validate_HepG2_All Pos. PPI	P-value_Train & Validate_HepG2_Same Pos. PPI	P-value_Train & Validate_K562_Same Pos. PPI
APOBEC3C-2_HNRNPK-2_interaction			-0.271635001851185	-0.2507613247659356			-0.2516116673272031			1.0450315486298212e-16	2.595807032198603e-14			2.0504954545406697e-14
APOBEC3C-2_HNRNPK-3_interaction			-0.5549320028861255							9.913225003636047e-11				
APOBEC3C-2_HNRNPK-4_interaction			-4.911694932119208e-14							1.2417005285523418e-06				
APOBEC3C-2_HNRNPK-5_interaction			-0.034242835386397566							0.8153416153572932				
APOBEC3C-2_HNRNPK-6_interaction			0.6665525738239289							0.0009034525447389877				
APOBEC3C-2_PCBP1-1_interaction			0.3910087267500978							1.2134061255726389e-15				
APOBEC3C-2_PCBP1-2_interaction			0.28254317599885825	0.33286498814551474			0.19481170308862453			1.7367426440959004e-26	1.793906577788639e-72			6.0422334183909684e-21
APOBEC3C-2_PCBP1-3_interaction			-0.17534842873178713							0.3227334163370462				
APOBEC3C-2_PCBP1-4_interaction			-0.1732329189858358							0.007237646090421281				
APOBEC3C-2_PCBP1-5_interaction			-0.30920684686403							0.046582700130860424				
APOBEC3C-2_PCBP1-6_interaction			-0.22038940067428792							0.26709673544134577				
APOBEC3C-3_HNRNPK-1_interaction			4.734156512200026e-14							0.0332194324976414				
APOBEC3C-3_HNRNPK-2_interaction			3.2732485292516014e-14							0.0014878353361316866				
APOBEC3C-3_HNRNPK-3_interaction			0.03734135920565328							0.6449563381058672				
APOBEC3C-3_HNRNPK-4_interaction			-3.695637340169907e-14							0.11475610774162946				
APOBEC3C-3_HNRNPK-5_interaction			0.15917828347785187							0.2774026415996063				
APOBEC3C-3_HNRNPK-6_interaction			1.7413650249251402e-14							0.08892050662334815				
APOBEC3C-3_PCBP1-1_interaction			-0.07860806786924647							0.7165093011598553				
APOBEC3C-3_PCBP1-2_interaction			-0.6951474206765007							0.015151439461072598				
