run_id	run_name	state	sweep_name	sweep_id	seed	type	n_jobs	distance	data_file	data_type	max_depth	objective	eval_metric	n_estimators	learning_rate	early_stopping_rounds	_runtime	_timestamp	test_r2	validate_r2
duoj06lp	robust-leaf-181	finished			1150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	5	reg:logistic	['rmse', 'logloss']	100000	0.4	100	14.769724754	1750118662.6439826	0.2129938317522971	0.19256635187765836
h6cx5trn	mild-field-176	finished			650	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	7	reg:logistic	['rmse', 'logloss']	100000	0.2	100	102.957517652	1750118751.3623812	0.06243732636501331	0.21940758319733145
lz13kqla	ruby-cloud-174	finished			1150	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	3	reg:logistic	['rmse', 'logloss']	100000	0.2	100	12.45837854	1750118660.7711873	0.19658116642123824	0.208997424212662
r9gydff8	stilted-paper-171	finished			650	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	9	reg:logistic	['rmse', 'logloss']	100000	0.05	100	14.901419496	1750118662.7401853	0.229431321702408	0.1793417829947117
syfjx5b8	sparkling-cloud-183	finished			150	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	9	reg:logistic	['rmse', 'logloss']	100000	0.2	100	8.849283274	1750118657.5230875	0.1794711558658273	0.22409409117348825
ukzsbnws	leafy-smoke-175	finished			650	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	9	reg:logistic	['rmse', 'logloss']	100000	0.2	100	92.226795742	1750118740.016163	0.18379761653731463	0.1945608106874599
dt4qfrxc	denim-music-185	finished			650	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	9	reg:logistic	['rmse', 'logloss']	100000	0.2	100	10.144756596	1750118659.166744	0.2423372726371864	0.205518826447492
o231hixm	tough-water-187	finished			650	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	7	reg:logistic	['rmse', 'logloss']	100000	0.2	100	64.847640249	1750118714.0480187	0.2565472663460332	0.15887469419353484
ugpmy9ao	vocal-sun-186	finished			1150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	3	reg:logistic	['rmse', 'logloss']	100000	0.2	100	62.023514726	1750118711.084492	0.19867685610624275	0.21200221677817832
0jjfg27i	exalted-sound-189	finished			650	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	5	reg:logistic	['rmse', 'logloss']	100000	0.4	100	21.745788388	1750118671.7600603	0.22197732696679373	0.2075608377562137
0mkukver	proud-lion-188	finished			650	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	3	reg:logistic	['rmse', 'logloss']	100000	0.05	100	224.987710564	1750118875.1422276	0.19542746328920424	0.1652612504935378
4j8hm862	cool-sky-192	finished			1150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	9	reg:logistic	['rmse', 'logloss']	100000	0.4	100	6.332464234	1750118657.0178616	0.19845658642566544	0.1896117583905199
q5ftudgw	splendid-yogurt-190	finished			150	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	5	reg:logistic	['rmse', 'logloss']	100000	0.4	100	9.967099521	1750118659.9146843	0.20190644826831927	0.2491228473803404
q5oi8ruj	dutiful-morning-190	finished			1150	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	3	reg:logistic	['rmse', 'logloss']	100000	0.4	100	9.659981301	1750118659.6170137	0.19120953383654493	0.25702268618420043
zbv66btc	resilient-morning-192	finished			650	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	9	reg:logistic	['rmse', 'logloss']	100000	0.4	100	78.145490125	1750118728.8310366	0.18153008788377337	0.1832913176355202
29hor11y	jolly-firebrand-197	finished			650	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	5	reg:logistic	['rmse', 'logloss']	100000	0.1	100	20.451174064	1750118671.7633395	0.23473992943917388	0.2176325566020332
3j5fcgxw	chocolate-jazz-197	finished			1150	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	5	reg:logistic	['rmse', 'logloss']	100000	0.1	100	17.210083694	1750118668.5223768	0.19157002272330803	0.2471324001004377
dz7tjhff	confused-river-195	finished			1150	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	3	reg:logistic	['rmse', 'logloss']	100000	0.05	100	50.864904774	1750118702.3864255	0.24218876899565844	0.28228472926246595
