Data Partition	Cell Line	RBP Pair	Position	# Graphs Used in OLS Reg.	# Rows - PPI Interaction	% Rows - PPI Interaction	# Rows - RBP 1 Bound	% Rows - RBP 1 Bound	# Rows - RBP 2 Bound	% Rows - RBP 2 Bound	Intercept Beta Coefficient	Intercept Param P-value	Intercept Param FDR BH	RBP 1 Beta Coefficient	RBP 1 Param P-value	RBP 1 Param FDR BH	RBP 2 Beta Coefficient	RBP 2 Param P-value	RBP 2 Param FDR BH	Interaction Beta Coefficient	Interaction Param P-value	Interaction Param FDR BH
All	K562	EWSR1-NONO	2	2252043	5248	0.23303285061608503	11644	0.5170416373044386	16098	0.7148176122747213	0.7218186635503409	0.0	0.0	0.04804382863226316	3.600336925815469e-28	5.909716388191128e-28	-0.1204266819835219	4.526071798926548e-282	1.3677811108736463e-281	-0.09509453733323726	1.06253982669141e-38	1.8896391737993997e-38
All	K562	EWSR1-HNRNPK	4	2252043	238	0.01056818186864105	11296	0.5015890016309635	18911	0.8397264173019787	0.7221767870917002	0.0	0.0	-0.08755280445470874	6.835038876521437e-153	1.7382938377326126e-152	-0.08592406926380346	1.6659185107874909e-246	4.844883010196091e-246	-0.29775453522193035	2.2299117309584952e-38	3.9543341455734573e-38
All	HepG2	PCBP2-QKI	5	2083000	148	0.0071051368218915025	18053	0.8666826692270764	13906	0.6675948151704273	0.706555817382016	0.0	0.0	-0.05403571126641568	4.4493887806331084e-92	9.944745990709805e-92	-0.09444508180997883	7.612967072806603e-214	2.148316735613918e-213	0.3776648405592449	6.919582217362488e-38	1.2235484435851266e-37
All	K562	APOBEC3C-PCBP1	2	2252043	691	0.030683250719457843	8089	0.3591849711573003	17296	0.7680137546219143	0.7214551951669896	0.0	0.0	-0.05838909622133429	7.478913323814736e-47	1.4048536273913396e-46	-0.04120846225521657	5.797525964405e-52	1.1196472018757157e-51	0.18138187126903282	1.1255751418662928e-37	1.987444107638197e-37
All	HepG2	FUBP3-U2AF2	4	2083000	80	0.0038406144983197314	664	0.03187710033605377	166791	8.007249159865578	0.7082290584013046	0.0	0.0	-0.24189515429169953	2.4430238350170364e-61	4.886047670034073e-61	-0.033580771845520385	1.698529921774444e-302	5.222345729634857e-302	0.5407781177359641	1.2353437098770074e-37	2.1781523900256507e-37
All	HepG2	PCBP1-RBFOX2	6	2083000	341	0.016370619299087855	4597	0.22069131060969754	14707	0.7060489678348536	0.7053442845259071	0.0	0.0	0.004858370549289303	0.37084902691831245	0.38615787470179797	0.012284317729421632	3.368516709361736e-05	3.9426956939120316e-05	0.25706141429216256	2.4592582271270227e-37	4.329976023830484e-37
All	K562	QKI-RBFOX2	3	2252043	62	0.0027530557809064926	8638	0.3835628360559723	24510	1.0883451159680344	0.7216359417960788	0.0	0.0	-0.12634157379234237	8.584455737128607e-246	2.490701242040131e-245	-0.013895104099754035	5.783573097624408e-10	7.501045486530712e-10	-0.5622218445491302	1.3900278206802106e-36	2.4369849451925395e-36
All	K562	EWSR1-NONO	4	2252043	3939	0.17490785033855927	11296	0.5015890016309635	12761	0.566641045486254	0.7223996182667428	0.0	0.0	-0.046973629412598104	7.836005570109006e-31	1.3070584189817453e-30	-0.23846842352632855	0.0	0.0	0.0982767581045086	3.119394156079313e-36	5.45342457837911e-36
All	HepG2	SRSF9-TRA2A	6	2083000	91	0.004368698991838694	7982	0.38319731156985115	16152	0.7754200672107537	0.7063652429361069	0.0	0.0	-0.1190012839955343	1.8453261199764717e-195	5.068495742868709e-195	-0.05747451384077349	1.7053012814025525e-93	3.8462634741123265e-93	0.4637094559991192	2.6446814847727613e-35	4.610474351451527e-35
All	K562	IGF2BP2-PTBP1	2	2252043	238	0.01056818186864105	35134	1.5600945452640114	3682	0.16349599008544685	0.7211026932885753	0.0	0.0	0.006129152768263906	0.0011251656805953537	0.001280575304986977	-0.11194647958358576	5.0891996586161965e-79	1.0807991027576663e-78	-0.29000595470857105	3.99292087919142e-35	6.941280178172426e-35
